ABA	n+f.aba
intrigante	a.intriguing@a+m.scheming@a+f.scheming
intrigar	vt.intrigue
intrigas	n+f+pl.intrigues@n+f+pl.scheming
intrigó	vt.intrigued
intrincada	a+f.intricate
intrincadamente	ad.intricately
intrincado	a+m.intricate
introducciones	n+f+pl.introductions@n+f+pl.intros
introducción	n+f.intro@n+f.introduction
introducida	a+f.introduced
introducido	a+m.introduced
introduciendo	vt.inputting
introducir	v.input@vt.introduce
introductoria	a+f.introductory
introductorio	a+m.introductory
introdujo	v.introduced
intromisión	n+f.meddling
intros	n+f+pl.intros
introspección	n+f.introspection
introspectiva	a+f.introspective
introspectivo	a+m.introspective
intrusa	n+f.intruder
intrusas	n+f+pl.crashers
intrusiones	n+f+pl.intrusions
intrusiva	a+f.intrusive
intrusivo	a+m.intrusive
intrusión	n+m.encroachment@n+f.intrusion@n+f.trespassing
intruso	n+m.intruder
intrusos	n+m+pl.crashers@n+m+pl.intruders
intrépida	a+f.fearless@a+f.intrepid
intrépido	a.fearless@a+m.intrepid
intrínseca	a+f.intrinsic
intrínsecamente	ad.intrinsically
intrínseco	a+m.intrinsic
intuiciones	n+f+pl.intuitions
intuición	n+f.intuition
intuir	vt.intuit
intuitiva	a+f.intuitive
intuitivamente	ad.intuitively
intuitivo	a+m.intuitive
intérprete	n+m.interpreter@n+f.interpreter
intérpretes	n+m+pl.interpreters@n+m+pl.performers
inuit	n+m.inuit@a.inuit
inunda	vt.floods@vt.swamps
inundaciones	n+f+pl.floods
inundación	n+f.flood@n+f.flooding
inundada	a+f.flooded@a+f.inundated
inundado	a.awash@a+m.flooded@a+m.inundated
inundando	v.flooding
inundar	vt.deluge@v.flood@vt.swamp
inundó	vt.flooded@vt.inundated@vt.swamped
inusual	a+m.unusual@a+f.unusual
inusualmente	ad.unusually
inutilizable	a.unusable
invade	vt.invades
invadida	a+f.invaded
invadido	a+m.invaded
invadiendo	vt.invading
invadir	vt.invade@vt.overrun
invadió	vt.invaded
invalidada	a+f.invalidated
invalidado	a+m.invalidated
invalidar	vt.invalidate
invalidez	n+f.invalidity
invalidó	vt.invalidated
invaluable	a+m.invaluable@a+f.invaluable@a.priceless
invariable	a.unchanging
invariablemente	ad.invariably
invariancia	n+f.invariance
invariante	a+m.invariant@a+f.invariant@n+m.invariant
invariantes	n+m+pl.invariants
invasiones	n+f+pl.invasions
invasiva	a+f.invasive
invasivo	a+m.invasive
invasión	n+f.encroachment@n+f.invasion
invasor	n+m.invader@n+m.raider
invasora	n+f.invader
invasores	n+m+pl.invaders@n+m+pl.raiders
invencible	a.invincible
invenciones	n+f+pl.fabrications@n+f+pl.inventions
invención	n+f.invention
inventada	a+f.invented
inventado	a+m.invented
inventando	vt.inventing
inventar	vt.fabricate@vt.invent
inventario	n+m.inventory@n+m.stock
inventarios	n+m+pl.inventories
inventiva	a+f.inventive
inventivo	a+m.inventive
invento	n+m.brainchild
inventor	n+m.inventor
inventora	n+f.inventor
inventores	n+m+pl.inventors
inventos	n+m+pl.inventions
invernadero	n+m.conservatory@n+m.greenhouse
invernaderos	n+m+pl.greenhouses
invernal	a+m.wintry@a+f.wintry
invernando	vi.wintering
inverosímil	a.implausible
inversa	a+f.inverse@a+f.reverse
inversamente	ad.inversely
inversiones	n+f.investments
inversión	n+f.inversion@n+f.investment@n+f.reversal
inverso	a+m.inverse@n+m.inverse@a+m.reverse
inversor	n+m.inverter@n+m.investor
inversora	n+f.investor
inversores	n+m+pl.inverters@n+m.investors
invertebrada	a+f.invertebrate
invertebrado	n+m.invertebrate@a+m.invertebrate
invertebrados	n+m+pl.invertebrates
invertible	a+m.invertible@a+f.invertible
invertida	a+f.inverted@a+f.invested@a+f.reversed
invertido	n+m.invert@a+m.inverted@a+m.invested@a+m.reversed
invertir	vt.invert@vt.invest
investido	a.vested
investiga	vt.investigates@vt.researches
investigaciones	n+f.investigations@n+f+pl.researches
investigación	n+f.inquiry@n+f.investigation@n+f.research@n+f.vetting
investigación judicial	n+f.inquest
investigada	a+f.investigated@a+f.researched@a+f.vetted
investigado	a+m.investigated@a+m.researched@a+m.vetted
investigador	n+m.enquirer@n+m.inquirer@n+m.investigator@n+m.researcher
investigador posdoctoral	n+m.postdoc
investigadora	n+f.enquirer@n+f.inquirer@n+f.investigator@n+f.researcher
investigadoras	n+f.investigators
investigadores	n+m.investigators@n+m.researchers
investigando	vi.delving@v.investigating@v.researching
investigar	vt.investigate@vt.probe@v.research
investigativa	a+f.investigative
investigativo	a+m.investigative
investigó	vt.probed
inviable	a+m.infeasible@a+f.infeasible
invicta	a+f.unbeaten@a+f.undefeated
invicto	a+m.unbeaten@a+m.undefeated
invierno	n+m.winter@n+m.wintertime
inviernos	n+m+pl.winters
invierte	vt.invests@vt.reverses
invirtiendo	vt.inverting@v.investing@vt.reversing
invirtió	vt.inverted
invisibilidad	n+f.invisibility
invisible	a+m.invisible@a+f.invisible@a+m.unseen@a+f.unseen
invistiendo	vt.vesting
invita	vt.invites
invitacional	n+m.invitational
invitaciones	n+f.invitations@n+f+pl.invites
invitación	n+f.invitation@n+f.invite
invitada	n+f.guest@a+f.invited
invitado	n+m.guest@a+m.invited
invitados	n+m.guests
invitar	vt.invite
invitó	v.invited
invoca	vt.invokes
invocable	a.callable
invocaciones	n+f+pl.invocations
invocación	n+f.invocation
invocada	a+f.invoked
invocado	a+m.invoked
invocando	vt.invoking@vt.summoning
invocar	vt.invoke
involucra	vt.engages@vt.involves
involucrada	a+f.involved
involucrado	a+m.involved
involucrando	v.involving
involucrar	vt.engage@vt.involve
involuntaria	a+f.involuntary@a+f.unintentional
involuntariamente	ad.involuntarily@ad.unintentionally
involuntario	a.inadvertent@a+m.involuntary@a.unintentional
inválida	a+f.invalid@n+f.invalid
inválido	a+m.invalid@n+m.invalid
inyecciones	n+f+pl.injections
inyección	n+f.injection
inyectada	a+f.injected
inyectado	a+m.injected
inyectando	vt.injecting
inyectar	vt.inject
inyectarse	vt.mainline
inyector	n+m.injector@n+m.nozzle
inyectores	n+m+pl.injectors@n+m+pl.nozzles
inédita	a+f.unpublished@a+f.unreleased
inédito	a+m.unpublished@a.unreleased
inútil	a.futile@a.pointless@a+m.useless@a+f.useless@a.worthless
ioctl	n+m.ioctl
iolita	n+f.iolite
ion	n+m.ion
iones	n+m+pl.ions
ionización	n+f.ionization
ionizada	a+f.ionized
ionizado	a+m.ionized
ionizador	n+m.ionizer
ionizando	vt.ionizing
ionizante	a.ionizing
ionosfera	n+f.ionosphere
ionosférica	a+f.ionospheric
ionosférico	a+m.ionospheric
iota	n+f.iota
ir	v.go
ir a	v.gonna
ir al medio galope	vi.canter
ir de discotecas	n+m.clubbing
ir pegado	vi.tailgate
ira	n+f.anger@n+f.ire@n+f.wrath
iraní	a+m.iranian@a+f.iranian@n+m.iranian@n+f.iranian
iraníes	n+m+pl.iranians
iraquí	a+m.iraqi@a+f.iraqi@n+m.iraqi
iraquíes	n+m+pl.iraqis
iridio	n+m.iridium
iridiscente	a.iridescent
iris	n+m.iris@n+m+pl.irises
irlandesa	a+f.irish
irlandés	a+m.irish@n+m.irish@n+m.irishman
ironía	n+f.irony
iroqués	n+m.iroquois@a.iroquois
irracional	a.irrational
irradiación	n+f.irradiation
irradiada	a+f.irradiated@a+f.radiated
irradiado	a+m.irradiated@a+m.radiated
irradiancia	n+f.irradiance
irradiando	vt.beaming@vt.radiating
irradiar	vt.radiate
irradió	vt.radiated
irrazonable	a.unreasonable
irrazonablemente	ad.unreasonably
irreal	a+m.unreal@a+f.unreal
irreducible	a.irreducible
irreemplazable	a.irreplaceable
irreflexivo	a.mindless
irregular	a+m.irregular@a+f.irregular@a.jagged@a.patchy@a+m.spotty@a+f.spotty@a+m.uneven@a+f.uneven
irregularidad	n+f.irregularity
irregularidades	n+f+pl.irregularities
irregularmente	ad.irregularly
irrelevante	a.immaterial@a+m.irrelevant@a+f.irrelevant
irreparable	a.irreparable
irresistible	a.irresistible
irrespetuosa	a+f.disrespectful
irrespetuoso	a+m.disrespectful
irresponsable	a.irresponsible
irreverente	a.irreverent
irreversible	a.irreversible
irrevocabilidad	n+f.finality
irrevocable	a.irrevocable
irrevocablemente	ad.irrevocably
irrigada	a+f.irrigated
irrigado	a+m.irrigated
irrigó	vt.irrigated
irrita	vt.annoys@vt.galls@vt.nettles
irritabilidad	n+f.irritability
irritable	a.irritable@a.snappy
irritación	n+f.aggravation@n+f.irritation@n+f.soreness
irritada	a+f.irritated@a+f.vexed
irritado	a+m.irritated@a+m.vexed
irritando	vt.irritating
irritante	a.grating@n+m.irritant@a.irritant@a.irritating
irritar	vt.aggravate@vt.irritate@vt.nettle@vt.vex
irrompible	a.unbreakable
irrumpe	vi.barges
irrumpió	vi.stormed
irse rápido	vi.scoot
irónica	a+f.ironic@a+f.wry
irónicamente	ad.ironically
irónico	a+m.ironic@a+m.wry
isabelina	a+f.elizabethan
isabelino	a+m.elizabethan
isla	n+f.isl@n+f.island@n+f.isle
isla de Wight	n+f.wight
islam	n+m.islam
islamista	n+m.islamist@a.islamist
islandesa	a+f.icelandic
islandés	a+m.icelandic@n+m.icelandic
islas	n+f.islands@n+f+pl.isles
islas Feroe	n+f+pl.faeroe
isleta	n+f.ait
isleña	n+f.islander
isleño	n+m.islander
isleños	n+m+pl.islanders
islote	n+m.holm@n+m.islet
islotes	n+m+pl.islets
islámica	a+f.islamic
islámico	a+m.islamic
ismo	n+m.ism
ismos	n+m+pl.isms
isobárica	a+f.isobaric
isobárico	a+m.isobaric
isomorfa	a+f.isomorphic
isomorfismo	n+m.isomorphism
isomorfo	a+m.isomorphic
isométrica	a+f.isometric
isométrico	a+m.isometric
isopropilo	n+m.isopropyl
isotrópica	a+f.isotropic
isotrópico	a+m.isotropic
isotérmica	a+f.isothermal
isotérmico	a+m.isothermal
isotópica	a+f.isotopic
isotópico	a+m.isotopic
ispell	n+m.ispell
israelita	n+m.israelite@n+f.israelite@a+m.israelite@a+f.israelite
israelí	a+m.israeli@a+f.israeli@n+m.israeli@n+f.israeli
israelíes	n+m+pl.israelis
istmo	n+m.isthmus
isómero	n+m.isomer
isómeros	n+m+pl.isomers
isótopo	n+m.isotope
isótopos	n+m+pl.isotopes
italiana	a+f.italian
italianas	n+f+pl.italians
italiano	a+m.italian@n+m.italian@n+m.wop
italianos	n+m+pl.italians
iteraciones	n+f+pl.iterations
iteración	n+f.iteration
iterada	a+f.iterated
iterado	a+m.iterated
iterador	n+m.iterator
iteradores	n+m+pl.iterators
iterar	vt.iterate
iterativa	a+f.iterative
iterativo	a+m.iterative
iteró	vt.iterated
itinerancia	n+m.roaming
itinerante	a.itinerant@a.roving
itinerario	n+m.itinerary
itinerarios	n+m+pl.itineraries
itálica	a+f.italic
itálicas	n+f+pl.italics
itálico	a.ital@a+m.italic
iza	vt.hoists
izada	a+f.hoisted
izado	a+m.hoisted
izando	vt.hoisting
izar	vt.hoist
izquierda	a+f.left
izquierdista	n+m.leftist@a.leftist
izquierdistas	n+m+pl.leftists
izquierdo	a+m.left
izó	vt.hoisted
iónica	a+f.ionic
iónico	a+m.ionic
ja	int.hah
jabalina	n+f.javelin
jabalí	n+m.boar
jabalí verrugoso	n+m.warthog
jabalíes salvajes	n+m+pl.razorbacks
jabonadura	n+f+pl.suds
jabones	n+m+pl.soaps
jabonosa	a+f.soapy
jabonoso	a+m.soapy
jabón	n+m.soap
jacinto	n+m.hyacinth
jacobiano	n+m.jacobian
jacquard	n+m.jacquard
jactancia	n+f.boasting
jacuzzi	n+m.jacuzzi
jade	n+m.jade
jadeando	vi.gasping@vi.heaving@vi.panting@vi.wheezing
jadeante	a.breathless@a.gasping
jadear	vi.gasp@vi.heave@vi.pant
jadeo	n+m.gasp@n+m.pant@n+m.panting@n+m.wheezing
jadeó	vi.gasped
jag	n+m.jag
jaguar	n+m.jaguar
jaguares	n+m+pl.jaguars
jainista	a.jain@n+m.jain
jalapeño	n+m.jalapeno
jalea	n+f.jelly
jaleas	n+f+pl.jellies
jaleo	n+m.hullabaloo@n+m.ruckus
jamaicana	a+f.jamaican
jamaicano	a+m.jamaican@n+m.jamaican
jamboree	n+m.jamboree
jamelgos	n+m+pl.nags
jamones	n+m+pl.hams
jamón	n+m.ham
jamón curado	n+m.gammon
japonesa	a+f.japanese
japonés	n+m.jap@a.jap@a+m.japanese@n+m.japanese
japónica	n+f.japonica
jaque mate	n+m.checkmate
jarabe	n+m.syrup
jarabes	n+m+pl.syrups
jardinera	n+f.gardener@n+f.planter
jardineras	n+f+pl.planters
jardinero	n+m.fielder@n+m.gardener@n+m.outfielder
jardineros	n+m+pl.gardeners
jardinería	n+f.gardening
jardines	n+m.gardens
jardines de infancia	n+m+pl.kindergartens
jardín	n+m.garden@n+m.outfield
jardín de infantes	n+m.kindergarten
jarra	n+f.carafe@n+f.jar@n+f.jug
jarra de cerveza	n+f.tankard
jarra para crema	n+m.creamer
jarras	n+f+pl.decanters@n+f+pl.jugs@n+f+pl.pitchers
jarras de cerveza	n+f+pl.steins
jarro	n+m.pitcher
jarrones	n+m+pl.vases
jarrón	n+m.vase
jaspe	n+m.jasper
jaspeada	a+f.marbled
jaspeado	a+m.marbled@a.mottled
jaula	n+f.cage
jaulas	n+f+pl.cages@n+f+pl.hutches
javanesa	a+f.javanese@n+f.javanese
javanés	a+m.javanese@n+m.javanese
jazmín	n+f.jasmine
jazz	n+m.jazz
jazz tradicional	n+m.trad
jazzística	a+f.jazzy
jazzístico	a+m.jazzy
jeans	n+m.jeans
jedi	n+m.jedi
jeep	n+m.jeep
jeeps	n+m+pl.jeeps
jefa	n+f.boss@n+f.chief
jefas	n+f+pl.chiefs
jefe	n+m.boss@n+m.chief@n+m.chieftain@n+m.head
jefes	n+m+pl.bosses@n+m+pl.chiefs
jefes tribales	n+m+pl.chieftains
jején	n+m.gnat@n+m.midge
jemer	n+m.khmer@a.khmer
jengibre	n+m.ginger
jeque	n+m.shaykh@n+m.sheik@n+m.sheikh
jerarquía	n+f.hierarchy
jerarquías	n+f+pl.hierarchies
jerbo	n+m.gerbil
jerez	n+m.sherry
jerga	n+f.cant@n+f.gibberish@n+f.jargon@n+f.lingo@n+f.slang
jeringa	n+f.syringe
jeringas	n+f+pl.syringes
jeroglífico	n+m.rebus
jersey	n+m.jumper@n+m.pullover
jerseys	n+m+pl.jerseys@n+m+pl.jumpers
jerárquica	a+f.hierarchical
jerárquico	a+m.hierarchical
jesuita	n+m.jesuit@a.jesuit
jesuitas	n+m+pl.jesuits
jesús	int.gesundheit
jet	n+m.jet
jigas	n+f+pl.jigs
jinete	n+m.horseman@n+m.jockey@n+f.jockey@n+m.rider@n+f.rider
jinetes	n+m+pl.horsemen@n+m+pl.jockeys@n+m.riders@n+f.riders
jingle	n+m.jingle
jingles	n+m+pl.jingles
jirafa	n+f.giraffe
jirafas	n+f+pl.giraffes
jirones	n+m+pl.shreds
jive	n+m.jive
jockeys	n+m+pl.jockeys
jode	vt.fucks
joder	v.fuck
jodida	a+f.fucked@a+f.screwed@a+f.shitty
jodido	a+m.fucked@a+m.screwed@a+m.shitty
jodiendo	v.fucking@vt.screwing
jogging	n+m.jogging
jojoba	n+f.jojoba
jonio	n+m.ionian
jonrones	n+m+pl.homers
jonrón	n+m.homer
jordana	a+f.jordanian@n+f.jordanian
jordano	a+m.jordanian@n+m.jordanian
jornada	n+f.jornada
jornada laboral	n+f.workday
jornalero	n+m.journeyman@n+m.labourer
jornaleros	n+m+pl.labourers
joroba	n+f.hump@n+f.humpback
joroba de camello	n+f.camelback
jorobada	n+f.hunchback
jorobado	n+m.hunchback
jorobas	n+f+pl.humps
jota	n+f.jota
joven	a+m.young@a+f.young@n+m.youngster@n+m.youth@a.youthful
joya	n+m.bijou@n+f.jewel
joyas	n+f+pl.gems@n+f+pl.jewels
joyas llamativas	n+m.bling
joyeros	n+m+pl.jewellers
joyería	n+f.jewellery
joyerías	n+f+pl.jewellers
joystick	n+m.joystick
joysticks	n+m+pl.joysticks
jubilable	a+m.pensionable@a+f.pensionable
jubilaciones	n+f+pl.retirements
jubilación	n+f.retirement@n+f.superannuation
jubilada	a+f.retired@n+f.retiree
jubilado	n+m.pensioner@a+m.retired@n+m.retiree
jubilados	n+m+pl.pensioners@n+m+pl.retirees
jubilarse	vi.retire
jubileo	n+m.jubilee
jubilosa	a+f.joyous
jubilosamente	ad.gleefully
jubiloso	a+m.joyous
jubilándose	a.retiring
jubón	n+m.doublet
judaica	a+f.judaic@n+f.judaica
judaico	a+m.judaic
judaísmo	n+m.judaism
judería	n+f.jewry
judicial	a+m.judicial@a+f.judicial
judo	n+m.judo
judía	n+f.bean@n+f.jew@a+f.jewish
judías	n+f.beans@n+f.jews
judío	n+m.jew@a+m.jewish
judíos	n+m.jews
jueces	n+m.judges@n+m+pl.justices
juega	v.plays
juego	n+m.gambling@n+m.game@n+m.gaming@n+m.play
juego de palabras	n+m.pun@n+m.wordplay
juego de pies	n+m.footwork
juego duro	n+m.hardball
juego previo	n+m.foreplay
juegos	n+m.games
juegos de palabras	n+m+pl.puns
juerga	n+f.bender@n+f.jag@n+f.revel@n+f.spree
juergas	n+f+pl.benders
jueves	n+m.thu@n+m.thur@n+m.thurs@n+m.thursday@n+m+pl.thursdays
juez	n+m.adjudicator@n+m.judge@n+m.trier
jueza	n+f.judge
juezas	n+f.judges
jugabilidad	n+f.playability
jugable	a.playable
jugador	n+m.gambler@n+m.gamer@n+m.player
jugador de base	n+m.baseman
jugador de bolos	n+m.bowler
jugador de críquet	n+m.cricketer
jugadora	n+f.gambler@n+f.gamer@n+f.player
jugadoras	n+f+pl.gamblers@n+f.gamers
jugadores	n+m+pl.gamblers@n+m.gamers@n+m.players
jugadores de bolos	n+m+pl.bowlers
jugadores de críquet	n+m+pl.cricketers
jugando	v.gaming@vi.messing@v.playing@vi.toying
jugando al golf	v.golfing
jugar	v.play
jugar alegremente	vi.romp
juglar	n+m.minstrel
jugo	n+m.gravy@n+m.juice@n+m.jus
jugos	n+m+pl.juices
jugosa	a+f.juicy
jugoso	a+m.juicy
juguete	n+m.toy
jugueteando	vi.fiddling@vi.tinkering@vt.toying
juguetear	vi.fiddle@vi.tinker@vi.trifle
jugueteo	n+m.frolic
juguetes	n+m+pl.playthings@n+m.toys
juguetona	a+f.frisky@a+f.playful
juguetonamente	ad.playfully
juguetón	a+m.frisky@a+m.playful
jugó	v.played
jugó a los bolos	vi.bowled
juicio	n+m.judgement@n+m.judgment@n+m.trial
juicio político	n+m.impeachment
juicios	n+m+pl.judgements@n+m+pl.judgments@n+m.trials
juiciosa	a+f.judicious
juicioso	a+m.judicious
jujú	n+m.juju
julio	n+m.joule@n+m.jul@n+m.july
julios	n+m+pl.joules
juncia	n+f.sedge
junco	n+m.reed@n+m.snowbird
juncos	n+m+pl.reeds@n+m+pl.rushes
jungla	n+f.jungle
junglas	n+f+pl.jungles
junio	n+m.jun@n+m.june
juniors	n+m+pl.juniors
junta	n+f.board@n+f.gasket@n+f.junta
juntando	vt.piecing
juntas	n+f.boards@n+f+pl.gaskets@n+f+pl.joints
junto a	prep.alongside
junto a la acera	a.curbside
junto a la piscina	a.poolside
junto al bordillo	a+m.kerbside@a+f.kerbside
junto al fuego	a.fireside
junto al ring	a+m.ringside@a+f.ringside
junto con esto	ad.herewith
juntos	ad.together
jura	vt.swears@vt.vows
jurada	a+f.sworn
jurado	n+m.juror@n+f.juror@n+m.jury@a+m.sworn
jurados	n+m+pl.juries@n+m+pl.jurors
juramento	n+m.oath
juramentos	n+m+pl.oaths@n+m.swearing
jurando	vi.swearing
jurar	vt.swear@vt.vow
jurisdiccional	a.jurisdictional
jurisdicciones	n+f+pl.jurisdictions
jurisdicción	n+f.jurisdiction
jurisprudencia	n+f.jurisprudence
jurista	n+m.jurist
juristas	n+m+pl.jurists
jurásica	a+f.jurassic
jurásico	a+m.jurassic
jurídica	a+f.juridical
jurídico	a+m.juridical
juró	vi.swore@vt.vowed
jus	n+m.jus
justa	a+f.fair@a+f.just@a+f.righteous
justamente	ad.justly
justicia	n+f.justice@n+f.righteousness
justicias	n+f+pl.justices
justiciero	a.vigilante
justifica	vt.justifies@vt.warrants
justificable	a.justifiable
justificaciones	n+f+pl.justifications@n+f+pl.rationales
justificación	n+f.justification@n+f.rationale
justificada	a+f.justified@a+f.warranted
justificadamente	ad.justifiably
justificado	a+m.justified@a+m.warranted
justificando	vt.justifying
justificante	n+m.warrant
justificar	vt.justify@vt.warrant
justo	a+m.fair@ad.just@a+m.just@a+m.righteous@ad.smack
juvenil	a+m.juvenile@a+f.juvenile@a.youthful
juveniles	n+m+pl.juveniles
juventud	n+f.youth
juventudes	n+f+pl.youths
juzgada	a+f.judged
juzgado	n+m.courthouse@a+m.judged
juzgados	n+m+pl.courthouses
juzgando	v.judging
juzgar	v.judge
juzgó	vt.adjudged
jónica	a+f.ionian
jónico	a+m.ionian
jóvenes	n+m+pl.youngsters@n+m+pl.youths
júbilo	n+m.elation
júnior	a+m.junior@a+f.junior@n+m.junior
kHz	n+m.khz
kWh	n+m.kwh
kabuki	n+m.kabuki
kahuna	n+m.kahuna
kama	n+m.kama
kami	n+m.kami
kamikaze	n+m.kamikaze@a.kamikaze
kana	n+m.kana
kanji	n+m.kanji
kappa	n+f.kappa
karaoke	n+m.karaoke
karate	n+m.karate
karité	n+f.shea
karma	n+m.karma
karst	n+m.karst
kart	n+m.kart
karts	n+m+pl.karts
kava	n+f.kava
kayak	n+m.kayak@n+m.kayaking
kayaks	n+m+pl.kayaks
kazaja	a+f.kazakh@n+f.kazakh
kazajo	a+m.kazakh@n+m.kazakh
kea	n+m.kea
kebab	n+m.kebab
kelp	n+m.kelp
kelvin	n+m.kelvin
kendo	n+m.kendo
keniata	a+m.kenyan@n+m.kenyan@n+f.kenyan
keno	n+m.keno
kevlar	n+m.kevlar
keynesiana	a+f.keynesian
keynesiano	a+m.keynesian
khan	n+m.khan
kickboxing	n+m.kickboxing
kif	n+m.kef
kilo	n+m.kilo
kilobytes	n+m+pl.kilobytes
kilocaloría	n+f.kcal
kilogramo	n+m.kilogram
kilogramos	n+m+pl.kilograms
kilometraje	n+m.mileage
kilos	n+m+pl.kilos
kilovatio	n+m.kilowatt
kilt	n+m.kilt
kilómetro	n+m.kilometre
kilómetros	n+m+pl.kilometres
kimono	n+m.kimono
kina	n+f.kina
kinesiología	n+f.kinesiology
kino	n+m.kino
kioscos	n+m+pl.kiosks
kiowa	n+m.kiowa@a.kiowa
kirguís	a.kyrgyz@n+m.kyrgyz
kirsch	n+m.kirsch
kit	n+m.kit
kitchenette	n+f.kitchenette
kits	n+m.kits
kitsch	n+m.kitsch@a.kitsch
kiwi	n+m.kiwi
kiwis	n+m+pl.kiwis
klingon	n+m.klingon
km/h	n+m.kph
koa	n+m.koa
koala	n+m.koala
kohl	n+m.kohl
kosher	a.kosher
kudzu	n+m.kudzu
kun	n+m.kun
kuna	n+f.kuna
kurda	a+f.kurdish
kurdo	a+m.kurdish@n+m.kurdish
kuwaití	n+m.kuwaiti@a.kuwaiti
kwa	n+m.kwa
kwacha	n+m.kwacha
kwanza	n+m.kwanza
kyat	n+m.kyat
káiser	n+m.kaiser
kármica	a+f.karmic
kármico	a+m.karmic
kétchup	n+m.ketchup
kílix	n+m.kylix
la	art+f.the
laberinto	n+m.labyrinth@n+m.maze
laberintos	n+m+pl.mazes
labia	n+f.blarney
labio	n+m.lip
labios	n+f+pl.labia@n+m.lips
labor	n+f.labour
labor de aguja	n+f.needlecraft
laboratorio	n+m.lab@n+m.laboratory
laboratorios	n+m.laboratories@n+m.labs
laboriosa	a+f.laborious
laboriosamente	ad.painstakingly
laborioso	a+m.laborious
labrada	a+f.tooled
labrado	a+m.tooled
labrador	n+m.labrador@n+m.tiller
labranza	n+m.tillage
lac	n+m.lac
laca	n+f.lacquer
laca para el cabello	n+f.hairspray
lacada	a+f.lacquered
lacado	a+m.lacquered
lacayo	n+m.lackey
lacrimógeno	a.tearing
lacrosse	n+m.lacrosse
lactancia	n+f.lactation
lactancia materna	n+f.breastfeeding
lactante	a.lactating@n+m.suckling
lactar	vi.lactate
lactato	n+m.lactate
lactobacilo	n+m.lactobacillus
lactosa	n+f.lactose
lacónico	a.terse
ladeada	a+f.cocked@a+f.tilted
ladeado	a+m.cocked@a+m.tilted
ladera	n+f.hillside
ladera de montaña	n+f.mountainside
laderas	n+f+pl.hillsides
lado	n+m.side
lado positivo	n+m.upside
lados	n+m.sides
ladra	vi.barks
ladrando	v.barking
ladrar	vi.bark@vi.woof@vi.yap
ladrar agudamente	vi.yip
ladrido	n+m.bark@n+m.barking@n+m.woof@n+m.yap
ladrido agudo	n+m.yip
ladridos	n+m+pl.barks
ladrillería	n+m.brickyard
ladrillo	n+m.brick
ladrillos	n+m+pl.bricks
ladrona	n+f.burglar@n+f.robber@n+f.thief
ladronas	n+f+pl.robbers
ladrones	n+m+pl.burglars@n+m+pl.robbers@n+m+pl.thieves
ladró	vi.barked
ladrón	n+m.burglar@n+m.robber@n+m.thief
lagartija	n+f.lizard
lagartijas	n+f+pl.lizards
lagarto	n+m.lizard
lagartos	n+m+pl.lizards
lago	n+m.lake@n+m.lough
lago de montaña	n+m.tarn
lagos	n+m.lakes
lagrangiana	a+f.lagrangian
lagrangiano	a+m.lagrangian
laguna	n+f.lacuna@n+f.lagoon@n+f.loophole
lagunas	n+f+pl.lagoons@n+f+pl.loopholes
laicado	n+m.laity
laicos	n+m+pl.laity
laird	n+m.laird
lakh	n+m.lakh
lakhs	n+m+pl.lakhs
lakota	n+m.lakota@a.lakota
lama	n+m.lama@n+f.slat
lamas	n+m+pl.lamas
lambda	n+f.lambda
lame	vt.laps@vt.licks
lamenta	vt.laments@vt.regrets
lamentable	a.pitiful@a.regrettable
lamentablemente	int.alas@ad.regrettably@ad.woefully
lamentaciones	n+f+pl.lamentations
lamentada	a+f.lamented
lamentado	a+m.lamented
lamentar	vt.lament@vt.regret@vt.rue
lamento	n+m.lament@n+m.wail@n+m.wailing
lamentos	n+m+pl.laments
lamentándose	vi.wailing
lamentó	vt.lamented@vi.mourned@vt.regretted
lamer	vt.lick
lamida	n+f.lick
lamidas	n+f+pl.licks
lamiendo	vt.lapping@v.licking
lamina	vt.laminates
laminación	n+f.laminating@n+f.lamination
laminada	a+f.laminated
laminado	n+m.laminate@a+m.laminated
laminador	n+m.laminator
laminadora	n+f.laminator
laminados	n+m+pl.laminates
laminando	vt.laminating
laminar	a.laminar@vt.laminate
lamió	vt.lapped@vt.licked
lampiña	a+f.hairless
lampiño	a.hairless
lana	n+f.fleece@n+f.lana@n+f.wool@n+f.yarn
lanai	n+m.lanai
lancero	n+m.lancer@n+m.spearman
lanceta	n+f.lancet
lancha	n+f.boat@n+f.dinghy@n+f.longboat
lancha a motor	n+f.powerboat
lanchas	n+f+pl.dinghies
landó	n+m.landau
langosta	n+f.lobster@n+f.locust
langostas	n+f+pl.lobsters@n+f+pl.locusts
langostino	n+m.prawn
langostinos	n+m+pl.prawns
languideciente	a.flagging
lantana	n+f.lantana
lanuda	a+f.shaggy@a+f.woolly
lanudo	a+m.shaggy@a+m.woolly
lanyards	n+f+pl.lanyards
lanza	vt.casts@n+f.lance@vt.launches@vt.pitches@v.releases@n+f.spear@vt.throws@vt.tosses
lanzada	a+f.launched@a+f.released@a+f.thrown@a+f.tossed
lanzadera	n+f.shuttle
lanzaderas	n+f+pl.shuttles
lanzado	a+m.launched@a+m.released@a+m.thrown@a+m.tossed
lanzador	n+m.launcher@n+m.pitcher@n+m.thrower
lanzadora	n+f.thrower
lanzadores	n+m+pl.launchers@n+m+pl.pitchers
lanzamiento	n+m.launch@n+m.launching@n+m.pitching@n+m.release@n+m.throw@n+m.toss
