a	art+m.एक@art+f.एक@art+n.एक
nile	n+f.नाईल नदी
niles	n.नाइल्स
nils	n.निल्स
nilsson	n.निल्सन
nim	n+m.निम
nimble	a.चपळ
nimbus	n+m.प्रभावळ
nimrod	n+m.निमरोद@n+m.शिकारी
nina	n+f.नीना
nine	a.नऊ
nineteen	n+m.एकोणीस
nineteenth	a.एकोणिसावा
nineties	n.नव्वदी
ninety	a.नव्वद
ninja	n+m.निंजा
ninjas	n+m+pl.निंजा
nintendo	n+m.निन्टेंडो
ninth	a.नववा
nip	vt.चिमटणे@n+f.चिमटी
nipple	n+m.स्तनाग्र
nipples	n+f.स्तनाग्र
nippon	n.निप्पॉन
nips	v.चिमटा काढतो@n.चिमटे
nirvana	n+n.निर्वाण@n+f.मोक्ष
nissan	n+m.निसान
nit	n+f.लिख@n+f.चूक
nita	n+f.निता
nitrate	n+m.नायट्रेट
nitrates	n.नायट्रेट
nitric	a.नायट्रिक
nitride	n+n.नायट्राइड
nitrile	n+m.नायट्राइल
nitrite	n+m.नायट्राइट
nitro	n+m.नायट्रो
nitrogen	n+m.नायट्रोजन
nitrous	a.नायट्रस
nits	n+f.pl.लिखा@n+m.pl.बारकावे
nitty	a.बारकाईचा
niue	n+n.न्यू
nivea	n+f.निव्हिया
nix	vt.नाकारणे
nixon	n+m.निक्सन
no	ad.नाही@a.कोणताही नाही
noah	n+m.नोहा
nob	n+m.थोर व्यक्ती
nobel	n+m.नोबेल
nobility	n+f.कुलीनता
noble	a.उदात्त@a.थोर@n+m.सरदार
nobleman	n+m.कुलीन
nobles	n.थोर लोक
nobody	pron.कोणीही नाही@n+m.क्षुल्लक व्यक्ती
nocturnal	a.निशाचर
nocturne	n+m.नॉक्टर्न
nod	vi.डोके हलवणे@n+m.होकार
nodal	a.गाठीचा
nodded	vi.मान हलवली
nodding	v.मान हलवत आहे@n+n.मान हलवणे
noddy	n+m.मूर्ख@a.साधा
node	n+m.नोड
nodes	n+m.नोड्स@n+f.गाठी
nods	vi.मान हलवतो@n.मान हलवणे
nodule	n+m.गाठ@n+f.लहान गोळी
nodules	n.गाठी
noe	n.नोए
noel	n+m.नोएल
noelle	n+f.नोएल
noes	n.नकार
nog	n+m.नॉग
noise	n+m.आवाज
noises	n+m.आवाज
noisy	a.गोंगाटी@a.कोलाहलपूर्ण
nokia	n+m.नोकिया
nola	n.नोला
nolan	n+m.नोलन
nolo	n+m.नोलो
nom	n+m.नाव
nomad	n+m.भटका
nomadic	a.भटक्या
nomads	n.भटके
nome	n.नोम
nomenclature	n+f.नामावली
nominal	a.नाममात्र@a.किरकोळ
nominally	ad.नाममात्र
nominate	vt.नामांकन करणे
nominated	v.नामांकित केले@a.नामनिर्देशित
nominating	vt.नामांकन करणे
nomination	n+f.नामांकन@n+n.उमेदवारी
nominations	n+f.नामांकन
nominee	n+m.नामांकित
nominees	n+m.नामांकित
non	a.नॉन@prep.गैर
nona	n+f.नोना
nonce	n+m.त्या वेळेपुरता
noncommercial	a.गैर-व्यावसायिक
noncompliance	n+f.अपालन
nonconforming	a.विसंगत@a.असंगत
nondestructive	a.विनाविनाश
nondiscrimination	n+f.भेदभावविरहितता
nondurable	a.टिकाऊ नसलेला
none	pron.कोणीही नाही
nonetheless	ad.तरीही@ad.असे असूनही
nonexistent	a.अस्तित्वात नसलेला
nonfarm	a.गैरशेती
nonfatal	a.जीवघेणी नसलेली
nonfiction	n+n.वास्तविक साहित्य
nongovernmental	a.अशासकीय
noninvasive	a.बिगर आक्रमक
nonlinear	a.अरेखीय
nonlinearity	n+f.अरेखीयता
nonmembers	n+m.असदस्य
nonmetallic	a.अधातू
nonnegative	a.अनऋण
nonparametric	a.अपरामितीय
nonpartisan	a.निःपक्षपाती
nonprescription	a.प्रिस्क्रिप्शनशिवाय उपलब्ध
nonprofit	a.नफा नसलेला@n+f.ना-नफा संस्था
nonprofits	n.ना-नफा संस्था
nonproliferation	n+n.अप्रसार
nonpublic	a.असार्वजनिक
nonrefundable	a.परत न मिळणारा
nonresident	a.अनिवासी@n+m.अनिवासी
nonresidential	a.अनिवासी
nonsense	n+m.मूर्खपणा@n+f.बकवास
nonsensical	a.निरर्थक@a.मूर्खपणाचा
nonsmoking	a.धूम्रपान निषिद्ध@n+n.धूम्रपान न करणे
nonspecific	a.अविशिष्ट@a.सामान्य
nonstandard	a.अप्रमाणित@a.बिगर मानक
nonstick	a.नॉनस्टिक
nonstop	a.थांबाविना@ad.सतत
nontraditional	a.अपारंपरिक
nontrivial	a.महत्त्वाचा@a.साधा नसलेला
nonverbal	a.अशाब्दिक
nonviolence	n+f.अहिंसा
nonviolent	a.अहिंसक
nonzero	a.शून्येतर
noodle	n+m.नूडल@n+m.शेवया
noodles	n+f.नूडल्स
nook	n+m.कोपरा
noon	n+m.दुपार@n+f.मध्यान्ह
noose	n+m.फास@v.फास लावणे
nope	int.नाही
nor	conj.किंवा@conj.नाही
nora	n+f.नोरा
norbert	n.नॉर्बर्ट
nordic	a.नॉर्डिक@a.उत्तर युरोपीय
noreen	n+f.नोरीन
norepinephrine	n+n.नोरेपिनेफ्रिन
norfolk	n+n.नॉरफोक
norge	n.नॉर्गे
norm	n+m.मानक@n+f.प्रमाण
norma	n.नॉर्मा
normal	a.सामान्य
normalcy	n+f.सामान्यता
normalisation	n+f.सामान्यीकरण
normalised	v.सामान्य केले@a.सामान्य केलेला
normality	n+f.सामान्यता
normalization	n+f.सामान्यीकरण
normalize	vt.सामान्य करणे
normalized	a.सामान्यीकृत
normalizing	v.सामान्य करणे
normally	ad.सामान्यतः
normals	n+m+pl.सामान्य
norman	n+m.नॉर्मन
normandy	n.नॉर्मंडी
normative	a.मानक
norms	n+m.मानदंड
norris	n+m.नॉरिस
norse	a.नॉर्स@n+m.नॉर्स भाषा
norseman	n+m.नॉर्समन@n+m.वायकिंग
north	n+m.उत्तर@a.उत्तरेकडील
northampton	n+m.नॉर्थम्प्टन
northamptonshire	n.नॉर्थम्प्टनशायर
northbound	a.उत्तराभिमुख
northeast	n+m.ईशान्य@a.ईशान्य
northeastern	a.ईशान्येकडील
northerly	a.उत्तरेकडील@ad.उत्तरेकडे
northern	a.उत्तरेकडील
northerner	n+m.उत्तरेकडील व्यक्ती
northrop	n.नॉर्थ्रॉप
northumberland	n+m.नॉर्थम्बरलँड
northumbria	n+f.नॉर्थम्ब्रिया
northward	ad.उत्तरेकडे@a.उत्तराभिमुख
northwest	n+m.वायव्य
northwestern	a.वायव्य
norton	n+m.नॉर्टन
norway	n+m.नॉर्वे
norwegian	a.नॉर्वेजियन@n+m.नॉर्वेजियन व्यक्ती
norwich	n+n.नॉरविच
nos	n+m.क्रमांक
nose	n+n.नाक
nosed	a.नाक असलेला@v.हुंगला
noses	n.नाके@vi.हळूच पुढे जातो
nosferatu	n+m.नोसफेराटू
nostalgia	n+f.जुन्या आठवणी
nostalgic	a.जुन्या आठवणींचा
nostradamus	n+m.नॉस्ट्राडेमस
nostrils	n+f+pl.नाकपुड्या
not	ad.नाही
notable	a.उल्लेखनीय@n+m.प्रसिद्ध व्यक्ती
notables	n+m+pl.प्रसिद्ध व्यक्ती
notably	ad.विशेषतः@ad.उल्लेखनीयरित्या
notaries	n+m+pl.नोटरी
notarized	v.नोटरी केले@a.प्रमाणित
notary	n+m.नोटरी
notation	n+f.संकेतलिपी@n+n.चिन्हपद्धती
notations	n.चिन्हे
notch	n+f.खाच
notched	a.खाचदार@v.खाच काढली
notches	n+f.pl.खाचा@v.खाच करतो
note	n+f.नोंद@n+f.टीप@vt.नोंदवणे
notebook	n+f.वही
notebooks	n+f.वह्या
noted	a.प्रसिद्ध@v.नमूद केले
notepad	n+m.नोटपॅड
notes	n+f.नोंदी
noteworthy	a.लक्षणीय
nothing	pron.काहीही नाही
nothingness	n+f.शून्यता@n+n.काहीही नसणे
notice	n+f.सूचना@vt.लक्षात येणे
noticeable	a.लक्षणीय
noticeably	ad.लक्षात येण्याजोगे
noticeboard	n+m.सूचना फलक
noticed	v.लक्षात आले@a.लक्षात आलेला
notices	n+f.सूचना
noticing	vt.लक्षात घेणे
notifiable	a.अधिसूचनीय
notification	n+f.सूचना
notifications	n+f.सूचना
notified	v.सूचित केले@a.सूचित केलेला
notifier	n+m.सूचनाकर्ता
notifies	vt.सूचित करणे
notify	vt.कळवणे
notifying	vt.सूचित करणे
noting	v.नोंद घेणे@v.लक्षात घेणे
notion	n+f.कल्पना@n+m.विचार
notional	a.काल्पनिक
notions	n+f.कल्पना
notoriety	n+f.कुख्याती@n+m.बदनामी
notorious	a.कुख्यात
notoriously	ad.कुप्रसिद्धपणे
nottingham	n+n.नॉटिंगहॅम
nottinghamshire	n+m.नॉटिंगहॅमशायर
notwithstanding	prep.असूनही@ad.तरीही
noun	n+n.नाम
nouns	n.नाम
nourish	vt.पोषण करणे
nourished	v.पोषण केले@a.पोषित
nourishing	a.पौष्टिक@v.पोषण करत आहे
nourishment	n+n.पोषण
nous	pron.आम्ही
nov	n+m.नोव्हेंबर
nova	n+f.नोव्हा@n+n.नवतारा
novartis	n.नोव्हार्टिस
novation	n+f.नवीकरण@n+n.कराराचे नूतनीकरण
novel	n+f.कादंबरी@a.नवीन
novelist	n+m.कादंबरीकार
novelists	n+m+pl.कादंबरीकार
novella	n+f.लघुकादंबरी
novels	n+f.कादंबऱ्या
novelties	n+f.नवीन वस्तू
novelty	n+f.नवीनता@n+n.नवलाई
november	n+m.नोव्हेंबर
novgorod	n+m.नोव्हगोरोड
novice	n+m.नवशिका
novices	n.नवखे
novosibirsk	n.नोव्होसिबिर्स्क
now	ad.आता
nowadays	ad.आजकाल
nowhere	ad.कुठेही नाही@n+n.कोणतीही जागा नाही
noxious	a.हानिकारक
noyes	n.नॉयस
nozzle	n+f.नोझल
nozzles	n.तोटी
nth	a.एनवा
nuance	n+f.सूक्ष्म फरक
nuanced	a.सूक्ष्म@a.बारकाव्यांसह
nuances	n.सूक्ष्म फरक
nubian	n.न्यूबियन@a.न्यूबियन
nuclear	a.आण्विक
nucleation	n+f.केंद्रीकरण
nuclei	n+m.केंद्रके
nucleic	a.न्यूक्लिक
nucleon	n+m.न्यूक्लिऑन
nucleoside	n+m.न्यूक्लिओसाइड
nucleotide	n+m.न्यूक्लिओटाइड
nucleotides	n.न्यूक्लियोटाइड्स
nucleus	n+m.केंद्रक
nude	a.नग्न
nudes	n+f.नग्न चित्रे
nudge	vt.कोपराने ढकलणे@n+f.हलकी ढकल
nudism	n+m.नग्नतावाद
nudist	n+m.नग्नवादी@a.नग्नवादी
nudists	n+m.नग्नतावादी
nudity	n+f.नग्नता
nugget	n+m.गोळी
nuggets	n+m.तुकडे
nuisance	n+m.उपद्रव
nuke	n+m.अणुबॉम्ब@v.अणुहल्ला करणे
nukes	n.अणुबॉम्ब@vt.अणुहल्ला करतो
null	a.शून्य
numb	a.बधीर
number	n+m.क्रमांक@n+f.संख्या
numbered	a.क्रमांकित@v.क्रमांक देणे
numbering	n+n.क्रमांकन
numbers	n+f.संख्या
numbing	a.बधिर करणारा@v.बधिर करणे
numbness	n+f.बधिरता
numeracy	n+f.संख्याज्ञान
numeral	n+m.अंक@a.अंकसंबंधी
numerals	n.अंक
numerator	n+m.अंश
numeric	a.संख्यात्मक@a.अंकीय
numerical	a.संख्यात्मक@a.अंकीय
numerically	ad.संख्यात्मकदृष्ट्या
numerology	n+f.अंकशास्त्र
numerous	a.असंख्य
numismatic	a.नाणेशास्त्रीय
nun	n+f.नन
nunavut	n+m.नुनावुत
nunez	n.नुनेझ
nuns	n.नन
nuremberg	n.न्यूरेमबर्ग
nurse	n+f.परिचारिका@vt.परिचर्या करणe
nurseries	n+f.नर्सरी
nursery	n+f.रोपवाटिका@n+n.बालवाडी
nurses	n+f.परिचारिका@n+m.नर्स
nursing	n+f.परिचर्या
nurture	vt.पालनपोषण करणे@n+n.पालनपोषण
nurtured	v.पोसले@a.पोसलेला
nurturing	vt.पालनपोषण करणे
nus	n.नस
nut	n+m.अक्रोड@n+f.नट
nutcracker	n+m.अक्रोड फोडण्याचे साधन
nutmeg	n+m.जायफळ
nutrient	n+m.पोषकद्रव्य@a.पौष्टिक
nutrients	n+m.पोषकद्रव्ये
nutrition	n+f.पोषण
nutritional	a.पौष्टिक@a.आहारविषयक
nutritionally	ad.पोषणदृष्ट्या
nutritionist	n+m.पोषणतज्ञ
nutritionists	n.पोषणतज्ञ
nutritious	a.पौष्टिक
nutritive	a.पौष्टिक@a.पोषक
nuts	n+f.काजू@n+m.शेंगदाणे
nutshell	n+m.शेलाचे कवच
nutter	n+m.वेडा@n+m.मूर्ख
nutty	a.वेडा@a.काजूसारखा
nylon	n+m.नायलॉन@a.नायलॉनचा
nylons	n+m.नायलॉन
nymph	n+f.अप्सरा
nymphets	n+f.तरुण मुली
nympho	n.निम्फो
nymphs	n.अप्सरा
oahu	n+m.ओआहू
oak	n+m.ओक
oakland	n+n.ओकलंड
oakley	n+m.ओकले
oaks	n+m.ओक वृक्ष
oar	n+f.वल्हे
oars	n.वल्हे
oasis	n+f.मरुभूमी@n+m.ओएसिस
oat	n+m.ओट
oates	n.ओट्स
oath	n+f.शपथ
oaths	n.शपथा
oatmeal	n+m.ओटमील
oats	n+m.ओट्स
oaxaca	n.ओआखाका
obadiah	n.ओबद्या
obama	n.ओबामा
obedience	n+f.आज्ञापालन
obedient	a.आज्ञाधारक
obelisk	n+m.ओबेलिस्क@n+m.स्तंभ
oberlin	n.ओबरलिन
oberon	n.ओबेरॉन
obese	a.लठ्ठ
obesity	n+f.लठ्ठपणा@n+n.स्थूलता
obey	vt.आज्ञा पाळणे
obeyed	v.आज्ञा पाळली
obeying	v.आज्ञा पाळत आहे
obeys	v.आज्ञा पाळतो
obfuscation	n+f.गोंधळात टाकणे@n+n.अस्पष्टता
obi	n+m.ओबी
obit	n+m.मृत्युलेख
obits	n.मृत्युलेख
obituaries	n+f.मृत्युलेख
obituary	n+m.मृत्युलेख
obj	n+m.ऑब्जेक्ट
object	n+f.वस्तू@vi.आक्षेप घेणे
objected	vi.आक्षेप घेतलेला
objecting	v.आक्षेप घेणे@a.आक्षेपार्ह
objection	n+f.आक्षेप@n+m.हरकत
objectionable	a.आक्षेपार्ह
objections	n+f.आक्षेप
objective	n+n.उद्दिष्ट@a.वस्तुनिष्ठ
objectively	ad.वस्तुनिष्ठपणे
objectives	n+n.उद्दिष्टे
objectivity	n+f.वस्तुनिष्ठता
objector	n+m.आक्षेप घेणारा
objectors	n+m.आक्षेप घेणारे
objects	n+f.वस्तू
objet	n+m.वस्तू
oblast	n+m.ओब्लास्ट
obligate	v.बांधून ठेवणे@a.अनिवार्य
obligated	a.बांधील
obligation	n+f.जबाबदारी@n+n.कर्तव्य
obligations	n+f.जबाबदाऱ्या@n+n.कर्तव्य
obligatory	a.अनिवार्य
oblige	v.उपकार करणे@v.बांधणे
obliged	a.बंधनकारक
obligor	n+m.कर्जदार
oblique	a.तिरका@a.अप्रत्यक्ष
obliterated	v.नष्ट केले@a.पुसून टाकलेला
oblivion	n+n.विस्मृती
oblivious	a.अनभिज्ञ
oblong	a.आयताकार@n+m.आयत
obnoxious	a.अप्रिय
oboe	n+m.ओबो
obs	n+m.निरीक्षण
obscene	a.अश्लील
obscenity	n+f.अश्लीलता
obscure	a.अस्पष्ट@vt.अस्पष्ट करणे
obscured	v.अस्पष्ट केले@a.अस्पष्ट
obscurity	n+f.अस्पष्टता@n+n.अज्ञातपण
observable	a.निरीक्षणीय
observables	n+m.निरीक्षणीय घटक
observance	n+f.पालन
observances	n+f.pl.आचरण@n+n.pl.पालन
observant	a.निरीक्षणशील@a.सावध
observation	n+n.निरीक्षण@n+f.नजर
observational	a.निरीक्षण
observations	n+f.निरीक्षणे
observatories	n+f+pl.वेधशाळा
observatory	n+f.वेधशाळा
observe	v.निरीक्षण करणे@v.पालन करणे
observed	v.निरीक्षण केले
observer	n+m.निरीक्षक
observers	n+m.निरीक्षक
observes	vt.निरीक्षण करतो
observing	v.निरीक्षण करणे@v.पाळणे
obsessed	a.वेडा
obsession	n+f.वेड
obsessions	n.ध्यास
obsessive	a.वेड लागलेला
obsidian	n+m.ओब्सिडियन
obsolescence	n+f.अप्रचलितता
obsolete	a.कालबाह्य@a.जुनाट
obsoleted	v.अप्रचलित केले
obsoletes	v.कालबाह्य करतो
obstacle	n+m.अडथळा
obstacles	n+f.अडथळे
obstet	n.प्रसूतिशास्त्र
obstetric	a.प्रसूतीशास्त्रीय
obstetricians	n.प्रसूतीतज्ञ
obstetrics	n+n.प्रसूतिशास्त्र
obstruct	vt.अडथळा आणणे
obstructed	v.अडथळा आणला@a.अडथळा असलेला
obstructing	v.अडथळा आणणे@a.अडवणारा
obstruction	n+m.अडथळा
obstructions	n.अडथळे
obstructive	a.अडथळा आणणारा
obtain	vt.मिळवणे
obtainable	a.मिळण्यायोग्य
obtained	v.मिळवले
obtaining	v.मिळवणे@a.मिळवणारा
obtains	vt.मिळवतो
obtuse	a.मंद@a.बोथट
obverse	n+m.पुढची बाजू@a.समोरचा
obvious	a.स्पष्ट
obviously	ad.स्पष्टपणे
ocarina	n+f.ओकारिना
occam	n+m.ओकाम
occasion	n+m.प्रसंग@n+f.संधी
occasional	a.अधूनमधून@a.कधीकधी होणारा
occasionally	ad.कधीकधी@ad.अधूनमधून
occasioned	v.कारणीभूत झाले
occasions	n+m.प्रसंग@n+f.संधी
occidental	a.पाश्चात्य
occipital	a.मस्तकाच्या मागच्या भागाचा
occlusion	n+f.अवरोध
occult	a.गुप्त@n+n.गुप्त विद्या
occupancy	n+f.ताबा@n+n.भोगवटा
occupant	n+m.रहिवासी
occupants	n+m.रहिवासी
occupation	n+m.व्यवसाय@n+f.ताबा
occupational	a.व्यावसायिक@a.व्यवसायसंबंधी
occupations	n+m.व्यवसाय@n+n.उद्योग
occupied	a.व्यस्त@v.ताब्यात घेतले
occupier	n+m.कब्जाकर्ता
occupiers	n+m+pl.कब्जाकर्ते
occupies	vt.व्यापतो
occupy	vt.व्यापणे
occupying	vt.ताबा घेणे
occur	vi.घडणे
occurred	v.घडले
occurrence	n+f.घटना@n+n.घडणे
occurrences	n+f.घटना
occurring	v.घडणे@v.होणे
occurs	v.घडते
ocean	n+m.महासागर
oceanfront	n+m.समुद्रकिनारा
oceania	n+f.ओशिनिया
oceanic	a.महासागरीय
oceanographic	a.समुद्रशास्त्रीय
oceanography	n+f.समुद्रविज्ञान
oceans	n+m.महासागर
oceanside	n.ओशनसाइड
och	int.अरे
ochoa	n+m.ओचोआ
ochre	n+m.गेरू@a.गेरूरंगी
oct	n+m.ऑक्टोबर
octagon	n+m.अष्टकोन
octagonal	a.अष्टकोनी
octal	a.अष्टक@n+n.अष्टक पद्धती
octane	n+m.ऑक्टेन
octave	n+m.अष्टक
octavia	n.ऑक्टाव्हिया
octet	n+m.ऑक्टेट
octets	n.अष्टक
october	n+m.ऑक्टोबर
octopus	n+m.ऑक्टोपस
ocular	a.डोळ्यासंबंधी
odd	a.विचित्र@a.विषम
oddball	n+m.विचित्र व्यक्ती@a.विचित्र
oddities	n.विचित्रता
oddity	n+f.विचित्रता@n+m.विचित्र गोष्ट
oddly	ad.विचित्रपणे
odds	n+f.शक्यता@n+m.विषमता
ode	n+f.गीत
odell	n.ओडेल
odense	n+n.ओडेन्स
odeon	n+m.ओडियन
oder	n+m.ओडर
odes	n+f.pl.ओड कविता
odessa	n.ओडेसा
odin	n.ओडिन
odious	a.घृणास्पद
odom	n.ओडम
odometer	n+m.मैलमापक
odour	n+m.वास
ods	n.ओडीएस
odysseus	n+m.ओडिसियस
odyssey	n+f.साहसयात्रा
oedipus	n.ईडिपस
oeuvre	n+n.कार्य@n+f.साहित्यकृती
oeuvres	n.कलाकृती
of	prep.चा@prep.ची@prep.चे
off	ad.बंद@prep.पासून
offbeat	a.असामान्य
offenbach	n+m.ऑफेनबाख
offence	n+m.गुन्हा@n+f.अपमान
offences	n+m.गुन्हे
offend	vt.अपमान करणे
offended	a.नाराज
offender	n+m.गुन्हेगार
offenders	n+m.गुन्हेगार
offending	a.आक्षेपार्ह
offends	v.अपमान करतो@v.दुखावतो
offensive	a.आक्षेपार्ह@n+f.आक्रमण
offensively	ad.आक्षेपार्हपणे
offer	vt.देऊ करणे@n+f.ऑफर
offered	v.देऊ केले
offering	n+f.अर्पण@v.देऊ करत
offerings	n+f.अर्पण@n+m.पुरवठा
offeror	n+m.प्रस्तावकर्ता
offers	n+f.ऑफर
office	n+n.कार्यालय
officemax	n.ऑफिसमॅक्स
officer	n+m.अधिकारी
officers	n+m.अधिकारी
offices	n+n.कार्यालये
official	a.अधिकृत@n+m.अधिकारी
officially	ad.अधिकृतपणे
officials	n+m.अधिकारी
officiants	n+m.धर्मविधी करणारे
officiating	vi.कर्तव्य बजावणे
offline	a.ऑफलाइन@ad.ऑफलाइन
offs	n+f.सुट्टी
offset	n+m.ऑफसेट@v.भरपाई करणे
offsets	n.ऑफसेट@vt.भरपाई करणे
offsetting	v.भरपाई करत आहे@a.भरपाई करणारा
offshoot	n+m.शाखा@n+f.उपशाखा
offshore	a.किनाऱ्यावरील@ad.समुद्रात
offshoring	n+n.ऑफशोरिंग
offside	a.ऑफसाइड@ad.बाजूला
offsite	a.बाहेरील
offspring	n+f.संतती@n+n.मूल
oft	ad.अनेकदा
often	ad.अनेकदा
oftentimes	ad.बरेचदा
ogden	n+m.ओग्डन
ogilvy	n+m.ओगिल्वी
ogle	vt.वाकड्या नजरेने पाहणे@n+f.वाकडी नजर
oglethorpe	n+m.ओगलथॉर्प
ogre	n+m.राक्षस
ohio	n+m.ओहायो
ohm	n+m.ओहम
ohms	n+m.ओहम
ohs	int.ओह
oil	n+n.तेल
oiled	a.तेलकट@v.तेल लावले
oilers	n.ऑइलर्स
oilfield	n+n.तेलक्षेत्र
oils	n+n.तेल@v.तेल लावतो
oilseed	n+n.तेलबिया
oily	a.तेलकट
ointment	n+m.मलम
oireachtas	n.ऑइरेक्टास
oka	n+f.ओका
okavango	n.ओकावांगो
okay	a.ठीक@ad.ठीक आहे@int.ठीक
oke	a.ठीक
okeechobee	n.ओकीचोबी
okie	n+m.ओकी
okinawa	n.ओकिनावा
okla	n+m.ओक्लाहोमा
oklahoma	n+m.ओक्लाहोमा
okra	n+f.भेंडी
oks	v.मंजूर करतो
oktoberfest	n+m.ऑक्टोबरफेस्ट
ola	n.ओला
olaf	n.ओलाफ
olav	n+m.ओलाव
old	a+m.जुना@a+f.जुनी@a+n.जुने@a+m.वृद्ध@a+f.वृद्ध@a+n.वृद्ध
olden	a.जुना@a.प्राचीन
oldenburg	n.ओल्डनबर्ग
older	a+m.मोठा@a+f.मोठी@a+n.मोठे@a.जुने
oldest	a.सर्वात जुना
oldfield	n.ओल्डफिल्ड
oldham	n+m.ओल्डहॅम
oldies	n+m.जुनी गाणी
oldsmobile	n+m.ओल्डस्मोबाइल
ole	a.जुना
oleander	n+m.कण्हेर
olfactory	a.घ्राणविषयक
olga	n.ओल्गा
oligonucleotide	n+m.ऑलिगोन्यूक्लियोटाइड
oligonucleotides	n+m.pl.ऑलिगोन्यूक्लियोटाइड
olin	n.ओलिन
oliphant	n+m.ऑलिफंट
olive	n+f.ऑलिव्ह@a.ऑलिव्ह रंगाचा
oliver	n+m.ऑलिव्हर
olives	n+f.ऑलिव्ह
olivet	n+m.ऑलिव्हेट
olivetti	n.ऑलिव्हेट्टी
olivia	n+f.ऑलिव्हिया
olivier	n+m.ऑलिव्हियर
olivine	n+m.ऑलिव्हिन खनिज
ollie	n.ऑली
olmsted	n.ओल्मस्टेड
olsen	n+m.ओल्सन
olson	n+m.ओल्सन
olympia	n+f.ऑलिम्पिया
olympiad	n+f.ऑलिम्पियाड
olympian	n+m.ऑलिम्पिक खेळाडू@a.ऑलिम्पिक
olympians	n+m.ऑलिम्पियन
olympic	a.ऑलिम्पिक
olympics	n+m.ऑलिम्पिक
olympus	n+m.ऑलिंपस
omagh	n+m.ओमाघ
omaha	n+n.ओमाहा
oman	n+n.ओमान
omani	n+m.ओमानी@a.ओमानी
omar	n+m.ओमर
ombre	n+m.ओम्ब्रे@a.छायायुक्त
ombudsman	n+m.लोकपाल
omega	n+m.ओमेगा
omelette	n+n.ऑम्लेट
omen	n+n.शकुन
omer	n+m.ओमेर
omicron	n+m.ओमायक्रॉन
ominous	a.अशुभ
omission	n+f.गाळणे
omissions	n+f.वगळणे@n+n.चूक
omit	vt.वगळणे
omits	v.वगळतो
omitted	v.वगळले@a.सोडून दिलेला
omitting	v.वगळत आहे
omnibus	n+f.बस@a.सर्वसमावेशक
omnipotent	a.सर्वशक्तिमान
omnipresent	a.सर्वव्यापी
omniscient	a.सर्वज्ञ
oms	n.ओएमएस
on	prep.वर
once	ad.एकदा@conj.एकदा
oncogene	n+m.कर्करोग जनक
oncologist	n+m.कर्करोग तज्ञ
oncologists	n+m.pl.कर्करोग तज्ञ
oncology	n+f.अर्बुदशास्त्र@n+n.कर्करोगशास्त्र
oncoming	a.येणारा@a.समोरून येणारा
one	a.एक@pron.एक
oneida	n.वनाइडा
oneness	n+f.एकता
onerous	a.कठीण
ones	pron.जे@pron.ते
oneself	pron.स्वतः
onetime	a.एकेकाळचा@a.पूर्वीचा
ongoing	a.चालू
onion	n+m.कांदा
onions	n+m.कांदे
online	a.ऑनलाइन@ad.ऑनलाइन
onlookers	n+m.प्रेक्षक
only	ad.फक्त@a.एकमेव
ono	n.ओनो
onondaga	n.ओनोंडागा
onscreen	a.स्क्रीनवर@ad.स्क्रीनवर
onset	n+f.सुरुवात@n+m.आरंभ
onshore	a.किनाऱ्यावरील@ad.किनाऱ्यावर
onsite	ad.स्थळी@a.स्थळावरील
onslaught	n+m.आक्रमण
onstage	ad.रंगमंचावर@a.रंगमंचावरील
ont	n+n.ऑन्टारियो
ontario	n+m.ओंटारिओ
onto	prep.वर
ontological	a.अस्तित्वशास्त्रीय
ontology	n+f.तत्त्वमीमांसा
onus	n+m.जबाबदारी
onward	ad.पुढे@a.पुढील
onyx	n+m.ओनिक्स
oocyte	n+m.अंडपेशी
oocytes	n+m+pl.अंडपेशी
ooh	int.अरे
oops	int.अरेरे@int.अबब
ooze	vi.झिरपणे@n+f.चिखल
oozing	v.झिरपणे@a.झिरपणारा
opacity	n+f.अपारदर्शकता
opal	n+m.ओपल
opals	n+m.ओपल रत्न
opaque	a.अपारदर्शक
opcode	n+m.ऑपकोड
ope	v.उघडणे
oped	v.मतप्रदर्शन केले
opel	n.ओपल
open	vt.उघडणे@a+m.उघडा@a+f.उघडी@a+n.उघडे
opened	v.उघडले
opener	n+m.ओपनर
openers	n.ओपनर
opening	n+f.उघडणे@a.सुरुवातीचा
openings	n+f.उद्घाटने@n+n.रिक्त पदे
openly	ad.उघडपणे
openness	n+f.मोकळेपणा
openoffice	n.ओपनऑफिस
opens	v.उघडतो@v.सुरू होतो
opera	n+m.ऑपेरा
operable	a.शस्त्रक्रियायोग्य
operand	n+m.ऑपरँड
operands	n.ऑपरँड
operas	n.ऑपेरा
operate	vt.चालवणे
operated	v.चालवले@a.चालवलेला
operates	v.चालवतो@v.काम करतो
operatic	a.ऑपेरा संबंधी
operating	a.कार्यरत@v.चालवत
operation	n+f.कार्यवाही@n+f.शस्त्रक्रिया
operational	a.कार्यात्मक
operationally	ad.कार्यात्मकदृष्ट्या
operations	n+f.कार्यवाही
operative	a.कार्यरत@n+m.कामगार
operatives	n.कर्मचारी
operator	n+m.ऑपरेटर
operators	n+m.ऑपरेटर
operetta	n+f.ऑपेरेटा@n+f.लहान संगीतनाट्य
operon	n+m.ऑपेरॉन
ophelia	n.ओफेलिया
ophthalmic	a.नेत्रसंबंधी
ophthalmologist	n+m.नेत्रतज्ञ
