reside	vi.cư trú
sabbath	n.ngày sa bát
equinox	n.ngày phân
valentines	n.ngày lễ tình nhân
solstice	n.ngày chí
day	n.ngày
days	n.ngày
jour	n.ngày
randomization	n.ngẫu nhiên hóa
suffocation	n.ngạt thở
industries	n.ngành công nghiệp
industry	n.ngành công nghiệp
par	n.ngang bằng
budgets	n.ngân sách@v.lập ngân sách
budget	n.ngân sách
drawer	n.ngăn kéo
drawers	n.ngăn kéo
bank	n.ngân hàng
banking	n.ngân hàng
banks	n.ngân hàng
compartment	n.ngăn
compartments	n.ngăn
birding	n.ngắm chim
throne	n.ngai vàng
tarragon	n.ngải ngò
artemisia	n.ngải cứu
excellency	n.ngài
sire	n.ngài
niche	n.ngách
ivory	n.ngà@a.màu ngà
crossing	n.ngã tư@v.băng qua
crossroad	n.ngã tư
crossroads	n.ngã tư
junction	n.ngã ba@n.điểm giao
tusk	n.ngà
russia	n.nga
newton	n.Newton
newsweek	n.Newsweek
newport	n.Newport
newman	n.Newman
newfoundland	n.Newfoundland
newcastle	n.Newcastle
newark	n.Newark
nevis	n.Nevis
neville	n.Neville
nevada	n.nevada
neutron	n.neutron
ifs	n.nếu
netscape	n.Netscape
netflix	n.Netflix
scribble	n.nét nguệch ngoạc@v.nguệch ngoạc
nero	n.Nero
nepal	n.Nepal
brace	n.nẹp@v.chống đỡ
wrinkle	n.nếp nhăn@v.nhăn
wrinkles	n.nếp nhăn
pleat	n.nếp gấp@v.gấp nếp
folds	n.nếp gấp@v.gấp
splint	n.nẹp
neon	n.neon
neodymium	n.neodymium
anchor	n.neo@v.thả neo@n.người dẫn chương trình
anchors	n.neo@v.neo
compression	n.nén@n.sự nén
background	n.nền@n.lý lịch
candle	n.nến@n.cây nến
civilization	n.nền văn minh
civilizations	n.nền văn minh
cornerstone	n.nền tảng@n.viên đá góc
platforms	n.nền tảng@n.sân ga
foundation	n.nền tảng@n.quỹ
foundations	n.nền tảng@n.quỹ
grounding	n.nền tảng
platform	n.nền tảng
economies	n.nền kinh tế
candles	n.nến
tasting	n.nếm@v.nếm
wedge	n.nêm@v.chèn
gusset	n.nêm vải
futon	n.nệm futon
bombing	n.ném bom@v.ném bom
mattress	n.nệm
mattresses	n.nệm
nelson	n.Nelson
nelly	n.Nelly
neil	n.Neil
neh	n.neh
ned	n.Ned
neal	n.Neal
masonry	n.nề@n.xây dựng
ricochet	n.nảy@v.nảy
navajo	n.Navajo
nautilus	n.Nautilus
nauru	n.Nauru
cooking	n.nấu ăn@v.đang nấu ăn
cookery	n.nấu ăn
sodium	n.natri
nathaniel	n.Nathaniel
nathan	n.Nathan
nate	n.Nate
natasha	n.Natasha
natalie	n.Natalie
nat	n.Nat@a.tự nhiên
nassau	n.Nassau
nashville	n.Nashville
nashua	n.Nashua
nash	n.Nash
narnia	n.Narnia
napster	n.Napster
napoleon	n.Napoleon
naples	n.Naples
cap	n.nắp@n.mũ lưỡi trai
refills	n.nạp lại@v.nạp lại
lid	n.nắp
lids	n.nắp
naomi	n.Naomi
hydrocephalus	n.não úng thủy
brain	n.não
brains	n.não
nantucket	n.Nantucket
mermaid	n.nàng tiên cá
fairy	n.nàng tiên
productivity	n.năng suất
energetics	n.năng lượng học
energies	n.năng lượng
energy	n.năng lượng
capacity	n.năng lực@n.dung lượng
capabilities	n.năng lực
competence	n.năng lực
competencies	n.năng lực
competency	n.năng lực
upgrades	n.nâng cấp@v.nâng cấp
enhancement	n.nâng cao@n.sự cải thiện
crutch	n.nạng
nancy	n.Nancy
victim	n.nạn nhân
victims	n.nạn nhân
famine	n.nạn đói
nan	n.Nan
namibia	n.Namibia
males	n.nam@n.đực
yesteryear	n.năm xưa
yugoslavia	n.Nam Tư
virility	n.nam tính
baron	n.nam t作
fifty	n.năm mươi@n.50
fiftieth	n.năm mươi
holding	n.nắm giữ@v.đang giữ
fistful	n.nắm đầy
fist	n.nắm đấm@n.quả đấm
antarctica	n.Nam Cực
magnet	n.nam châm
magnets	n.nam châm
lightyear	n.năm ánh sáng
fungi	n.nấm
fungus	n.nấm
mushroom	n.nấm
mushrooms	n.nấm
five	n.năm
year	n.năm
years	n.năm
yrs	n.năm
nam	n.Nam
nairobi	n.Nairobi
elk	n.nai sừng tấm
moose	n.nai sừng tấm
nader	n.Nader
nacho	n.nacho
underarm	n.nách
sling	n.ná@v.ném
myspace	n.MySpace
mylar	n.mylar
myers	n.Myers
myelin	n.myelin
myanmar	n.Myanmar
cosmetics	n.mỹ phẩm
belle	n.mỹ nhân
america	n.mỹ
intrigue	n.mưu mô@v.mưu mô
jams	n.mứt@v.kẹt
jam	n.mứt@n.tắc đường@v.kẹt
murray	n.Murray
murphy	n.Murphy
murdoch	n.Murdoch
ditch	n.mương@v.vứt bỏ
scoop	n.muỗng múc@v.múc@n.tin độc quyền
tablespoon	n.muỗng canh
tablespoons	n.muỗng canh
teaspoon	n.muỗng cà phê
salts	n.muối@v.ướp muối
eighteen	n.mười tám
sixteen	n.mười sáu
midge	n.muỗi nhỏ
eleven	n.mười một
fifteen	n.mười lăm
twelve	n.mười hai@n.12
nineteen	n.mười chín
fourteen	n.mười bốn
seventeen	n.mười bảy
thirteen	n.mười ba
ten	n.mười
mosquito	n.muỗi
salt	n.muối
munich	n.Munich
bumps	n.mụn@v.va chạm
acne	n.mụn trứng cá
sawdust	n.mùn cưa
mumbai	n.Mumbai
muller	n.Muller
mulder	n.Mulder
muir	n.Muir
smell	n.mùi@v.ngửi
smells	n.mùi@v.ngửi
arrow	n.mũi tên
arrows	n.mũi tên
auger	n.mũi khoan@n.Auger
stitch	n.mũi khâu@v.khâu
stitches	n.mũi khâu
scent	n.mùi hương
scents	n.mùi hương
timezone	n.múi giờ
headland	n.mũi đất
promontory	n.mũi đất
purl	n.mũi đan ngược@v.đan ngược
hardtop	n.mui cứng
ness	n.mũi
nose	n.mũi
muhammad	n.Muhammad
mueller	n.Mueller
ladle	n.múc@v.múc
inks	n.mực@v.ký
entry	n.mục@n.lối vào
targets	n.mục tiêu@v.nhắm vào
target	n.mục tiêu@v.nhắm mục tiêu
goal	n.mục tiêu
goals	n.mục tiêu
objectives	n.mục tiêu
lows	n.mức thấp
chaplain	n.mục sư
pastor	n.mục sư
pastors	n.mục sư
preacher	n.mục sư
reverend	n.mục sư
toner	n.mực in
severity	n.mức độ nghiêm trọng
extent	n.mức độ
aims	n.mục đích@v.nhắm@v.hướng tới
aim	n.mục đích@v.nhắm
purport	n.mục đích@v.có vẻ
purpose	n.mục đích
purposes	n.mục đích
calamari	n.mực chiên
entries	n.mục
ink	n.mực
squid	n.mực
rain	n.mưa@v.mưa
rains	n.mưa@v.mưa
purchasing	n.mua@v.đang mua
spring	n.mùa xuân@v.nhảy
sleet	n.mưa tuyết
autumn	n.mùa thu
shopping	n.mua sắm@v.đang mua sắm
procurement	n.mua sắm@n.thu mua
puppetry	n.múa rối
harvest	n.mùa màng@v.thu hoạch
crop	n.mùa màng@v.cắt@n.vụ mùa
crops	n.mùa màng@v.cắt
acquisition	n.mua lại
acquisitions	n.mua lại
buyback	n.mua lại
buyout	n.mua lại
summers	n.mùa hè@n.Summers
summer	n.mùa hè
purchases	n.mua hàng@v.mua
winter	n.mùa đông
hail	n.mưa đá@v.chào đón
season	n.mùa
seasons	n.mùa
caps	n.mũ@n.chữ hoa@n.nắp
hoods	n.mũ trùm@n.capo
hood	n.mũ trùm đầu@n.nắp ca-pô
cowl	n.mũ trùm đầu
mustard	n.mù tạt
fedora	n.mũ phớt
beret	n.mũ nồi
beanie	n.mũ len
mitre	n.mũ giám mục
fez	n.mũ fez
boater	n.mũ cứng
helmet	n.mũ bảo hiểm
helmets	n.mũ bảo hiểm
instep	n.mu bàn chân
hat	n.mũ
hats	n.mũ
blindness	n.mù
mtg	n.MTG
mss	n.MSS
mozilla	n.Mozilla
mozart	n.Mozart
mozambique	n.Mozambique
motorola	n.motorola
motel	n.motel@n.nhà nghỉ
motels	n.motel@n.nhà nghỉ
one	n.một@pron.một
vogue	n.mốt@n.thời trang
geek	n.mọt sách@n.geek
geeks	n.mọt sách
nerd	n.mọt sách
half	n.một nửa@a.một nửa
moiety	n.một nửa
handful	n.một nắm
bit	n.một chút@n.bit
weevil	n.mọt
mot	n.Mot
moses	n.Moses
moscow	n.Moscow@n.Mátxcơva
mos	n.MOS
morton	n.Morton
morse	n.Morse@n.mã Morse
morrow	n.Morrow
morrison	n.Morrison
morris	n.Morris
morphine	n.morphine
morocco	n.Morocco@n.Ma-rốc
mormon	n.Mormon
morley	n.Morley
morgan	n.morgan
moreno	n.Moreno
moran	n.Moran
morales	n.Morales
moore	n.moore
mooney	n.Mooney
monty	n.Monty
montserrat	n.Montserrat
montreal	n.Montreal
monticello	n.Monticello
montgomery	n.Montgomery
monterey	n.Monterey
montenegro	n.Montenegro
monte	n.Monte
monroe	n.Monroe
monoxide	n.monoxide
monmouth	n.Monmouth
monique	n.Monique
monica	n.Monica
butt	n.mông@n.đít@n.đầu mẩu
breech	n.mông@n.đít súng
butts	n.mông@n.đít
claw	n.móng vuốt@v.cào
claws	n.móng vuốt
paw	n.móng vuốt
nails	n.móng tay@n.đinh
horseshoe	n.móng ngựa
desire	n.mong muốn@v.mong muốn
desires	n.mong muốn@v.mong muốn
iris	n.mống mắt@n.hoa diên vĩ
fragility	n.mỏng manh
mongolia	n.Mông Cổ
gull	n.mòng biển
dovetail	n.mộng âm dương@v.khớp
ass	n.mông
rump	n.mông
monet	n.Monet
monde	n.Monde
monaco	n.Monaco
mona	n.Mona
electives	n.môn tự chọn
desserts	n.món tráng miệng
biathlon	n.môn phối hợp
treats	n.món ngon@v.đối xử
starters	n.món khai vị@n.người khởi động
starter	n.món khai vị@n.khởi động
appetizers	n.món khai vị
bargains	n.món hời@v.mặc cả
goulash	n.món hầm Hungary
disciples	n.môn đồ
dishes	n.món ăn@n.đĩa
snout	n.mõm
molly	n.Molly
moldova	n.Moldova
mol	n.mol
bait	n.mồi@v.đánh lừa
correlations	n.mối tương quan
surroundings	n.môi trường xung quanh
habitat	n.môi trường sống@n.sinh cảnh
habitats	n.môi trường sống
environment	n.môi trường
environments	n.môi trường
feud	n.mối thù@v.kết thù
concern	n.mối quan tâm@v.quan tâm
concerns	n.mối quan tâm@v.quan tâm
affinity	n.mối quan hệ
rapport	n.mối quan hệ
relationship	n.mối quan hệ
relationships	n.mối quan hệ
lure	n.mồi nhử@v.dụ dỗ
hazards	n.mối nguy hiểm
folks	n.mọi người@n.người
nexus	n.mối liên kết
novelty	n.mới lạ
realtor	n.môi giới bất động sản
realtors	n.môi giới bất động sản
brokerage	n.môi giới
menace	n.mối đe dọa
solicitation	n.mời chào
preoccupation	n.mối bận tâm
lip	n.môi
lips	n.môi
mohawk	n.Mohawk
mohammad	n.Mohammad
mohamed	n.Mohamed
moe	n.Moe
modesto	n.Modesto
modem	n.modem
modems	n.modem
mod	n.mod@n.hiện đại
hook	n.móc@v.móc@n.Hook
hooks	n.móc@v.móc
landmarks	n.mốc@n.danh lam
landmark	n.mốc@n.công trình nổi tiếng
hanger	n.móc treo
hangers	n.móc treo
carabiner	n.móc leo núi
regrowth	n.mọc lại
mobil	n.Mobil
mines	n.mỏ@v.khai thác
grease	n.mỡ@v.bôi mỡ
tissue	n.mô@n.khăn giấy
tissues	n.mô@n.khăn giấy
grave	n.mộ@a.nghiêm trọng
module	n.mô-đun
modules	n.mô-đun
speculum	n.mỏ vịt
bonanza	n.mỏ vàng
colliery	n.mỏ than
description	n.mô tả
descriptions	n.mô tả
enlargement	n.mở rộng@n.sự phóng to
scaling	n.mở rộng quy mô@v.mở rộng
enl	n.mở rộng
simulation	n.mô phỏng
simulations	n.mô phỏng
reverie	n.mơ mộng
torque	n.mô men xoắn
mess	n.mớ hỗn độn@v.làm bừa bộn
sweat	n.mồ hôi@v.đổ mồ hôi
perspiration	n.mồ hôi
ambiguity	n.mơ hồ
ambivalence	n.mơ hồ
vagueness	n.mơ hồ
model	n.mô hình@v.làm mẫu
bim	n.mô hình thông tin xây dựngjustifiably
diorama	n.mô hình 3D
models	n.mô hình
paradigm	n.mô hình
tallow	n.mỡ động vật
quarry	n.mỏ đá
histopathology	n.mô bệnh học
graves	n.mộ
apricot	n.mơ
neb	n.mỏ
mitsubishi	n.Mitsubishi
mitchell	n.Mitchell
mitch	n.Mitch
missouri	n.missouri
mississippi	n.mississippi
mississauga	n.Mississauga
miriam	n.Miriam
miranda	n.Miranda
mira	n.Mira
mir	n.Mir
miquelon	n.Miquelon
minolta	n.Minolta
minnie	n.Minnie
minnesota	n.minnesota
minneapolis	n.Minneapolis
vindication	n.minh oan
illustration	n.minh họa@n.hình minh họa
illustrations	n.minh họa@n.hình minh họa
transparency	n.minh bạch
ming	n.Ming
minerva	n.Minerva
mimi	n.Mimi
milwaukee	n.Milwaukee
milton	n.Milton
milligram	n.milligram
miller	n.miller
millisecond	n.mili giây
milfs	n.milfs
milford	n.Milford
milf	n.milf
milan	n.Milan
mike	n.mike
miguel	n.Miguel
mig	n.MIG
patch	n.miếng vá@v.vá
patches	n.miếng vá@n.bản vá@v.vá
caldera	n.miệng núi lửa
crater	n.miệng núi lửa
pads	n.miếng đệm@n.tập
mouths	n.miệng
gob	n.miếng
nuggets	n.miếng
exemption	n.miễn trừ
exemptions	n.miễn trừ
waivers	n.miễn trừ
comp	n.miễn phí@n.comp
immunology	n.miễn dịch học
immunity	n.miễn dịch
midway	n.Midway@ad.giữa đường
midi	n.MIDI@a.midi
middleton	n.Middleton
middlesbrough	n.Middlesbrough
microsoft	n.microsoft
micronesia	n.Micronesia
micron	n.micron
micrometer	n.micromet
microgram	n.microgram
mic	n.micro
microphone	n.micro
microphones	n.micro
mikes	n.micro
mickey	n.Mickey
mick	n.Mick
michigan	n.michigan
michelle	n.Michelle
michelin	n.Michelin
michele	n.Michele
michel	n.Michel
michael	n.michael
mich	n.Mich
micah	n.Micah
miami	n.miami
mia	n.Mia
spaghetti	n.mì Ý
ramen	n.mì ramen
macaroni	n.mì ống
pasta	n.mì ống
noodle	n.mì
noodles	n.mì
mhz	n.MHz
mgr	n.MGR
meyers	n.Meyers
meyer	n.Meyer
mexico	n.mexico
mex	n.MEX
metz	n.Metz
metros	n.metro
metical	n.metical
methylene	n.methylene
methyl	n.methyl
methane	n.mêtan
metallica	n.Metallica
meters	n.mét@n.đồng hồ đo
fatigue	n.mệt mỏi
tiredness	n.mệt mỏi
metre	n.mét
metres	n.mét
mes	n.MES
merseyside	n.Merseyside
merritt	n.Merritt
merrill	n.Merrill
merriam	n.Merriam
merlot	n.Merlot
merlin	n.Merlin
meredith	n.Meredith
merck	n.Merck
mercer	n.Mercer
mercedes	n.Mercedes
tip	n.mẹo@n.tiền boa
wildcats	n.mèo rừng
distortion	n.méo mó
tomcat	n.mèo đực@n.Tomcat
kitten	n.mèo con
kittens	n.mèo con
kitty	n.mèo con
tips	n.mẹo
cat	n.mèo
cats	n.mèo
enamel	n.men@v.tráng men
glaze	n.men@v.tráng men
barm	n.men bia
yeast	n.men
memphis	n.Memphis
meme	n.meme
mem	n.mem@n.bộ nhớ
melvin	n.Melvin
melville	n.Melville
mellon	n.Mellon
melissa	n.Melissa
melinda	n.Melinda
melbourne	n.melbourne
melanie	n.Melanie
mel	n.Mel
megawatt	n.megawatt
megapixel	n.megapixel
megapixels	n.megapixel
megan	n.Megan
megahertz	n.megahertz
meg	n.Meg
medina	n.Medina
medicare	n.Medicare
medicaid	n.Medicaid
mech	n.MECH
mecca	n.Mecca
meade	n.Meade
mum	n.mẹ@a.im lặng
stepmother	n.mẹ kế
enchantment	n.mê hoặc
sorrel	n.me đất
labyrinth	n.mê cung
maze	n.mê cung
mama	n.mẹ
mamma	n.mẹ
mommy	n.mẹ
mother	n.mẹ
mothers	n.mẹ
sesame	n.mè
tamarind	n.me
mcpherson	n.McPherson
mcmahon	n.McMahon
mcleod	n.McLeod
mclean	n.McLean
mclaughlin	n.McLaughlin
mckinney	n.McKinney
mckenzie	n.McKenzie
mckay	n.McKay
mcintosh	n.McIntosh
mcguire	n.McGuire
mcgee	n.McGee
mcdowell	n.McDowell
mcdonald	n.McDonald
mccoy	n.McCoy
mccormick	n.McCormick
mcconnell	n.McConnell
mccartney	n.McCartney
mccarthy	n.McCarthy
mccall	n.McCall
mccain	n.McCain
mcbride	n.McBride
emcee	n.MC
mazda	n.Mazda
mayotte	n.Mayotte
mayo	n.Mayo
maynard	n.Maynard
mayer	n.Mayer
maya	n.Maya
backhoe	n.máy xúc
excavator	n.máy xúc
grinder	n.máy xay@n.máy mài
blender	n.máy xay sinh tố
sewing	n.may vá@v.may
dozer	n.máy ủi
mixers	n.máy trộn@n.người pha chế
mixer	n.máy trộn
scud	n.mây trôi nhanh@v.trôi nhanh
workstation	n.máy trạm
workstations	n.máy trạm
computing	n.máy tính@v.đang tính toán
laptop	n.máy tính xách tay
mainframe	n.máy tính lớn
desktop	n.máy tính để bàn
desktops	n.máy tính để bàn
pc	n.máy tính cá nhân
pcs	n.máy tính cá nhân
palmtop	n.máy tính bỏ túi
calculators	n.máy tính
computer	n.máy tính
computers	n.máy tính
trimmer	n.máy tỉa
humidifier	n.máy tạo ẩm
heater	n.máy sưởi
heaters	n.máy sưởi
drier	n.máy sấy@a.khô hơn
hairdryer	n.máy sấy tóc
dryer	n.máy sấy
dryers	n.máy sấy
graders	n.máy san
vibrator	n.máy rung
vibrators	n.máy rung
dishwasher	n.máy rửa chén
dishwashers	n.máy rửa bát
scanner	n.máy quét@n.máy scan
scanners	n.máy quét
camcorder	n.máy quay
camcorders	n.máy quay
nebulizer	n.máy phun sương
copier	n.máy photocopy
copiers	n.máy photocopy
photocopier	n.máy photocopy
enlarger	n.máy phóng đại
generator	n.máy phát điện@n.bộ tạo
generators	n.máy phát điện
magneto	n.máy phát điện
transmitter	n.máy phát
dispenser	n.máy phân phối
dispensers	n.máy phân phối
toaster	n.máy nướng bánh
beeper	n.máy nhắn tin
pager	n.máy nhắn tin
crusher	n.máy nghiền
walkman	n.máy nghe nhạc
breaker	n.máy ngắt@n.người phá vỡ
supercharger	n.máy nén khí
compactor	n.máy nén
compressor	n.máy nén
compressors	n.máy nén
machine	n.máy móc
machinery	n.máy móc
machines	n.máy móc
luck	n.may mắn
grinders	n.máy mài
purifier	n.máy lọc
purifiers	n.máy lọc
defibrillator	n.máy khử rung tim
drill	n.máy khoan@v.khoan@n.bài tập
drills	n.máy khoan@v.khoan
driller	n.máy khoan
tractor	n.máy kéo
tractors	n.máy kéo
printer	n.máy in
printers	n.máy in
shredder	n.máy hủy tài liệu
vac	n.máy hút bụi
vacuums	n.máy hút bụi
extractor	n.máy hút
jukebox	n.máy hát tự động
gramophone	n.máy hát
phonograph	n.máy hát
washers	n.máy giặt@n.vòng đệm
washer	n.máy giặt
recorder	n.máy ghi âm@n.máy ghi
dictaphone	n.máy ghi âm
recorders	n.máy ghi âm
presses	n.máy ép@v.ép
laminator	n.máy ép plastic
straightener	n.máy duỗi
nailer	n.máy đóng đinh
detector	n.máy dò@n.thiết bị phát hiện
rangefinder	n.máy đo khoảng cách
accelerometer	n.máy đo gia tốc
detectors	n.máy dò
typewriter	n.máy đánh chữ
polisher	n.máy đánh bóng
jigsaw	n.máy cưa@n.trò chơi ghép hình
host	n.máy chủ@v.tổ chức
server	n.máy chủ
servers	n.máy chủ
projector	n.máy chiếu
projectors	n.máy chiếu
guillotine	n.máy chém
treadmill	n.máy chạy bộ@n.công việc đơn điệu
sander	n.máy chà nhám
lawnmower	n.máy cắt cỏ
mower	n.máy cắt cỏ
shaver	n.máy cạo râu
transformer	n.máy biến áp
transformers	n.máy biến áp
jet	n.máy bay phản lực
jets	n.máy bay phản lực
bomber	n.máy bay ném bom@n.người đánh bom
bombers	n.máy bay ném bom
evaporator	n.máy bay hơi
airliner	n.máy bay chở khách
fighter	n.máy bay chiến đấu@n.võ sĩ
aircraft	n.máy bay
plane	n.máy bay
planes	n.máy bay
trebuchet	n.máy bắn đá
atm	n.máy ATM
digicam	n.máy ảnh số
camera	n.máy ảnh
cameras	n.máy ảnh
clouds	n.mây
wicker	n.mây
maxwell	n.Maxwell
mavericks	n.Mavericks
mauritius	n.Mauritius
mauritania	n.Mauritania
maurice	n.Maurice
maureen	n.Maureen
maui	n.Maui
sample	n.mẫu@v.lấy mẫu
bice	n.màu xanh lam
specimen	n.mẫu vật
specimens	n.mẫu vật
chartreuse	n.màu vàng lục
whiteness	n.màu trắng
contradiction	n.mâu thuẫn
vermilion	n.màu son@a.đỏ son
technicolor	n.màu sắc rực rỡ
coloration	n.màu sắc
colour	n.màu sắc
colours	n.màu sắc
hue	n.màu sắc
pastel	n.màu pastel@a.màu pastel
umber	n.màu nâu đất
gore	n.máu me@n.Gore
ecru	n.màu kem
preschool	n.mẫu giáo@a.mẫu giáo
reds	n.màu đỏ
boilerplate	n.mẫu chuẩn
gouache	n.màu bột
acre	n.mẫu Anh
acres	n.mẫu Anh
pattern	n.mẫu
patterns	n.mẫu
sampler	n.mẫu
samples	n.mẫu
template	n.mẫu
templates	n.mẫu
blood	n.máu
matthias	n.Matthias
matthews	n.Matthews
matthew	n.matthew
mattel	n.Mattel
matt	n.matt
mathews	n.Mathews
mater	n.Mater
face	n.mặt@v.đối mặt
faceplate	n.mặt trước
obverse	n.mặt trước
sun	n.mặt trời
suns	n.mặt trời
upside	n.mặt trên@a.hướng lên
moon	n.mặt trăng
fronts	n.mặt trận
downside	n.mặt tiêu cực
storefront	n.mặt tiền cửa hàng
eschatology	n.mạt thế luận
backside	n.mặt sau
honey	n.mật ong@n.em yêu
waterfront	n.mặt nước
aphasia	n.mất ngôn ngữ
masks	n.mặt nạ@v.che giấu
mask	n.mặt nạ@v.che đậy
loss	n.mất mát
cryptography	n.mật mã học
cypher	n.mật mã
password	n.mật khẩu
passwords	n.mật khẩu
insolvency	n.mất khả năng thanh toán
item	n.mặt hàng@n.món đồ
items	n.mặt hàng@n.món đồ
veneer	n.mặt gỗ dán
honeydew	n.mật dưa
densities	n.mật độ
density	n.mật độ
ataxia	n.mất điều hòa
outage	n.mất điện
pendant	n.mặt dây chuyền
pendants	n.mặt dây chuyền
grounds	n.mặt đất@n.căn cứ@n.lý do
ground	n.mặt đất
smiley	n.mặt cười@a.cười
imbalance	n.mất cân bằng
ankle	n.mắt cá chân
beachfront	n.mặt biển
oceanfront	n.mặt biển
flange	n.mặt bích
broadside	n.mặt bên tàu
tabletop	n.mặt bàn
bile	n.mật
gall	n.mật
eye	n.mắt
eyes	n.mắt
mastercard	n.Mastercard
massey	n.Massey
massage	n.massage@v.massage
massachusetts	n.massachusetts
maserati	n.Maserati
maryland	n.maryland
mary	n.mary
marx	n.Marx
marvin	n.Marvin
marty	n.Marty
martins	n.Martins
martinique	n.Martinique
martini	n.martini
martinez	n.Martinez
martina	n.Martina
martin	n.martin
martha	n.Martha
marshall	n.marshall
marriott	n.Marriott
marquette	n.Marquette
marlins	n.Marlins
marley	n.Marley
marlborough	n.Marlborough
marlboro	n.Marlboro
markov	n.Markov
markka	n.markka
markham	n.Markham
marjorie	n.Marjorie
marion	n.Marion
mario	n.Mario
marin	n.Marin
marilyn	n.Marilyn
marietta	n.Marietta
marie	n.Marie
marianne	n.Marianne
mariana	n.Mariana
marian	n.Marian
maria	n.Maria
margarita	n.Margarita
margaret	n.Margaret
marcus	n.Marcus
marcos	n.Marcos
marco	n.Marco
marcia	n.Marcia
marcel	n.Marcel
marcasite	n.marcasite
marc	n.Marc
marathon	n.marathon
mara	n.Mara
mao	n.Mao
manuel	n.Manuel
manson	n.Manson
mansfield	n.Mansfield
mannose	n.mannose
manning	n.Manning
mann	n.Mann
manitoba	n.Manitoba
manila	n.Manila
manhattan	n.Manhattan
fragment	n.mảnh@v.chia nhỏ
fragments	n.mảnh@v.chia nhỏ
piece	n.mảnh@n.tác phẩm
detritus	n.mảnh vụn
scraps	n.mảnh vụn
splinter	n.mảnh vụn
debris	n.mảnh vỡ
shard	n.mảnh vỡ
clue	n.manh mối
clues	n.manh mối
artifice	n.mánh khóe
plots	n.mảnh đất@n.âm mưu@v.âm mưu
shrapnel	n.mảnh đạn
clippings	n.mảnh cắt
pieces	n.mảnh
sliver	n.mảnh
manganese	n.mangan
manga	n.manga
arrays	n.mảng@v.sắp xếp
network	n.mạng@v.kết nối
networking	n.mạng@v.đang kết nối mạng
webs	n.mạng@n.màng
gill	n.mang@n.Gill
net	n.mạng@a.ròng
gutter	n.máng xối
takeout	n.mang về
lattice	n.mạng tinh thể
asparagus	n.măng tây
cuff	n.măng séc@v.còng tay
intranet	n.mạng nội bộ
mangosteen	n.măng cụt
veil	n.mạng che
plaque	n.mảng bám@n.biển
plaques	n.mảng bám@n.bảng
feeder	n.máng ăn@n.người nuôi
feeders	n.máng ăn
networks	n.mạng
array	n.mảng
membrane	n.màng
membranes	n.màng
trough	n.máng
mandy	n.Mandy
mandala	n.mandala
mana	n.mana
performances	n.màn trình diễn@n.hiệu suất
menopause	n.mãn kinh
prune	n.mận khô@v.tỉa cành
screens	n.màn hình@v.sàng lọc
monitor	n.màn hình@v.giám sát
monitors	n.màn hình@v.giám sát
screensaver	n.màn hình chờ
screensavers	n.màn hình chờ
screen	n.màn hình
plum	n.mận
mambo	n.mambo
pathogens	n.mầm bệnh
malvinas	n.Malvinas
malvern	n.Malvern
malta	n.Malta
malone	n.Malone
mallorca	n.Mallorca
malibu	n.Malibu
mali	n.Mali
maldives	n.Maldives
malcolm	n.Malcolm
malaysia	n.malaysia
malawi	n.Malawi
malaga	n.Malaga
malachite	n.malachite
majordomo	n.Majordomo
maj	n.MAJ
maine	n.maine
roof	n.mái@n.mái nhà
dome	n.mái vòm
burial	n.mai táng
roofs	n.mái nhà
matchmaking	n.mai mối
dormer	n.mái hiên
prostitution	n.mại dâm
paddle	n.mái chèo@v.chèo
mai	n.Mai
maharashtra	n.Maharashtra
magyar	n.Magyar
magnesium	n.magiê
maggie	n.Maggie
magellan	n.Magellan
mafia	n.mafia@n.băng đảng
mae	n.Mae
madrid	n.Madrid
madonna	n.Madonna
madison	n.Madison
madeleine	n.Madeleine
madeira	n.Madeira
madagascar	n.Madagascar
macy	n.Macy
macro	n.macro@a.vĩ mô
macros	n.macro
macon	n.Macon
macmillan	n.Macmillan
mackenzie	n.Mackenzie
mack	n.Mack
macintosh	n.Macintosh
mach	n.Mach@n.số mach
geyser	n.mạch nước phun
malt	n.mạch nha
coherence	n.mạch lạc
circuitry	n.mạch điện
circuits	n.mạch điện
circuit	n.mạch
pulse	n.mạch
macedonia	n.Macedonia
macdonald	n.MacDonald
macbeth	n.Macbeth
macau	n.Macau
macarthur	n.MacArthur
macao	n.Macao
default	n.mặc định@v.vỡ nợ
defaults	n.mặc định@v.vỡ nợ
macs	n.Mac
mac	n.mac
code	n.mã@v.viết mã
spook	n.ma@v.làm sợ
ghost	n.ma@n.hồn ma
phantom	n.ma@a.ảo
meth	n.ma túy đá
dope	n.ma túy
narcotics	n.ma túy
matrices	n.ma trận
matrix	n.ma trận
magic	n.ma thuật@a.ma thuật
tokens	n.mã thông báo@n.biểu tượng
friction	n.ma sát
devil	n.ma quỷ@n.quỷ
ghoul	n.ma quỷ
carnelian	n.mã não đỏ
onyx	n.mã não
horsepower	n.mã lực
encoding	n.mã hóa@v.mã hóa
encryption	n.mã hóa@n.sự mã hóa
pimp	n.ma cô@v.làm ma cô
vampire	n.ma cà rồng
vampires	n.ma cà rồng
zip	n.mã bưu điện@v.kéo khóa
postcode	n.mã bưu điện
poltergeist	n.ma ầm ĩ
plating	n.mạ
codes	n.mã
cheek	n.má
cheeks	n.má
ghosts	n.ma
lyons	n.Lyons
lyon	n.Lyon
lynne	n.Lynne
lynn	n.Lynn
