the	art.—
unbroken	a.অক্ষত@a.অবিচ্ছিন্ন
superheroes	n+m.সুপারহিরো@n+m.মহানায়ক
sages	n+m.ঋষি@n+m.জ্ঞানী ব্যক্তি
tropic	n+m.ক্রান্তি রেখা@a.গ্রীষ্মমণ্ডলীয়
capella	n+f.ক্যাপেলা@n+f.একটি তারা
marg	n+f.মার্গ@n+m.মার্জারিন
leftovers	n+m.উদ্বৃত্ত খাবার@n+m.অবশিষ্টাংশ
mariano	n+m.মারিয়ানো
condemning	v.নিন্দা করছে@v.দোষারোপ করছে
guestrooms	n+m.অতিথি কক্ষ
urethane	n+m.ইউরেথেন@n+m.একধরনের রাসায়নিক
paphos	n+m.পাফোস
entourage	n+m.সহচরবৃন্দ@n+f.পরিচারকবর্গ
sprinklers	n+m.স্প্রিংকলার@n+m.জল ছিটানোর যন্ত্র
iota	n+m.সামান্য পরিমাণ@n+m.আইওটা
yvette	n+f.ইভেট
realist	n+m.বাস্তববাদী@a.বাস্তবধর্মী
geochemistry	n+f.ভূরসায়ন
reflectivity	n+f.প্রতিফলনশীলতা
moog	n+m.মুগ@n+m.সিন্থেসাইজার ব্র্যান্ড
suppressing	v.দমন করছে@v.চাপা দিচ্ছে
scorn	n+m.অবজ্ঞা@vt.তুচ্ছ করা
crusades	n+f.ক্রুসেড@n+f.ধর্মযুদ্ধ
whirl	vi.ঘূর্ণি খাওয়া@n+m.ঘূর্ণন
apprenticeships	n+f.শিক্ষানবিশি@n+m.শিক্ষানবিশকাল
pervert	n+m.বিকৃতকামী@vt.বিকৃত করা
asymptomatic	a.উপসর্গহীন@a.লক্ষণবিহীন
retails	v.খুচরা বিক্রি করে@n+m.খুচরা বিক্রয়
defences	n+f.প্রতিরক্ষা@n+m.আত্মপক্ষ সমর্থন
humiliating	a.অপমানজনক@v.অপমানিত করছে
circled	v.বৃত্তাকারে ঘুরল@v.বেষ্টন করল
withers	n+m.ঘোড়ার কাঁধ@v.শুকিয়ে যায়
sprout	vi.অঙ্কুরিত হওয়া@n+m.অঙ্কুর
elicited	v.বের করল@v.উদ্ঘাটিত করল
swirling	v.ঘূর্ণায়মান@a.আবর্তিত
gandalf	n+m.গ্যান্ডালফ
minot	n+m.মাইনট
campos	n+m.কাম্পোস
evidentiary	a.প্রমাণসংক্রান্ত@a.সাক্ষ্যমূলক
clinging	v.আঁকড়ে ধরছে@a.লেগে থাকা
bunches	n+m.গুচ্ছ@n+m.থোকা
bagged	v.ব্যাগে ভরল@a.থলিবদ্ধ
synthesize	vt.সংশ্লেষণ করা@vt.কৃত্রিমভাবে তৈরি করা
localisation	n+f.স্থানীয়করণ
negotiators	n+m.আলোচক@n+m.মধ্যস্থতাকারী
deviate	vi.বিচ্যুত হওয়া@vi.সরে যাওয়া
laparoscopic	a.ল্যাপারোস্কোপিক@a.দূরবীক্ষণ শল্যচিকিৎসা সম্পর্কিত
overridden	v.বাতিল করা হয়েছে@v.উপেক্ষা করা হয়েছে
blackened	a.কালো হয়ে যাওয়া@v.কালো করল
hinds	n+f.হরিণী@n+m.পেছনের অংশ
whereupon	conj.তারপর@conj.যার উপর
racially	ad.জাতিগতভাবে@ad.বর্ণগতভাবে
stinky	a.দুর্গন্ধযুক্ত@a.বাজে গন্ধওয়ালা
expertly	ad.দক্ষতার সাথে@ad.পটুভাবে
muriel	n+f.মিউরিয়েল
hostilities	n+f.শত্রুতা@n+f.যুদ্ধাবস্থা
atelier	n+m.অ্যাটেলিয়ে@n+m.শিল্পীর কর্মশালা
colloidal	a.কলয়েডীয়@a.আঠালো
guarantor	n+m.জামিনদার@n+m.গ্যারান্টর
imperialist	n+m.সাম্রাজ্যবাদী@a.সাম্রাজ্যবাদী
veneers	n+m.ব্যহ্যাবরণ@n+m.ভেনিয়ার
reaffirmed	v.পুনরায় নিশ্চিত করল@v.আবার দৃঢ় করল
zambezi	n+m.জাম্বেজি
tibia	n+f.টিবিয়া@n+f.পায়ের বড় হাড়
raquel	n+f.রাকেল
penned	v.লিখল@v.কলমে লিখল
kiddie	n+m.ছোট বাচ্চা@a.বাচ্চাদের জন্য
conte	n+m.কন্তে
sundries	n+m.বিবিধ জিনিস@n+m.খুচরা সামগ্রী
horatio	n+m.হোরেশিও
cheered	v.উল্লাস করল@v.উৎসাহিত করল
linebacker	n+m.লাইনব্যাকার@n+m.ফুটবল খেলোয়াড়
danzig	n+m.ড্যানজিগ
beanies	n+m.বিনি টুপি
irreducible	a.অপরিবর্তনীয়@a.যা কমানো যায় না
bled	v.রক্তক্ষরণ হল@v.রক্ত ঝরল
verifier	n+m.যাচাইকারী@n+m.ভেরিফায়ার
throbbing	a.স্পন্দিত@v.ধুকধুক করছে
sleepers	n+m.ঘুমন্ত ব্যক্তি@n+m.রেলের স্লিপার
eurasian	a.ইউরেশীয়@n+m.ইউরেশীয় ব্যক্তি
galbraith	n+m.গলব্রেথ
sallie	n+f.স্যালি
solace	n+m.সান্ত্বনা@n+f.শান্তি
pesky	a.বিরক্তিকর@a.জ্বালাতনকারী
underwire	n+m.আন্ডারওয়্যার@n+m.তারের ফ্রেম
lucien	n+m.লুসিয়েন
havre	n+m.হাভ্রে
moles	n+m.তিল@n+m.ছুঁচো
salvia	n+f.সালভিয়া@n+f.একধরনের ফুল
unloaded	v.মালামাল নামাল@a.খালি করা
projectile	n+m.প্রক্ষেপণাস্ত্র@n+m.ছোড়া বস্তু
alana	n+f.আলানা
transplanted	v.প্রতিস্থাপন করল@a.প্রতিস্থাপিত
bandages	n+m.ব্যান্ডেজ@n+f.পট্টি
duma	n+f.ডুমা@n+f.রাশিয়ান সংসদ
handcuffs	n+m.হাতকড়া
scripted	a.লিখিত@v.স্ক্রিপ্ট করল
beacons	n+m.বাতিঘর@n+m.সংকেতবাতি
mutagenesis	n+f.মিউটাজেনেসিস@n+f.পরিব্যক্তি সৃষ্টি
stucco	n+m.স্টাকো@n+m.প্লাস্টার
posada	n+f.পোসাদা
vocalists	n+m.কণ্ঠশিল্পী@n+m.গায়ক
intrinsically	ad.সহজাতভাবে@ad.অন্তর্নিহিতভাবে
geiger	n+m.গাইগার
obits	n+m.মৃত্যু বিজ্ঞপ্তি@n+m.শোকসংবাদ
jekyll	n+m.জেকিল
impervious	a.অভেদ্য@a.প্রভাবিত হয় না এমন
andaman	n+m.আন্দামান
spoofing	n+m.স্পুফিং@v.প্রতারণা করছে
rockhampton	n+m.রকহ্যাম্পটন
reauthorization	n+f.পুনরায় অনুমোদন
poolside	n+m.পুলসাইড@n+m.সুইমিং পুলের পাশে
shams	n+m.ছলনা@n+f.ভানকারী
shawls	n+m.শাল
xiamen	n+m.জিয়ামেন
flourishing	a.সমৃদ্ধ@v.উন্নতি করছে
precedes	v.আগে আসে@v.পূর্ববর্তী হয়
pita	n+m.পিটা রুটি
bruises	n+f.কালশিটে@v.থেঁতলে দেয়
instructs	v.নির্দেশ দেয়@v.শেখায়
palatine	a.প্যালাটাইন@n+m.তালু সংক্রান্ত
motorist	n+m.গাড়িচালক@n+m.মোটরচালক
peritoneal	a.পেরিটোনিয়াল@a.উদরাবরণ সংক্রান্ত
freebie	n+m.বিনামূল্যের জিনিস@n+f.ফ্রি উপহার
harare	n+m.হারারে
carnation	n+f.কার্নেশন@n+f.একধরনের ফুল
publicize	vt.প্রচার করা@vt.জনসমক্ষে আনা
kangaroos	n+m.ক্যাঙ্গারু
bulimia	n+f.বুলিমিয়া@n+f.অতিভোজন রোগ
intros	n+m.ভূমিকা@n+f.পরিচিতি
ladybug	n+f.লেডিবাগ@n+m.গুবরেপোকা
analyser	n+m.বিশ্লেষক@n+m.অ্যানালাইজার
armando	n+m.আর্মান্দো
slum	n+m.বস্তি@n+f.ঘিঞ্জি এলাকা
ruffle	vt.কুঁচকানো@n+m.ঝালর@vt.বিরক্ত করা
algorithmic	a.অ্যালগরিদমিক@a.গণনা পদ্ধতি সংক্রান্ত
rectifier	n+m.রেক্টিফায়ার@n+m.সংশোধক
banknotes	n+m.ব্যাংকনোট@n+f.কাগজের টাকা
bassoon	n+m.বেসুন@n+m.একধরনের বাদ্যযন্ত্র
knack	n+m.দক্ষতা@n+f.কৌশল
rivet	n+m.রিভেট@n+m.পেরেক@vt.দৃষ্টি আকর্ষণ করা
aragon	n+m.আরাগন
scrapbooks	n+m.স্ক্র্যাপবুক@n+m.স্মৃতির বই
hydropower	n+m.জলবিদ্যুৎ
aggie	n+f.অ্যাগি
sonya	n+f.সোনিয়া
clearances	n+f.ছাড়পত্র@n+m.অনুমতি
denominational	a.সম্প্রদায়গত@a.মতবাদভিত্তিক
grunt	n+m.গোঁ গোঁ শব্দ@vi.গোঁ গোঁ করা
dominguez	n+m.ডমিংগেজ
talmud	n+m.তালমুদ@n+m.ইহুদি ধর্মগ্রন্থ
spreader	n+m.বিস্তারক@n+m.ছড়ানোর যন্ত্র
grammars	n+f.ব্যাকরণ@n+m.ব্যাকরণ বই
otolaryngology	n+f.অটোল্যারিঙ্গোলজি@n+f.কান নাক গলা বিদ্যা
overalls	n+m.ওভারঅল@n+m.কাজের পোশাক
snowmobiles	n+m.স্নোমোবাইল@n+m.তুষার গাড়ি
doubted	v.সন্দেহ করল@v.অবিশ্বাস করল
ravaged	v.ধ্বংস করল@a.বিধ্বস্ত
lagrangian	a.ল্যাগরেঞ্জীয়@n+m.ল্যাগরেঞ্জিয়ান
dubrovnik	n+m.দুব্রোভনিক
whistling	v.শিস বাজাচ্ছে@n+m.শিস
upholding	v.সমর্থন করছে@v.বহাল রাখছে
ailing	a.অসুস্থ@a.পীড়িত
obeyed	v.মান্য করল@v.আদেশ পালন করল
eases	v.সহজ করে@v.উপশম করে
tattooed	a.উল্কি আঁকা@v.উল্কি করল
ghostly	a.ভৌতিক@a.প্রেতের মতো
hippocampus	n+m.হিপোক্যাম্পাস@n+m.মস্তিষ্কের অংশ
crim	n+m.অপরাধ@n+m.অপরাধী
repeaters	n+m.রিপিটার@n+m.পুনরাবৃত্তিকারী
mutiny	n+m.বিদ্রোহ@vi.বিদ্রোহ করা
delusions	n+f.বিভ্রান্তি@n+f.মায়া
foresee	vt.পূর্বাভাস দেওয়া@vt.আগে থেকে জানা
rations	n+m.রেশন@n+f.খাদ্য বরাদ্দ
bitterly	ad.তিক্তভাবে@ad.তীব্রভাবে
reimbursements	n+m.প্রতিদান@n+f.ব্যয় পরিশোধ
windmills	n+m.বায়ুকল@n+f.উইন্ডমিল
perpetrator	n+m.অপরাধী@n+m.দোষী ব্যক্তি
actionable	a.কার্যকর@a.মামলাযোগ্য
cornea	n+f.কর্নিয়া@n+f.চোখের স্বচ্ছ পর্দা
overfull	a.উপচে পড়া@a.অতিপূর্ণ
cleverly	ad.চতুরতার সাথে@ad.বুদ্ধিমত্তার সাথে
minibar	n+m.মিনিবার@n+m.ছোট বার
kitchenette	n+f.ছোট রান্নাঘর@n+f.কিচেনেট
misunderstandings	n+f.ভুল বোঝাবুঝি@n+m.অপব্যাখ্যা
liberian	a.লাইবেরীয়@n+m.লাইবেরিয়ার অধিবাসী
repairers	n+m.মেরামতকারী@n+m.সারাইকারী
counsellors	n+m.পরামর্শদাতা@n+m.কাউন্সেলর
numerology	n+f.সংখ্যাতত্ত্ব@n+f.অঙ্কশাস্ত্র
amis	n+m.আমিস
normalize	vt.স্বাভাবিক করা@vt.নরমালাইজ করা
sisterhood	n+f.ভগিনীত্ব@n+f.সিস্টারহুড
lightening	n+m.হালকা করা@v.হালকা হচ্ছে
buffs	n+m.ভক্ত@n+m.উৎসাহী ব্যক্তি
tamoxifen	n+m.ট্যামোক্সিফেন@n+m.ক্যান্সার ওষুধ
overturn	vt.উল্টে দেওয়া@vt.বাতিল করা
phenotypes	n+m.ফেনোটাইপ@n+m.বাহ্যিক বৈশিষ্ট্য
doit	n+m.ডয়েট@n+m.ক্ষুদ্র মুদ্রা
kinross	n+m.কিনরস
thoughtfully	ad.চিন্তাশীলভাবে@ad.বিবেচনাপূর্বক
triplet	n+m.ত্রয়ী@n+m.তিন সন্তানের একজন
rencontre	n+m.অপ্রত্যাশিত সাক্ষাৎ@n+f.মুখোমুখি
sonics	n+m.সনিক্স@n+f.শব্দবিজ্ঞান
risking	v.ঝুঁকি নিচ্ছে@v.বিপদে ফেলছে
lotta	n+f.লোটা@ad.অনেক
proprietors	n+m.মালিক@n+m.স্বত্বাধিকারী
archaeologists	n+m.প্রত্নতত্ত্ববিদ
tatiana	n+f.তাতিয়ানা
ingress	n+m.প্রবেশ@n+m.অভিগমন
tentacle	n+m.শুঁড়@n+m.স্পর্শক
gros	a.গ্রস@n+m.বড়
barbers	n+m.নাপিত@n+m.হজ্জাম
salespeople	n+m.বিক্রয়কর্মী
motility	n+f.গতিশীলতা@n+f.সঞ্চালনক্ষমতা
retires	v.অবসর নেয়@v.পিছিয়ে যায়
dengue	n+m.ডেঙ্গু@n+f.ডেঙ্গু জ্বর
duro	n+m.ডুরো
gaiman	n+m.গেইম্যান
commotion	n+m.হট্টগোল@n+f.তোলপাড়
incineration	n+f.দহন@n+f.পুড়িয়ে ফেলা
shanks	n+m.পায়ের নিচের অংশ@n+f.হাঁটু থেকে পা
organza	n+f.অরগ্যাঞ্জা@n+f.পাতলা কাপড়
deduce	vt.অনুমান করা@vt.সিদ্ধান্তে আসা
centralised	a.কেন্দ্রীভূত@v.কেন্দ্রীয়করণ করা
unbreakable	a.অবিনাশ্য@a.ভাঙা যায় না এমন
supersized	a.অতিবৃহৎ@a.সুপারসাইজড
depictions	n+f.চিত্রণ@n+m.বর্ণনা
bolted	v.ছিটকিনি লাগাল@v.দ্রুত পালাল
materialism	n+m.বস্তুবাদ@n+m.জড়বাদ
eternally	ad.চিরকাল@ad.অনন্তকাল ধরে
senseless	a.অর্থহীন@a.অজ্ঞান
rabid	a.উন্মত্ত@a.জলাতঙ্কগ্রস্ত
reassure	vt.আশ্বস্ত করা@vt.সান্ত্বনা দেওয়া
recollections	n+f.স্মৃতি@n+m.স্মরণ
probed	v.অনুসন্ধান করল@v.খোঁজ করল
separators	n+m.বিভাজক@n+m.সেপারেটর
resetting	v.পুনরায় সেট করছে@n+m.রিসেটিং
funnies	n+m.কমিক স্ট্রিপ@n+m.হাস্যকর বিষয়
cumin	n+m.জিরা@n+m.জিরে
pox	n+m.বসন্ত রোগ@n+f.গুটিবসন্ত
keystrokes	n+m.কীস্ট্রোক@n+m.কি চাপা
hamlets	n+m.ছোট গ্রাম@n+m.পাড়া
setters	n+m.সেটার কুকুর@n+m.স্থাপনকারী
inertial	a.জড়তামূলক@a.নিষ্ক্রিয়তা সম্পর্কিত
unwritten	a.অলিখিত@a.লেখা হয়নি এমন
payee	n+m.প্রাপক@n+m.পে-ই
cinematographer	n+m.চলচ্চিত্রগ্রাহক@n+m.সিনেমাটোগ্রাফার
ventilator	n+m.ভেন্টিলেটর@n+m.বায়ুচালক
jammed	a.আটকে যাওয়া@v.ঠেসে ভরল
micrograms	n+m.মাইক্রোগ্রাম
moveable	a.স্থানান্তরযোগ্য@a.চলমান
housekeeper	n+m.গৃহপরিচারক@n+f.গৃহপরিচারিকা
cymbal	n+m.সিম্বাল@n+m.করতাল
convective	a.পরিচলনমূলক@a.কনভেকটিভ
agrarian	a.কৃষিভিত্তিক@a.ভূমি সম্পর্কিত
nosed	a.নাকওয়ালা@v.নাক দিয়ে খুঁজল
shogun	n+m.শোগুন@n+m.জাপানি সেনাপতি
rescheduled	v.পুনর্নির্ধারণ করল@a.সময়সূচি পরিবর্তিত
bala	n+m.বালা
sidestep	vt.এড়িয়ে যাওয়া@n+m.পাশে সরে যাওয়া
preemption	n+f.অগ্রক্রয়@n+f.প্রিএম্পশন
microbiological	a.অণুজীববিজ্ঞান সম্পর্কিত
corticosteroids	n+m.কর্টিকোস্টেরয়েড
lovable	a.প্রেমযোগ্য@a.ভালোবাসার যোগ্য
stockholder	n+m.শেয়ারধারী@n+m.স্টকহোল্ডার
quanta	n+m.কোয়ান্টা@n+m.শক্তির একক
synapse	n+m.সিন্যাপস@n+f.স্নায়ুসন্ধি
airplay	n+m.এয়ারপ্লে@n+m.রেডিও প্রচার
sawmill	n+m.করাতকল@n+f.কাঠের মিল
abram	n+m.আব্রাম
catharine	n+f.ক্যাথারিন
uppers	n+m.জুতার উপরিভাগ@n+m.উত্তেজক ওষুধ
sib	n+m.ভাইবোন@n+m.সহোদর
pitman	n+m.খনি শ্রমিক@n+m.পিটম্যান
consented	v.সম্মতি দিল@v.রাজি হল
perseus	n+m.পার্সিয়াস
leathers	n+m.চামড়া@n+m.চামড়ার জিনিস
styx	n+m.স্টিক্স@n+m.পাতালের নদী
embossing	n+m.এম্বসিং@v.উত্তোলিত করছে
redirects	v.পুনর্নির্দেশ করে@n+m.রিডাইরেক্ট
congested	a.জমাট@a.ভিড়যুক্ত
banished	v.নির্বাসিত করল@a.বিতাড়িত
fuzz	n+m.তুলতুলে আবরণ@n+f.পশম
roscommon	n+m.রসকমন
izmir	n+m.ইজমির
meticulous	a.সূক্ষ্মদর্শী@a.অতি সতর্ক
terraced	a.সিঁড়ির মতো@a.ধাপকাটা
multiplexer	n+m.মাল্টিপ্লেক্সার
menorca	n+f.মেনোর্কা
buttermilk	n+m.ঘোল@n+m.মাখন তোলা দুধ
laces	n+m.জুতার ফিতা@n+f.লেস
dendritic	a.শাখাযুক্ত@a.ডেনড্রিটিক
toil	vi.কঠোর পরিশ্রম করা@n+m.কঠোর পরিশ্রম
operands	n+m.অপারেন্ড@n+m.গণনার উপাদান
hugged	v.জড়িয়ে ধরল@v.আলিঙ্গন করল
conceptually	ad.ধারণাগতভাবে@ad.তাত্ত্বিকভাবে
flurry	n+f.ঝাপটা@n+m.হঠাৎ ব্যস্ততা
gower	n+m.গাওয়ার
crichton	n+m.ক্রিকটন
warmest	a.সবচেয়ে উষ্ণ@a.সবচেয়ে আন্তরিক
hardwoods	n+m.শক্ত কাঠ@n+m.দৃঢ় কাঠ
capping	v.ঢাকনা লাগাচ্ছে@n+m.সীমাবদ্ধকরণ
parisian	a.প্যারিসীয়@n+m.প্যারিসের বাসিন্দা
humanism	n+m.মানবতাবাদ@n+m.হিউম্যানিজম
hipster	n+m.হিপস্টার@n+m.আধুনিক যুবক
horrified	a.আতঙ্কিত@v.আতঙ্কে পড়ল
annualized	a.বার্ষিকীকৃত@v.বার্ষিক হারে গণনা করা
walpole	n+m.ওয়ালপোল
basildon	n+m.ব্যাসিলডন
testis	n+m.শুক্রাশয়@n+m.অণ্ডকোষ
unusable	a.ব্যবহারের অযোগ্য@a.অকেজো
bertram	n+m.বার্ট্রাম
perturbations	n+f.বিক্ষোভ@n+m.বিঘ্ন
approximated	v.আনুমানিক করল@a.প্রায় কাছাকাছি
adversaries	n+m.প্রতিপক্ষ@n+m.শত্রু
consulates	n+m.বাণিজ্য দূতাবাস
versioning	n+m.সংস্করণ করা@n+m.ভার্সনিং
aunts	n+f.খালা@n+f.মাসি@n+f.পিসি
breakdowns	n+m.ভাঙ্গন@n+f.বিশ্লেষণ
skylight	n+m.আকাশবাতি@n+f.ছাদের জানালা
periodontal	a.মাড়ি সম্পর্কিত@a.দন্তমূল সংক্রান্ত
uncredited	a.অস্বীকৃত@a.কৃতিত্বহীন
gemma	n+f.জেমা
rupiah	n+m.রুপিয়াহ@n+f.ইন্দোনেশীয় মুদ্রা
bullish	a.তেজি@a.আশাবাদী
constantinople	n+m.কনস্ট্যান্টিনোপল
hippy	n+m.হিপি@a.নিতম্ববান
northerner	n+m.উত্তরের অধিবাসী
mackintosh	n+m.ম্যাকিন্টোশ@n+m.জলরোধী কোট
fabricators	n+m.নির্মাতা@n+m.জাল রচনাকারী
mutated	v.রূপান্তরিত হল@a.পরিব্যক্ত
moonstone	n+m.চন্দ্রকান্তমণি
scilly	n+m.সিলি
monarchs	n+m.রাজা@n+m.সম্রাট
strep	n+m.স্ট্রেপ@n+m.স্ট্রেপ্টোককাস
tampere	n+m.তাম্পেরে
unsolved	a.অমীমাংসিত@a.সমাধানহীন
strenuous	a.কঠোর@a.শ্রমসাধ্য
roost	n+m.পাখির বাসা@vi.বিশ্রাম নেওয়া
unreasonably	ad.অযৌক্তিকভাবে@ad.অন্যায়ভাবে
synergies	n+f.সমন্বয়@n+f.সিনার্জি
shuffling	v.পা টেনে হাঁটছে@n+m.তাস মেশানো
fundamentalists	n+m.মৌলবাদী
ludicrous	a.হাস্যকর@a.উদ্ভট
amyloid	n+m.অ্যামাইলয়েড@a.শ্বেতসার সদৃশ
understandably	ad.বোধগম্যভাবে@ad.স্বাভাবিকভাবেই
icarus	n+m.ইকারাস
tenets	n+m.মূলনীতি@n+m.মতবাদ
albanians	n+m.আলবেনীয়
goff	n+m.গফ
pius	n+m.পায়াস
garb	n+m.পোশাক@n+f.বেশভূষা
steadfast	a.অবিচল@a.দৃঢ়
reckoned	v.গণনা করল@v.মনে করল
promissory	a.প্রতিশ্রুতিমূলক@a.অঙ্গীকারপত্র সংক্রান্ত
overflows	v.উপচে পড়ে@n+m.অতিপ্রবাহ
mitts	n+m.মিট@n+m.দস্তানা
nappy	n+m.ন্যাপি@n+f.ডায়াপার@a.কোঁকড়ানো
khalid	n+m.খালিদ
fuchsia	n+f.ফুশিয়া@n+m.গাঢ় গোলাপি রং
muscat	n+m.মাস্কাট
queried	v.প্রশ্ন করল@v.জিজ্ঞাসা করল
kmart	n+m.কেমার্ট
handover	n+m.হস্তান্তর@n+f.হ্যান্ডওভার
squarely	ad.সোজাসুজি@ad.সরাসরি
softness	n+f.কোমলতা@n+f.নরমতা
crayon	n+m.ক্রেয়ন@n+m.রঙিন পেন্সিল
hialeah	n+m.হায়ালিয়া
finney	n+m.ফিনি
rotting	v.পচছে@a.পচনশীল
salamander	n+m.স্যালামান্ডার@n+f.গিরগিটি জাতীয় প্রাণী
driveways	n+m.ড্রাইভওয়ে@n+f.গাড়ি ঢোকার রাস্তা
exhilarating	a.উত্তেজনাকর@a.আনন্দদায়ক
cavan	n+m.ক্যাভান
excepted	v.বাদ দেওয়া হল@prep.ব্যতীত
skippy	n+m.স্কিপি
marginalized	a.প্রান্তিক@a.উপেক্ষিত
flavoured	a.স্বাদযুক্ত@v.স্বাদ দেওয়া হয়েছে
marque	n+f.মার্ক@n+m.ব্র্যান্ড
texaco	n+m.টেক্সাকো
bookmakers	n+m.বাজি ধরার এজেন্ট@n+m.বুকমেকার
ditches	n+m.খাল@n+f.নালা@v.পরিত্যাগ করে
millionaires	n+m.কোটিপতি@n+m.ধনকুবের
evade	vt.এড়িয়ে যাওয়া@vt.ফাঁকি দেওয়া
coverages	n+f.কভারেজ@n+m.সংবাদ প্রচার
bap	n+m.ব্যাপ@n+m.নরম রুটি
specialities	n+f.বিশেষত্ব@n+m.বিশেষ দক্ষতা
pars	n+m.পার@v.সমান করে
systematics	n+f.শ্রেণীবিন্যাস বিদ্যা@n+f.সিস্টেমেটিক্স
renderer	n+m.রেন্ডারার@n+m.উপস্থাপনকারী
rework	vt.পুনরায় কাজ করা@n+m.পুনর্নির্মাণ
scourge	n+m.আঘাত@n+f.মহামারী@vt.শাস্তি দেওয়া
twig	n+f.ডালপালা@n+m.শাখা
cleansers	n+m.পরিষ্কারক@n+m.ক্লিনজার
bandage	n+m.ব্যান্ডেজ@n+f.পট্টি@vt.পট্টি বাঁধা
detach	vt.বিচ্ছিন্ন করা@vt.আলাদা করা
webby	a.জালের মতো@a.ওয়েব সম্পর্কিত
virginity	n+f.কুমারীত্ব@n+f.সতীত্ব
apogee	n+m.অপভূ@n+m.শীর্ষবিন্দু
allergens	n+m.অ্যালার্জেন@n+m.এলার্জি সৃষ্টিকারী পদার্থ
doctrinal	a.মতবাদমূলক@a.তত্ত্বগত
worsen	vi.আরও খারাপ হওয়া@vt.খারাপ করা
tankers	n+m.ট্যাঙ্কার@n+m.তেলবাহী জাহাজ
adaptability	n+f.অভিযোজন ক্ষমতা@n+f.খাপ খাওয়ানোর সামর্থ্য
cramped	a.সংকীর্ণ@a.গাদাগাদি
whopping	a.বিশাল@a.অতিকায়
wept	v.কাঁদল@v.অশ্রু ঝরাল
bes	n+m.বেস
brookes	n+m.ব্রুকস
racking	v.যন্ত্রণা দিচ্ছে@n+m.র‍্যাকিং
tull	n+m.টাল
corrects	v.সংশোধন করে@v.ঠিক করে
avignon	n+m.আভিনিয়ঁ
shunt	vt.সরিয়ে দেওয়া@n+m.শান্ট
vanishes	v.অদৃশ্য হয়ে যায়@v.মিলিয়ে যায়
synch	n+m.সিঙ্ক@vt.সমন্বয় করা
patten	n+m.প্যাটেন
obedient	a.বাধ্য@a.অনুগত
selkirk	n+m.সেলকার্ক
estimators	n+m.অনুমানকারী@n+m.এস্টিমেটর
sects	n+m.সম্প্রদায়@n+f.গোষ্ঠী
functionalities	n+f.কার্যকারিতা
evidences	n+m.প্রমাণ@v.প্রমাণ করে
fetishes	n+m.ফেটিশ@n+m.অন্ধবিশ্বাস
outrigger	n+m.আউটরিগার@n+m.নৌকার পার্শ্ব কাঠামো
enclave	n+m.ছিটমহল@n+f.বিচ্ছিন্ন অঞ্চল
anxiously	ad.উদ্বিগ্নভাবে@ad.উৎকণ্ঠিতভাবে
fibrillation	n+f.তন্তুক্ষেপণ@n+f.হৃদস্পন্দন অনিয়ম
ascribed	v.আরোপ করল@v.গুণারোপ করল
strikers	n+m.ধর্মঘটকারী@n+m.স্ট্রাইকার
statically	ad.স্থিরভাবে@ad.স্ট্যাটিকভাবে
goldmine	n+m.সোনার খনি@n+f.সম্পদের উৎস
lhasa	n+f.লাসা
developmentally	ad.উন্নয়নমূলকভাবে@ad.বিকাশের দিক থেকে
ziggy	n+m.জিগি
optimist	n+m.আশাবাদী@n+m.অপ্টিমিস্ট
senders	n+m.প্রেরক@n+m.পাঠানো ব্যক্তি
gratification	n+f.তৃপ্তি@n+f.সন্তুষ্টি
seashore	n+m.সমুদ্রতীর@n+f.সৈকত
automaton	n+m.স্বয়ংক্রিয় যন্ত্র@n+m.যন্ত্রমানব
unskilled	a.অদক্ষ@a.প্রশিক্ষণহীন
steamy	a.বাষ্পীয়@a.উত্তপ্ত
marinade	n+m.মেরিনেড@n+f.মশলার মিশ্রণ
brigadier	n+m.ব্রিগেডিয়ার
extinguishers	n+m.অগ্নিনির্বাপক যন্ত্র
stratosphere	n+f.স্ট্র্যাটোস্ফিয়ার@n+f.বায়ুমণ্ডলের স্তর
tbilisi	n+m.তিবিলিসি
updater	n+m.আপডেটার@n+m.হালনাগাদকারী
consonant	n+m.ব্যঞ্জনবর্ণ@a.সামঞ্জস্যপূর্ণ
acetic	a.অ্যাসিটিক@a.ভিনেগার সম্পর্কিত
nicaraguan	a.নিকারাগুয়ান@n+m.নিকারাগুয়ার অধিবাসী
unarmed	a.নিরস্ত্র@a.অস্ত্রহীন
dyeing	n+m.রং করা@v.রঙাচ্ছে
intolerable	a.অসহনীয়@a.অসহ্য
republished	v.পুনঃপ্রকাশ করল@a.পুনর্মুদ্রিত
tawny	a.তামাটে@a.বাদামি হলুদ
sconces	n+m.দেওয়ালের বাতিদান
insulator	n+m.অন্তরক@n+m.ইনসুলেটর
endometrial	a.জরায়ুর অভ্যন্তরীণ আবরণ সম্পর্কিত
absinthe	n+m.অ্যাবসিন্থ@n+m.একধরনের মদ
hegemony	n+f.আধিপত্য@n+f.প্রাধান্য
focussing	v.মনোনিবেশ করছে@v.কেন্দ্রীভূত করছে
tryptophan	n+m.ট্রিপ্টোফ্যান@n+m.অ্যামিনো অ্যাসিড
hygienic	a.স্বাস্থ্যকর@a.পরিচ্ছন্ন
extensibility	n+f.প্রসারণযোগ্যতা@n+f.সম্প্রসারণ ক্ষমতা
sufferings	n+m.দুঃখকষ্ট@n+f.যন্ত্রণা
tahitian	a.তাহিতীয়@n+m.তাহিতির অধিবাসী
