a	art+m.un@art+f.una
greenpeace	n+m.Greenpeace
greens	n+m+pl.verdes@n+f+pl.verduras
greensboro	n+m.Greensboro
greenspan	n+m.Greenspan
greenwich	n+m.Greenwich
greenwood	n+m.Greenwood
greer	n+m.Greer
greet	vt.saludar
greeted	vt.saludó@a+m.saludado@a+f.saludada
greeting	n+m.saludo
greetings	n+m.saludos
greets	vt.saluda
greg	n+m.Greg
gregg	n+m.Gregg
gregorian	a+m.gregoriano@a+f.gregoriana
gregorio	n+m.Gregorio
gregory	n+m.Gregory
gremlin	n+m.duende@n+m.gremlin
gremlins	n+m+pl.gremlins
grenada	n+f.Granada
grenade	n+f.granada
grenades	n+f+pl.granadas
grenadines	n+f+pl.Granadinas
grendel	n+m.Grendel
grenoble	n+m.Grenoble
grenville	n+m.Grenville
grep	n+m.grep@vt.buscar
gresham	n+m.Gresham
greta	n+f.Greta
gretchen	n+f.Gretchen
gretel	n+f.Gretel
gretzky	n+m.Gretzky
grew	v.creció
grey	a+m.gris@a+f.gris@n+m.gris
greyhound	n+m.galgo@n+m.Greyhound
greyhounds	n+m+pl.galgos
greys	n+m+pl.grises@vi.encanecer
grid	n+f.cuadrícula@n+f.red
griddle	n+f.plancha
gridiron	n+m.parrilla@n+m.campo de fútbol americano
gridlock	n+m.atasco total@n+m.parálisis
grids	n+f+pl.cuadrículas@n+f+pl.redes
grief	n+m.duelo@n+f.pena
grieg	n+m.Grieg
grievance	n+f.queja
grievances	n+f+pl.quejas@n+m+pl.agravios
grieve	vi.afligirse@vt.afligir
grieved	vi.se afligió@a+m.afligido@a+f.afligida
grieving	vi.afligiéndose@a.afligido@a+f.afligida
grievous	a+m.grave@a+f.grave@a.atroz
griffin	n+m.Griffin
griffith	n+m.Griffith
griffon	n+m.grifón
grill	n+f.parrilla@vt.asar
grille	n+f.rejilla@n+f.parrilla
grilled	a+m.asado@a+f.asada
grilles	n+f+pl.rejillas@n+f+pl.parrillas
grilling	n+f.parrillada@vt.asando a la parrilla
grills	n+f+pl.parrillas
grim	a+m.sombrío@a+f.sombría
grime	n+f.mugre@n+m.suciedad
grimes	n+m.Grimes
grimm	n+m.Grimm
grimsby	n+m.Grimsby
grin	n+f.sonrisa@vi.sonreír
grinch	n+m.gruñón@n+m.Grinch
grind	vt.moler@n+f.rutina
grinder	n+m.molinillo@n+f.amoladora
grinders	n+f+pl.amoladoras@n+m+pl.molinillos
grinding	n+m.triturado@v.moliendo
grinds	vt.muele@n+m+pl.trabajos pesados
gringo	n+m.gringo
grinned	vi.sonrió
grinning	vi.sonriendo@a.sonriente
grins	n+f+pl.sonrisas@vi.sonríe
grip	n+m.agarre@vt.agarrar
gripe	n+f.queja@vi.quejarse
gripes	n+f+pl.quejas@vt.se queja
gripped	vt.agarró@a+m.agarrado@a+f.agarrada
gripper	n+m.pinza@n+m.agarrador
gripping	a.apasionante@vt.agarrando
grips	n+m+pl.agarres@vt.agarra
gris	a.gris@n+m.Gris
grisly	a+m.espeluznante@a+f.espeluznante@a+m.macabro@a+f.macabra
grist	n+m.grano para moler
grit	n+f.arenilla@n+f.determinación
grits	n+m+pl.sémola de maíz
gritty	a.arenoso@a+f.arenosa@a.valiente
grizzlies	n+m+pl.osos grizzly
grizzly	n+m.oso gris@a.gris
gro	n+m.Gro
groan	n+m.gemido@vi.gemir
groaned	vi.gimió@vi.se quejó
groaning	vi.gimiendo@n+m.gemido
groans	n+m+pl.gemidos@vi.gime
grocer	n+m.tendero@n+f.tendera
groceries	n+m+pl.comestibles@n+f+pl.provisiones
grocers	n+m+pl.tenderos@n+m+pl.comerciantes de alimentación
grocery	n+f.tienda de comestibles@n+m.supermercado
groin	n+f.ingle
grommet	n+m.ojal@n+f.arandela
grommets	n+m+pl.ojales@n+f+pl.arandelas
groningen	n+m.Groninga
groom	n+m.novio@vt.acicalar
groomed	a+m.acicalado@a+f.acicalada@vt.preparó
grooming	n+m.acicalamiento
grooms	n+m+pl.novios@n+m+pl.mozos@vt.acicala
groomsmen	n+m+pl.padrinos de boda
groove	n+f.ranura@n+m.ritmo
grooved	a+m.acanalado@a+f.acanalada@a.ranurado
grooves	n+m+pl.surcos@n+f+pl.ranuras
groovy	a.genial@a.estupendo
groping	vt.manoseando@vi.tanteando
gros	a.grueso@n+m.Gros
gross	a+m.bruto@a+f.bruta@a+m.asqueroso@a+f.asquerosa
grosses	vt.recauda en bruto
grossing	vt.recaudando
grossly	ad.groseramente@ad.enormemente
grote	n+m.Grote
grotesque	a+m.grotesco@a+f.grotesca
grotto	n+f.gruta
ground	n+m.suelo@n+f.tierra
groundbreaking	a.innovador@a+f.innovadora@a.revolucionario@a+f.revolucionaria
grounded	a+m.castigado@a+f.castigada@a+m.conectado a tierra@a+f.conectada a tierra
groundhog	n+f.marmota
grounding	n+f.puesta a tierra@n+f.formación básica
grounds	n+m.terrenos@n+m.motivos
groundwater	n+f.agua subterránea
groundwork	n+m.trabajo preliminar@n+f+pl.bases
group	n+m.grupo
grouped	a+m.agrupado@a+f.agrupada
grouper	n+m.mero
groupie	n+f.seguidora@n+m.seguidor
groupies	n+f+pl.groupies@n+f+pl.seguidoras fanáticas
grouping	n+f.agrupación
groupings	n+m+pl.agrupamientos
groups	n+m.grupos
groupware	n+m.software colaborativo
grouse	n+m.urogallo@vi.quejarse
grout	n+f.lechada@vt.enlechar
grove	n+f.arboleda
grover	n+m.Grover
groves	n+f+pl.arboledas@n+m.Groves
grow	v.crecer
grower	n+m.cultivador@n+m.productor
growers	n+m+pl.cultivadores@n+f+pl.cultivadoras
growing	v.creciendo@a+m.creciente@a+f.creciente
growl	n+m.gruñido@vi.gruñir
growled	vi.gruñó
growling	vi.gruñendo@n+m.gruñido
grown	a+m.crecido@a+f.crecida@a+m.adulto@a+f.adulta
grows	vi.crece
growth	n+m.crecimiento
growths	n+m+pl.crecimientos@n+m+pl.tumores
grub	n+f.larva@n+f.comida
grudge	n+m.rencor@n+f.resentimiento
gruesome	a+m.espantoso@a+f.espantosa@a.macabro
gruff	a+m.brusco@a+f.brusca@a+m.áspero@a+f.áspera
grumble	vi.refunfuñar@n+m.queja
grumman	n+m.Grumman
grumpy	a+m.gruñón@a+f.gruñona
grundy	n+m.Grundy
grunge	n+m.grunge
grunt	n+m.gruñido@vi.gruñir@n+m.soldado raso
grunts	n+m+pl.gruñidos@vi.gruñe
gtd	n+m.GTD
guacamole	n+m.guacamole
guadalajara	n+f.Guadalajara
guadalupe	n+f.Guadalupe
guadeloupe	n+f.Guadalupe
guam	n+m.Guam
guan	n+m.guan
guanajuato	n+m.Guanajuato
guangzhou	n+m.Guangzhou
guanine	n+f.guanina
guantanamo	n+m.Guantánamo
guar	n+m.guar
guarani	n+m.guaraní
guarantee	n+f.garantía@v.garantizar
guaranteed	a+m.garantizado@a+f.garantizada
guaranteeing	vt.garantizando
guarantees	n+f.garantías@vt.garantiza
guarantor	n+m.garante@n+m.avalista
guaranty	n+f.garantía
guard	n+m.guardia@v.proteger
guarded	a+m.cauteloso@a+f.cautelosa@a+m.vigilado@a+f.vigilada
guardian	n+m.guardián@n+f.guardiana
guardians	n+m+pl.guardianes@n+m+pl.tutores
guardianship	n+f.tutela@n+f.custodia
guarding	vt.guardando@vt.protegiendo
guardrail	n+f.barandilla@n+m.quitamiedos
guards	n+m.guardias@n+f.guardias
guatemala	n+f.Guatemala
guatemalan	a+m.guatemalteco@a+f.guatemalteca@n+m.guatemalteco
guava	n+f.guayaba
guayaquil	n+m.Guayaquil
gubernatorial	a.gubernamental@a.del gobernador
gucci	n+m.Gucci
guelph	n+m.Guelph
guerilla	n+f.guerrilla@n+m.guerrillero
guernsey	n+m.Guernsey
guerra	n+f.guerra@n+m.Guerra
guerrero	n+m.Guerrero
guerrilla	n+f.guerrilla@n+m.guerrillero@n+f.guerrillera
guerrillas	n+f+pl.guerrillas@n+m+pl.guerrilleros
guess	n+f.suposición@v.adivinar
guessed	vt.adivinó@a+m.adivinado@a+f.adivinada
guesses	n+f+pl.conjeturas@vt.adivina
guessing	v.adivinando@n+f.suposición
guesswork	n+f.conjetura
guest	n+m.invitado@n+f.invitada
guestbook	n+m.libro de visitas
guestbooks	n+m+pl.libros de visitas
guesthouse	n+f.casa de huéspedes
guesthouses	n+f+pl.casas de huéspedes
guestrooms	n+f+pl.habitaciones de huéspedes
guests	n+m.invitados@n+m.huéspedes
guevara	n+m.Guevara
guggenheim	n+m.Guggenheim
guiana	n+f.Guyana
guidance	n+f.orientación
guide	n+f.guía@n+m.guía@v.guiar
guidebook	n+f.guía
guidebooks	n+f+pl.guías de viaje
guided	a+m.guiado@a+f.guiada
guideline	n+f.directriz@n+f.pauta
guidelines	n+f.directrices@n+f.pautas
guides	n+f.guías
guiding	a+m.guía@a+f.guía@v.guiando
guido	n+m.Guido
guild	n+m.gremio
guilder	n+m.florín
guilders	n+m+pl.florines
guildhall	n+m.ayuntamiento@n+f.casa gremial
guilds	n+m+pl.gremios
guile	n+f.astucia
guillemot	n+m.arao
guillermo	n+m.Guillermo
guillotine	n+f.guillotina@vt.guillotinar
guilt	n+f.culpa
guilty	a+m.culpable@a+f.culpable
guin	n+m.Guin
guinea	n+f.Guinea
guineas	n+f+pl.guineas
guinness	n+m.Guinness
guise	n+f.apariencia@n+m.disfraz
guitar	n+f.guitarra
guitarist	n+m.guitarrista@n+f.guitarrista
guitarists	n+m+pl.guitarristas
guitars	n+f.guitarras
gujarat	n+m.Guyarat
gujarati	n+m.guyaratí@a.guyaratí
gulag	n+m.gulag
gulch	n+m.barranco@n+f.cañada
gulf	n+m.golfo
gull	n+f.gaviota
gullible	a.crédulo@a.ingenuo
gulliver	n+m.Gulliver
gulls	n+f+pl.gaviotas@vt.engaña
gully	n+m.barranco@n+f.zanja
gulp	n+m.trago@vt.tragar
gum	n+f.encía@n+m.chicle
gumball	n+f.bola de chicle
gumbo	n+m.gumbo@n+m.quingombó
gummy	a+m.gomoso@a+f.gomosa
gums	n+f+pl.encías
gun	n+f.pistola@n+m.arma
gunfire	n+m.tiroteo@n+m.fuego de armas
gunman	n+m.pistolero
gunmen	n+m+pl.pistoleros@n+m+pl.hombres armados
gunmetal	n+m.bronce de cañón@a.gris metálico
gunnar	n+m.Gunnar
gunned	vt.disparó@a+m.armado@a+f.armada
gunner	n+m.artillero
gunners	n+m+pl.artilleros
gunning	vt.disparando
gunpowder	n+f.pólvora
guns	n+f.armas@n+m.pistolas
gunshot	n+m.disparo@n+f.herida de bala
gunslinger	n+m.pistolero
gunter	n+m.Gunter
gunther	n+m.Gunther
guppy	n+m.guppy
gupta	n+m.Gupta
gur	n+m.gur
gurney	n+f.camilla
guru	n+m.gurú
gurus	n+m+pl.gurús
gus	n+m.Gus
gush	n+m.chorro@vi.brotar
gusher	n+m.pozo de petróleo@n+m.chorro
gushers	n+m+pl.pozos surgentes
gushing	a.efusivo@a+f.efusiva@vi.brotando
gusset	n+m.refuerzo@n+f.cuña
gust	n+f.ráfaga
gustav	n+m.Gustavo
gustavo	n+m.Gustavo
gustavus	n+m.Gustavo
gusto	n+m.gusto@n+m.entusiasmo
gusts	n+f+pl.ráfagas
gut	n+m.intestino@n+f.tripa@vt.destripar
gutenberg	n+m.Gutenberg
guthrie	n+m.Guthrie
gutierrez	n+m.Gutiérrez
guts	n+f+pl.tripas@n+m+pl.agallas
gutted	vt.destripó@a+m.destripado@a+f.destripada@a+m.devastado@a+f.devastada
gutter	n+f.cuneta@n+m.canalón
gutters	n+f+pl.canaletas@n+m+pl.desagües
guy	n+m.tipo@n+m.chico
guyana	n+f.Guyana
guyanese	a+m.guyanés@a+f.guyanesa@n+m.guyanés@n+f.guyanesa
guys	n+m.tipos@n+m.chicos
guzman	n+m.Guzmán
gwalior	n+m.Gwalior
gwen	n+f.Gwen
gwendolyn	n+f.Gwendolyn
gwent	n+m.Gwent
gwyn	n+f.Gwyn
gwynedd	n+m.Gwynedd
gym	n+m.gimnasio
gymnasium	n+m.gimnasio
gymnast	n+m.gimnasta@n+f.gimnasta
gymnastic	a+m.gimnástico@a+f.gimnástica
gymnastics	n+f.gimnasia
gymnasts	n+m+pl.gimnastas@n+f+pl.gimnastas
gyms	n+m+pl.gimnasios
gynaecology	n+f.ginecología
gypsies	n+m+pl.gitanos@n+f+pl.gitanas
gypsum	n+m.yeso
gypsy	n+m.gitano@n+f.gitana@a.gitano
gyro	n+m.giroscopio@n+m.gyro
gyroscope	n+m.giroscopio
gyrus	n+m.giro@n+f.circunvolución
haar	n+m.Haar
haarlem	n+m.Haarlem
haas	n+m.Haas
hab	n+m.hábitat
habakkuk	n+m.Habacuc
habana	n+f.Habana
haber	n+m.Haber
habit	n+m.hábito
habitable	a.habitable
habitat	n+m.hábitat
habitation	n+f.habitación@n+f.vivienda
habitats	n+m+pl.hábitats
habits	n+m.hábitos
habitual	a.habitual
habitually	ad.habitualmente
hacienda	n+f.hacienda
hack	vt.hackear@n+m.pirateo
hacked	vt.hackeó@a+m.hackeado@a+f.hackeada
hacker	n+m.hacker@n+f.hacker
hackers	n+m.hackers
hacking	n+m.piratería informática
hackman	n+m.Hackman
hackney	n+m.Hackney
hacks	n+m+pl.trucos@vt.hackea
had	v.tenía@v.tuvo@v.había
haddock	n+m.eglefino
hades	n+m.Hades
hadrian	n+m.Adriano
hadron	n+m.hadrón
hae	v.tener
haematology	n+f.hematología
haemorrhage	n+f.hemorragia
hag	n+f.bruja@n+f.arpía
hagar	n+f.Agar
hagen	n+m.Hagen
haggai	n+m.Hageo
haggard	a+m.demacrado@a+f.demacrada@n+m.Haggard
haggis	n+m.haggis
haggle	vi.regatear@n+m.regateo
hague	n+f.La Haya
hah	int.ja
hahn	n+m.Hahn
haifa	n+f.Haifa
haig	n+m.Haig
haiku	n+m.haiku
hail	n+m.granizo@vt.aclamar
hailed	vt.aclamó@vi.granizó
hailing	vt.llamando@vi.procediendo de
hails	vt.saluda@vi.graniza
hainan	n+f.Hainan
hair	n+m.cabello@n+m.pelo
haircare	n+m.cuidado del cabello
haircut	n+m.corte de pelo
haircuts	n+m+pl.cortes de pelo
hairdresser	n+m.peluquero@n+f.peluquera
hairdressers	n+m+pl.peluqueros@n+f+pl.peluqueras
hairdressing	n+f.peluquería
hairdryer	n+m.secador de pelo
hairdryers	n+m+pl.secadores de pelo
haired	a+m.de pelo@a+f.de pelo
hairless	a.sin pelo@a.lampiño@a+f.lampiña
hairline	n+f.línea del cabello@a+m.muy fino@a+f.muy fina
hairpin	n+f.horquilla
hairs	n+m+pl.cabellos@n+m+pl.pelos
hairspray	n+f.laca para el cabello
hairstyle	n+m.peinado@n+m.estilo de cabello
hairstyles	n+m+pl.peinados@n+m+pl.estilos de cabello
hairy	a+m.peludo@a+f.peluda
haiti	n+m.Haití
haitian	a+m.haitiano@a+f.haitiana@n+m.haitiano
haj	n+m.hach
hajj	n+m.hach@n+m.peregrinación a la Meca
hake	n+f.merluza
hakim	n+m.Hakim
hal	n+m.Hal
halal	a.halal
halcyon	a+m.apacible@a+f.apacible@n+m.martín pescador
hale	a+m.sano@a+f.sana@n+m.Hale
hales	n+m.Hales
haley	n+f.Haley
half	n+f.mitad@a+m.medio@a+f.media
halftime	n+m.medio tiempo@n+m.descanso
halfway	ad.a mitad de camino@a+m.intermedio@a+f.intermedia
halibut	n+m.halibut@n+m.fletán
halide	n+m.haluro
halifax	n+m.Halifax
hall	n+m.salón@n+f.sala
halle	n+f.Halle
hallelujah	int.aleluya@n+m.aleluya
halley	n+m.Halley
halliburton	n+m.Halliburton
hallmark	n+m.sello distintivo
hallmarks	n+m+pl.sellos distintivos@n+f+pl.características
hallowed	a+m.sagrado@a+f.sagrada@a+m.consagrado@a+f.consagrada
halloween	n+m.Halloween
halls	n+m+pl.salones@n+m+pl.vestíbulos
hallucination	n+f.alucinación
hallucinations	n+f+pl.alucinaciones
hallway	n+m.pasillo
hallways	n+m+pl.pasillos
halo	n+m.halo
halogen	n+m.halógeno@a.halógeno
halos	n+m+pl.halos
halsey	n+m.Halsey
halt	vt.detener@n+f.parada
halted	vt.detuvo@vi.se detuvo
halter	n+m.cabestro@n+m.top halter
halting	a.vacilante@vt.deteniendo
halts	vt.detiene@n+f+pl.paradas
halve	vt.reducir a la mitad
halved	vt.redujo a la mitad@a.reducido a la mitad
halves	n+f+pl.mitades@vt.divide en dos
ham	n+m.jamón
hama	n+m.Hama
hamas	n+m.Hamás
hamburg	n+m.Hamburgo
hamburger	n+f.hamburguesa
hamburgers	n+f+pl.hamburguesas
hamill	n+m.Hamill
hamilton	n+m.Hamilton
hamiltonian	a+m.hamiltoniano@a+f.hamiltoniana@n+m.hamiltoniano
hamlet	n+f.aldea@n+m.Hamlet
hamlets	n+f+pl.aldeas
hamlin	n+m.Hamlin
hamm	n+m.Hamm
hammer	n+m.martillo
hammered	vt.martilló@a+m.martillado@a+f.martillada
hammerhead	n+m.tiburón martillo
hammering	vt.martillando@n+m.martilleo
hammers	n+m+pl.martillos@vt.martilla
hammersmith	n+m.Hammersmith
hammerstein	n+m.Hammerstein
hammett	n+m.Hammett
hammock	n+f.hamaca
hammocks	n+f+pl.hamacas
hammond	n+m.Hammond
hampden	n+m.Hampden
hamper	vt.obstaculizar@n+f.cesta
hampered	vt.obstaculizó@a.obstaculizado
hampers	n+f+pl.cestas@vt.obstaculiza
hampshire	n+m.Hampshire
hampstead	n+m.Hampstead
hampton	n+m.Hampton
hams	n+m+pl.jamones@vi.actúa exageradamente
hamster	n+m.hámster
hamsters	n+m+pl.hámsters
hamza	n+m.Hamza
han	n+m.Han
hancock	n+m.Hancock
hand	n+f.mano
handbag	n+m.bolso
handbags	n+m.bolsos
handball	n+m.balonmano
handbook	n+m.manual
handbooks	n+m+pl.manuales
handcrafted	a+m.artesanal@a+f.artesanal
handcuffed	vt.esposó@a+m.esposado@a+f.esposada
handcuffs	n+f+pl.esposas@vt.esposar
handed	a+m.entregado@a+f.entregada
handel	n+m.Händel
handful	n+m.puñado
handgun	n+f.pistola@n+m.revólver
handguns	n+f+pl.pistolas
handheld	a+m.de mano@a+f.de mano@n+m.dispositivo portátil
handhelds	n+m.dispositivos portátiles
handicap	n+f.discapacidad@n+m.hándicap
handicapped	a+m.discapacitado@a+f.discapacitada
handicapper	n+m.pronosticador
handicapping	n+f.hándicap@vt.obstaculizando
handicaps	n+m+pl.hándicaps@n+f+pl.desventajas
handicraft	n+f.artesanía
handicrafts	n+f+pl.artesanías
handing	v.entregando
handkerchief	n+m.pañuelo
handle	n+m.mango@v.manejar
handlebar	n+m.manillar
handlebars	n+m+pl.manillar@n+m+pl.manubrio
handled	a+m.manejado@a+f.manejada
handler	n+m.manejador@n+m.manipulador
handlers	n+m+pl.manejadores@n+m+pl.manipuladores
handles	n+f.manijas@vt.maneja
handling	n+m.manejo@v.manejando
handmade	a+m.hecho a mano@a+f.hecha a mano
handoff	n+f.transferencia@n+m.traspaso
handout	n+m.folleto@n+f.limosna
handouts	n+m+pl.folletos@n+f+pl.limosnas
handover	n+f.entrega@n+m.traspaso
handpicked	a+m.seleccionado a mano@a+f.seleccionada a mano
handrails	n+m+pl.pasamanos@n+f+pl.barandillas
hands	n+f.manos
handset	n+m.auricular@n+m.terminal
handsets	n+m+pl.auriculares@n+m+pl.teléfonos
handshake	n+m.apretón de manos
handsome	a+m.guapo@a+f.guapa
handsomely	ad.generosamente@ad.elegantemente
handspring	n+f.voltereta
handwriting	n+f.escritura a mano@n+f.caligrafía
handwritten	a+m.escrito a mano@a+f.escrita a mano
handy	a+m.práctico@a+f.práctica
handyman	n+m.manitas@n+m.hombre para todo
haney	n+m.Haney
hang	vt.colgar@vi.quedarse
hangar	n+m.hangar
hanged	vt.ahorcó@a+m.ahorcado@a+f.ahorcada
hanger	n+f.percha@n+m.gancho
hangers	n+f+pl.perchas@n+m+pl.colgadores
hanging	v.colgando@a+m.colgante@a+f.colgante
hangings	n+m+pl.ahorcamientos@n+f+pl.colgaduras
hangman	n+m.verdugo@n+m.ahorcado
hangout	n+m.lugar de reunión
hangover	n+f.resaca
hangs	vt.cuelga@vi.cuelga
hangul	n+m.hangul
hangzhou	n+m.Hangzhou
hank	n+m.Hank
hanks	n+m.Hanks
hanky	n+m.pañuelo
hanna	n+f.Hanna
hannah	n+f.Hannah
hannibal	n+m.Aníbal
hannover	n+m.Hanóver
hanoi	n+m.Hanói
hanover	n+m.Hannover
hans	n+m.Hans
hansard	n+m.Hansard
hansel	n+m.Hansel
hansen	n+m.Hansen
hanson	n+m.Hanson
hanukkah	n+f.Janucá
hap	n+f.suerte@n+m.azar
haphazard	a+m.desordenado@a+f.desordenada@a+m.aleatorio@a+f.aleatoria
hapless	a+m.desafortunado@a+f.desafortunada
happen	v.suceder
happened	v.sucedió
happening	n+m.acontecimiento@v.ocurriendo
happenings	n+m+pl.acontecimientos@n+m+pl.sucesos
happens	v.sucede
happier	a.más feliz
happiest	a.más feliz
happily	ad.felizmente
happiness	n+f.felicidad
happy	a+m.feliz@a+f.feliz
harare	n+m.Harare
harass	vt.acosar@vt.hostigar
harassed	vt.acosó@a+m.acosado@a+f.acosada
harassing	vt.acosando
harassment	n+m.acoso
harbin	n+m.Harbin
harbinger	n+m.precursor@n+m.presagio
harbour	n+m.puerto
harbours	n+m+pl.puertos@vt.alberga
hard	a+m.duro@a+f.dura@ad.duro
hardback	n+m.tapa dura
hardball	n+m.béisbol@n+m.juego duro
hardbound	a.de tapa dura
hardcore	a+m.extremo@a+f.extrema
hardcover	n+f.tapa dura
harden	vt.endurecer@vi.endurecerse
hardened	a+m.endurecido@a+f.endurecida@vt.endureció
hardening	n+m.endurecimiento@vt.endureciendo
harder	a+m.más duro@a+f.más dura@a+m.más difícil@a+f.más difícil
hardest	a+m.más difícil@a+f.más difícil
hardin	n+m.Hardin
hardiness	n+f.resistencia@n+f.robustez
harding	n+m.Harding
hardly	ad.apenas
hardness	n+f.dureza
hardship	n+f.dificultad@n+f.penuria
hardships	n+f+pl.dificultades@n+f+pl.penurias
hardtop	n+m.techo rígido
hardware	n+m.hardware
hardwired	a+m.cableado@a+f.cableada@a.incorporado
hardwood	n+f.madera dura
hardwoods	n+f+pl.maderas duras
hardworking	a+m.trabajador@a+f.trabajadora
hardy	a+m.resistente@a+f.resistente
hare	n+f.liebre
harem	n+m.harén
hares	n+f+pl.liebres
hargreaves	n+m.Hargreaves
haring	n+m.Haring
haringey	n+m.Haringey
hark	vi.escuchar
harlan	n+m.Harlan
harland	n+m.Harland
harlem	n+m.Harlem
harlequin	n+m.arlequín
harley	n+m.Harley
harlot	n+f.ramera@n+f.prostituta
harlow	n+m.Harlow
harm	n+m.daño@vt.dañar
harmed	vt.dañó@a+m.perjudicado@a+f.perjudicada
harmful	a+m.dañino@a+f.dañina
harming	vt.dañando
harmless	a+m.inofensivo@a+f.inofensiva
harmon	n+m.Harmon
harmonic	a+m.armónico@a+f.armónica@n+m.armónico
harmonica	n+f.armónica
harmonics	n+f+pl.armónicas@n+m+pl.armónicos
harmonies	n+f+pl.armonías
harmonious	a+m.armonioso@a+f.armoniosa
harmonisation	n+f.armonización
harmonised	a+m.armonizado@a+f.armonizada
harmonization	n+f.armonización
harmonize	vt.armonizar
harmonized	vt.armonizó@a+m.armonizado@a+f.armonizada
harmony	n+f.armonía
harms	vt.daña@n+m+pl.daños
harness	n+m.arnés@vt.aprovechar
harnessed	vt.aprovechó@a+m.aprovechado@a+f.aprovechada
harnesses	n+m+pl.arneses@vt.aprovecha
harnessing	vt.aprovechando
harold	n+m.Harold
harp	n+f.arpa
harper	n+m.Harper
harpers	n+m+pl.arpistas@n+m.Harpers
harpoon	n+m.arpón@vt.arponear
harps	n+f+pl.arpas@vi.insiste
harpsichord	n+m.clavecín@n+m.clavicémbalo
harrell	n+m.Harrell
harrier	n+m.aguilucho@n+m.corredor de cross
harriers	n+m+pl.harriers@n+m+pl.aguiluchos
harriet	n+f.Harriet
harriman	n+m.Harriman
harrington	n+m.Harrington
harris	n+m.Harris
harrisburg	n+m.Harrisburg
harrison	n+m.Harrison
harrods	n+m.Harrods
harrow	n+f.grada@vt.gradar@n+m.Harrow
harrowing	a.desgarrador@a.angustioso
harry	n+m.Harry
harsh	a+m.duro@a+f.dura@a+m.severo@a+f.severa
harsher	a.más duro@a.más severo
harshest	a+m.más duro@a+f.más dura@a+m.más severo@a+f.más severa
harshly	ad.duramente@ad.severamente
hart	n+m.Hart
harte	n+m.Harte
hartford	n+m.Hartford
hartley	n+m.Hartley
hartman	n+m.Hartman
hartmann	n+m.Hartmann
harvard	n+m.Harvard
harvest	n+f.cosecha@vt.cosechar
harvested	vt.cosechó@a+m.cosechado@a+f.cosechada
harvester	n+f.cosechadora@n+m.recolector
harvesters	n+f+pl.cosechadoras@n+m+pl.cosechadores
harvesting	n+f.cosecha@v.cosechando
harvests	n+f+pl.cosechas@vt.cosecha
harvey	n+m.Harvey
has	v.tiene@v.ha
hasbro	n+m.Hasbro
hash	n+m.hash@n+m.almohadilla
hashes	n+m+pl.hashes@n+m+pl.almohadillas
hashing	n+m.hashing
haskell	n+m.Haskell
hassle	n+f.molestia@vt.molestar
hassles	n+f+pl.molestias@n+m+pl.problemas
hast	v.has
haste	n+f.prisa
hasten	vt.acelerar@vi.apresurarse
hastened	vt.aceleró@vi.se apresuró
hastily	ad.apresuradamente
hastings	n+m.Hastings
hasty	a+m.apresurado@a+f.apresurada@a.precipitado
hat	n+m.sombrero
hatch	n+f.escotilla@vt.incubar
hatchback	n+m.hatchback
hatched	vt.incubó@a+m.rayado@a+f.rayada
hatcher	n+m.Hatcher@n+m.incubador
hatcheries	n+m+pl.criaderos
hatchery	n+m.criadero
hatches	n+f+pl.escotillas@vt.incuba
hatchet	n+f.hacha pequeña@n+f.hachuela
hatching	n+f.eclosión@n+m.sombreado
hate	n+m.odio@v.odiar
hated	a+m.odiado@a+f.odiada
hateful	a.odioso@a+f.odiosa
hater	n+m.odiador@n+f.odiadora
haters	n+m+pl.odiadores
hates	vt.odia
hatfield	n+m.Hatfield
hath	v.tiene
hathaway	n+m.Hathaway
hating	vt.odiando
hatred	n+m.odio
hats	n+m.sombreros
hatter	n+m.sombrerero
hatteras	n+m.Hatteras
hatters	n+m+pl.sombrereros
hattie	n+f.Hattie
haughty	a+m.altivo@a+f.altiva@a.arrogante
haul	vt.transportar@n+m.transporte
haulage	n+m.transporte@n+m.acarreo
hauled	vt.arrastró@vt.transportó
hauler	n+m.transportista
haulers	n+m+pl.transportistas
hauling	vt.transportando@n+m.transporte
haunt	vt.acosar@n+m.lugar frecuentado
haunted	a+m.embrujado@a+f.embrujada
haunting	a.inquietante@a.evocador@a+f.evocadora
haunts	vt.atormenta@n+m+pl.lugares favoritos
hausa	n+m.hausa@a.hausa
hausfrau	n+f.ama de casa
havana	n+f.La Habana
have	v.tener@v.haber
havel	n+m.Havel
havelock	n+m.Havelock
haven	n+m.refugio@n+m.paraíso
havens	n+m+pl.refugios@n+m+pl.puertos
havering	vi.vacilando@vi.divagando
haves	n+m+pl.ricos@n+m+pl.privilegiados
having	v.teniendo
havoc	n+m.caos@n+m.estragos
havre	n+m.Havre
haw	n+f.baya de espino@vi.titubear
hawaii	n+m.Hawái
hawaiian	a+m.hawaiano@a+f.hawaiana
hawaiians	n+m+pl.hawaianos@n+f+pl.hawaianas
hawk	n+m.halcón
hawke	n+m.Hawke
hawker	n+m.vendedor ambulante
hawking	n+m.Hawking@vt.pregonando
hawkins	n+m.Hawkins
hawks	n+m+pl.halcones
haworth	n+m.Haworth
hawthorn	n+m.espino@n+m.Hawthorn
hawthorne	n+m.Hawthorne
hay	n+m.heno
hayden	n+m.Hayden
haydn	n+m.Haydn
hayek	n+m.Hayek
hayes	n+m.Hayes
haynes	n+m.Haynes
hays	n+m.Hays
