the	art.—
stoneware	n+m.पत्थर का बर्तन
moncton	n+m.मॉन्कटन
traci	n+f.ट्रेसी
pathogenic	a.रोगजनक
riverfront	n+m.नदी का किनारा
humanist	n+m.मानवतावादी
extremities	n+f.चरम सीमाएं
pompano	n+m.पोम्पानो
tyrant	n+m.तानाशाह
skewed	a.तिरछा@v.तिरछा किया
decency	n+f.शालीनता
papal	a.पोप संबंधी
sequenced	v.अनुक्रमित किया@a.अनुक्रमित
sprang	v.उछला
palais	n+m.महल
obscured	v.धुंधला किया@a.धुंधला
teaming	v.टीम बना रहा
aromas	n+f.सुगंध
duets	n+m.युगल गान
positional	a.स्थानीय
glycine	n+m.ग्लाइसीन
breakthroughs	n+m.सफलता
mountaineers	n+m.पर्वतारोही
cashback	n+m.कैशबैक
throwback	n+m.पुरानी यादें
gestation	n+f.गर्भावस्था
powering	v.शक्ति दे रहा
logins	n+m.लॉगिन
sadism	n+m.परपीड़न
butchers	n+m.कसाई@v.कसाई की तरह काटता है
apologise	v.माफ़ी मांगना
panoramas	n+m.मनोरम दृश्य
plenum	n+m.पूर्ण सभा
geologist	n+m.भूवैज्ञानिक
piccadilly	n+m.पिकाडिली
hydrolysis	n+f.जल अपघटन
axioms	n+m.सिद्धांत
labia	n+f.भगोष्ठ
immunizations	n+f.टीकाकरण
existential	a.अस्तित्ववादी
sweaty	a.पसीने से तर
mogul	n+m.मुगल
fiercely	ad.उग्रता से
varnish	n+m.वार्निश@v.वार्निश लगाना
hysteria	n+f.उन्माद
beasley	n+m.बीज़ले
breached	v.उल्लंघन किया@a.भंग
rounder	a.अधिक गोल@n+m.आवारा
rectum	n+m.मलाशय
perched	v.बैठा@a.टिका हुआ
videoconferencing	n+m.वीडियो कॉन्फ्रेंसिंग
cytoplasm	n+m.कोशिकाद्रव्य
insistence	n+f.जिद
sedimentary	a.तलछटी
clockwork	n+m.घड़ी का यंत्र
laurier	n+m.लॉरियर
mecklenburg	n+m.मेकलेनबर्ग
aachen	n+m.आकन
chlorophyll	n+m.हरितद्रव्य
scop	n+m.स्कोप
shipyard	n+m.जहाज़ निर्माण स्थल
manley	n+m.मैनले
sunroof	n+m.सनरूफ
dvorak	n+m.द्वोरक
etch	v.उकेरना
answerer	n+m.उत्तर देने वाला
briefcases	n+m.ब्रीफकेस
intelligently	ad.बुद्धिमानी से
gwent	n+m.ग्वेंट
vials	n+f.शीशी
bogart	n+m.बोगार्ट
imputation	n+f.आरोपण
densely	ad.घनी तरह से
untranslated	a.अनुवाद रहित
droit	n+m.अधिकार
odin	n+m.ओडिन
raffles	n+f.रैफल@v.रैफल निकालता है
reconnect	v.पुनः जोड़ना
teeny	a.बहुत छोटा
distrust	n+m.अविश्वास@v.अविश्वास करना
ulm	n+m.उल्म
assassins	n+m.हत्यारे
fraternal	a.भ्रातृत्व संबंधी
benthic	a.तलीय
carlin	n+m.कार्लिन
lithograph	n+m.शिलाचित्र
refinements	n+m.परिष्करण
stoner	n+m.पत्थर मारने वाला
iras	n+m.आईआरएएस
resurfacing	v.पुनः सतह बना रहा@n+m.पुनर्सतह
kelli	n+f.केली
eloquent	a.वाक्पटु
cwt	n+m.क्विंटल
silas	n+m.सिलास
wondrous	a.अद्भुत
decrees	n+m.आदेश@v.आदेश देता है
dunne	n+m.डन
hyperbolic	a.अतिशयोक्तिपूर्ण
bisque	n+m.बिस्क
touchstone	n+m.कसौटी
standoff	n+m.गतिरोध
solano	n+m.सोलानो
acoustical	a.ध्वनि संबंधी
photovoltaic	a.फोटोवोल्टिक
drayton	n+m.ड्रेटन
orchestras	n+m.ऑर्केस्ट्रा
redline	v.लाल रेखा खींचना@n+f.लाल रेखा
grieve	v.शोक करना
reigns	v.राज करता है@n+m.शासनकाल
pleasurable	a.आनंददायक
tunis	n+m.ट्यूनिस
olin	n+m.ओलिन
bustling	a.व्यस्त@v.चहल-पहल कर रहा
wank	v.हस्तमैथुन करना@n+m.हस्तमैथुन
flue	n+f.चिमनी
solvers	n+m.हल करने वाले
lucerne	n+m.ल्यूसर्न
fiasco	n+m.विफलता
emir	n+m.अमीर
rockabilly	n+m.रॉकबिली
deacons	n+m.उपयाजक
tumours	n+m.ट्यूमर
loudspeaker	n+m.लाउडस्पीकर
handicapping	v.बाधा डाल रहा
slings	n+f.गोफन@v.फेंकता है
dwarfs	n+m.बौने@v.छोटा कर देता है
excretion	n+f.उत्सर्जन
breakage	n+f.टूट-फूट
apportionment	n+m.वितरण
thoreau	n+m.थोरो
notations	n+f.संकेतन
reins	n+f.लगाम
midgets	n+m.बौने
homemaker	n+m.गृहिणी
broadest	a.सबसे विस्तृत
scrambling	v.तेज़ी से चढ़ रहा
misfortune	n+f.दुर्भाग्य
drenched	a.भीगा हुआ@v.भिगो दिया
categorize	v.वर्गीकृत करना
foreskin	n+f.अग्रत्वचा
jornada	n+f.जोर्नाडा
reflexology	n+f.रिफ्लेक्सोलॉजी
astonished	a.चकित@v.चकित किया
kiel	n+m.कील
subconscious	a.अवचेतन@n+m.अवचेतन
incandescent	a.तापदीप्त
foundries	n+f.ढलाईखाने
registrants	n+m.पंजीकृत व्यक्ति
disappoint	v.निराश करना
sweats	v.पसीना बहाता है@n+m.पसीना
capstone	n+m.शिखर पत्थर
publicized	v.प्रचारित किया
mobs	n+f.भीड़@v.भीड़ लगाता है
federalist	n+m.संघवादी
rehearsals	n+f.रिहर्सल
portrays	v.चित्रित करता है
hidalgo	n+m.हिडाल्गो
prosthetic	a.कृत्रिम अंग संबंधी
firewood	n+f.जलावन
serenade	n+f.संगीत@v.गाना सुनाना
kristine	n+f.क्रिस्टीन
microfiche	n+f.माइक्रोफिश
watergate	n+m.वाटरगेट
setbacks	n+m.झटके
weathered	a.मौसम से प्रभावित@v.झेला
truffles	n+m.ट्रफल
kepler	n+m.केप्लर
aural	a.कान संबंधी
gatekeeper	n+m.द्वारपाल
decommissioning	v.सेवामुक्त कर रहा@n+m.सेवामुक्ति
lawless	a.अराजक
thermodynamic	a.ऊष्मागतिकीय
patrice	n+f.पैट्रिस
profiled	v.प्रोफाइल बनाया
gout	n+m.गठिया
coincides	v.मेल खाता है
disambiguation	n+f.विसंदिग्धीकरण
bittersweet	a.मीठा-कड़वा
inhuman	a.अमानवीय
gustavo	n+m.गुस्तावो
gentiles	n+m.गैर यहूदी
fag	n+m.सिगरेट
rubs	v.रगड़ता है@n+f.रगड़
isolating	v.अलग कर रहा
bigfoot	n+m.बिगफुट
mycobacterium	n+m.माइकोबैक्टीरियम
irritated	a.चिढ़ा हुआ@v.चिढ़ाया
despise	v.घृणा करना
cultivars	n+m.किस्में
floated	v.तैरा@a.तैरता हुआ
mugabe	n+m.मुगाबे
margo	n+f.मार्गो
fresco	n+m.भित्तिचित्र
rundown	n+m.संक्षिप्त विवरण@a.जीर्ण
auteur	n+m.फिल्मकार
custard	n+m.कस्टर्ड
prius	n+m.प्रियस
dias	n+m.डायस
gizmos	n+m.गैजेट
branched	a.शाखाओं वाला@v.शाखाबद्ध हुआ
shipbuilding	n+m.जहाज़ निर्माण
mildew	n+m.फफूंद@v.फफूंद लगना
tombs	n+m.मकबरे
frown	n+f.त्योरी@v.भौंहें सिकोड़ना
fulfilment	n+m.पूर्ति
accords	n+m.समझौते@v.प्रदान करता है
steels	n+m.इस्पात
privy	a.गोपनीय@n+m.शौचालय
caretaker	n+m.देखभालकर्ता
antonia	n+f.एंटोनिया
mystique	n+f.रहस्य
feeble	a.कमज़ोर
gentile	n+m.गैर यहूदी@a.गैर यहूदी
contractions	n+f.संकुचन
loaders	n+m.लोडर
trouser	n+f.पतलून
combatants	n+m.लड़ाके
hoboken	n+m.होबोकन
annuals	n+m.वार्षिक पौधे@n+f.वार्षिक पत्रिका
sepia	n+m.सेपिया@a.सेपिया रंग का
differentials	n+m.विभेदक
champlain	n+m.शैम्प्लेन
valence	n+f.संयोजकता
deteriorated	v.बिगड़ गया@a.बिगड़ा हुआ
sarajevo	n+m.साराजेवो
disobedience	n+f.अवज्ञा
underscores	v.रेखांकित करता है@n+m.अंडरस्कोर
roadshow	n+m.रोडशो
gat	n+f.बंदूक
unpack	v.खोलना
sabah	n+m.साबाह
divination	n+f.भविष्यवाणी
haw	n+m.नागफनी@v.हकलाना
nationalities	n+f.राष्ट्रीयताएं
cultivating	v.खेती कर रहा
russel	n+m.रसेल
squamous	a.शल्कीय
orissa	n+m.ओडिशा
triumphant	a.विजयी
superbly	ad.शानदार ढंग से
chianti	n+m.किआंती
hombres	n+m.लोग
minsk	n+m.मिन्स्क
coffey	n+m.कॉफी
domestically	ad.घरेलू रूप से
constrain	v.बाध्य करना
qantas	n+m.क्वांटास
brandi	n+f.ब्रांडी
artefacts	n+m.कलाकृतियां
solihull	n+m.सोलिहल
magicians	n+m.जादूगर
tchaikovsky	n+m.चाइकोव्स्की
hobbes	n+m.हॉब्स
contended	v.तर्क किया
nazarene	n+m.नाज़री@a.नाज़रेथ का
refineries	n+f.शोधनशाला
swimsuits	n+m.स्विमसूट
automates	v.स्वचालित करता है
potsdam	n+m.पॉट्सडैम
wylie	n+m.वाइली
whomever	pron.जिसे भी
genevieve	n+f.जेनेविव
shiloh	n+m.शीलो
damper	n+m.डैम्पर
sidelines	n+f.किनारे@v.किनारे करता है
shaffer	n+m.शेफर
toolbars	n+m.टूलबार
preservatives	n+m.परिरक्षक
kenai	n+m.केनाई
bobs	v.हिलता है@n+m.बॉब
forgiving	a.क्षमाशील@v.क्षमा कर रहा
unplanned	a.अनियोजित
characterisation	n+f.चरित्र चित्रण
yahweh	n+m.यहोवा
madman	n+m.पागल
peering	v.झांक रहा
slumber	n+f.नींद@v.सोना
shimmering	a.चमकता हुआ@v.चमक रहा
rigidity	n+f.कठोरता
bane	n+m.अभिशाप
marius	n+m.मारियस
rudd	n+m.रड
inventing	v.आविष्कार कर रहा
chipped	a.टूटा हुआ@v.टूटा
pelvis	n+m.श्रोणि
potluck	n+m.पॉटलक
ane	n+m.एक
creamer	n+m.क्रीमर
forts	n+m.किले
tumbling	v.गिर रहा@n+m.कलाबाज़ी
columbine	n+f.कोलंबाइन
portables	n+m.पोर्टेबल उपकरण
interprets	v.व्याख्या करता है
fledged	a.पंख वाला
aquinas	n+m.एक्विनास
surat	n+m.सूरत
hourglass	n+m.रेत घड़ी
dormitory	n+m.छात्रावास
confiscated	v.ज़ब्त किया@a.ज़ब्त
discharging	v.निर्वहन कर रहा
gunmen	n+m.बंदूकधारी
disables	v.अक्षम करता है
pollack	n+m.पोलक मछली
hoyle	n+m.हॉयल
arousal	n+m.उत्तेजना
unnoticed	a.अनदेखा
ridicule	n+f.उपहास@v.उपहास करना
thaw	v.पिघलना@n+m.पिघलाव
vandals	n+m.उपद्रवी
inhibiting	v.रोक रहा
reinstated	v.बहाल किया
lizzy	n+f.लिज़ी
unpacking	v.खोल रहा
darien	n+m.डेरियन
intersect	v.प्रतिच्छेद करना
mammary	a.स्तन संबंधी
trampolines	n+m.ट्रैम्पोलिन
garnish	v.सजाना@n+m.सजावट
designates	v.नामित करता है
trimmers	n+m.ट्रिमर
peeling	v.छील रहा@n+m.छिलका
levis	n+m.लेवी
blindly	ad.अंधाधुंध
unintentional	a.अनजाने में
durant	n+m.ड्यूरेंट
repertory	n+m.संग्रह
conveyancing	n+m.संपत्ति हस्तांतरण
disagreements	n+m.असहमति
echinacea	n+f.एकिनेशिया
phish	v.फिशिंग करना
frigidaire	n+m.फ्रिजिडेयर
hah	int.हाह
halibut	n+m.हैलिबट मछली
fifties	n+m.पचास का दशक
brno	n+m.ब्रनो
silverware	n+m.चांदी के बर्तन
goody	n+f.मिठाई@int.वाह
ideologies	n+f.विचारधाराएँ
feminists	n+m.नारीवादी
sculpted	v.गढ़ा@a.गढ़ा हुआ
dugout	n+m.डगआउट@n+f.खोदी हुई नाव
battleship	n+m.युद्धपोत
rollin	n+m.रोलिन
contraindications	n+f.प्रतिषेध
talisman	n+m.ताबीज़
eels	n+f.बाम मछली
rebuttal	n+m.खंडन
shun	v.टालना@v.परहेज़ करना
underside	n+m.निचला भाग
blackwood	n+m.ब्लैकवुड
alumnus	n+m.पूर्व छात्र
fenders	n+m.फ़ेंडर
frisbee	n+f.फ़्रिस्बी
giggle	v.खिलखिलाना@n+f.खिलखिलाहट
hyperactivity	n+f.अतिसक्रियता
seagull	n+m.समुद्री पक्षी
bonaire	n+m.बोनेयर
spinners	n+m.स्पिनर
deforestation	n+m.वनों की कटाई
annealing	n+m.अनीलन@v.तापना
maximizes	v.अधिकतम करता है
streaks	n+f.धारियाँ@v.लकीरें खींचना
roderick	n+m.रॉडरिक
corinth	n+m.कोरिंथ
perverse	a.विकृत@a.हठी
glittering	a.चमकदार@v.चमकता हुआ
eurasia	n+m.यूरेशिया
jails	n+f.जेलें@v.कैद करना
casket	n+m.ताबूत@n+f.पेटी
brigitte	n+f.ब्रिजित
dickey	n+m.डिकी
detour	n+m.चक्कर@v.घूमकर जाना
carpeting	n+m.कालीन@v.कालीन बिछाना
yorkers	n+m.न्यूयॉर्कवासी
eukaryotic	a.यूकेरियोटिक
bexley	n+m.बेक्सले
husbandry	n+f.पशुपालन@n+f.कृषि
marisa	n+f.मारिसा
frustrations	n+f.निराशाएँ
visibly	ad.स्पष्ट रूप से
delgado	n+m.डेलगाडो
defunct	a.निष्क्रिय@a.विलुप्त
resection	n+f.शल्य छेदन
dioxin	n+m.डाइऑक्सिन
islamist	n+m.इस्लामवादी@a.इस्लामवादी
unveil	v.अनावरण करना@v.प्रकट करना
circulars	n+m.परिपत्र
brant	n+m.ब्रैंट
kubrick	n+m.कुब्रिक
touchscreen	n+m.टचस्क्रीन
layoff	n+m.छंटनी
facelift	n+m.फ़ेसलिफ़्ट@n+m.कायाकल्प
decoded	v.डिकोड किया@a.डिकोडेड
shitty	a.घटिया@a.बकवास
dodger	n+m.छलिया@n+m.धोखेबाज़
merciful	a.दयालु@a.कृपालु
ines	n+f.इनेस
tun	n+m.बड़ा पीपा
tipperary	n+m.टिपरेरी
kinship	n+f.रिश्तेदारी@n+m.संबंध
springtime	n+m.वसंत ऋतु
euphoria	n+f.उत्साह@n+m.आनंद
acuity	n+f.तीक्ष्णता
popper	n+m.पॉपर
transmittal	n+m.प्रेषण
blouses	n+f.ब्लाउज़
requester	n+m.अनुरोधकर्ता
hemlock	n+m.हेमलॉक
sniffing	v.सूंघना@n+m.सूंघना
serialized	v.क्रमबद्ध किया@a.क्रमबद्ध
hangzhou	n+m.हांगझोउ
bjork	n+f.ब्योर्क
uncanny	a.अजीब@a.विलक्षण
nanjing	n+m.नानजिंग
milligrams	n+m.मिलीग्राम
jab	n+m.घूंसा@v.घूंसा मारना
stork	n+m.सारस
strathclyde	n+m.स्ट्रैथक्लाइड
yoko	n+f.योको
intramural	a.आंतरिक@a.संस्थागत
concede	v.स्वीकार करना@v.मान लेना
curated	v.संग्रहित किया@a.क्यूरेटेड
finalised	v.अंतिम रूप दिया
combustible	a.ज्वलनशील@n+m.ज्वलनशील पदार्थ
fallacy	n+f.भ्रांति@n+m.तर्कदोष
tania	n+f.तानिया
nicknames	n+m.उपनाम
waistband	n+m.कमरबंद
noxious	a.हानिकारक@a.विषैला
fibroblasts	n+m.फ़ाइब्रोब्लास्ट
tunic	n+m.कुर्ता@n+f.अंगरखा
farce	n+m.प्रहसन@n+f.मज़ाक
drowsiness	n+f.उनींदापन
metastasis	n+m.मेटास्टेसिस
greenbelt	n+m.हरित पट्टी
chants	n+m.मंत्र@v.जपना
ashe	n+m.ऐश
rhone	n+m.रोन
lunatic	n+m.पागल@a.पागल
reachable	a.पहुँच योग्य
pyrenees	n+m.पिरेनीज़
radioactivity	n+f.रेडियोधर्मिता
auctioneer	n+m.नीलामकर्ता
caine	n+m.केन
recovers	v.ठीक होता है@v.वसूल करता है
howdy	int.नमस्ते
marlon	n+m.मार्लन
timmy	n+m.टिम्मी
gregorian	a.ग्रेगोरियन
haggard	a.थका हुआ@a.कृशकाय
reorder	v.पुनः क्रमित करना@n+m.पुनः आदेश
aerosols	n+m.एयरोसोल
manger	n+f.नांद@n+m.चरनी
logarithmic	a.लघुगणकीय
robby	n+m.रॉबी
completions	n+f.पूर्णताएँ
yearning	n+f.तड़प@v.तड़पना
transporters	n+m.परिवहनकर्ता
sandalwood	n+m.चंदन
megs	n+f.मेग्स
chills	n+f.ठंड@v.ठंडा करना
whack	v.मारना@n+m.प्रहार
drone	n+m.ड्रोन@v.गुनगुनाना
breezes	n+f.हवाएँ
esteemed	a.सम्मानित@v.सम्मान किया
godly	a.धार्मिक@a.ईश्वरीय
spire	n+m.शिखर@n+f.मीनार
distillation	n+m.आसवन
edging	n+f.किनारी@v.किनारा लगाना
mathematicians	n+m.गणितज्ञ
decontamination	n+m.विषहरण
euclidean	a.यूक्लिडियन
cymbals	n+f.झांझ
salina	n+f.सलीना
antidote	n+m.विषनाशक
emblems	n+m.प्रतीक
caricature	n+f.कैरिकेचर@v.व्यंग्यचित्र बनाना
formalism	n+m.औपचारिकतावाद
shroud	n+m.कफ़न@v.ढकना
aching	a.दर्द करता हुआ@v.दर्द करना
stead	n+m.स्थान@n+f.जगह
recoil	v.पीछे हटना@n+m.प्रतिक्षेप
eyepiece	n+m.ऐपीस
reconciled	v.सुलझाया@a.समाधित
daze	n+m.चकाचौंध@v.चकित करना
raisin	n+f.किशमिश
bibl	n+f.ग्रंथसूची
bobcat	n+m.बॉबकैट
freehand	a.मुक्तहस्त@ad.बिना सहारे
amounting	v.बराबर होना
jamming	n+m.जैमिंग@v.ठूंसना
applicator	n+m.एप्लीकेटर
mezzanine	n+f.मेज़ानीन@n+m.बीच की मंज़िल
boer	n+m.बोअर
poisons	n+m.ज़हर@v.ज़हर देना
meghan	n+f.मेघन
nameless	a.अनाम@a.बेनाम
trot	v.दुलकी चलना@n+f.दुलकी
zed	n+m.ज़ेड
humidifier	n+m.ह्यूमिडिफ़ायर
padilla	n+m.पाडिला
susanne	n+f.सुज़ैन
collapses	v.ढह जाता है@n+m.पतन
musically	ad.संगीत की दृष्टि से
intensify	v.तीव्र करना@v.बढ़ाना
voltaire	n+m.वोल्टेयर
harmonies	n+f.सामंजस्य
benito	n+m.बेनिटो
mainstay	n+m.मुख्य आधार
accumulating	v.जमा करना@a.संचित
indebted	a.ऋणी@a.आभारी
wald	n+m.वाल्ड
tasman	n+m.तस्मान
breathed	v.साँस ली
mucosa	n+f.श्लेष्मा झिल्ली
dachshund	n+m.डैशहंड
syringes	n+f.सिरिंज
misled	v.गुमराह किया@a.भटका हुआ
mani	n+m.मणि
culprit	n+m.दोषी@n+m.अपराधी
transact	v.लेनदेन करना
nepali	n+m.नेपाली@a.नेपाली
regimens	n+m.आहार-विहार
wok	n+m.कड़ाही
canola	n+m.कैनोला
slicing	v.काटना@n+m.टुकड़े करना
reproducible	a.पुनरुत्पादनीय
spiced	a.मसालेदार@v.मसाला डाला
skydiving	n+m.स्काईडाइविंग
bogota	n+m.बोगोटा
pron	n+m.सर्वनाम
nicks	n+m.खरोंच@v.खरोंचना
puncture	n+m.पंक्चर@v.छेदना
platelets	n+f.प्लेटलेट्स
lighten	v.हल्का करना@v.रोशन करना
pamper	v.लाड़ प्यार करना
practised	a.अभ्यस्त@v.अभ्यास किया
canteen	n+f.कैंटीन
nineties	n+m.नब्बे का दशक
bracknell	n+m.ब्रैकनेल
hysterical	a.उन्मत्त@a.हास्यास्पद
disinfection	n+m.कीटाणुशोधन
perfusion	n+m.परफ़्यूज़न
darkened	v.अंधेरा किया@a.अंधकारमय
requisition	n+f.माँगपत्र@v.माँग करना
postseason	n+m.पोस्टसीज़न
shrug	v.कंधे उचकाना@n+m.कंधे उचकाना
boils	v.उबलता है@n+m.फोड़े
enchantment	n+m.मंत्रमुग्धता@n+f.जादू
smoothie	n+f.स्मूदी
greta	n+f.ग्रेटा
covey	n+m.झुंड@n+f.टोली
donne	n+m.डन
tabbed	a.टैब वाला@v.टैब लगाया
auctioneers	n+m.नीलामकर्ता
pena	n+m.पेना
loathing	n+f.घृणा@v.घृणा करना
dials	n+m.डायल@v.डायल करना
kyrgyz	n+m.किर्गिज़@a.किर्गिज़
roadrunner	n+m.रोडरनर
woof	n+m.भौं@int.भौं
ominous	a.अशुभ@a.अमंगल
misfits	n+m.अनुपयुक्त लोग
parlour	n+m.बैठक@n+f.दुकान
hammocks	n+m.झूला
quieter	a.अधिक शांत
poking	v.छेड़ना@n+m.छेड़छाड़
tarantino	n+m.टारनटीनो
buyout	n+m.खरीद@n+f.अधिग्रहण
replays	n+m.पुनः प्रसारण@v.दोहराना
adrenergic	a.एड्रेनर्जिक
bottling	n+m.बोतलबंदी@v.बोतल में भरना
caldera	n+f.काल्डेरा
baseman	n+m.बेसमैन
botanicals	n+m.वनस्पति उत्पाद
techie	n+m.टेकी
tallest	a.सबसे ऊँचा
wrestle	v.कुश्ती लड़ना@n+f.कुश्ती
entrenched	a.जमा हुआ@a.दृढ़
rectify	v.सुधारना@v.ठीक करना
virtuous	a.सदाचारी@a.धार्मिक
aster	n+m.ऐस्टर
transparencies	n+f.पारदर्शिताएँ
davy	n+m.डेवी
bloomingdale	n+m.ब्लूमिंगडेल
northrop	n+m.नॉर्थ्रॉप
snails	n+f.घोंघे
decipher	v.गूढ़लिपि पढ़ना@v.समझना
incapacity	n+f.अक्षमता
mittens	n+m.दस्ताने
overkill	n+m.अतिरेक
ferns	n+f.फर्न
curls	n+f.घुंघराले बाल@v.घुमाना
diag	n+m.निदान
chiapas	n+m.चियापास
effortless	a.सहज@a.आसान
hydroelectric	a.जलविद्युत
ens	n+m.एन्स
cranial	a.कपालीय
hindsight	n+f.पश्चात्दृष्टि
wrecked	v.नष्ट किया@a.टूटा हुआ
wince	v.सिकुड़ना@n+m.सिकुड़न
orientated	a.उन्मुख@v.दिशा दी
friendliness	n+f.मित्रता@n+m.सौहार्द
abrasives	n+m.अपघर्षक
invincible	a.अजेय@a.अपराजेय
healthiest	a.सबसे स्वस्थ
prometheus	n+m.प्रोमेथियस
rushes	v.दौड़ता है@n+f.भागदौड़
deities	n+m.देवता@n+f.देवियाँ
wot	v.जानता है
geog	n+f.भूगोल
comanche	n+m.कोमांचे
melts	v.पिघलता है@n+m.पिघलाव
trickle	v.टपकना@n+f.बूँदें
disapprove	v.अस्वीकृत करना
erratic	a.अनियमित@a.सनकी
familiarize	v.परिचित कराना
cashing	v.भुनाना
spousal	a.वैवाहिक@a.पति-पत्नी का
insufficiency	n+f.अपर्याप्तता
abusers	n+m.दुर्व्यवहारकर्ता
drifted	v.बहा@a.बहता हुआ
copley	n+m.कॉप्ले
mallard	n+m.मैलार्ड
airman	n+m.वायुसैनिक
propagated	v.प्रचारित किया@a.प्रसारित
hardships	n+f.कठिनाइयाँ
neurobiology	n+f.तंत्रिका जीवविज्ञान
sabres	n+f.तलवारें
diamante	n+m.डायमंटे
foraging	v.चारा खोजना@n+m.चारा खोज
corsets	n+m.कॉर्सेट
wasps	n+f.ततैया
bureaucrats	n+m.नौकरशाह
wham	int.धम्म@n+m.धमाका
kowloon	n+m.कॉलून
fairytale	n+f.परीकथा@a.परीकथा जैसा
barm	n+m.खमीर
amplitudes	n+f.आयाम
premiered	v.प्रीमियर हुआ
mitre	n+m.मिटर@n+f.बिशप टोपी
institutionalized	a.संस्थागत@v.संस्थागत किया
hamm	n+m.हैम
bhopal	n+m.भोपाल
tonnage	n+m.टनभार
corals	n+m.मूंगा
circulatory	a.परिसंचरण संबंधी
chairmen	n+m.अध्यक्ष
continuance	n+f.निरंतरता
histone	n+m.हिस्टोन
opioid	n+m.ओपिओइड@a.ओपिओइड संबंधी
unrecognized	a.अपरिचित@a.गैर-मान्यता प्राप्त
totalling	v.कुल जोड़ना
premieres	n+m.प्रीमियर@v.प्रीमियर करना
affectionate	a.स्नेही@a.प्यारा
baptiste	n+m.बैप्टिस्ट
translational	a.अनुवादात्मक
unimportant	a.महत्वहीन
lehmann	n+m.लेहमन
ferrara	n+f.फ़ेरारा
greener	a.अधिक हरा
endowments	n+f.बंदोबस्ती@n+m.दान
keaton	n+m.कीटन
grudge	n+f.द्वेष@v.द्वेष रखना
interstitial	a.अंतरालीय
zoological	a.प्राणी विज्ञान संबंधी
helical	a.पेचदार
fondue	n+m.फोंड्यू
norse	a.नॉर्स@n+m.नॉर्स
windscreen	n+m.विंडस्क्रीन
wetting	v.गीला करना@n+m.भिगोना
othello	n+m.ओथेलो
supersonic	a.पराध्वनिक
pocatello	n+m.पोकाटेलो
bosom	n+m.वक्ष@n+f.छाती
maniacs	n+m.सनकी लोग
sysadmin	n+m.सिस्टम प्रशासक
foothill	n+f.तलहटी
earmarked	v.निर्धारित किया@a.आवंटित
bales	n+m.गट्ठे
blackbird	n+m.काला पक्षी
causation	n+f.कारणता
rapes	n+m.बलात्कार@v.बलात्कार करना
persecuted	v.सताया@a.उत्पीड़ित
vlad	n+m.व्लाद
deciduous	a.पर्णपाती
photosynthesis	n+f.प्रकाश संश्लेषण
straighten	v.सीधा करना
remotes	n+m.रिमोट
convocation	n+f.दीक्षांत समारोह
merrick	n+m.मेरिक
precaution	n+f.सावधानी
playmates	n+m.खेल के साथी
empirically	ad.अनुभवजन्य रूप से
deteriorating	v.बिगड़ता हुआ@a.क्षीण होता
cypriot	n+m.साइप्रसवासी@a.साइप्रस का
fascia	n+f.फ़ैसिया@n+m.पट्टी
philanthropic	a.परोपकारी
fryers	n+m.फ्रायर
layering	n+m.परत लगाना@v.परत बनाना
geriatrics	n+f.वृद्धावस्था चिकित्सा
stratified	a.स्तरीकृत@v.स्तर बनाया
picky	a.नखरेबाज़@a.चुनिंदा
conley	n+m.कोनली
critter	n+m.जीव-जंतु
begs	v.भीख माँगता है@v.विनती करता है
emphasise	v.ज़ोर देना
barth	n+m.बार्थ
mooring	n+m.लंगर स्थल@v.लंगर डालना
expats	n+m.प्रवासी
micheal	n+m.माइकल
busts	n+f.मूर्तियाँ@v.तोड़ता है
endoscopy	n+f.एंडोस्कोपी
buzzwords	n+m.चर्चित शब्द
cutaneous	a.त्वचीय
lumen	n+m.ल्यूमेन
airwaves	n+f.रेडियो तरंगें
porters	n+m.कुली
jagger	n+m.जैगर
forgery	n+f.जालसाज़ी
setups	n+m.व्यवस्था@n+f.सेटअप
schindler	n+m.शिंडलर
infrequent	a.अल्प@a.कभी-कभार
mull	v.विचार करना@n+m.मल
ort	n+m.झूठन
frodo	n+m.फ्रोडो
superpower	n+f.महाशक्ति
recliner	n+m.रिक्लाइनर
brandenburg	n+m.ब्रांडेनबर्ग
incision	n+f.चीरा
trisha	n+f.त्रिशा
grimsby	n+m.ग्रिम्सबी
wyeth	n+m.वायथ
adjuster	n+m.समायोजक
jumble	n+m.गड़बड़@v.मिला देना
impeccable	a.निर्दोष@a.त्रुटिहीन
shari	n+f.शारी
marketplaces	n+m.बाज़ार
cognac	n+m.कॉन्यैक
wading	v.पानी में चलना@n+m.छपछपाना
characterizing	v.विशेषता बताना
gawker	n+m.घूरने वाला
gagging	v.मुँह बंद करना@n+m.गला घोंटना
imitate	v.नकल करना@v.अनुकरण करना
grasping	a.लालची@v.पकड़ना
cyclist	n+m.साइकिल सवार
borneo	n+m.बोर्नियो
generics	n+m.जेनेरिक दवाएँ
mortuary	n+m.शवगृह@a.शव संबंधी
magneto	n+m.मैग्नेटो
crunchy	a.कुरकुरा
teletext	n+m.टेलीटेक्स्ट
bode	v.संकेत देना@v.पूर्वसूचना देना
sealant	n+m.सीलेंट
thorns	n+m.काँटे
rightful	a.वैध@a.न्यायसंगत
harriers	n+m.हैरियर
fidel	n+m.फ़िदेल
scarecrow	n+m.बिजूका
concertos	n+m.कंसर्टो
extracurricular	a.पाठ्येतर
mosaics	n+f.मोज़ेक
