ABS	n+m.abs
отделочник	n+m.finisher
отделочники	n+pl.finishers
отдельно	ad.apart@ad.separately@ad.singly
отдельно стоящий	a.freestanding
отдельный	a.separate@a.distinct@a.discrete@a.standalone@a.anecdotal@a.unconnected
отделяемый	a.detachable
отделяется	vi.separates
отделять	vt.detach@v.segregate
отделённый	a.detached
отдохнувший	a.rested
отдушина	n+f.vent
отдушины	n+f.vents
отдых	n+m.rest@n+m.recreation@n+m.repose
отдыхает	v.rests
отдыхал	v.rested
отдыхать	vi.rest@vt.recreate
отдыхающий на выходных	n+m.weekender
отдыхая	v.resting@v.lounging@v.vacationing
отели	n+m.hotels
отель	n+m.hotel
отеляясь	v.calving
отец	n+m.father@n+m.pere
отеческий	a.paternal
отечество	n+f.homeland@n+n.motherland
отжиг	n+m.annealing
отжигать	vt.annealing
отжёг	v.annealed
отзыв	n+m.feedback@n+m.recall@n+m.testimonial@n+n.retraction
отзываемый	a.callable@a.revocable
отзывает	v.recalls
отзывать	vt.recall@vt.withdrawing@vt.withdraws
отзываться	vi.resonate
отзывая	v.recalling
отзывчивость	n+f.responsiveness
отзывчивый	a.responsive
отзывы	n+m.recalls
отит	n+m.otitis
отказ	n+m.denial@n+m.waiver@n+m.rejection@n+m.refusal@n+n.abandonment@n+n.abandoning@n+m.declination@n+n.waiving@n+m.repudiation@n+m.renunciation
отказ от оспаривания	n+n.nolo
отказ от ответственности	n+m.disclaimer
отказавшийся	a.waived
отказал	v.denied@v.refused
отказался	v.refused@v.disclaimed@v.relinquished@v.renounced
отказы от права	n+m.waivers
отказывает	vt.denies
отказывается	v.refuses@vt.disclaims@vt.resigns@v.abandons@v.waives
отказывать	vt.refuse@vt.deny
отказываться	vi.refuse@vt.abandon@vt.waive@vt.resign@vt.disclaim@vt.retract@vt.relinquish@vt.renounce@v.forsake@v.forgo
отказывающий	a.refusing
отказывая	v.denying@v.refusing
отказываясь	v.waiving@v.resigning
откалиброванный	a.calibrated
откалывание	n+f.chipping
откалывать	vt.chipping@vt.chipped
откапывать	vt.unearth
откат	n+m.setback@n+m.rollback@n+m.kickback
откатывается	v.reverts
откачка	n+f.pumping
откидываться	vi.reclining@v.recline
откидывающийся	a.reclining
откладывает	v.waives
откладывание	n+n.deferral@n+n.procrastination@n+n.postponement@n+n.postponing
откладывать	vt.defer@vt.adjourn@vt.postpone@v.deferring
откладывая	v.depositing@v.postponing
откликается	v.resonates
отклонение	n+n.departure@n+n.deviation@n+n.rejection@n+f.deflection@n+n.abnormality@n+n.aberration@n+n.deviance@n+m.swerve
отклонения	n+n.deviations@n+f.abnormalities@n+f.variances
отклонил	v.rejected@v.declined@v.overruled@v.deflected
отклонить	vt.nix
отклоняет	vi.declines@v.dismisses
отклоняется	v.deviates
отклонять	vt.decline@vt.reject@vt.dismiss@vt.disapprove@vt.disallow@v.deflect
отклоняться	vi.deviate@vi.veer@vi.digress@v.diverge@v.swerve
отклоняющийся	a.aberrant
отклоняя	v.declining@v.rejecting
отклонённый	a.denied@a.rejected@a.dismissed@a.disallowed@a.deflected
отключает	vt.disables@v.disconnects
отключать	vt.disable@vt.disconnect@vt.unplug@vt.deactivate
отключающий	v.disabling
отключая	v.disconnecting
отключение	n+m.shutdown@n+n.disconnect@n+m.outage@n+n.disconnection@n+n.disconnecting
отключение электричества	n+f.blackout
отключения	n+m.offs@n+f.outages
отключил	v.unplugged
отключённый	a.disabled@a.disconnected
отколовшийся	a.breakaway
отколотый	a.chipped
откомандированный	a.seconded
откровение	n+n.revelation
откровения	n+f.revelations
откровенно	ad.honestly@ad.frankly
откровенный	a.frank@a.explicit@a.revealing@a.candid@a.outspoken@a.forthright
открывает	v.opens@vt.unveils@vt.discovers@v.unlocks
открывается	v.opens
открывалка	n+m.opener
открывалки	n+m.openers
открывать	v.open@vt.discover@vt.unveil@vt.ope
открывать заново	vt.reopen@vt.reopened
открывая	v.discovering
открывая снова	v.reopening
открыл	v.opened@v.oped
открытая	a+f.open
открытие	n+n.finding@n+n.opening@n+n.discovery@n+n.inauguration@n+n.unveiling
открытие заново	n+n.reopening
открытия	n+n.discoveries
открытка	n+f.postcard
открыто	ad.publicly@ad.openly@ad.upfront@ad.transparently@ad.overtly
открытое	a+n.open
открытость	n+f.openness
открытый	a+m.open@a.opened@a.exposed@v.unlocked@a.unveiled@a.overt@a.professed@a.oped
открытый бассейн	n+m.lido
открытый заново	a.reopened
отксерокопировал	v.photocopied
отксерокопированный	a.photocopied
откуда	ad.whence
отладка	n+f.debug@n+f.debugging
отладчик	n+m.debugger
отлаживать	vt.debug
отлив	n+m.ebb
отливать	vt.cast
отливка	n+f.casting
отливки	n+f.castings
отличает	vt.distinguishes
отличается	v.differs
отличался	v.differed
отличать	vt.distinguish
отличаться	vi.differ
отличающийся	a.distinguished@v.differing@a.divergent
отличие	n+f.distinction
отличимый	a.distinguishable
отличительная черта	n+f.hallmark
отличительно	ad.distinctively
отличительность	n+f.distinctiveness
отличительный	a.distinctive@a.distinguishing
отличники	n+m.hons
отлично	ad.excellently
отличный	a+m.great@a.super@a.excellent@a.fantastic@a.phat@a.cracking@a.swell@a.ripping@a.dandy@a.brill@a.peachy
отлов	n+m.trapping
отложение	n+m.sediment@n+n.adjournment
отложения	n+m.sediments
отложенный	a.delayed@a.deferred@v.postponed@v.adjourned@a.shelved
отложил	v.shelved
отлучать от груди	v.wean
отлучение от груди	n+n.weaning
отлучил от груди	v.weaned
отмели	n+f.shoals
отмена	n+f.cancellation@n+f.override@n+f.reversal@n+f.repeal@n+f.revocation@n+f.abolition@n+f.cancelling@n+f.repealing@n+f.annulment@n+f.undoing@n+f.abolishing@n+f.discontinuance@n+f.rescission@n+f.revoking
отменил	v.cancelled@v.repealed@v.abolished@v.rescinded
отменил выбор	v.deselected
отменить	vt.undo
отменить выбор	v.deselect
отмены	n+f.cancellations@n+m.withdrawals
отменяемый	a.revocable
отменяет	vt.overrides@vt.cancels@v.repeals
отменять	vt.cancel@vt.undo@vt.override@vt.repeal@vi.abort@vt.discontinue@vt.revoke@vt.abolish@vt.cancelling@vt.overturn@v.rescind
отменяя	v.repealing@v.abolishing@v.revoking
отменённый	a.cancelled@a.repealed@v.waived@a.scrubbed@a.overruled@a.negated@a.deselected
отместка	n+m.reprisal
отметил	v.noted@v.remarked
отметил время	v.clocked
отметил галочкой	v.ticked
отметины	n+f.markings
отметка	n+f.mark
отметка на экране	n+f.blip
отмечает	v.marks@v.celebrates@v.commemorates
отмечать	v.note@v.mark@vt.celebrate@vt.commemorate@vt.flagged
отмечать красным	vt.redline
отмечающий	v.marking@v.celebrating
отмечая	v.noting@v.commemorating@v.flagging
отмеченный	a.marked@v.tagged@a.flagged@a.commemorated
отмщение	n+f.vengeance
отмывание	n+n.laundering
отмывка	n+f.backwash
отнимать	vt.subtract
относительно	prep.re@prep.regarding@prep.concerning@ad.relatively@prep.respecting@ad.comparatively@prep.apropos
относительность	n+f.relativity
относительный	a.relative@a.relational
относится	vi.relates@vi.pertains
относить	v.ascribe
относиться	vt.treat@vi.relate@vi.pertain
относя	v.attributing
относящийся	a.relating@v.referring@v.pertaining@a.attributable
относящийся к восприятию	a.perceptual
относящийся к делу	a.pertinent@a.germane
отношение	n+n.relationship@n+n.relation@n+m.regard@n+n.attitude@n+n.bearing@n+n.rel
отношения	n+n.respects
отношенческий	a.attitudinal
отныне	ad.henceforth
отнятый от груди	a.weaned
отображает	v.displays
отображать	vt.render
отображающий	a.displaying
отображение	n+n.mapping
отображения	n+m.mappings
отображённый	a.displayed@a.mapped@a.imaged
отобразил	v.mapped
отобранный	a.singled@a.culled
отобранный вручную	a.handpicked
отодвигать	vt.relegated
отождествляет	v.equates
отождествлять	vt.equate
отожжённый	a.annealed
отозвал	v.recalled@v.withdrew
отозванный	a.withdrawn@v.revoked@a.retracted
отозвать	vt.withdraw
отомстил	v.avenged
отомстить	v.avenge@v.retaliate
отомщённый	a.avenged
отопление	n+n.heating
оториноларингология	n+f.otolaryngology
отпечатанный	a.imprinted
отпечатки	n+m.footprints@n+pl.imprints
отпечатки пальцев	n+m.fingerprints
отпечаток	n+m.imprint@n+m.footprint
отпечаток пальца	n+m.fingerprint
отпирать	vt.unlock
отписаться	vi.unsubscribe
отписка	n+f.unsubscribing
отписываясь	v.unsubscribing
отплатить	v.retaliate
отплачивать	vt.repaid
отплыл	v.sailed
отправил	v.sent@v.shipped@v.dispatched@v.consigned
отправил по почте	v.mailed
отправил по электронной почте	v.emailed
отправители	n+pl.senders
отправитель	n+m.sender@n+m.submitter
отправить повторно	vt.resend
отправка	n+f.shipping@n+f.sending@n+f.shipment@n+f.dispatch@n+f.despatch
отправка сообщений	n+n.texting
отправка факса	n+n.faxing
отправленный	a.shipped@a.dispatched@a.mailed
отправленный факсом	a.faxed
отправляет	v.ships@vt.sends@vt.dispatches@v.punts
отправляет по почте	vt.mails
отправляется	v.embarks
отправлять	v.post@v.mail@v.send@v.submit@vt.ship@vt.dispatch@vt.despatch@vt.despatched
отправлять по факсу	v.fax
отправлять под стражу	vt.remand@vt.remanded
отправлять факс	vt.faxed
отправляться	vi.depart@vi.embarking
отправляющий	a.sending@v.submitting
отправляющий факс	v.faxing
отправляющийся	v.departing
отправляя	v.dispatching
отправляя по электронной почте	v.emailing
отпрыск	n+m.offspring@n+m.scion
отпугивать	vt.deter
отпугнутый	a.deterred
отпуск	n+m.holiday@n+m.leave@n+m.vacation@n+m.vac@n+m.vacationing
отпущение грехов	n+n.absolution
отравление	n+n.poisoning
отравленный	a.poisoned
отравляет	vt.poisons
отравлять	vt.poison@vt.poisoned
отравляя	v.poisoning
отрада	n+f.consolation
отражает	vt.mirrors@vt.reflects
отражал	v.mirrored
отражатели	n+pl.reflectors
отражатель	n+m.reflector@n+m.deflector
отражательная способность	n+f.reflectivity@n+f.reflectance
отражать	vt.reflect@vt.mirror@vt.echo@vt.parry@vt.echoed@vt.mirroring@vt.echoing@vt.fend@vt.repel@v.deflect
отражающий	v.reflecting@a.reflective@a.echoing
отражение	n+n.reflection
отражённый	v.reflected
отразил	v.reflected
отраслевой	a.sectoral
отрасль	n+f.industry@n+f.sector@n+f.branch
отреагировал	v.responded@v.reacted
отрегулированный	a.adjusted
отредактировал	v.edited@v.redacted
отредактированный	a.edited@a.redacted
отрезает	v.snips
отрезанный	a.severed
отрезать	vt.snip@vt.severed@vt.sever
отрезвляющий	a.sobering
отрезвляя	v.sobering
отрезки	n+m.lengths
отрезок	n+m.snip
отрекается	vt.disclaims
отрекаться	vt.renounce
отремонтировал	v.renovated
отремонтированный	a.refurbished@a.reconditioned@a.renovated@v.repaired@a.overhauled
отрендерил	v.rendered
отрепетированный	a.rehearsed
отречение	n+n.repudiation@n+f.renunciation
отрицает	vt.denies
отрицал	v.negated
отрицание	n+n.denial@n+n.negation
отрицатель	n+m.denier
отрицательно	ad.adversely@ad.negatively
отрицательные	n+m.negatives
отрицательный	a.negative@a.minus@a.neg
отрицать	vt.deny@vt.disclaim@vt.negate
отрицая	v.denying
отрог	n+m.spur
отросток	n+m.offshoot
отруби	n+m.bran
отрыв	n+m.breakaway
отрывки	n+m.excerpts@n+m.passages@n+m.snippets
отрывок	n+m.excerpt@n+m.passage@n+m.snippet
отрывочный	a.fragmentary
отрыжка	n+f.burp
отряд	n+m.squad@n+m.troop@n+m.detachment@n+f.posse
отряды	n+m.squads
отрёкся	v.disclaimed@v.renounced
отсев	n+m.dropout
отсеивать	vt.screen@vt.sift
отсек	n+m.cubicle
отсекать	vt.clip
отсеки	n+m.bays@n+m.compartments
отсечка	n+f.cutoff
отсеял	v.screened
отскакивает	v.rebounds
отскакивать	vi.rebound@vi.bounce@vi.recoil
отскакивая	v.rebounding
отсканировал	v.scanned
отсканированный	a.scanned
отскок	n+m.rebound@n+m.bounce
отскоки	n+m.rebounds@n+m.bounces
отскочил	v.bounced@v.rebounded
отслаиваться	vi.flake
отследил	v.tracked
отслеженный	a.traced
отслеживаемый	a.tracked@a.monitored@a.traceable
отслеживает	v.monitors
отслеживание	n+n.tracking
отслеживать	v.track@vt.monitor@vt.trace
отслеживая	v.tracing
отсоединять	vt.detach
отсортировал	v.sorted
отсортированный	a.sorted
отсос	n+f.suction
отсроченный	a.deferred
отсрочить	v.reprieve
отсрочка	n+m.respite@n+f.continuance@n+f.deferral@n+f.postponement@n+f.deferment@n+f.reprieve
отставание	n+m.backlog@n+n.lagging
отставать	vi.lag@vi.lags@vt.lagged
отставка	n+f.dismissal@n+f.resignation
отставной	a.retired
отстаивает	vt.champions@v.upholds
отстаивал	v.advocated@v.championed
отстаивать	vt.advocate@vt.uphold@vt.upholding
отсталость	n+f.retardation
отсталый	a.backward@n+m.retard
отстающий	a.lagged
отстой	vi.suck@vi.sucks
отстойник	n+m.sump
отстранение	n+n.disengagement@n+n.debarment
отстранил	v.sidelined
отстранённый	a.detached@a.sidelined
отступ	n+m.indent@n+m.indentation
отступать	vi.retreat@vi.withdraw@vi.withdrawing@vi.digress@v.backtrack
отступающий	a.retreating@a.receding
отступая	v.retreating@v.receding
отступил	v.withdrew@v.retreated
отступление	n+n.retreat@n+n.rollback@n+n.fallback
отступления	n+m.retreats
отступник	n+m.renegade
отступничество	n+n.defection
отсутствие	n+n.absence
отсутствия	n+f.absences
отсутствовал	v.lacked
отсутствует	v.lacks
отсутствующий	a.absent@n+m.absentee
отсюда	ad.hence
оттаивание	n+n.thawing
оттаивая	v.thawing
отталкивание	n+n.repulsion
отталкивать	vt.repel
отталкивающий	a.repellent@a.repulsive@a.distasteful
отталкиваясь	v.punting
оттачивать	vt.hone
оттачивая	v.honing
оттаявший	a.thawed
оттаял	v.thawed
оттенки	n+pl.hues@n+pl.nuances
оттенок	n+m.tone@n+m.shade@n+m.hue@n+m.tint@n+m.nuance@n+m.tincture@n+m.tinge
оттепель	n+f.thaw
оттирая	v.scrubbing
отток	n+m.outflow@n+m.churn@n+m.efflux
отточенный	a.honed
отточил	v.honed
оттуда	ad.thence@ad.therefrom
отучать	v.wean
отучение	n+n.weaning
отфильтровал	v.filtered
отфильтрованный	a.filtered
отформатировал	v.formatted
отформатированный	a.formatted
отходы	n+m.wastes
отцовский	a.paternal
отцовство	n+n.paternity@n+n.fatherhood
отцы	n+m.dads
отчаиваться	vi.despair
отчасти	ad.somewhat@ad.partly
отчаяние	n+n.despair@n+n.desperation@n+n.hopelessness
отчаянно	ad.desperately@ad.frantically
отчаянный	a.desperate@n+m.desperado
отчеканенный	a.minted
отчеканил	v.minted
отчим	n+m.stepfather
отчитал	v.lectured
отчитался	v.accounted
отчуждать	vt.alienated@v.alienate@v.divest
отчуждающий	a.alienating
отчуждая	v.alienating
отчуждение	n+f.alienation@n+n.divestiture@n+m.divestment
отчуждённый	a.alienated@a.estranged@a.aloof
отчёт	n+m.report@n+m.rpt@n+m.writeup
отчётливо	ad.distinctly
отчётливый	a.distinct
отчётность	n+f.reporting
отчётный	a.reporting
отчёты	n+m.reports
отшелушивающий	a.exfoliating
отшелушивая	v.exfoliating
отшельник	n+m.hermit@n+m.recluse
отшлифованный	a.polished@a.sanded
отшлёпанный	v.spanked
отщепенец	n+m.outlier
отъезд	n+m.departure
отъезды	n+m.departures
отягчающий	a.aggravating
отягчённый	a.aggravated
отёк	n+m.swelling
отёл	n+m.calving
оферент	n+m.offeror
офис	n+m.office
офицер	n+m.officer
официальная	a+f.official
официально	ad.officially@ad.formally
официальное	a+n.official
официальный	a+m.official@a.formal
официант	n+m.waiter
официантка	n+f.waitress
официанты	n+pl.waiters
офлайн	ad.offline
оформитель	n+m.decorator
оформление сделок с недвижимостью	n+n.conveyancing
оформленный	v.styled
оформлять	v.style@v.formalize
офсайд	n+m.offside
офтальмолог	n+m.ophthalmologist
офтальмологический	a.ophthalmic
офтальмология	n+f.ophthalmology
оффшорный	a.offshore
офшоринг	n+m.offshoring
ох	int.och@int.ooh@int.ohs
охарактеризовал	v.characterized@v.characterised
охват	n+m.reach@n+m.scope@n+m.breadth@n+pl.coverages
охватил	v.spanned@v.encompassed
охватывает	vt.encompasses@vt.embraces
охватывать	vt.span@vt.encompass
охватывающий	a.straddling
охватывая	v.spanning@v.encompassing
охваченный	a.covered@a.stricken@a.encompassed@a.gripped
охваченный паникой	a.panicked
охладившийся	v.chilled
охладители	n+m.coolers
охладитель	n+m.cooler@n+m.coolant@n+m.chiller
охлаждает	vt.chills
охлаждать	vt.cool@vt.chill@vt.cools@vt.refrigerate
охлаждающая жидкость	n+f.coolant
охлаждающий	a.cooling
охлаждение	n+n.cooling@n+n.refrigeration
охлаждённый	v.cooled@a.chilled@a.iced@a.refrigerated
охота	n+f.hunting@n+f.hunt
охота на человека	n+f.manhunt
охотился	v.hunted
охотится	vt.hunts
охотиться	vi.hunt@vi.prey
охотиться с гарпуном	v.spearfish
охотник	n+m.hunter@n+m.chaser@n+m.trapper@n+m.huntsman@n+m.nimrod
охотник за головами	n+m.headhunter
охотник на тюленей	n+m.sealer
охотники	n+m.hunters
охотничий	a.hunting
охотно	ad.readily@ad.gladly@ad.willingly@ad.fain
охоты	n+f.hunts
охотясь	v.gunning
охра	n+f.ochre
охрана	n+f.security@n+f.conservation@n+f.guard@n+f.guarding
охрана природы	n+f.conservancy
охранник	n+m.guard
охранный	a.protective@a.custodial
охраняемый	a.guarded
охраняет	vt.guards@v.polices
охранять	vt.guard
охраняющий	v.protecting
охраняя	v.guarding
охристый	a.ochre
оценивает	v.estimates@vt.evaluates@vt.assesses
оценивать	v.rate@vt.estimate@vt.evaluate@vt.appreciate@vt.assess@vt.scoping@vt.valuing@v.appraise
оценивающий	v.evaluating@v.assessing@a.appraising
оценивая	v.estimating@v.appreciating@v.appraising
оценил	v.evaluated@v.assessed@v.appreciated@v.appraised
оценка	n+f.rating@n+f.score@n+f.assessment@n+f.grade@n+f.evaluation@n+f.estimate@n+f.evaluating@n+f.appreciation@n+f.appraisal@n+f.valuation@n+f.estimation@n+f.grading@n+f.estimating@n+f.valuing
оценка стоимости	n+f.valuation
оценки	n+f.appraisals@n+f.valuations
оценки стоимости	n+f.valuations
оценочный	a.evaluative
оценщик	n+m.appraiser@n+m.assessor@n+m.estimator@n+m.evaluator@n+m.grader@n+m.adjuster@n+m.rater
оценщики	n+m.appraisers@n+m.assessors@n+pl.estimators@n+pl.evaluators
оценённый	a.rated@a.estimated@a.priced@v.evaluated@a.assessed@a.appreciated@a.judged@a.appraised
оцепеневший	a.petrified
оцепенение	n+f.numbness
оцепление	n+n.cordon
оцеплять	vt.cordon
оцинкованный	a.galvanized@a.galvanised
оцифровал	v.digitized
оцифрованный	a.digitized
оцифровка	n+f.digitizing@n+f.digitization
оцифровщик	n+m.digitizer
оцифровывать	v.digitize
оцифровывая	v.digitizing
очаг	n+m.hearth
очаги	n+m.outbreaks
очаровал	v.fascinated@v.captivated
очарование	n+n.charm@n+n.glamour@n+m.allure@n+n.fascination@n+n.enchantment
очарованный	a.enchanted@a.charmed@a.fascinated@a.bewitched@a.captivated@a.enthralled
очаровательный	a.charming@a.adorable@a.enchanting@a.captivating@a.winsome
очаровывает	vt.charms@vt.entrances
очаровывать	vt.charm@v.enchant@v.captivate
очевидец	n+m.eyewitness
очевидно	ad.obviously@ad.evidently@int.duh@ad.patently@ad.manifestly@ad.demonstrably@ad.trivially
очевидный	a.obvious@a.apparent@a.evident@a.demonstrable
очень	ad.very@ad.much@ad.super@ad.highly@ad.greatly@ad.jolly@ad.terribly@ad.awfully@ad.sorely@ad.rattling@ad.mightily
очень большой	a.supersize
очереди	n+f.queues
очередь	n+f.line@n+f.turn@n+f.queue@n+f.backlog@n+f.queuing
очерк	n+m.essay
очертание	n+n.contour
очертания	n+f.outlines@n+f.contours
очерченный	a.outlined@a.delineated
очерчивать	vt.delineate
очерчивающий	v.outlining
очистил	v.cleared@v.cleaned@v.purged@v.cleansed
очистители	n+m.purifiers@n+pl.cleansers
очиститель	n+m.purifier@n+m.refiner
очистка	n+f.clearing@n+f.cleanup@n+f.purification@n+f.refining@n+f.wiping@n+f.peeling
очищает	vt.clears
очищать	v.clear@vt.refine@vt.purge@vt.cleanse@vt.peeled@vt.purify@vt.purifying
очищающее средство	n+n.cleanser
очищающий	v.clearing@a.cleansing@a.purifying
очищая	v.purging
очищение	n+n.purification@n+n.cleansing
очищенный	a.refined@a.cleared@a.cleaned@a.purified@a.peeled@a.skinned@a.purged@a.cleansed@a.dredged@a.shelled
очищённый	v.purified
очки	n+m.points@n+f.goggles@n+m.eyeglasses@n+m.goggle@n+pl.spectacles
ошейник	n+m.collar
ошейники	n+m.collars
ошеломил	v.stunned
ошеломить	vt.stun
ошеломлять	vt.daze@v.stagger
ошеломляюще	ad.stunningly
ошеломляющий	a.stunning@a.overwhelming@a.dazzling@a.staggering@a.boggling
ошеломлённый	a.overwhelmed@a.dizzy@a.stunned@a.dazed
ошибается	v.blunders
ошибаться	v.mistake@vi.err@vi.erred
ошибиться	v.goof
ошибка	n+f.error@n+f.bug@n+f.mistake@n+f.fallacy@n+f.inaccuracy@n+f.goof@n+f.bloomer@n+f.boner
ошибки	n+f.inaccuracies@n+f.faults
ошибочно	ad.wrongly@ad.falsely@ad.mistakenly@ad.erroneously
ошибочное мнение	n+f.misconception
ошибочный	a.mistaken@a.flawed@a.erroneous@a.misguided
оштрафованный	v.fined
оштукатурил	v.plastered
ощипанный	a.plucked
ощупывание	n+n.groping
ощутил вкус	v.tasted
ощутимо	ad.markedly@ad.noticeably@ad.appreciably
ощутимый	a.noticeable@a.palpable@a.perceptible
ощущает	v.feels@v.senses@v.perceives
ощущать	v.feel
ощущающий	v.sensing
ощущение	n+n.feeling@n+n.sensation
ощущения	n+f.perceptions@n+f.sensations
паб	n+m.pub
павиан	n+m.baboon
павильон	n+m.pavilion
павлин	n+m.peacock
павший	a.fallen
пагинация	n+f.pagination
пагода	n+f.pagoda
пагубный	a.detrimental@a.deleterious@a.pernicious
падает	v.falls
падаль	n+f.carrion
падальщик	n+m.scavenger
падать	vi.fall@vi.drop@vi.tumble@vi.plunge@vi.slump@vi.tumbled
падать в обморок	v.swoon
падающий	a.falling
падая в обморок	v.fainting
паддок	n+m.paddock
падение	n+n.fall@n+n.falling@n+n.dropping@n+m.tumble@n+n.downfall
падения	n+n.downs
падре	n+m.padres@n+m.padre
падуб	n+m.ilex
пазл	n+m.puzzle@n+m.jigsaw
пазуха	n+f.sinus
пазушный	a.axillary
пайетка	n+m.sequin
пайка	n+f.soldering@n+f.brazing
пайки	n+pl.rations
пайса	n+f.paisa
пакет	n+m.package@n+m.pack@n+m.packet@n+m.batch@n+m.bundle@n+m.pkg@n+m.carton@n+m.pkt
пакет акций	n+m.shareholding
пакетик	n+m.sachet
пакетная обработка	n+f.batching
пакетный	a.packaged
пакеты	n+m.bundles@n+m.batches
пакистанец	n+m.pakistani
пакистанский	a.pakistani
пакт	n+m.pact
паладин	n+m.paladin
палантин	n+f.stole
палата	n+f.chamber@n+f.ward
палатка	n+f.tent
палатки	n+f.tents
палаточный	a.tented
палаты	n+f.wards
палаццо	n+m.palazzo
палач	n+m.hangman@n+m.executioner
палестинец	n+m.palestinian
палестинский	a.palestinian
палестинцы	n+m.palestinians
палец	n+m.finger
палец ноги	n+m.toe
пали	n+m.pali
палийский	a.pali
палисада	n+f.palisade
палисады	n+f.palisades
палисандр	n+n.rosewood
палитра	n+f.palette@n+f.pallet
палка	n+f.stick@n+f.pole
палладий	n+m.palladium
паллеты	n+f.pallets
паллиатив	n+n.palliative
паллиативный	a.palliative
паломино	n+m.palomino
паломник	n+m.pilgrim
паломники	n+m.pilgrims
паломничество	n+n.pilgrimage
палочка	n+f.wand
палочки	n+pl.wands
палтус	n+m.halibut
палуба	n+f.deck@n+f.decking
палубы	n+f.decks
пальма	n+f.palm
пальметто	n+f.palmetto
пальмы	n+f.palms
пальто	n+n.coat@n+n.coats@n+n.overcoat
пальцы	n+m.digits
пальцы ног	n+m.toes
пальчатый	a.fingered
палящий	a.blazing@a.scorching
пампа	n+f.pampa
памфлет	n+m.pamphlet
памфлеты	n+m.pamphlets
памятная вещь	n+f.keepsake
памятная церемония	n+f.commemoration
памятник	n+m.monument
памятники	n+m.monuments@n+f.memorials
памятное	n+n.memento
памятные вещи	n+pl.keepsakes
памятный	a.memorable@a.commemorative
память	n+f.memory@n+f.mem@n+f.remembrance
панамец	n+m.panamanian
панамский	a.panamanian
панацея	n+f.panacea
панда	n+f.panda
пандемический	a.pandemic
пандемия	n+f.pandemic
пандит	n+m.pandit
пандус	n+m.ramp
пандусы	n+m.ramps
панегирик	n+n.eulogy
панели инструментов	n+f.toolbars
панель	n+f.panel@n+f.pane@n+f.fascia@n+m.dado
панель ввода	n+f.keypad
панель задач	n+f.taskbar
панель инструментов	n+f.toolbar@n+f.toolbox
паника	n+f.panic@n+f.scare@n+f.stampede
паники	n+f.scares
паниковать	vi.panic
паникует	v.panics
панированный	a.breaded
панировать	v.breaded
панихида	n+f.dirge
панк	n+m.punk
панки	n+pl.punks
панкреатит	n+m.pancreatitis
панкреатический	a.pancreatic
панорама	n+f.vista@n+f.panorama
панорамирование	n+f.panning
панорамируя	v.panning
панорамный	a.panoramic
панорамы	n+f.panoramas
пансион	n+m.boarding
пансионер	n+m.boarder
пант	n+m.punt
пантеон	n+m.pantheon
пантера	n+f.panther
пантеры	n+f.panthers
пантомима	n+f.mime@n+f.pantomime
панцирная щука	n+f.gar
папа	n+m.father@n+m.dad@n+m.daddy@n+m.papa@n+m.pops@n+m.poppa
папа римский	n+m.pope@n+m.pontiff
папайя	n+f.papaya
папарацци	n+m.paparazzi
папийон	n+m.papillon
папиллярный	a.papillary
папирус	n+m.papyrus
папка	n+f.file@n+f.folder@n+f.dir@n+f.binder
папка входящих	n+f.inbox
папки	n+m.binders
папоротник	n+m.fern
папоротник-орляк	n+m.bracken
папоротники	n+m.ferns
папочка	n+m.daddy@n+m.poppa
папочки	n+pl.daddies
паприка	n+f.paprika
папский	a.papal
папство	n+n.papacy
папы	n+m.dads
пар	n+m.steam@n+m.vapour@n+m.fallow
пара	n+f.couple@n+f.pair@n+f.pairing
параболический	a.parabolic
параглайдинг	n+m.paragliding
параграф	n+m.paragraph@n+m.para
параграфы	n+pl.paras
парад	n+m.parade
парадигма	n+f.paradigm
парадигмы	n+f.paradigms
парадокс	n+m.paradox
парадоксально	ad.paradoxically
парадоксальный	a.paradoxical
парады	n+pl.parades
паразит	n+m.parasite@n+m.leech
паразитарный	a.parasitic
паразитический	a.parasitic
паразитология	n+f.parasitology
паразиты	n+m.parasites
паралимпийский	a.paralympic
паралич	n+m.palsy@n+m.paralysis
параллакс	n+m.parallax
параллели	n+f.parallels
параллелизм	n+m.parallelism
параллелить	v.paralleled
параллель	n+f.parallel
параллельно	ad.concurrently
параллельность	n+f.concurrency
параллельный	a.parallel@a.concurrent@a.paralleled
парамедик	n+m.paramedic
парамедики	n+pl.paramedics
параметр	n+m.parameter
параметрический	a.parametric
параноидальный	a.paranoid
параноик	n+m.paranoid
паранойя	n+f.paranoia
паранормальный	a.paranormal
парапланеризм	n+m.paragliding
парапрофессиональный	a.paraprofessional
парапсихология	n+f.parapsychology
парасоль	n+m.parasol
парафин	n+m.paraffin
парафраз	n+f.paraphrase
парацетамол	n+m.acetaminophen@n+m.paracetamol
парашют	n+m.parachute@n+m.chute
парашютисты	n+pl.paras
парашютный спорт	n+m.skydiving
паращитовидная железа	n+f.parathyroid
паращитовидный	a.parathyroid
парентеральный	a.parenteral
парень	n+m.boy@n+m.guy@n+m.fellow@n+m.dude@n+m.boyfriend@n+m.chap@n+m.lad@n+m.bloke@n+m.hombre@n+m.fella
пари	n+n.wager
париетальный	a.parietal
парижанин	n+m.parisian
парижский	a.parisian
парик	n+m.wig
парики	n+m.wigs
