the	art+m.o@art+f.a
rewind	v.rebobinar@n+m.rebobinamento
gladiator	n+m.gladiador
poplar	n+m.choupo@n+m.álamo
issuers	n+m.emissores
sinh	n+m.seno hiperbólico
recourse	n+m.recurso
martian	a+m.marciano@a+f.marciana@n+m.marciano
equinox	n+m.equinócio
schoolgirls	n+f.alunas@n+f.colegiais
hinder	v.dificultar@v.impedir
fredericksburg	n.Fredericksburg
presume	v.presumir@v.supor
astronaut	n+m.astronauta@n+f.astronauta
armchair	n+f.poltrona
cecilia	n.Cecília
lowry	n.Lowry
constipation	n+f.constipação@n+f.prisão de ventre
sheryl	n.Sheryl
nashua	n.Nashua
strut	v.pavonear@n+m.suporte@n+f.escora
kari	n.Kari
ikea	n.IKEA
appropriateness	n+f.adequação@n+f.propriedade
sues	v.processa@v.aciona judicialmente
tame	a+m.manso@a+f.mansa@a+m.domesticado@a+f.domesticada@v.domesticar
solstice	n+m.solstício
oats	n+f.aveia
candida	n.Cândida@n+f.cândida
wolff	n.Wolff
adjusts	v.ajusta
plume	n+f.pluma@n+m.penacho
pickups	n+f.picapes@n+f.captações
sparta	n.Esparta
chandra	n.Chandra
calypso	n+m.calipso
cheesecake	n+m.cheesecake@n+f.torta de queijo
pantry	n+f.despensa
italics	n+m.itálico
reversing	v.revertendo@a+m.reverso@a+f.reversa
murderer	n+m.assassino@n+f.assassina
courteous	a+m.cortês@a+f.cortês
wilt	v.murchar@n+f.murcha
smoothing	n+m.alisamento@v.suavizando
billet	n+m.alojamento@n+m.tarugo
porting	n+f.portabilidade@v.portando
lubrication	n+f.lubrificação
pretending	v.fingindo
hammock	n+f.rede@n+f.rede de dormir
shootout	n+m.tiroteio
receptions	n+f.recepções
racine	n.Racine
fragmented	a+m.fragmentado@a+f.fragmentada
revoke	v.revogar
intruder	n+m.intruso@n+f.intrusa
chevron	n+m.chevron@n+m.galão
reinsurance	n+m.resseguro
slated	a+m.programado@a+f.programada@a+m.previsto@a+f.prevista
wagons	n+m.vagões@n+f.carroças
jennie	n.Jennie
guantanamo	n.Guantánamo
energizer	n+m.energizador
platte	n.Platte
vandalism	n+m.vandalismo
plank	n+f.tábua@n+f.prancha
acetaminophen	n+m.acetaminofeno@n+m.paracetamol
paddling	n+m.remo@v.remando
wolfram	n.Wolfram@n+m.volfrâmio
contraceptive	n+m.contraceptivo@a+m.contraceptivo@a+f.contraceptiva
necrosis	n+f.necrose
ting	n+m.tinido
iva	n.Iva
interrogation	n+m.interrogatório@n+f.interrogação
bonanza	n+f.bonança@n+f.prosperidade
lumbar	a+m.lombar@a+f.lombar
disparities	n+f.disparidades
longing	n+m.anseio@n+f.saudade
irresistible	a+m.irresistível@a+f.irresistível
pilgrims	n+m.peregrinos
flamenco	n+m.flamenco
osprey	n+f.águia pescadora
disappearing	v.desaparecendo@a+m.desaparecendo@a+f.desaparecendo
enact	v.promulgar@v.decretar
flammable	a+m.inflamável@a+f.inflamável
biometrics	n+f.biometria
inertia	n+f.inércia
misunderstanding	n+m.mal-entendido@n+m.equívoco
deity	n+f.divindade@n+m.deus
pruning	n+f.poda@v.podando
alchemist	n+m.alquimista
hormonal	a+m.hormonal@a+f.hormonal
agra	n.Agra
mandolin	n+m.bandolim
rolf	n.Rolf
calender	n+f.calandra
swiftly	ad.rapidamente
claws	n+f.garras
brightly	ad.brilhantemente
virgo	n.Virgem
manly	a+m.viril@a+f.viril@a+m.másculo@a+f.máscula
emit	v.emitir
shortened	a+m.encurtado@a+f.encurtada@v.encurtou
rink	n+m.ringue@n+f.pista de patinação
unrealistic	a+m.irrealista@a+f.irrealista
rhonda	n.Rhonda
fearful	a+m.temeroso@a+f.temerosa@a+m.medroso@a+f.medrosa
potency	n+f.potência
pings	n+m.pings@v.faz ping
flawless	a+m.impecável@a+f.impecável@a+m.perfeito@a+f.perfeita
peril	n+m.perigo
teaser	n+m.teaser@n+f.prévia
breaches	n+f.violações@n+f.brechas@v.viola
resultant	a+m.resultante@a+f.resultante@n+f.resultante
nestled	v.aninhou@a+m.aninhado@a+f.aninhada
hairs	n+m.cabelos@n+m.pelos
impairments	n+f.deficiências@n+m.comprometimentos
dumfries	n.Dumfries
drastic	a+m.drástico@a+f.drástica
courageous	a+m.corajoso@a+f.corajosa
rho	n+m.rô
promos	n+f.promoções
transceiver	n+m.transceptor
iterative	a+m.iterativo@a+f.iterativa
catered	v.forneceu@a+m.atendido@a+f.atendida
guarded	a+m.guardado@a+f.guardada@a+m.cauteloso@a+f.cautelosa
callahan	n.Callahan
neuron	n+m.neurônio
pulsar	n+m.pulsar
celery	n+m.aipo
pedagogy	n+f.pedagogia
reconcile	v.reconciliar
grammatical	a+m.gramatical@a+f.gramatical
collin	n.Collin
afrikaans	n+m.africâner
ven	n.Ven
cinematic	a+m.cinematográfico@a+f.cinematográfica
admiration	n+f.admiração
ugh	int.ugh@int.argh
zanzibar	n.Zanzibar
illus	n+f.ilustrações
offend	v.ofender
severance	n+f.rescisão@n+f.indenização
numeracy	n+f.numeracia@n+f.competência numérica
somali	a+m.somali@a+f.somali@n+m.somali
caviar	n+m.caviar
popups	n+m.popups@n+f.janelas pop-up
sleepwear	n+f.roupa de dormir@n+m.pijamas
quads	n+m.quadríceps@n+m.quádruplos
combating	v.combatendo
numb	a+m.dormente@a+f.dormente@a+m.entorpecido@a+f.entorpecida
retina	n+f.retina
grady	n.Grady
maids	n+f.empregadas@n+f.criadas
tempting	a+m.tentador@a+f.tentadora
bureaus	n+m.escritórios@n+m.departamentos
voyages	n+f.viagens
kelsey	n.Kelsey
galatians	n.Gálatas
enforceable	a+m.exequível@a+f.exequível@a+m.aplicável@a+f.aplicável
flo	n.Flo
planters	n+m.plantadores@n+m.vasos de plantas
bouncy	a+m.saltitante@a+f.saltitante@a+m.elástico@a+f.elástica
retinal	a+m.retiniano@a+f.retiniana
rocco	n.Rocco
sheath	n+f.bainha
louie	n.Louie
chaplain	n+m.capelão
benefiting	v.beneficiando
dubious	a+m.duvidoso@a+f.duvidosa
sponsorships	n+m.patrocínios
screenwriter	n+m.roteirista@n+f.roteirista
occupies	v.ocupa
mammal	n+m.mamífero
shielded	a+m.blindado@a+f.blindada@a+m.protegido@a+f.protegida
degeneration	n+f.degeneração
listens	v.escuta@v.ouve
swirl	n+m.redemoinho@v.rodopiar
emery	n+f.lixa@n+m.esmeril
twists	n+f.torções@n+f.reviravoltas@v.torce
allele	n+m.alelo
purifiers	n+m.purificadores
scot	n+m.escocês@n+f.escocesa
commuting	n+m.deslocamento diário@v.deslocando
intrigue	n+f.intriga@v.intrigar
hiphop	n+m.hip-hop
kama	n.Kama
blanche	n.Blanche
eczema	n+m.eczema
veg	n+m.vegetal@n+f.verdura
roadster	n+m.roadster@n+m.carro esportivo
dialect	n+m.dialeto
nominating	v.nomeando@v.indicando
fanatic	n+m.fanático@n+f.fanática@a+m.fanático@a+f.fanática
upton	n.Upton
pave	v.pavimentar
confetti	n+m.confete
coverings	n+f.coberturas@n+m.revestimentos
raptors	n+m.raptores
danced	v.dançou
slightest	a+m.mínimo@a+f.mínima
bromley	n.Bromley
revive	v.reviver@v.reanimar
corolla	n+f.corola
veggie	n+m.vegetal@a+m.vegetariano@a+f.vegetariana
dharma	n+m.dharma
chameleon	n+m.camaleão
hooper	n.Hooper
predominant	a+m.predominante@a+f.predominante
luciano	n.Luciano
abode	n+f.morada@n+m.domicílio
savoy	n.Saboia
abrasive	a+m.abrasivo@a+f.abrasiva@n+m.abrasivo
insecurity	n+f.insegurança
koruna	n+f.coroa
ensembles	n+m.conjuntos
backpacker	n+m.mochileiro@n+f.mochileira
trustworthy	a+m.confiável@a+f.confiável
uniformity	n+f.uniformidade
comfy	a+m.confortável@a+f.confortável
assuring	v.assegurando
conquered	v.conquistou@a+m.conquistado@a+f.conquistada
alarming	a+m.alarmante@a+f.alarmante
dur	n+f.duração
registries	n+m.registros
eradication	n+f.erradicação
amused	a+m.divertido@a+f.divertida@v.divertiu
horizontally	ad.horizontalmente
herefordshire	n.Herefordshire
knitted	a+m.tricotado@a+f.tricotada@v.tricotou
doh	int.doh@n+m.dó
exploding	v.explodindo@a+m.explosivo@a+f.explosiva
jodi	n.Jodi
narrowly	ad.por pouco@ad.estreitamente
campo	n+m.campo
quintet	n+m.quinteto
ambiance	n+f.ambiência@n+m.ambiente
rampant	a+m.desenfreado@a+f.desenfreada
suitcase	n+f.mala
damian	n.Damian
bakeries	n+f.padarias
fucker	n+m.filho da puta
polka	n+f.polca
embarrassment	n+m.constrangimento@n+f.vergonha
wiper	n+m.limpador
wrappers	n+m.invólucros@n+f.embalagens
spectators	n+m.espectadores
iterations	n+f.iterações
mismatch	n+m.desencontro@n+f.incompatibilidade
coronado	n.Coronado
retaliation	n+f.retaliação@n+f.represália
oxides	n+m.óxidos
qualifiers	n+m.qualificadores@n+f.eliminatórias
inquirer	n+m.investigador@n+f.investigadora
battered	a+m.maltratado@a+f.maltratada@a+m.espancado@a+f.espancada
wellesley	n.Wellesley
dreadful	a+m.terrível@a+f.terrível@a+m.horrível@a+f.horrível
smokey	a+m.enfumaçado@a+f.enfumaçada
metaphysics	n+f.metafísica
drifting	v.vagando@n+m.drifting
ritter	n.Ritter
vacuums	n+m.vácuos@n+m.aspiradores
attends	v.atende@v.frequenta
nicer	a+m.mais agradável@a+f.mais agradável
mellow	a+m.suave@a+f.suave@a+m.maduro@a+f.madura
lagos	n.Lagos
boast	v.gabar@n+f.ostentação
gents	n+m.cavalheiros
respiration	n+f.respiração
rapper	n+m.rapper
absentee	n+m.ausente@a+m.ausente@a+f.ausente
duplicates	n+f.duplicatas@v.duplica
hooters	n+m.buzinas@n+f.corujas
calligraphy	n+f.caligrafia
dubois	n.Dubois
advantageous	a+m.vantajoso@a+f.vantajosa
corollary	n+m.corolário
tighter	a+m.mais apertado@a+f.mais apertada
predetermined	a+m.predeterminado@a+f.predeterminada
asparagus	n+m.aspargo
monique	n.Monique
fearless	a+m.destemido@a+f.destemida
airy	a+m.arejado@a+f.arejada
ortiz	n.Ortiz
pref	n+f.preferência
progresses	v.progride@n+m.progressos
canister	n+m.recipiente@n+f.lata
stiffness	n+f.rigidez
recessed	a+m.embutido@a+f.embutida@a+m.recuado@a+f.recuada
thrifty	a+m.econômico@a+f.econômica@a+m.frugal@a+f.frugal
canning	n+f.conservação em lata@v.enlatando
workmanship	n+f.mão de obra@n+m.acabamento
palladium	n+m.paládio
levitt	n.Levitt
complexities	n+f.complexidades
shipper	n+m.transportador@n+f.transportadora
darryl	n.Darryl
shan	n.Shan
hobo	n+m.vagabundo@n+m.andarilho
wrinkles	n+f.rugas
illustrating	v.ilustrando
sly	a+m.astuto@a+f.astuta@a+m.manhoso@a+f.manhosa
reductase	n+f.redutase
raul	n.Raul
shenandoah	n.Shenandoah
harnesses	n+m.arreios@v.aproveita
oshkosh	n.Oshkosh
multivariate	a+m.multivariado@a+f.multivariada
perch	n+m.poleiro@n+f.perca@v.empoleirar
craven	a+m.covarde@a+f.covarde@n.Craven
divergence	n+f.divergência
kitchenware	n+m.utensílios de cozinha
homage	n+f.homenagem
atrocities	n+f.atrocidades
immunoglobulin	n+f.imunoglobulina
londonderry	n.Londonderry
hops	n+m.lúpulo@v.pula
unitary	a+m.unitário@a+f.unitária
emmy	n.Emmy
chez	prep.em casa de
admittedly	ad.reconhecidamente
ruiz	n.Ruiz
hospitalization	n+f.hospitalização
clubbing	n+f.balada@v.frequentando boates
microelectronics	n+f.microeletrônica
observational	a+m.observacional@a+f.observacional
crashers	n+m.penetras
angst	n+f.angústia
liturgy	n+f.liturgia
nativity	n+f.natividade
surety	n+f.fiança@n+f.garantia
deregulation	n+f.desregulamentação
tranquil	a+m.tranquilo@a+f.tranquila
carpentry	n+f.carpintaria
disseminated	a+m.disseminado@a+f.disseminada@v.disseminou
staircase	n+f.escadaria
cutler	n+m.cuteleiro@n.Cutler
sweetie	n+m.querido@n+f.querida
cradles	n+m.berços@v.embala
electorate	n+m.eleitorado
mideast	n+m.Oriente Médio
airs	n+m.ares@v.exibe
reconstructed	a+m.reconstruído@a+f.reconstruída@v.reconstruiu
resent	v.ressentir
hispanics	n+m.hispânicos
podium	n+m.pódio
opposes	v.opõe
paranoia	n+f.paranoia
faceted	a+m.facetado@a+f.facetada
silvia	n.Sílvia
distraction	n+f.distração
dominates	v.domina
kimberley	n.Kimberley
gecko	n+f.lagartixa@n+m.osga
despatch	n+m.despacho@v.despachar
fugitive	n+m.fugitivo@n+f.fugitiva@a+m.fugitivo@a+f.fugitiva
tucked	v.enfiou@a+m.enfiado@a+f.enfiada
interchangeable	a+m.intercambiável@a+f.intercambiável
rollins	n.Rollins
jericho	n.Jericó
turmoil	n+f.turbulência@n+m.tumulto
seeded	a+m.semeado@a+f.semeada@a+m.cabeça de chave@a+f.cabeça de chave
dietrich	n.Dietrich
unjust	a+m.injusto@a+f.injusta
cyclists	n+m.ciclistas
fey	a+m.clarividente@a+f.clarividente
markedly	ad.marcadamente
fascinated	a+m.fascinado@a+f.fascinada@v.fascinou
disturb	v.perturbar
terminates	v.termina
exempted	a+m.isento@a+f.isenta@v.isentou
bounced	v.quicou@a+m.devolvido@a+f.devolvida
rankin	n.Rankin
brightest	a+m.mais brilhante@a+f.mais brilhante
nurturing	a+m.protetor@a+f.protetora@v.nutrindo
saddles	n+f.selas@v.sela
enzymology	n+f.enzimologia
amadeus	n.Amadeus
galapagos	n.Galápagos
scotsman	n+m.escocês
fitzpatrick	n.Fitzpatrick
gushing	a+m.efusivo@a+f.efusiva@v.jorrando
picker	n+m.colhedor@n+f.colhedora
distracted	a+m.distraído@a+f.distraída@v.distraiu
secluded	a+m.isolado@a+f.isolada@a+m.recluso@a+f.reclusa
criticize	v.criticar
bog	n+m.pântano
livelihood	n+m.sustento@n+f.subsistência
mulder	n.Mulder
godfrey	n.Godfrey
minerva	n.Minerva
superseded	a+m.substituído@a+f.substituída@v.substituiu
iceberg	n+m.iceberg
caleb	n.Caleb
christening	n+m.batismo@n+f.cerimônia de batismo
jealousy	n+m.ciúme@n+f.inveja
mooney	n.Mooney
syntactic	a+m.sintático@a+f.sintática
plumber	n+m.encanador@n+f.encanadora
envision	v.imaginar@v.prever
hagen	n.Hagen
codex	n+m.códice
squeezed	v.espremeu@a+m.espremido@a+f.espremida
judas	n.Judas
cosmology	n+f.cosmologia
dole	n+m.subsídio de desemprego@n.Dole
wick	n+m.pavio
gertrude	n.Gertrudes
communists	n+m.comunistas
noodle	n+m.macarrão
owes	v.deve
scents	n+m.aromas@n+m.perfumes
sargent	n.Sargent
bangle	n+f.pulseira
bertha	n.Bertha
levied	v.cobrou@a+m.cobrado@a+f.cobrada
humping	v.corcoveando
sag	v.ceder@n+f.curvatura
barns	n+m.celeiros
covenants	n+m.pactos@n+m.convênios
peat	n+f.turfa
donnie	n.Donnie
privatisation	n+f.privatização
proprietor	n+m.proprietário@n+f.proprietária
tofu	n+m.tofu
lizzie	n.Lizzie
raids	n+m.ataques@n+f.batidas@v.ataca
intuit	v.intuir
adoptive	a+m.adotivo@a+f.adotiva
solos	n+m.solos
compartments	n+m.compartimentos
minimized	a+m.minimizado@a+f.minimizada@v.minimizou
partnered	v.associou@a+m.associado@a+f.associada
twat	n+f.boceta@n+m.idiota
maj	n+m.major
filibuster	n+m.obstrucionismo@v.obstruir
tulane	n.Tulane
facet	n+f.faceta
behaviours	n+m.comportamentos
importation	n+f.importação
redneck	n+m.caipira
synthesized	a+m.sintetizado@a+f.sintetizada@v.sintetizou
encapsulation	n+f.encapsulação
samsonite	n.Samsonite
accordion	n+m.acordeão
mss	n+m.manuscritos
planter	n+m.plantador@n+m.vaso de planta
rooney	n.Rooney
minimally	ad.minimamente
metz	n.Metz
immaculate	a+m.imaculado@a+f.imaculada
mailings	n+f.correspondências@n+m.envios postais
reindeer	n+f.rena
ono	n.Ono
beachfront	n+f.beira-mar@a+m.à beira-mar@a+f.à beira-mar
telegram	n+m.telegrama
ruben	n.Ruben
shaken	a+m.abalado@a+f.abalada
crosswords	n+f.palavras cruzadas
wares	n+f.mercadorias
integrative	a+m.integrativo@a+f.integrativa
rivalry	n+f.rivalidade
verve	n+m.entusiasmo@n+f.verve
charley	n.Charley
carpenters	n+m.carpinteiros
spree	n+f.farra@n+f.onda
embed	v.incorporar@v.embutir
gurus	n+m.gurus
sunk	a+m.afundado@a+f.afundada@v.afundou
morley	n.Morley
bespoke	a+m.sob medida@a+f.sob medida
inflicted	v.infligiu@a+m.infligido@a+f.infligida
abbreviated	a+m.abreviado@a+f.abreviada@v.abreviou
allotted	a+m.atribuído@a+f.atribuída@v.atribuiu
drowned	v.afogou@a+m.afogado@a+f.afogada
gerhard	n.Gerhard
escorted	v.escoltou@a+m.escoltado@a+f.escoltada
watersheds	n+f.bacias hidrográficas@n+m.divisores de água
brute	n+m.bruto@a+m.bruto@a+f.bruta
trimester	n+m.trimestre
barracks	n+m.quartel@n+f.caserna
clickable	a+m.clicável@a+f.clicável
kidneys	n+m.rins
electricians	n+m.eletricistas
warbler	n+f.toutinegra
onward	ad.em diante@a+m.progressivo@a+f.progressiva
capricorn	n.Capricórnio
kidnapping	n+m.sequestro@v.sequestrando
inducing	v.induzindo
dipped	v.mergulhou@a+m.mergulhado@a+f.mergulhada
lancet	n+f.lanceta
antelope	n+m.antílope
terminus	n+m.terminal@n+m.término
castings	n+f.fundições@n+m.elencos
flanders	n.Flandres
perm	n+f.permanente@v.fazer permanente
rte	n+f.rota
spectrometry	n+f.espectrometria
snippet	n+m.trecho@n+m.fragmento
pellets	n+m.grânulos@n+f.pelotas
permeability	n+f.permeabilidade
enclosing	v.incluindo@v.anexando
starred	a+m.estrelado@a+f.estrelada
deacon	n+m.diácono
kabul	n.Cabul
sweeps	v.varre@n+f.varreduras
butch	a+m.masculinizado@a+f.masculinizada@n.Butch
normalization	n+f.normalização
skillet	n+f.frigideira
bookcase	n+f.estante
neoprene	n+m.neoprene
offeror	n+m.ofertante
assembling	v.montando@v.reunindo
diaphragm	n+m.diafragma
huber	n.Huber
chores	n+f.tarefas domésticas
jarrett	n.Jarrett
consignment	n+f.remessa@n+m.consignação
yarns	n+m.fios@n+f.histórias
maintainers	n+m.mantenedores
ginseng	n+m.ginseng
blackout	n+m.apagão@n+m.blecaute
detergent	n+m.detergente
seedlings	n+f.mudas
rosetta	n.Roseta
fortified	a+m.fortificado@a+f.fortificada@v.fortificou
reconsideration	n+f.reconsideração
barnard	n.Barnard
grenade	n+f.granada
profoundly	ad.profundamente
karin	n.Karin
lana	n.Lana@n+f.lã
bartender	n+m.barman@n+f.bartender
mayfair	n.Mayfair
jag	n+m.entalhe@n+f.ponta
vanished	v.desapareceu@a+m.desaparecido@a+f.desaparecida
crafting	v.criando@n+f.confecção
lair	n+m.covil@n+f.toca
enclose	v.incluir@v.anexar
mowers	n+m.cortadores de grama
bratislava	n.Bratislava
sinners	n+m.pecadores
policymakers	n+m.formuladores de políticas
lille	n.Lille
sienna	n.Siena@n+m.siena
calves	n+m.bezerros@n+f.panturrilhas
defer	v.adiar@v.deferir
desmond	n.Desmond
liars	n+m.mentirosos@n+f.mentirosas
els	n.Els
sod	n+m.torrão@n+f.grama
lacy	a+m.rendado@a+f.rendada@n.Lacy
pharaoh	n+m.faraó
advocated	v.advogou@v.defendeu
itching	n+f.coceira@v.coçando
reimburse	v.reembolsar
devotional	a+m.devocional@a+f.devocional
esperanto	n+m.esperanto
taft	n.Taft
modalities	n+f.modalidades
lighters	n+m.isqueiros
comparatively	ad.comparativamente
shutting	v.fechando
spartans	n+m.espartanos
endemic	a+m.endêmico@a+f.endêmica
tourney	n+m.torneio
reasoned	a+m.fundamentado@a+f.fundamentada@v.raciocinou
carly	n.Carly
hydrologic	a+m.hidrológico@a+f.hidrológica
saith	v.diz
astral	a+m.astral@a+f.astral
huddersfield	n.Huddersfield
parallels	n+m.paralelos@v.acompanha
aimee	n.Aimee
yelled	v.gritou
wren	n+f.carriça
ait	n+f.ilhota
terence	n.Terence
hamper	n+m.cesto@v.dificultar
balkan	a+m.balcânico@a+f.balcânica
transduction	n+f.transdução
blurred	a+m.borrado@a+f.borrada@a+m.turvo@a+f.turva
clarifying	v.esclarecendo@a+m.clarificador@a+f.clarificadora
aortic	a+m.aórtico@a+f.aórtica
smuggling	n+m.contrabando@v.contrabandeando
martens	n+f.martas@n.Martens
instincts	n+m.instintos
hutton	n.Hutton
masquerade	n+f.mascarada@n+m.baile de máscaras
deans	n+m.decanos@n+m.reitores
structuring	n+f.estruturação@v.estruturando
duality	n+f.dualidade
sensational	a+m.sensacional@a+f.sensacional
kites	n+f.pipas
lipids	n+m.lipídios
jurisdictional	a+m.jurisdicional@a+f.jurisdicional
smoother	a+m.mais suave@a+f.mais suave
cellphones	n+m.celulares
expulsion	n+f.expulsão
cordoba	n.Córdoba
withhold	v.reter
romano	n.Romano
sheppard	n.Sheppard
grievances	n+f.queixas@n+m.agravos
betrayed	v.traiu@a+m.traído@a+f.traída
folsom	n.Folsom
triggering	v.acionando@v.desencadeando
dumps	n+m.lixões@v.despeja
binocular	a+m.binocular@a+f.binocular@n+m.binóculo
buckles	n+f.fivelas@v.afivela
joyful	a+m.alegre@a+f.alegre
generalization	n+f.generalização
specialise	v.especializar
hin	n+m.him
remortgages	n+f.refinanciamentos@v.refinancia
mckinley	n.McKinley
hanks	n.Hanks@n+m.novelos
pancakes	n+f.panquecas
dosing	n+f.dosagem@v.dosando
crave	v.ansiar@v.desejar
strobe	n+m.estroboscópio@n+f.luz estroboscópica
focussed	a+m.focado@a+f.focada@v.focou
waffle	n+m.waffle@v.divagar
detectable	a+m.detectável@a+f.detectável
arrowhead	n+f.ponta de flecha
nigga	n+m.mano
ripple	n+f.ondulação@v.ondular
paycheck	n+m.contracheque@n+m.salário
sweeper	n+m.varredor@n+f.varredora
claimants	n+m.requerentes
freelancers	n+m.freelancers@n+m.autônomos
consolidating	v.consolidando
seinfeld	n.Seinfeld
goldsmith	n+m.ourives@n.Goldsmith
responders	n+m.socorristas@n+m.respondentes
inclination	n+f.inclinação
keepsake	n+f.lembrança@n+m.objeto de recordação
measles	n+m.sarampo
arcs	n+m.arcos
upbeat	a+m.otimista@a+f.otimista@a+m.animado@a+f.animada
ayes	n+m.votos a favor@n+m.sins
amenity	n+f.comodidade
donuts	n+m.donuts@n+f.rosquinhas
salty	a+m.salgado@a+f.salgada
cuisinart	n.Cuisinart
baptized	v.batizou@a+m.batizado@a+f.batizada
expelled	v.expulsou@a+m.expulso@a+f.expulsa
rupees	n+f.rúpias
betrayal	n+f.traição
prototyping	n+f.prototipagem@v.prototipando
flourish	v.florescer@n+m.floreio
zeros	n+m.zeros
heed	v.prestar atenção@n+f.atenção
sporty	a+m.esportivo@a+f.esportiva
graf	n.Graf
hawking	n.Hawking@v.vendendo ambulantemente
tumour	n+m.tumor
pooled	a+m.agrupado@a+f.agrupada@v.agrupou
bora	n.Bora@n+f.bora
divides	v.divide@n+f.divisões
stabilize	v.estabilizar
composing	v.compondo
handicrafts	n+m.artesanatos
healed	v.curou@a+m.curado@a+f.curada
burmese	a+m.birmanês@a+f.birmanesa@n+m.birmanês
clueless	a+m.sem noção@a+f.sem noção
boon	n+m.benefício@n+f.bênção
pedestrians	n+m.pedestres
woodruff	n.Woodruff@n+f.aspérula
southport	n.Southport
radiotherapy	n+f.radioterapia
gathers	v.reúne@v.colhe
pawn	n+m.peão@n+m.penhor@v.penhorar
stitched	a+m.costurado@a+f.costurada@v.costurou
camille	n.Camille
ceases	v.cessa
dorsal	a+m.dorsal@a+f.dorsal
transfusion	n+f.transfusão
collie	n+m.collie
mcmillan	n.McMillan
hereditary	a+m.hereditário@a+f.hereditária
exaggerated	a+m.exagerado@a+f.exagerada@v.exagerou
witt	n.Witt
buccaneers	n+m.bucaneiros
newsflash	n+m.notícia de última hora
spleen	n+m.baço
allotment	n+f.alocação@n+m.lote
recombination	n+f.recombinação
messing	v.bagunçando
multiplying	v.multiplicando
empress	n+f.imperatriz
orbits	n+f.órbitas@v.orbita
budgeted	a+m.orçado@a+f.orçada@v.orçou
whence	ad.de onde
slogans	n+m.slogans
flashback	n+m.flashback@n+f.lembrança
trusting	a+m.confiante@a+f.confiante@v.confiando
photometry	n+f.fotometria
sabre	n+m.sabre
stigma	n+m.estigma
abduction	n+m.sequestro@n+f.abdução
ingestion	n+f.ingestão
mindset	n+f.mentalidade
banda	n.Banda
attaches	v.anexa
adulthood	n+f.idade adulta
inject	v.injetar
tartan	n+m.tartan@n+m.xadrez escocês
twisting	v.torcendo@a+m.sinuoso@a+f.sinuosa
tore	v.rasgou
dunk	v.enterrar@n+f.enterrada
goofy	a+m.pateta@a+f.pateta@n.Pateta
eth	n+m.eth
mimic	v.imitar@n+m.imitador
mcintyre	n.McIntyre
aga	n.Aga@n+m.agá
shielding	n+f.blindagem@v.protegendo
stormy	a+m.tempestuoso@a+f.tempestuosa
raglan	n+m.raglan
celtics	n.Celtics
heterosexual	a+m.heterossexual@a+f.heterossexual@n+m.heterossexual
vulgar	a+m.vulgar@a+f.vulgar
pathological	a+m.patológico@a+f.patológica
mappings	n+m.mapeamentos
hodge	n.Hodge
snip	v.cortar@n+m.corte
fascism	n+m.fascismo
trimming	n+m.acabamento@v.aparando
audiovisual	a+m.audiovisual@a+f.audiovisual
diagnosing	v.diagnosticando
emanuel	n.Emanuel
serene	a+m.sereno@a+f.serena
neutrino	n+m.neutrino
obligatory	a+m.obrigatório@a+f.obrigatória
corrugated	a+m.ondulado@a+f.ondulada@a+m.corrugado@a+f.corrugada
queenstown	n.Queenstown
certifying	v.certificando
forbid	v.proibir
unhealthy	a+m.insalubre@a+f.insalubre@a+m.doentio@a+f.doentia
felicity	n+f.felicidade@n.Felicity
subj	n+m.assunto
asymptotic	a+m.assintótico@a+f.assintótica
ticks	n+m.carrapatos@n+m.tiques@v.marca
fascination	n+m.fascínio
isotope	n+m.isótopo
locales	n+m.locais
experimenting	v.experimentando
preventative	a+m.preventivo@a+f.preventiva
vigil	n+f.vigília
robbed	v.roubou@a+m.roubado@a+f.roubada
brampton	n.Brampton
temperate	a+m.temperado@a+f.temperada
lott	n.Lott
meier	n.Meier
crore	n+m.crore
rebirth	n+m.renascimento
progressing	v.progredindo
fragrant	a+m.fragrante@a+f.fragrante
deserving	a+m.merecedor@a+f.merecedora@v.merecendo
diagnoses	n+m.diagnósticos@v.diagnostica
defeating	v.derrotando
cortical	a+m.cortical@a+f.cortical
hotter	a+m.mais quente@a+f.mais quente
itchy	a+m.cocento@a+f.cocenta@a+m.pruriginoso@a+f.pruriginosa
instantaneous	a+m.instantâneo@a+f.instantânea
operatives	n+m.agentes@n+m.operadores
carmichael	n.Carmichael
bulky	a+m.volumoso@a+f.volumosa
exponent	n+m.expoente
desperation	n+m.desespero
glaucoma	n+m.glaucoma
homosexuals	n+m.homossexuais
oversees	v.supervisiona
setter	n+m.levantador@n+f.levantadora
categorised	a+m.categorizado@a+f.categorizada@v.categorizou
monumental	a+m.monumental@a+f.monumental
olaf	n.Olaf
fer	n.Fer
diamondbacks	n.Diamondbacks
stirred	v.mexeu@a+m.mexido@a+f.mexida
subtype	n+m.subtipo
toughest	a+m.mais difícil@a+f.mais difícil
facade	n+f.fachada
frankfort	n.Frankfort
thessaloniki	n.Tessalônica
monograph	n+f.monografia
literate	a+m.alfabetizado@a+f.alfabetizada
booze	n+f.bebida alcoólica
widen	v.alargar
bikers	n+m.motoqueiros
bubba	n.Bubba
mutt	n+m.vira-lata
adjective	n+m.adjetivo
disciple	n+m.discípulo@n+f.discípula
cipher	n+f.cifra@n+m.código
orwell	n.Orwell
arrears	n+m.atrasos@n+f.dívidas
rhythmic	a+m.rítmico@a+f.rítmica
