ABA	n.aba
formar bolhas	v.blister@v.blistering
formar equipe	v.teaming
formas	n+f.forms@n+f+pl.shapes
formas de onda	n+f+pl.waveforms
formas de relevo	n+f+pl.landforms
formata	v.formats
formatado	a.formatted
formatador	n+m.formatter
formatando	v.formatting
formatar	v.format
formatação	n+f.formatting
formativa	a+f.formative
formativo	a+m.formative
formato	n+m.format
formato de concha	n+m.clamshell
formato in-quarto	n+m.quarto
formatos	n+m.formats
formatou	v.formatted
formatura	n+f.graduation@n+f.commencement
formaturas	n+f+pl.graduations
formação	n+f.training@n+f.background@n+f.formation
formação de ruck	n+f.ruck
formação de vincos	n+f.creasing
formações	n+f.formations@n+f+pl.lineups
formidável	a+m.formidable@a+f.formidable
formiga	n+f.ant
formigamento	n+m.tingling@n+m.tingle
formigar	v.tingling@v.tingle
formigas	n+f.ants
formigueiro	n+m.anthill
formou	v.formed@v.graduated
formulada	a+f.formulated@a+f.phrased
formulado	a+m.formulated@a+m.phrased
formuladores de políticas	n+m.policymakers
formulando	v.formulating
formular	v.formulate
formulação	n+f.formulation
formulação de políticas	n+f.policymaking
formulações	n+f.formulations
formulou	v.formulated@v.phrased
formulária	a+f.formulary
formulário	n+m.form@n+m.formulary@a+m.formulary
formulários	n+m.forms
fornada	n+f.batch
fornalha	n+f.furnace
fornalhas	n+f.furnaces
fornece	v.provides@v.supplies@v.furnishes
fornecedor	n+m.provider@n+m.supplier@n+m.outfitter@n+m.purveyor
fornecedor de buffet	n+m.caterer
fornecedora	n+f.supplier@n+f.outfitter@n+f.purveyor
fornecedores	n+m.providers@n+m.suppliers@n+m+pl.purveyors
fornecedores de buffet	n+m.caterers
fornecedores de equipamentos	n+m.outfitters
fornecendo	v.providing@v.sourcing@v.furnishing
fornecer	v.provide@v.supply@v.supplying@v.furnish@v.cater@v.caters
forneceu	v.provided@v.supplied@v.catered
fornecida	a+f.provided@a+f.supplied
fornecido	a+m.provided@a+m.supplied
fornecimento	n+m.supply@n+m.supplying
fornicação	n+f.fornication
forno	n+m.oven@n+m.furnace@n+m.kiln
fornos	n+m.ovens@n+m.furnaces@n+m+pl.kilns
forquilha	n+f.pitchfork
forrado	a.lined
forrageamento	n+m.foraging
forragear	v.forage@v.foraging
forragem	n+f.forage@n+f.fodder@n+f.matting
forrando	v.lining
forras	n+f+pl.linings
forro	n+m.lining@n+m.liner
forros	n+m+pl.linings
forsyth	n.forsyth
fortalece	v.strengthens
fortalecendo	v.strengthening
fortalecer	v.strengthen
fortaleceu	v.strengthened
fortalecida	a+f.strengthened
fortalecido	a+m.strengthened
fortalecimento	n+m.strengthening
fortaleza	n+f.fort@n+f.fortress@n+f.bastion@n+f.fortitude
fortalezas	n+f.forts@n+f+pl.strongholds
forte	a+m.strong@a+f.strong@n+m.fort@a.mighty@n+m.forte@a+m.fortis@a+f.fortis@n+m.rath
fortemente	ad.strongly@ad.heavily@ad.powerfully
fortes	n+m.forts
fortificada	a+f.fortified
fortificado	a+m.fortified
fortificante	a+m.fortifying@a+f.fortifying
fortificar	v.fortifying@v.fortify
fortificação	n+f.fortification
fortificações	n+f+pl.fortifications
fortificou	v.fortified
fortuna	n+f.fortune
fortunas	n+f.fortunes
força	n+f.might@n+f.force@v.forces@n+f.strength@v.strains@n+f.brunt
força de trabalho	n+f.workforce
força de vontade	n+f.willpower
força eletromotriz	n+f.emf
força imparável	n+m.juggernaut
força-tarefa	n+f.taskforce
forçada	a+f.forced@a+f.contrived@a+f.forcible
forçado	a+m.forced@a+m.contrived@a+m.forcible
forçando	v.forcing@v.railroading
forçar	v.force@v.strain@v.pry
forças	n+f.forces@n+f+pl.strengths
forças de paz	n+m+pl.peacekeepers
forçosamente	ad.forcibly@ad.perforce
forçou	v.forced@v.strained
fosca	a+f.matt@a+f.matte@a+f.frosted
fosco	a+m.matt@a+m.matte@a+m.frosted
fosfatase	n+f.phosphatase
fosfato	n+m.phosphate
fosfatos	n+m+pl.phosphates
fosfodiesterase	n+f.phosphodiesterase
fosfolipídio	n+m.phospholipid
fosfolipídios	n+m+pl.phospholipids
fosforilação	n+f.phosphorylation
fosforosa	a+f.phosphorous
fosforoso	a+m.phosphorous
fosfórica	a+f.phosphoric
fosfórico	a+m.phosphoric
fosso	n+m.ditch@n+m.moat@n+m.fosse
fossos	n+m+pl.ditches
fot	n+m.phot
foto	n+f.photo@n+f.picture@n+f.shot@n+f.pic
foto instantânea	n+f.snapshot
fotocopiada	a+f.photocopied
fotocopiado	a+m.photocopied
fotocopiadora	n+f.photocopier
fotocopiadoras	n+f+pl.photocopiers
fotocopiando	v.photocopying
fotocopiar	v.photocopy@v.photocopies
fotocopiou	v.photocopied
fotocópia	n+f.photocopy@n+f.photocopying
fotocópias	n+f+pl.photocopies
fotoelétrica	a+f.photoelectric
fotoelétrico	a+m.photoelectric
fotografa	v.photographs
fotografada	a+f.photographed@a+f.imaged
fotografado	a+m.photographed@a+m.imaged
fotografando	n+m.photographing
fotografar	v.photograph@v.photographing@v.imaged
fotografia	n+f.photography@n+f.photograph
fotografias	n+f.photographs
fotografou	v.photographed
fotogrametria	n+f.photogrammetry
fotográfico	a.photographic
fotojornalismo	n+m.photojournalism
fotojornalista	n+m.photojournalist@n+f.photojournalist
fotometria	n+f.photometry
fotométrica	a+f.photometric
fotométrico	a+m.photometric
fotoquímica	a+f.photochemical
fotoquímico	a+m.photochemical
fotos	n+f.pictures@n+f.photos@n+f.pics@n+f.shots@n+f+pl.pix@n+f.snapshots
fotossintética	a+f.photosynthetic
fotossintético	a+m.photosynthetic
fotossíntese	n+f.photosynthesis
fotovoltaica	a+f.photovoltaic
fotovoltaico	a+m.photovoltaic
fotógrafa	n+f.photographer
fotógrafo	n+m.photographer
fotógrafos	n+m+pl.photographers
fotônica	a+f.photonic
fotônico	a+m.photonic
fourier	n.fourier
foxtrote	n+m.foxtrot
foyer	n+m.foyer
fraca	a+f.weak@a+f.faint@a+f.feeble@a+f.puny
fracamente	ad.weakly@ad.faintly@ad.dimly
fracassa	v.fails@v.flops
fracassada	a+f.flopped
fracassado	a+m.flopped
fracassar	v.flop
fracasso	n+m.failure@n+m.flop@n+m.dud
fracassos	n+m.flops
fracassou	v.flopped
fracionamento	n+f.fractionation
fracionária	a+f.fractional
fracionário	a+m.fractional
fraco	a+m.weak@a.dim@a.lame@a+m.faint@a+m.feeble@a+m.puny
fracote	n+m.wimp@a+m.wimpy@a+f.wimpy
fractais	n+m+pl.fractals
fractal	n+m.fractal@a+m.fractal@a+f.fractal
frades	n+m+pl.friars
fragata	n+f.frigate
fragilidade	n+f.fragility@n+f.frailty
fragmentada	a+f.fragmented@a+f.piecemeal@a+f.scrappy
fragmentado	a+m.fragmented@a+m.piecemeal@a+m.scrappy
fragmentar	v.fragment@v.frag
fragmentação	n+f.fragmentation
fragmento	n+m.fragment@n+m.snatch@n+m.snippet@n+m.shred@n+m.frag@n+m.shard
fragmentos	n+m+pl.fragments@n+m.snippets@n+m+pl.shards@n+f+pl.snatches
fragmentária	a+f.fragmentary
fragmentário	a+m.fragmentary
fragrante	a+m.fragrant@a+f.fragrant
fragrância	n+f.fragrance@n+f.scent
fragrâncias	n+f+pl.fragrances
fralda	n+f.diaper@n+f.nappy
fraldas	n+f.diapers@n+f+pl.nappies
framboesa	n+f.raspberry
framboesas	n+f+pl.raspberries
framework	n+m.framework
frameworks	n+m.frameworks
franca	a+f.frank@a+f.candid@a+f.franco@a+f.upfront@a+f.outspoken@a+f.forthright
francamente	ad.frankly@ad.downright
francesa	a+f.french
franchising	n+m.franchising
franciscana	a+f.franciscan@n+f.franciscan
franciscano	a+m.franciscan@n+m.franciscan
franco	a+m.frank@n+m.franc@a.blunt@a+m.candid@a+m.franco@a+m.upfront@a+m.outspoken@a+m.forthright
franco-atirador	n+m.sniper
franco-atiradores	n+m+pl.snipers
francos	n+m.francs@n+m.franks
francês	a+m.french@n+m.french@n+m.frenchman
francófona	a+f.francophone@n+f.francophone
francófono	a+m.francophone@n+m.francophone
frango	n+m.chicken
frango de corte	n+m.broiler
frangos	n+m.chickens
franja	n+f.fringe@n+f.bangs
franjada	a+f.fringed
franjado	a+m.fringed
franjas	n+f.fringes@n+f+pl.tassels
frankenstein	n.frankenstein
franqueada	n+f.franchisee@a+f.franchised
franqueadas	n+f+pl.franchisees
franqueado	n+m.franchisee@a+m.franchised
franqueador	n+m.franchisor
franqueadora	n+f.franchisor
franqueados	n+m+pl.franchisees
franqueou	v.franchised
franqueza	n+f.openness
franquia	n+f.franchise@n+f.deductible@n+m.franchising
franquia postal	n+m.postage
franquias	n+f.franchises@n+f+pl.deductibles
franzir a testa	v.frown@v.frowned
franzir de sobrancelhas	n+m.frown
fraqueza	n+f.weakness
fraquezas	n+f+pl.weaknesses
frasco	n+m.flask@n+m.vial@n+m.cruse
frascos	n+m.jars@n+m.vials@n+m+pl.flasks
frase	n+f.sentence@n+f.phrase@n+f.phr
frase-senha	n+f.passphrase
fraseado	n+f.phrasing
fraseando	v.phrasing
frases	n+f+pl.phrases@n+f+pl.sentences
fraternal	a+m.fraternal@a+f.fraternal@a+m.brotherly@a+f.brotherly
fraternalmente	ad.brotherly
fraternidade	n+f.fraternity@n+f.brotherhood@n+f.frat
fraternidades	n+f+pl.fraternities
fratura	n+f.fracture@v.fractures
fraturada	a+f.fractured
fraturado	a+m.fractured
fraturar	v.fracture
fraturas	n+f.fractures
fraturou	v.fractured
fraudadores	n+m+pl.scammers
fraudar	v.defraud@v.swindle
fraude	n+f.fraud@n+f.scam@n+f.deceit@n+f.swindle
fraudes	n+f.scams@n+f+pl.frauds@n+f+pl.hoaxes
fraudulenta	a+f.fraudulent@a+f.bogus
fraudulentamente	ad.fraudulently
fraudulento	a+m.fraudulent@a+m.bogus
fração	n+f.fraction
frações	n+f.fractions
freando	v.braking
frear	v.brake
freddy	n.freddy
frederic	n.frederic
freelance	a.freelance
freelancer	n+m.freelance@n+m.freelancer@n+f.freelancer
freelancers	n+m.freelancers
freeware	n+m.freeware
freezer	n+m.freezer
freezers	n+m.freezers
frei	n+m.fra@n+m.friar
freio	n+m.brake@n+m.bridle
freios	n+m+pl.brakes
freira	n+f.nun
freiras	n+f.nuns
frenagem	n+f.braking
frenesi	n+m.frenzy@n+m.flurry
freneticamente	ad.frantically
frente	n+f.front
frente de batalha	n+f.battlefront
frente de onda	n+f.wavefront
frentes	n+f.fronts
frenética	a+f.frantic@a+f.frenzied@a+f.frenetic
frenético	a+m.frantic@a+m.frenzied@a+m.frenetic
frequenta	v.attends
frequentada	a+f.frequented
frequentado	a+m.frequented
frequentador de bares	n+m.barfly
frequentador de raves	n+m.raver
frequentadora de raves	n+f.raver
frequentadoras	n+f+pl.goers
frequentadores	n+m.regulars@n+m+pl.goers@n+m+pl.denizens
frequentando boates	v.clubbing
frequentar	v.attend@v.frequent
frequente	a.frequent
frequentemente	ad.often@ad.frequently@ad.commonly@ad.oft@ad.oftentimes
frequentou	v.frequented
frequência	n+f.frequency@n+f.attendance@n+f.freq
frequências	n+f+pl.frequencies@n+f+pl.attendances
fresagem	n+f.milling
fresca	a+f.cool@a+f.fresh
fresco	a+m.cool@a+m.fresh
frescor	n+f.freshness@n+f.coolness
fretada	a+f.chartered
fretado	a+m.chartered
fretamento	n+m.charter@n+f.chartering
fretamentos	n+m.charters
fretando	v.chartering
frete	n+m.freight
freud	n.freud
freudiana	a+f.freudian
freudiano	a+m.freudian
frey	n.frey
fria	a+f.cold@a+f.chilly
fricção	n+f.rub@n+f.friction@n+f.rubbing
frieza	n+f.coolness
frigideira	n+f.pan@n+f.skillet
frigobar	n+m.minibar
frio	a+m.cold@n+m.cold@n+m.chill@a+m.chilly
frisado	a.beaded
frisagem	n+f.crimping
frisando	v.crimping
frisar	v.crimp
frisbee	n+m.frisbee
friso	n+m.frieze
frisson	n+m.thrill
fritadeira	n+f.fryer
fritadeiras	n+f.fryers
fritando	v.frying
fritar	v.fry
frito	a.fried
fritou	v.fried
fritura	n+f.fry@n+f.frying
frivolidades	n+f+pl.frills
frondosa	a+f.leafy
frondoso	a+m.leafy
fronha	n+f.pillowcase
fronhas	n+f+pl.pillowcases
frontal	a+m.front@a+f.front@a+m.frontal@a+f.frontal@a+m.fronted@a+f.fronted
fronteira	n+f.border@n+f.boundary@n+f.frontier
fronteiras	n+f+pl.boundaries@n+f+pl.borders@n+f.frontiers
frontão	n+m.gable
frontões	n+m.gables
frota	n+f.fleet
frotas	n+f.fleets
frouxa	a+f.loose@a+f.lax@a+f.slack
frouxamente	ad.loosely
frouxo	a+m.loose@a+m.lax@a+m.slack
frugal	a+m.thrifty@a+f.thrifty@a+m.frugal@a+f.frugal
frugalidade	n+f.thrift
fruição	n+f.fruition
frustrada	a+f.frustrated@a+f.thwarted@a+f.foiled
frustrado	a+m.frustrated@a+m.thwarted@a+m.foiled
frustrante	a.frustrating
frustrar	v.foil@v.frustrating@v.thwart@v.foils@v.frustrate
frustração	n+f.frustration
frustrações	n+f.frustrations
frustrou	v.thwarted@v.foiled
fruta	n+f.fruit
fruta silvestre	n+f.berry
frutada	a+f.fruity
frutado	a+m.fruity
frutas	n+f+pl.fruits
frutas silvestres	n+f.berries
frutificando	v.fruiting
frutificação	n+f.fruiting
fruto	n+m.fruit
frutos do mar	n+m.seafood
frutose	n+f.fructose
frutífera	a+f.fruitful
frutífero	a+m.fruitful
frágil	a.fragile@a+m.brittle@a+f.brittle@a+m.frail@a+f.frail@a+m.flimsy@a+f.flimsy
frígida	a+f.frigid
frígido	a+m.frigid
frísia	a+f.frisian@n+f.frisian
frísio	a+m.frisian@n+m.frisian
frívola	a+f.frivolous@a+f.giddy
frívolo	a+m.frivolous@a+m.giddy
fubá	n+m.cornmeal
fudge	n+m.fudge
fuga	n+f.escape@n+f.lam@n+f.getaway@n+f.breakout@n+f.breakaway@n+f.fugue
fugas	n+f.getaways@n+f.escapes
fugaz	a+m.fleeting@a+f.fleeting
fugindo	v.fleeing
fugir	v.bolt@v.lam@v.flee@v.bolted
fugitiva	n+f.runaway@a+f.runaway@n+f.fugitive@a+f.fugitive
fugitivas	n+f+pl.fugitives@n+f+pl.runaways
fugitivo	n+m.runaway@a+m.runaway@n+m.fugitive@a+m.fugitive
fugitivos	n+m+pl.fugitives@n+m+pl.runaways
fugiu	v.fled
fujona	n+f.dodger
fujão	n+m.dodger
fulcro	n+m.fulcrum
fuligem	n+m.smut@n+f.soot
fuliginosa	a+f.sooty
fuliginoso	a+m.sooty
fullerton	n.fullerton
fulminante	a+m.withering@a+f.withering
fulva	a+f.tawny
fulvo	n+m.fawn@a+m.tawny
fumando	v.smoking
fumante	n+m.smoker@n+f.smoker
fumantes	n+m.smokers
fumar	v.smoke@v.smokes@v.toke
fumaça	n+f.smoke@n+f.smokes@n+f.fume@n+m.fum
fumaças	n+f.fumes
fumegante	a+m.steaming@a+f.steaming
fumegar	v.fume
fumigação	n+f.fumigation
fumou	v.smoked
fumê	a+m.tinted@a+f.tinted
funcho	n+m.fennel
funciona	v.works@v.functions
funciona mal	v.malfunctions
funcional	a+m.functional@a+f.functional
funcionalidade	n+f.functionality@n+f.serviceability
funcionalidades	n+f+pl.functionalities
funcionalmente	ad.functionally
funcionamento	n+m.functioning
funcionamentos	n+m.workings
funcionando	a+m.working@a+f.working@v.functioning
funcionando mal	v.malfunctioning
funcionar	v.function
funcionar mal	v.malfunction
funcionou	v.worked@v.functioned
funcionária	n+f.employee@n+f.staffer
funcionárias	n+f.employees@n+f.staffers
funcionário	n+m.employee@n+m.clerk@n+m.staffer
funcionários	n+m.employees@n+m.personnel@n+m.officials@n+m.officers@n+m.clerks@n+m.staffs@n+m.staffers
funda	n+f.sling
fundada	a+f.founded
fundado	a+m.founded
fundador	n+m.founder@a.founding
fundadora	n+f.founder
fundadoras	n+f.founders
fundadores	n+m.founders@n+m+pl.framers
fundamenta	v.underpins
fundamentada	a+f.reasoned@a+f.substantiated
fundamentado	a+m.reasoned@a+m.substantiated
fundamental	a.fundamental@a.underlying@a+m.pivotal@a+f.pivotal@a+m.foundational@a+f.foundational
fundamentalismo	n+m.fundamentalism
fundamentalista	n+m.fundamentalist@a+m.fundamentalist@a+f.fundamentalist
fundamentalistas	n+m+pl.fundamentalists@n+f+pl.fundamentalists
fundamentalmente	ad.fundamentally
fundamentar	v.substantiated@v.underpin
fundamentação	n+f.grounding
fundamento	n+m.rationale@n+m.underpinning
fundamentos	n+m+pl.fundamentals@n+m+pl.rationales
fundar	v.found
fundas	n+f+pl.trusses
fundação	n+f.foundation@n+f.founding
fundações	n+f+pl.foundations
funde	v.fuses
fundeiro	n+m.slinger
fundida	a+f.merged@a+f.fused
fundido	a+m.merged@a+m.fused
fundindo	v.fusing@v.smelting
fundir	v.merge@v.fuse@v.merging@v.merges@v.meld
fundir-se	v.coalesce
fundiu	v.merged@v.fused@v.smelt
fundição	n+f.casting@n+f.foundry@n+f.smelter@n+f.smelting
fundições	n+f.castings@n+f.foundries
fundo	n+m.fund@n+m.background@n+m.bottom@n+m.endowment
fundo do mar	n+m.seabed@n+m.seafloor
fundos	n+m.funds@n+m+pl.backgrounds@n+m+pl.trusts@n+m.bottoms@n+m.endowments@n+m+pl.backdrops
fundou	v.founded
funerais	n+m.funerals
funeral	n+m.funeral
fungicida	n+m.fungicide
fungicidas	n+m+pl.fungicides
fungo	n+m.fungus
fungos	n+m.fungi
funil	n+m.hopper@n+m.funnel
funileiro	n+m.tinker
funis	n+m+pl.hoppers@n+m+pl.funnels
funk	n+m.funk
funky	a.funky
função	n+f.function@n+f.role
funções	n+f.functions@n+f.roles
fura-greve	n+m.scab
furacão	n+m.hurricane
furacões	n+m+pl.hurricanes
furada	a+f.holed
furadeira	n+f.drill
furado	a+m.holed
furar	v.drill@v.riddles@v.puncture
furgoneta	n+f.van
furiosa	a+f.mad@a+f.furious@a+f.raging@a+f.berserk@a+f.livid
furiosamente	ad.angrily@ad.furiously
furioso	a+m.mad@a+m.furious@a+m.raging@a+m.berserk@a+m.livid
furlong	n+m.furlong
furo	n+m.scoop@n+m.bore@n+m.puncture@n+m.borehole
furos	n+m+pl.bores
furos jornalísticos	n+m.scoops
furou	v.scooped@v.holed
furtiva	a+f.sneaky@a+f.sneaking
furtividade	n+f.stealth
furtivo	a.stealth@n+m.sneak@a+m.sneaky@a+m.sneaking
furto	n+m.theft@n+m.larceny
furto em loja	n+m.shoplifting
furtos	n+m+pl.thefts@n+m+pl.burglaries
furão	n+m.ferret
furões	n+m+pl.ferrets
furúnculo	n+m.boil
furúnculos	n+m.boils
fuselagem	n+f.fuselage@n+f.airframe
fuso	n+m.spindle
fuso horário	n+m.timezone
fusos	n+m+pl.spindles
fusão	n+f.fusion@n+f.merger@n+f.melt@n+f.melting@n+f.merging@n+f.amalgamation@n+f.meld
fusão do núcleo	n+f.meltdown
fusíveis	n+m.fuses
fusível	n+m.fuse
fusões	n+f.mergers
futebol	n+m.football@n+m.soccer@n+m.footballs@n+m.footy@n+m.fut
futebol americano	n+m.football
futilidade	n+f.futility
futon	n+m.futon
futons	n+m+pl.futons
futura	a+f.future
futuridade	n+f.futurity
futurismo	n+m.futurism
futurista	a+m.futuristic@a+f.futuristic@n+m.futurist@n+f.futurist@a+m.futurist@a+f.futurist
futuro	n+m.future@a+m.future
futuros	n+m+pl.futures
fuzileiro naval	n+m.marine
fuzileiros navais	n+m+pl.marines
fábrica	n+f.plant@n+f.factory@n+f.mill
fábrica de conservas	n+f.cannery
fábrica de exploração	n+f.sweatshop
fábrica de laticínios	n+f.creamery
fábricas	n+f+pl.mills@n+f.factories
fábula	n+f.fable
fábulas	n+f.fables
fácies	n+f.facies
fácil	a+m.easy@a+f.easy@a+m.effortless@a+f.effortless@a+m.facile@a+f.facile
fáscia	n+f.fascia
fáscias	n+f+pl.fascias
fã	n+m.fan@n+m.fanboy@n+m.groupie@n+f.groupie
fãs	n+m.fans@n+f+pl.groupies
fé	n+f.faith@n+f.fides
férias	n+f.holiday@n+f.vacation@n+f.holidays@n+f.vacations@n+f.vac
férmion	n+m.fermion
férmions	n+m+pl.fermions
férrica	a+f.ferric
férrico	a+m.ferric
fértil	a+m.fertile@a+f.fertile
fés	n+f.faiths
fêmea	n+f.female
fêmeas	n+f+pl.females
fêmur	n+m.femur
fênix	n+f.phoenix
fígado	n+m.liver
fígados	n+m+pl.livers
física	a+f.physical@n+f.physics@n.phys@n+f.physicist
físico	a+m.physical@n+m.physicist@n+m.physique
físicos	n+m.physicists
fístula	n+f.fistula
fólica	a+f.folic
fólico	a+m.folic
fólio	n+m.folio
fólios	n+m+pl.folios
fórceps	n+m.forceps
fórmica	n+f.formica
fórmula	n+f.formula
fórmulas	n+f+pl.formulas@n+f.formulae
fórum	n+m.forum@n+m.courthouse
fóruns	n+m.forums@n+m.fora@n+m+pl.courthouses
fósforo	n+m.match@n+m.phosphorus@n+m.phosphor
fósforos	n+m.matches
fósseis	n+m.fossils
fóssil	n+m.fossil@a.fossil
fóton	n+m.photon
fótons	n+m.photons
fôlego	n+m.breath
fôlegos	n+m+pl.breaths
fônica	a+f.phonic
fônico	a+m.phonic
fônon	n+m.phonon
fúcsia	n+f.fuchsia@a+m.fuchsia@a+f.fuchsia
fúngica	a+f.fungal
fúngico	a+m.fungal
fúrcula	n+f.wishbone
fúria	n+f.rage@n+f.fury@n+f.wrath@n+f.rampage
fútil	a+m.futile@a+f.futile
gabar	v.boast
gabar-se	v.boasting@v.brag@v.bragging
gabarito	n+f.jig
gabaritos	n+f+pl.jigs
gabber	n+m.gabber
gabinete	n+m.cabinet
gabinetes	n+m+pl.cabinets
gabou-se	v.boasted
gabrielle	n.gabrielle
gadget	n+m.gadget
gadgets	n+m.gadgets
gado	n+m.cattle@n+m.livestock@n+m+pl.kine
gafanhoto	n+m.locust@n+m.grasshopper
gafanhotos	n+m+pl.grasshoppers@n+m+pl.locusts
gafe	n+f.muff
gafes	n+f+pl.goofs@n+m+pl.bloopers
gaga	a+f.stuttering
gago	a+m.stuttering
gagueira	n+f.stuttering@n+f.stutter
gaguejar	v.stuttering@v.stutter
gagá	a+m.gaga@a+f.gaga
gaio	n+m.jay
gaiola	n+f.cage@n+f.hutch
gaiolas	n+f.cages@n+f+pl.hutches
gaios	n+m.jays
gaita	n+f.harmonica
gaita de foles	n+f.bagpipe
gaitas de fole	n+f+pl.bagpipes
gaiteira	n+f.piper
gaiteiro	n+m.piper
gaiteiros	n+m+pl.pipers
gaivota	n+f.gull@n+f.seagull
gaivotas	n+f+pl.gulls@n+f+pl.seagulls
gala	n+f.gala
galactose	n+f.galactose
galante	a+m.gallant@a+f.gallant
galega	a+f.galician
galego	a+m.galician@n+m.galician
galena	n+f.galena
galeria	n+f.gallery@n+f.arcade@n+f.galleria
galerias	n+f.galleries
galeão	n+m.galleon
galgo	n+m.greyhound
galgos	n+m+pl.greyhounds
galhada	n+f.antler
galhadas	n+f+pl.antlers
galhardete	n+m.pennant
galhardetes	n+m+pl.pennants
galhas	n+f+pl.galls
galho	n+m.limb@n+m.twig@n+m.bough
galhos	n+m+pl.twigs
galileu	n.galileo
galinha	n+f.chicken@n+f.hen@n+f.fowl
galinhas	n+f.chickens@n+f.hens
galinheiro	n+m.coop
galinhola	n+f.woodcock
galo	n+m.cock@n+m.rooster
galo anão	n+m.bantam
galopando	v.galloping
galopante	a+m.galloping@a+f.galloping
galopar	v.gallop
galopar suavemente	v.canter
galope	n+m.gallop
galos	n+m.cocks@n+m+pl.roosters
galos de briga	n+m+pl.gamecocks
galpão	n+m.shed
galpões	n+m.sheds
galvanizada	a+f.galvanized@a+f.galvanised
galvanizado	a+m.galvanized@a+m.galvanised
galvanizando	v.electroplating
galvanização	n+f.plating
galvanizou	v.galvanized
galvanoplastia	n+f.electroplating
galáctica	a+f.galactic
galáctico	a+m.galactic
galáxia	n+f.galaxy
galáxias	n+f.galaxies
galão	n+m.gallon@n+m.gal@n+m.chevron
galé	n+f.galley
galês	a.welsh@n+m.welsh
galões	n+m.gallons
gama	n+f.range@n+f.gamma@n+f.gamut
gambiana	a+f.gambian@n+f.gambian
gambiano	a+m.gambian@n+m.gambian
gambito	n+m.gambit
gambá	n+m.skunk@n+m.possum
gamers	n+m+pl.gamers
gamão	n+m.backgammon
gananciosa	a+f.greedy@a+f.grasping
ganancioso	a+m.greedy@a+m.grasping
gancho	n+m.hook@n+m.peg@n+m.grapple
ganchos	n+m+pl.hooks@n+m.pegs
ganense	a+m.ghanaian@a+f.ghanaian@n+m.ghanaian@n+f.ghanaian
gangsta	n+m.gangsta
gangue	n+f.gang
gangues	n+f.gangs
ganha	v.wins@a+f.earned@v.gains@v.earns
ganhador	n+m.earner@n+m.gainer
ganhadora	n+f.earner@n+f.gainer
ganhadores	n+m+pl.gainers
ganhando	v.earning@v.gaining
ganhar	v.win@v.gain@v.earn
ganho	n+m.gain@a+m.earned@n+m.earning
ganhos	n+m.earnings@n+m+pl.gains@n+m.winnings@n+m+pl.takings
ganhou	v.won@v.earned@v.gained
ganido	n+m.yip@n+m.yelp
ganir	v.yip@v.yelp
ganja	n+f.ganja
ganso	n+m.goose@n+m.gander
gansos	n+m.geese
ganância	n+f.greed
garagem	n+f.garage
garagem coberta	n+f.carport
garagens	n+f.garages
garanhão	n+m.stud@n+m.stallion
garanhões	n+m.stallions
garante	v.ensures@v.guarantees@v.warrants
garantia	n+f.guarantee@n+f.warranty@n+f.assurance@n+f.warrant@n+m.collateral@n+f.lien@n+f.surety@n+f.guaranty@n+f.guaranteeing@n+f.reassurance
garantias	n+f+pl.warranties@n+f+pl.guarantees@n+f.warrants@n+f.assurances
garantida	a+f.guaranteed@a+f.ensured@a+f.surefire@a+f.clinched
garantido	a+m.guaranteed@a.assured@v.assured@a+m.ensured@a+m.surefire@a+m.clinched
garantidor	n+m.guarantor
garantindo	v.ensuring@v.securing
garantir	v.ensure@v.guarantee@v.assure@v.guaranteeing@v.clinch@v.vouch@v.underwrite
garantiu	v.guaranteed@v.ensured@v.clinched
gardênia	n+f.gardenia
gareth	n.gareth
garfo	n+m.fork
garfos	n+m+pl.forks
gargalo	n+m.bottleneck
gargalos	n+m.necks@n+m.bottlenecks
garganta	n+f.throat@n+f.gorge
gargantas	n+f.throats@n+f+pl.gorges
gargantilha	n+f.choker
garimpeiro	n+m.prospector
garoa	n+f.drizzle
garoar	v.drizzle
garota	n+f.girl@n+f.babe@n+f.kid@n+f.chick@n+f.gal@n+f.lass@n+f.girlie
garotas	n+f.girls@n+f.babes@n+f+pl.chicks@n+f+pl.gals
garoto	n+m.boy@n+m.kid@n+m.lad
garotos	n+m.boys
garoupa	n+f.grouper
garra	n+f.claw@n+f.talon@n+f.gripper
garrafa	n+f.bottle@n+f.decanter@n+f.carafe
garrafa Dewar	n+m.dewar
garrafa térmica	n+f.flask@n+f.thermos
garrafas	n+f+pl.bottles
garrafas de cristal	n+f+pl.decanters
garrafas térmicas	n+f+pl.flasks
garras	n+f.claws@n+f.clutches@n+f+pl.talons
garry	n.garry
garupa	n+f.rump
garça	n+f.crane@n+f.heron@n+f.egret
garças	n+f.cranes@n+f+pl.herons
garçom	n+m.waiter
garçonete	n+f.waitress
garçonetes	n+f+pl.waitresses
garçons	n+m+pl.waiters
gaseifica	v.gasses
gaseificada	a+f.carbonated
gaseificado	a+m.carbonated
gases	n+m+pl.gases@n+m+pl.gasses
gasolina	n+f.gas@n+f.gasoline@n+m.petrol
gasosa	a+f.gaseous
gasoso	a+m.gaseous
gasta	a+f.spent@v.spends@a+f.expended@a+f.shabby
gastando	v.spending
gastar	v.spend@v.expend
gasto	a+m.spent@n+m.spending@n+m.expenditure@a.worn@a+m.expended@a+m.shabby
gastos	n+m+pl.expenditures
gastou	v.spent@v.expended
gastrite	n+f.gastritis
