آب	n+m.abe
لصوص	n+m.thieves@n+m.robbers@n+m.burglars
لطخ	v.smeared
لطخات	n+f.smears
لطخة	n+f.smear@n+f.blot@n+f.smudge
لطف	n+f.kindness@n+m.friendliness@n+f.gentleness
لطيف	a+m.kind@a+m.nice@a+m.cute@a.pleasant@a.gentle@a.bland@a.agreeable@a.considerate@a.ducky@a.mignon@a.amiable@a.likable@a.genial
لطيف المظهر	a.personable
لطيفة	a+f.kind@a+f.nice@a+f.cute
لعاب	n+m.saliva@n+m.drool
لعابي	a.salivary
لعازر	n+m.lazarus
لعب	n+m.playing@v.played
لعب الغولف	n+m.golfing
لعب دفاعي	n+m.fielding
لعب دور البطولة	v.starred
لعب صاخب	n+f.romp
لعبة	n+f.game@n+f.play@n+f.toy
لعبة الاسكواش	n+f.squash
لعبة البولينغ الصغيرة	n+m.skittles
لعبة الداما	n+f.checkers
لعبة السهام	n+f.darts
لعبة القفز	n+f.leapfrog
لعبة المشنقة	n+f.hangman
لعبة تويستر	n+f.twister
لعبة زنبرك	n+m.slinky
لعق	v.licked@v.lapped
لعقات	n+f.licks
لعقة	n+f.lick
لعن	v.cursed
لعنات	n+f.curses
لعنة	n+f.curse@n+f.bane@int.goddamn@n+f.jinx@n+m.damnation@n+f.anathema@n+f.whammy
لعين	a.fucking@a.bloody@n+m.fucker@a.freaking@a.flipping@a.infernal
لغات	n+f.languages@n+f.tongues
لغة	n+f.language@n+f.lang@n+f.lingua@n+f.langue
لغة الغجر	n+f.romani
لغة بنجابية	n+f.punjabi
لغة تيلوغو	n+f.telugu
لغة عامية	n+f.slang@n+f.lingo
لغة فلمنكية	n+f.flemish
لغة كانادا	n+f.kannada
لغة كانتونية	n+f.cantonese
لغة ليسب	n+f.lisp
لغة مالايالام	n+f.malayalam
لغة محلية	n+f.locale
لغة نورسية	n+f.norse
لغة وسيطة	n+f.interlingua
لغز	n+m.mystery@n+m.riddle@n+m.enigma@n+m.conundrum
لغز صوري	n+m.rebus
لغم	n+f.mine
لغم أرضي	n+f.landmine
لغوي	a.linguistic@a.lexical@a.lingual@n+m.linguist
لغوياً	ad.linguistically
لغويون	n+m.linguists
لغير المدخنين	a.nonsmoking
لـ	prep.of@prep.to@prep.for@prep.para@prep.fer
لف	n+m.screwing@v.coiled
لفائف	n+f.wraps@n+f.scrolls@n+f.coils
لفات	n+f.rolls@n+f.windings
لفات في الثانية	n+f.rps
لفافات	n+f.fascias
لفافة	n+m.roll@n+f.fascia
لفة	n+f.twist@n+f.coil@n+f.whorl
لفت	n+m.turnip
لفت سويدي	n+f.swede
لفترة	ad.awhile
لفح	v.scorched
لفظي	a.verbal
لفظياً	ad.verbally
لفق	v.fabricated
لفيف	n+f.lviv
لفّ	n+m.wrap@v.shrouded
لقاء	n+m.meetup@n+m.encounter@n+f.rencontre
لقاءات	n+f.meets@n+f.encounters@n+f.reunions@n+f.meetups
لقاح	n+m.vaccine
لقاحات	n+m.vaccines
لقب	n+f.title@n+m.nickname@n+m.surname@v.dubbed@n+m.moniker
لقح	v.vaccinated
لقطات	n+f.shots@n+m.footage@n+f.snapshots@n+f.snaps@n+f.snatches
لقطات شاشة	n+f.screenshots
لقطات مقربة	n+f.closeups
لقطة	n+f.shot@n+f.snapshot
لقطة شاشة	n+f.screenshot
لقطة مقربة	n+f.closeup
لقلق	n+m.stork
لقمات	n+f.mouthfuls
لقمة	n+f.mouthful@n+f.bolus
لقيط	n+m.bastard
لقّب	v.nicknamed
لقّح	v.inoculated
لك	pron.yours@n+m.lac@pron.thine
لكزس	n+f.lexus
لكل	prep.per@ad.apiece
لكم	v.punched@n+m.punching
لكمات	n+f.punches
لكمة	n+f.punch@n+f.jab
لكمة مضادة	n+f.counterpunch
لكن	conj.but@conj.however@conj.yet
لكناو	n+m.lucknow
للأخذ	a.takeout
للأسف	int.alas@ad.regrettably
للأمام	ad.ahead@ad.fwd@ad.onward@int.excelsior
للاستخدام مرة واحدة	a.disposable
للجنسين	a.unisex
للحظة	ad.momentarily
للخلف	a.backward@ad.backwards
للدراسات العليا	a.postgraduate
للرجال فقط	a.stag
للغاية	ad.highly@ad.extremely@ad.enormously@ad.tremendously@ad.exceedingly@ad.freaking@ad.bally
للواحد	ad.apiece
لم شمل	v.reunited
لم يمس	a.untouched
لم يولد بعد	a.unborn
لم يُهزم	a.unbeaten
لماذا	ad.why@ad.wherefore
لمح	v.glanced@v.hinted
لمحات	n+f.glimpses
لمحة	n+f.glimpse
لمرة واحدة	a.onetime
لمس	v.touched
لمسات	n+f.touches
لمسة	n+f.touch
لمسة أخيرة	n+f.finisher
لمسة خفيفة	n+f.dab
لمسي	a.tactile
لمع	v.shone
لمعان	n+m.shine@n+m.gloss@n+m.sheen@n+f.lustre
لمف	n+m.lymph
لمفاوي	a.lymphatic@a.lymphoid
لمن	pron.whose
لمّ شمل	n+m.reunion
لمّح	v.alluded
لمّع	v.lacquered
لن يحدث أبداً	ad.nevermore
لنا	pron.ours
لندن	n+f.london
لندنديري	n+f.londonderry
لندني	a.cockney
لهاث	n+m.panting
لهاية	n+f.pacifier
لهب	n+f.flame
لهث	v.gasped
لهثة	n+f.gasp
لهجات	n+f.accents@n+f.dialects
لهجة	n+f.accent@n+f.dialect@n+f.lect
لهجة لندنية	n+m.cockney
لهجة محلية	n+f.vernacular
لهيب	n+m.blaze
لو	conj.if@n+m.lou@n+m.lowe@n+m.lew
لواء	n+m.brigade
لوائح	n+f.regulations
لوائح اتهام	n+f.indictments
لواحق	n+f.suffixes
لوار	n+m.loire
لوازم	n+f.supplies@n+m.requisites
لواط	n+f.sodomy
لوالب	n+f.spirals
لوب	n+m.loeb@n+f.lupe
لوبلان	n+m.leblanc
لوبو	n+m.lobo
لوبوك	n+f.lubbock
لوبيز	n+m.lopez
لوبيس	n+m.lopes
لوت	n+m.lott
لوتس	n+f.lotus
لوتشيانو	n+m.luciano
لوتشيو	n+m.lucio
لوتون	n+f.luton
لوتي	n+m.loti@n+f.lottie
لوث	v.tainted@v.polluted
لوثر	n+m.luther
لوثري	a.lutheran
لوثريون	n+m.lutherans
لوثيان	n+m.lothian
لوثيانز	n+f.lothians
لوجستي	a.logistic@a.logistical
لوجستيات	n+f.logistics
لوح	n+m.pad@n+m.tablet@n+f.slab@v.waved@n+f.stave
لوح تزلج	n+m.snowboard@n+m.skateboard@n+f.surfboard
لوح خشبي	n+f.plank@n+f.batten
لوح زجاج	n+f.pane
لوحات	n+f.boards@n+f.plates@n+f.paintings@n+f.panels@n+f.plaques@n+f.tableaux
لوحات ألوان	n+f.palettes
لوحات أم	n+f.motherboards
لوحات إعلانية	n+f.billboards
لوحات جدارية	n+f.frescoes
لوحات رأسية	n+f.headboards
لوحات قماشية	n+f.canvases
لوحات قيادة	n+f.dashboards
لوحات مفاتيح	n+f.keyboards@n+f.keypads
لوحات نتائج	n+f.scoreboards
لوحة	n+f.board@n+f.panel@n+f.plate@n+f.painting@n+f.canvas@n+f.plaque@n+m.tableau
لوحة ألوان	n+f.palette
لوحة أم	n+f.motherboard
لوحة إعلانات	n+f.noticeboard
لوحة إعلانية	n+f.billboard@n+f.hoarding
لوحة اسم	n+f.nameplate
لوحة الأصابع	n+f.fingerboard
لوحة جدارية	n+f.fresco
لوحة رأس السرير	n+f.headboard
لوحة صوت	n+m.soundboard
لوحة فأرة	n+f.mousepad
لوحة قاعدة	n+f.baseboard
لوحة قصة	n+f.storyboard
لوحة قيادة	n+f.dashboard
لوحة مائية	n+f.watercolour
لوحة مشابك	n+f.clipboard
لوحة مفاتيح	n+f.keyboard@n+f.switchboard@n+f.keypad
لوحة نتائج	n+f.scoreboard
لوحة واجهة	n+f.faceplate
لودر	n+m.lauder
لودز	n+f.lodz
لودفيغ	n+m.ludwig
لودلو	n+m.ludlow
لودي	n+m.lodi
لوديانا	n+f.ludhiana
لورا	n+f.laura@n+f.lora
لوران	n+m.laurent@n+m.loran
لورانس	n+m.lawrence@n+m.laurence
لورد	n+f.lourdes
لورد اسكتلندي	n+m.laird
لوركا	n+m.lorca
لورنا	n+f.lorna
لورنتز	n+m.lorentz
لورنتي	a.laurentian
لوري	n+f.lori@n+f.laurie@n+m.lowry@n+f.lauri@n+f.lorie@n+f.lorrie
لوريتا	n+f.loretta
لوريس	n+m.loris
لوريلاي	n+f.lorelei
لورين	n+f.lauren@n+f.lorraine@n+f.loren
لورينا	n+f.lorena
لورينز	n+m.lorenz
لورينزو	n+m.lorenzo
لورييه	n+m.laurier
لوز	n+m.almond@n+f.luz@n+m.almonds
لوزان	n+f.lausanne
لوزة دماغية	n+f.amygdala
لوزون	n+f.luzon
لوس	n+f.los@n+f.luce
لوس أنجلوس	n+f.la
لوساكا	n+f.lusaka
لوسون	n+m.lawson
لوسي	n+f.lucy
لوسيا	n+f.lucia
لوسيان	n+m.lucien@n+m.lucian
لوسيت	n+m.lucite
لوسيرن	n+m.lucerne
لوسيفر	n+m.lucifer
لوسيفيراز	n+m.luciferase
لوسيل	n+f.lucille@n+f.lucile
لوسيندا	n+f.lucinda
لوسيوس	n+m.lucius
لوطي	n+m.bugger
لوغاريتم	n+m.logarithm
لوغاريتمات	n+m.logarithms
لوغاريتمي	a.logarithmic
لوغان	n+m.logan
لوغو	n+m.lugo
لوفان	n+f.louvain
لوفتفافه	n+f.luftwaffe
لوفتهانزا	n+f.lufthansa
لوفكرافت	n+m.lovecraft
لوفليس	n+m.lovelace
لوفي	n+m.loewe
لوفيل	n+m.lovell
لوقا	n+m.luke
لوك	n+m.locke
لوكا	n+f.lucca
لوكاس	n+m.lucas
لوكريشيا	n+f.lucretia
لوكس	n+m.lux
لوكسمبورغ	n+f.luxembourg
لوكهيد	n+f.lockheed
لوكوود	n+m.lockwood
لوكي	n+m.loki
لوكير	n+m.lockyer
لولا	n+f.lola@n+f.lula
لولب	n+m.spiral
لولبي	a.spiral@a.chiral@a.helical
لولو	n+f.lulu
لوليتا	n+f.lolita
لوم	n+m.blame@n+m.blaming@n+f.blames@n+f.censure@n+m.reproach
لوماكس	n+m.lomax
لومبارد	n+m.lombard
لومباردي	n+m.lombardi
لومبارديا	n+f.lombardy
لومبوك	n+f.lombok
لومن	n+m.lumens@n+m.lumen
لوموند	n+m.lomond
لومينا	n+f.lumina
لومينال	n+m.luminal
لوميير	n+f.lumiere
لون	n+m.colour@n+m.tone@n+m.lon@n+m.hue
لون أخضر مزرق	n+m.teal
لون أزرق	n+m.azure
لون أزرق بنفسجي	n+m.periwinkle
لون البشرة	n+m.complexion
لون متدرج	n+m.ombre
لون مُخطَّط	n+m.brindle
لونا	n+f.luna
لوند	n+m.lond
لونسيستون	n+f.launceston
لونغفورد	n+m.longford
لونغفيلو	n+m.longfellow
لونغهورن	n+m.longhorn
لوني	n+m.lonnie@a.tonal@a.chromatic
لوي	n+m.louie
لوياثان	n+m.leviathan
لويجي	n+m.luigi
لويد	n+m.lloyd@n+m.loyd
لويز	n+f.louise@n+m.loews
لويزا	n+f.louisa@n+f.luisa
لويزيانا	n+f.louisiana
لويس	n+m.louis@n+m.lewis@n+m.luis@n+f.lois@n+m.lewes
لويستوفت	n+f.lowestoft
لويستون	n+f.lewiston
لويسفيل	n+f.louisville
لويل	n+m.lowell
لويلين	n+m.llewellyn
لوينسكي	n+f.lewinsky
لويولا	n+m.loyola
لوّث	v.fouled
لي	n+m.lee@n+m.leigh@n+m.lei
ليا	n+f.leah
لياقة	n+f.fitness@n+f.decency@n+f.propriety@n+m.decorum
ليالي عيد	n+f.eves
ليالٍ	n+f.nights
ليام	n+m.liam
ليان	n+f.leanne@n+f.leann
لياو	n+m.liao
لياونينغ	n+f.liaoning
ليباز	n+f.lipase
ليبتون	n+m.lipton@n+m.lepton
ليبتين	n+m.leptin
ليبر	n+m.liber
ليبرالي	a+m.liberal
ليبرالية	a+f.liberal@n+f.liberalism
ليبراليون	n+m.liberals
ليبرتاريون	n+m.libertarians
ليبرمان	n+m.lieberman
ليبرو	n+m.libero
ليبسكومب	n+m.lipscomb
ليبي	n+f.libby@a.libyan@n+m.libyan
ليبيا	n+f.libya
ليبيري	n+m.liberian@a.liberian
ليبيريا	n+f.liberia
ليتاس	n+m.litas
ليترمان	n+m.letterman
ليتشفيلد	n+f.lichfield
ليتشي	n+f.lecce
ليتو	n+f.leto
ليتواني	a.lithuanian@n+m.lithuanian
ليتوانيا	n+f.lithuania
ليتورجي	a.liturgical
ليتورجيا	n+f.liturgy
ليتون	n+m.lytton@n+m.litton
ليث	n+m.leith
ليثبريدج	n+m.lethbridge
ليثيوم	n+m.lithium
ليجيه	n+m.leger
ليخ	n+m.lech
ليختنشتاين	n+f.liechtenstein@n+m.lichtenstein
ليدا	n+f.leda
ليدز	n+f.leeds
ليدن	n+f.leiden@n+f.leyden
ليدو	n+m.lido
ليدوكائين	n+m.lidocaine
ليديا	n+f.lydia@n+f.lidia
ليديسميث	n+f.ladysmith
لير	n+m.lear
ليرا	n+f.lyra
ليرة	n+f.lira@n+f.lire@n+f.livre
ليرنر	n+m.lerner
ليروي	n+m.leroy
ليري	n+m.leary
ليز	n+f.liz@n+m.lees
ليزا	n+f.lisa@n+f.liza
ليزبيرن	n+f.lisburn
ليزر	n+m.laser@n+m.lasers
ليزلي	n+f.leslie@n+f.lesley
ليزوزيم	n+m.lysozyme
ليزي	n+f.lizzie@n+f.lizzy
ليس	ad.not@n+m.lis@v.ain
ليسبوس	n+f.lesbos
ليست	n+m.liszt
ليستر	n+f.leicester@n+m.lister@n+m.lester
ليسترشاير	n+f.leicestershire
ليستون	n+m.liston
ليستيريا	n+f.listeria
ليسل	n+m.lisle
ليسوتو	n+f.lesotho
ليسي	n+f.lacey@n+f.lacy
ليسيثين	n+m.lecithin
ليسين	n+m.lysine
ليسيوم	n+m.lyceum
ليشمانيا	n+f.leishmania
ليغاتو	n+m.legato
ليغو	n+f.lego
ليغوريا	n+f.liguria
ليف	n+m.lev@n+m.leif
ليفايز	n+m.levis
ليفربول	n+f.liverpool
ليفن	n+m.leven
ليفنوورث	n+m.leavenworth
ليفورنو	n+f.livorno
ليفونيا	n+f.livonia
ليفي	n+m.levi@a.fibrous
ليفيا	n+f.livia
ليفيت	n+m.levitt
ليفيتاون	n+f.levittown
ليفيسك	n+m.levesque
ليفين	n+m.levine@n+m.levin
ليفينغستون	n+m.livingston@n+m.livingstone
ليك	n+m.lek
ليكرا	n+f.lycra
ليكس	n+m.lex
ليكسينغتون	n+f.lexington
ليكوود	n+f.lakewood
ليكيور	n+m.liqueur
ليل	n+m.night@n+f.lille
ليلا	n+f.lila
ليلانجيني	n+m.lilangeni
ليلاند	n+m.leland
ليلة	n+f.night
ليلة سعيدة	n+f.goodnight
ليلك	n+m.lilac
ليلو	n+f.lilo
ليلى	n+f.leila@n+f.layla
ليلي	a.overnight@a.nightly@n+f.lilly@a.nocturnal@a.nighttime@n+f.lillie
ليليان	n+f.lillian@n+f.lilian
ليلياً	ad.nightly
ليليبوت	n+f.lilliput
ليليث	n+f.lilith
ليم	n+m.lem
ليما	n+f.lima
ليماسول	n+f.limassol
ليمان	n+m.lehman@n+m.lehmann
ليمبو	n+m.limbaugh
ليمبوبو	n+m.limpopo
ليمبورغ	n+f.limburg
ليمبيرا	n+f.lempira
ليمريك	n+f.limerick
ليمز	n+m.lems
ليموج	n+f.limoges
ليمور	n+m.lemur
ليموزين	n+f.limousine@n+f.limo@n+f.limousin
ليمون	n+m.lemon@n+m.lemons
ليمون حامض	n+m.lime@n+m.limes
ليموني	a.citrine@a.lemony
لين	a+m.soft@n+f.lynn@n+m.len@n+m.lin@n+f.lynne@n+m.linn@v.softened
لينا	n+f.lena@n+f.lina
لينة	a+f.soft
لينتس	n+f.linz
لينتون	n+m.linton
ليند	n+m.lind
ليندا	n+f.linda@n+f.lynda
ليندبرغ	n+m.lindbergh
ليندر	n+m.leander
ليندسي	n+f.lindsay@n+f.lindsey
ليندون	n+m.lyndon
ليندي	n+f.lindy
لينستر	n+f.leinster
لينش	n+m.lynch
لينغ	n+m.ling
لينكس	n+m.linux
لينكولن	n+m.lincoln
لينكولنشاير	n+f.lincolnshire
لينو	n+m.leno
لينوار	n+m.lenoir
لينوتايب	n+m.linotype
لينور	n+f.lenore
لينوس	n+m.linus
لينوليوم	n+m.linoleum
لينون	n+m.lennon
لينوود	n+m.linwood
ليني	n+m.lenny
لينيت	n+f.lynette
لينين	n+m.lenin
لينينغراد	n+f.leningrad
لينيوس	n+m.linnaeus
ليو	n+m.leo@n+m.leu
ليوبليانا	n+f.ljubljana
ليوبولد	n+m.leopold
ليوسين	n+m.leucine
ليون	n+m.leone@n+m.leon@n+f.lyon@n+m.lyons
ليونا	n+f.leona
ليونارد	n+m.leonard
ليوناردو	n+m.leonardo
ليونة	n+f.softness
ليونورا	n+f.leonora
ليونيد	n+m.leonid
ليونيداس	n+m.leonidas
ليونيل	n+m.lionel
ليويشام	n+m.lewisham
لييج	n+f.liege
لُبِّد	v.sintered
لُخِّص	v.summarized
لُعن	v.fucked
لُفّ	v.wrapped
لُقمة	n+f.gob
مآثر	n+f.exploits@n+f.feats
مآخذ	n+f.intakes
مآزر	n+f.aprons
مآسي	n+f.tragedies
مأجور	a.mercenary@a.waged
مأخوذ	a+m.taken
مأخوذة	a+f.taken
مأدبة	n+f.banquet
مأزق	n+m.predicament@n+m.quagmire@n+f.quandary
مأساة	n+f.tragedy
مأساوي	a.tragic
مأساوية	n+f.pathos
مأسوف عليه	a.regretted
مأكولات بحرية	n+f.seafood
مألوف	a+m.familiar@n+m.commonplace
مألوفة	a+f.familiar
مأهول	a.populated@a.inhabited@a.manned
مأوى قطط	n+f.cattery
مؤاتٍ	a.favourable@a.conducive
مؤامرات	n+f.plots@n+f.conspiracies@n+f.intrigues@n+f.machinations
مؤامرة	n+f.conspiracy@n+f.intrigue@n+f.cabal
مؤتلف	a.recombinant
مؤتمر	n+m.conference@n+m.congress@n+m.convention@n+m.conf
مؤتمر علمي	n+m.colloquium
مؤتمر عن بعد	n+m.teleconference
مؤتمرات	n+f.conferences@n+m.conferencing@n+f.conventions@n+f.congresses
مؤتمرات عن بعد	n+m.teleconferencing
مؤتمرات فيديو	n+f.videoconferencing
مؤتمرون	n+m.conferees
مؤثر	a+m.moving@a.affecting@a.touching@a.influential@a.impacting@a.poignant@a.forceful
مؤثر نفسياً	a.psychotropic
مؤثرة	a+f.moving
مؤجر	n+m.lessor
مؤجرون	n+m.lessors
مؤجل	a.postponed@a.adjourned@a.tabled
مؤجَّر	a.leased
مؤجَّل	a.deferred@a.shelved
مؤخرات	n+f.butts@n+f.bums@n+f.rears
مؤخراً	ad.recently@ad.lately
مؤخرة	n+m.ass@n+m.butt@n+m.booty@n+m.posterior@n+f.bum@n+f.fanny@n+f.arse@n+m.backside@n+f.rump@n+m.breech
مؤخرة السفينة	n+m.stern
مؤداة	a+f.performed
مؤدب	a.courteous@a.behaved
مؤدون	n+m.performers
مؤدى	a+m.performed
مؤدية	a+f.performing
مؤدٍ	a+m.performing
مؤدٍّ	n+m.performer
مؤذٍ	a.detrimental@a.injurious@a.hurtful
مؤرخ	n+m.historian
مؤرخون	n+m.historians
مؤرشف	a.archived
مؤرض	a.grounded
مؤرق	a.haunting
مؤرّخ	a.dated
مؤسس	a+m.established@n+m.founder@a.instituted
مؤسسات	n+f.institutions@n+f.enterprises@n+f.foundations@n+f.establishments
مؤسسة	n+f.foundation@n+f.enterprise@a+f.established@n+f.institution@n+f.establishment
مؤسسون	n+m.founders@n+m.originators
مؤسسي	a+m.corporate@a.institutional@a.institutionalized
مؤسسية	a+f.corporate
مؤسف	a.unfortunate@a.regrettable
مؤسِّس	a.founding
مؤسّس	a.founded
مؤشر	n+m.index@n+m.pointer@n+m.indicator@n+m.cursor
مؤشرات	n+f.indicators@n+f.indices@n+m.pointers@n+f.indications@n+m.cursors@n+f.indicia
مؤطّر	a.framed
مؤقت	a+m.temporary@a.temp@a.interim@a.provisional@a.makeshift
مؤقتات	n+f.timers
مؤقتاً	ad.temporarily@ad.provisionally
مؤقتة	a+f.temporary
مؤقّت	n+m.timer
مؤكد	a.confirmed@a.confirming@a.asserting@a.affirming
مؤكسد	n+m.oxidant
مؤكسد أنودياً	a.anodized
مؤكسدات	n+m.oxidants
مؤلف	n+m.author
مؤلف مشارك	n+m.coauthor
مؤلفات	n+f.authors
مؤلفة	n+f.author
مؤلفون	n+m.authors
مؤلفون موسيقيون	n+m.composers
مؤلم	a.painful@a.sore@a.aching@a.bruising@a.grievous
مؤلّف	a.composed
مؤمن	n+m.believer
مؤمنون	n+m.insurers@n+m.believers
مؤمِّن	n+m.insurer
مؤمّن	a.secured
مؤمّن عليه	a.insured
مؤمّن له	n+m.insured
مؤن	n+f.provisions
مؤنث	a.fem
مؤهل	a+m.eligible@a+m.qualified@n+m.qualifier
مؤهلات	n+f.qualifications@n+m.qualifiers
مؤهلة	a+f.eligible@a+f.qualified
مؤهّل	n+m.qualification@a.qualifying
مؤيد	n+m.supporter@n+m.exponent@n+m.proponent@n+m.protagonist@n+m.rooter
مؤيد صلب	n+m.stalwart
مؤيدون	n+m.supporters@n+m.proponents
مئات	n+f.hundreds
مئة	n+m.hundred@a.hundred
مئة رطل	n+m.cwt
مئتان سنة	a.bicentennial
مئوي	a.centennial@a.celsius@a.centenary
مئوية	n+f.centenary
ما	pron.what
ما بعد الاستعمار	a.postcolonial
ما بعد الجراحة	a.postoperative
ما بعد الحداثة	a.postmodern@n+f.postmodernism
ما بعد الحرب	a.postwar
ما بعد الدكتوراه	a.postdoctoral
ما بعد الموسم	n+m.postseason
ما بعد الولادة	a.postpartum@a.postnatal
ما تحت السطح	n+m.subsurface
ما زال	ad.still
ما فوق الطبيعة	n+m.supernatural
ما قبل الإصدار	n+f.prerelease
ما قبل التاريخ	a.prehistoric@n+m.prehistory
ما قبل الروضة	n+f.prekindergarten
ما قبل المحاكمة	a.pretrial
ما قبل المراهقة	n+m.preteen@n+m.preteens
ما قبل الموسم	n+m.preseason
ما لم	conj.unless
ما وراء	prep.beyond
ماء	n+m.water@n+m.aqua@n+m.eau
ماء البحر	n+m.seawater
ماء المد	n+m.tidewater
ماء عذب	n+m.freshwater
ماء فوار	n+m.seltzer
ماء مالح	n+m.saltwater@n+m.brine
ماء مطر	n+m.rainwater
مائل	a.italic@a.italicized@a.oblique@a.inclined@a.leaning@a.pitched@a.angled@a.banked@a.skew@a.tilted@a.reclining@a.ital@a.askew@a.slanted@a.awry@a.cocked@a.sloped@a.raked
مائل للأخضر	a.greenish
مائل للأصفر	a.yellowish
مائل للزرقة	a.bluish
مائي	a.aqua@a.aquatic@n+m.hydro@a.aqueous@a.watery@a.runny@a.aquarian
مائي زراعي	a.hydroponic
مائير	n+m.meir
ماب	n+m.mab
مابل	n+f.mabel
مابوتو	n+f.maputo
مات	v.died@n+m.matt
ماتس	n+m.matts
ماتلوك	n+m.matlock
ماتي	n+f.mattie
ماتياس	n+m.matthias@n+m.mathias
ماتيس	n+m.matisse
ماتيل	n+f.mattel
ماتيلدا	n+f.matilda
ماثل	v.resembled
ماثيس	n+m.mathis
ماثيو	n+m.matthew@n+m.mathew
ماثيوز	n+m.matthews@n+m.mathews
ماجستير	n+f.masters
ماجلان	n+m.magellan
ماجنون	n+m.libertines
ماجوري	n+m.maggiore
ماجونغ	n+m.mahjong
ماخ	n+m.mach
مادة	n+f.subject@n+f.material@n+f.matter@n+f.substance
مادة تشحيم	n+f.lubricant
مادة حافظة	n+m.preservative
مادة سادة	n+m.sealant@n+m.sealer
مادة سد	n+m.caulk
مادة فعالة سطحياً	n+m.surfactant
مادة قابلة للاشتعال	n+f.combustible
مادة كاشطة	n+m.abrasive
مادة كيميائية	n+f.chemical@n+f.reagent
مادة لزجة	n+m.goo@n+f.slime
مادة ماصة	n+m.absorbent
مادة متفجرة	n+f.explosive
مادة مسرطنة	n+m.carcinogen
مادة مضافة	n+f.additive
مادج	n+f.madge
مادح	n+m.lauder
مادز	n+m.mads
مادلين	n+f.madeleine@n+f.madeline
مادن	n+m.madden
مادورا	n+f.madura
مادوراي	n+f.madurai
مادورو	n+m.maduro
مادوكس	n+m.maddox
مادونا	n+f.madonna
مادي	a+m.material@a+m.physical@a.worldly@a.materialistic
مادياً	ad.materially
مادية	a+f.material@a+f.physical@n+f.materialism@n+f.materiality
ماديرا	n+f.madeira
ماديسون	n+m.madison
ماذا	pron.what@pron.whats
ماذر	n+m.mather
ماذرويل	n+f.motherwell
مار	n+m.passer
مارا	n+f.mara
ماراثون	n+m.marathon
ماراثونات	n+f.marathons
ماراثي	a.marathi
ماراثية	n+f.marathi
ماربل	n+m.marple
مارتا	n+f.marta
مارتن	n+m.martin
مارتنز	n+m.martens
مارتي	n+m.marty@n+m.marti
مارتيل	n+m.martel
مارتينا	n+f.martina
مارتينز	n+m.martins
مارتينغال	n+m.martingale
مارتيني	n+m.martini
مارتينيات	n+f.martinis
مارتينيز	n+m.martinez
مارتينيك	n+f.martinique
مارثا	n+f.martha
مارج	n+f.marge@n+f.marg
مارجري	n+f.margery
مارجوري	n+f.marjorie
مارجي	n+f.margie
مارس	n+m.march@n+m.mar@v.practised@v.exerted@v.plied
مارس ضغطاً	v.lobbied
مارسو	n+m.marceau
مارسي	n+f.marcy@n+f.marci@n+f.marcie
مارسيا	n+f.marcia
مارسيل	n+m.marcel
مارسيلا	n+f.marcella
مارسيلو	n+m.marcelo
مارسيلوس	n+m.marcellus
مارش	n+f.marche
مارشا	n+f.marsha
مارشال	n+m.marshall@n+m.marshal
مارشميلو	n+f.marshmallows
مارغريت	n+f.margaret@n+f.marguerite@n+f.margret
مارغريتا	n+f.margarita@n+f.margaritas@n+f.margherita
مارغو	n+f.margo@n+f.margot
مارغيت	n+m.margate
مارفن	n+m.marvin
مارفيل	n+m.marvell
مارق	a.rogue
مارك	n+m.mark@n+m.marc
ماركا	n+f.markka
ماركاسيت	n+m.marcasite
ماركس	n+m.marx
ماركسي	a.marxist@n+m.marxist
ماركسية	n+f.marxism
ماركهام	n+m.markham
ماركو	n+m.marco
ماركوس	n+m.marcus@n+m.marcos
ماركوف	n+m.markov
ماركوني	n+m.marconi
ماركي	n+f.marche
ماركيت	n+m.marquette
ماركيز	n+m.marquis@n+m.marquez
ماركيزة	n+f.marquise
مارل	n+m.marl
مارلا	n+f.marla
مارلبورو	n+m.marlboro@n+m.marlborough
مارلو	n+m.marlowe
مارلون	n+m.marlon
مارلي	n+m.marley
مارلين	n+f.marilyn@n+m.marlin@n+f.marlene
مارلينز	n+m.marlins
مارن	n+f.marne
ماري	n+f.marie@n+f.mari
ماريا	n+f.maria
ماريان	n+f.marian@n+f.marianne@n+f.maryann
ماريانا	n+f.mariana@n+f.marianna@n+f.marianas
ماريانو	n+m.mariano
ماريتا	n+f.marietta
ماريتشي	n+m.mariachi
ماريجوانا	n+f.marijuana
ماريس	n+f.maris
ماريسا	n+f.marisa@n+f.marissa
ماريستي	a.marist@n+m.marist
ماريمبا	n+f.marimba
مارين	n+m.marin
مارينا	n+f.marina
مارينغو	n+m.marengo
مارينو	n+m.merino
ماريو	n+m.mario
ماريوت	n+m.marriott
ماريوس	n+m.marius
ماريون	n+f.marion
مارّون	n+m.passers
مازاتلان	n+f.mazatlan
مازح	a.joking@n+m.wag@v.teased@n+m.kidder
مازحاً	ad.jokingly
مازدا	n+f.mazda
مازوخية	n+f.masochism
مازيراتي	n+f.maserati
ماس	n+m.mas@n+m.maas
ماس مقلد	n+m.diamante
ماسات	n+f.diamonds
ماساتشوستس	n+f.massachusetts
ماساي	n+m.masai
ماستركارد	n+f.mastercard
ماستريخت	n+f.maastricht
ماسح ضوئي	n+m.scanner
ماسحات	n+f.scanners
ماسحة	n+f.wiper
ماسك	n+m.catcher@n+m.grabber
