Java语言	n.java
构成基础	v.underlying
构造	v.structures@v.constructed@n.construct@n.configurations@n.configurations@v.constructs@n.constructions@n.conformation
构造函数	n.constructor@n.constructor
构造的	a.structural
枕头	n.pillow@n.pillows@n.pillow@n.pillows
林	n.lin@n.lin
林业	n.forestry
林中空地	n.glade
林地	n.woodland@n.woodlands@n.woodland@n.timberland@n.woodlands
林奇	n.lynch
林恩	n.lynn@n.linn@n.linn
林木	n.timber
林登	n.linden
林肯	n.lincoln
林肯郡	n.lincolnshire
林荫大道	n.boulevard@n.parkway
林荫道	n.parkway@n.alameda
林赛	n.lindsay@n.lindsey
枚举	n.enumeration@n.enumeration@v.enumerated
果冻	n.jelly@n.jelly
果味的	a.fruity
果园	n.grove@n.orchard@n.orchard@n.groves
果岭	n.greens
果断的	a.decisive@a.decisive
果核	n.cores@n.pits
果汁	n.juice@n.juices@n.juices
果皮	n.peel
果肉	n.pulp
果蝇	n.drosophila
果酱	n.jam@n.jams@n.jams
果阿	n.goa@n.goa
果馅饼	n.tart@n.tart
枝形吊灯	n.chandelier@n.chandelier@n.chandeliers
枞树	n.fir
枢纽	n.hub@n.hubs@n.hubs
枢轴	n.pivot@n.pivot
枢轴的	a.pivotal
枪	n.gun@n.guns
枪战	n.shootout
枪手	n.shooter@n.shooter
枪支	n.firearms@n.firearm
枪械	n.firearms@n.firearm
枪管	n.barrel@n.barrel@n.barrels
枪骑兵	n.lancer
枫叶队	n.leafs
枫木	n.maple
枫树	n.maple
枯燥的工作	n.treadmill
枯竭	n.depletion@n.depletion@n.exhaustion
枯竭的	a.depleted@a.depleted
枯萎	v.wilt
架子	n.rack@n.shelf@n.racks@n.shelves@n.shelves
架构	n.architecture@n.schema@n.schema@n.architectures@n.frameworks
架桥	v.bridge@v.bridges@v.bridging
柄	n.shank
柄脚	n.tang
柏拉图	n.plato@n.plato
柏林	n.berlin
柏树	n.cypress
柏油	n.asphalt
某事	pron.something
某些	a.certain
某人	pron.someone@pron.somebody
某处	ad.somewhere
某时	ad.sometime@ad.sometime
某物	n.something
柑橘	n.citrus@n.citrus@n.mandarin
柑橘属的	a.citrus@a.citrus
染	v.dyes
染了色的	a.dyed
染工	n.dyer@n.dyer
染料	n.dye@n.dyes@n.dye@n.dyes
染色	v.dye@v.stained@v.staining@v.dyes@v.dyed@v.stain@v.dye@v.stain@v.staining@v.dyed@v.tinted
染色体	n.chromosome@n.chromosomes@n.chromosome@n.chr@n.chromosomes
染色的	a.stained@a.dyed
柔和地	ad.softly
柔和的	a.pastel@a.dolce@a.pastel@a.mellow
柔滑的	a.silky@a.silky
柔软的	a.soft
柔道	n.judo
柔韧的	a.flexible
柔顺的	a.yielding
柚木	n.teak@n.teak
柜	n.ark
柜台	n.counter
柠檬	n.lemon
柠檬酸盐	n.citrate@n.citrate
查克	n.chuck
查塔努加	n.chattanooga
查塔姆	n.chatham
查尔斯	n.charles
查尔斯顿	n.charleston
查尔顿	n.charlton@n.charlton
查找	n.lookup@v.lookup@v.locating
查找器	n.finder
查明	v.ascertain@v.ascertain@v.pinpoint
查普曼	n.chapman@n.chapman
查理	n.charlie@n.charley
查看	v.view@v.views@v.viewed
查看器	n.viewer
查询	n.query@v.query@n.queries@v.queries@v.inquire
查阅	v.consulted
查韦斯	n.chavez
柬埔寨	n.cambodia
柬埔寨人	n.cambodian
柬埔寨的	a.cambodian
柯克	n.kirk@n.kirk
柯克兰	n.kirkland@n.kirkland
柯利犬	n.collie
柯南	n.conan@n.conan
柯尔斯滕	n.kirsten
柯尔斯顿	n.kirsten
柯尔特	n.colt
柯林斯	n.collins
柯比	n.kirby
柯特	n.curt@n.curt
柯蒂斯	n.curtis@n.curtis
柯达	n.kodak
柱	n.mast
柱子	n.pillars@n.pillar@n.pillars
柱状图	n.histogram
柳叶刀	n.lancet@n.lancer
柳木	n.willow
柳条	n.wicker@n.wicker
柳条制的	a.wicker@a.wicker
柳树	n.willow@n.willow
柴油	n.diesel
柴油的	a.diesel
柴郡	n.cheshire@n.cheshire
栅栏	n.fence@n.fences@n.fences
栅格	n.grids@n.grids
标价的	a.priced
标准	n.standard@n.standards@n.criteria@n.par@n.std@n.criterion@n.norm@n.criterion@n.norm@n.norms
标准化	v.standardized@n.standardization@v.standardized@v.normalized@n.standardization@n.normalization
标准化的	a.standardized@a.standardized
标准的	a.standard@a.normative@a.normative
标定的	a.calibrated
标志	n.sign@n.logo@n.signs@n.logos@n.badge@n.hallmark@v.denoted@n.insignia
标本	n.specimens@n.specimen@n.specimens@n.specimen
标杆	n.benchmarks@n.benchmarks
标点	n.punctuation@n.punctuation
标点符号	n.punctuation@n.punctuation
标牌	n.signage
标签	n.label@n.tags@n.tag@n.tab@n.labels@n.tabs@n.sticker@n.labelling@n.sticker@n.labelling
标绘	n.plotting
标致	n.peugeot@n.peugeot
标记	n.mark@v.mark@v.label@v.tags@v.flag@v.tag@n.marks@v.marks@v.labels@v.marked@v.flags@v.tagged@n.marker@n.markers@n.badge@n.marking@v.marking@n.token@n.markup@n.markers@n.marking@n.markup@n.tagging@n.markings
标记的	a.tagged@a.labelled
标识	n.id@n.signage
标识符	n.identifier@n.ids@n.identifiers@n.ids@n.identifiers
标语	n.slogan@n.slogan@n.slogans
标量	n.scalar
标量的	a.scalar
标题	n.title@n.titles@n.headlines@n.header@n.heading@n.headers@n.headline@n.caption@n.captions@n.headings@n.caption@n.headings
栋梁	n.pillars
栏杆	n.rail@n.rails
树	n.tree@n.trees
树丛	n.groves
树冠	n.canopy@n.canopy
树叶	n.foliage
树干	n.trunk@n.trunks@n.trunks
树木	n.tree
树木繁茂的	a.wooded
树林	n.grove@n.woods
树枝	n.branches
树桩	n.stump@n.stump
树液	n.sap
树皮	n.bark@n.bark
树篱	n.hedge
树脂	n.resin@n.resins@n.resin@n.resins
树莓	n.raspberry@n.raspberry
栖息	v.perch
栖息动物	n.inhabitants@n.inhabitants
栖息地	n.habitat@n.habitats@n.habitats
栖息处	n.perch
栗子	n.chestnut
栗色的	a.chestnut@a.maroon
校准	n.calibration@v.calibrated@n.calibration@v.calibrated
校准的	a.calibrated
校友	n.alumni@n.alum
校园	n.campus@n.campuses
校服	n.uniforms
校样	n.proofs
校正	n.calibration
校长	n.principal@n.chancellor@n.chancellor@n.principals@n.rector
校队	n.varsity
校验和	n.checksum
校验码	n.checksum
样品	n.sample@n.samples@n.sampler@n.demos@n.sampler
样式	n.style@n.styles
样本	n.sample@n.demos@n.specimens@n.specimen@n.specimens@n.specimen
样机	n.prototype@n.prototype@n.prototypes
样板	n.template
核	n.nucleus@n.nuclei@n.nuclei
核实	v.verify@n.verification@v.verifying@v.verifying
核对	v.check
核对表	n.checklists
核心	n.core@n.kernel@n.nucleus@n.cores@n.kernels@n.nucleus@n.cores@n.kernels
核心会议	n.caucus@n.caucus
核心的	a.core
核桃	n.walnut@n.walnut@n.pecan
核武器	n.nuke
核的	a.nuclear@a.nucleic
核糖体的	a.ribosomal@a.ribosomal
核能的	a.nuclear
核苷酸	n.nucleotide@n.nucleotide
核酸的	a.nucleic
根	n.root@n.roots
根据	ad.according@n.basis@n.rationale
根本上	ad.ultimately@ad.fundamentally
根本地	ad.radically@ad.radically
根本的	a.fundamental
根深蒂固的	a.rooted
根源	n.root
根西岛	n.guernsey
根西衫	n.guernsey
根除	n.eradication
格伦	n.glenn
格伦代尔	n.glendale
格兰维尔	n.granville
格哈德	n.gerhard
格子	n.grid@n.lattice@n.grids
格子呢	n.plaid@n.plaid@n.tartan
格子呢的	a.tartan
格子的	a.checked@a.plaid@a.plaid
格式	n.format@n.formats@n.tiff
格式化	v.format@v.formats@v.formatting@n.formatting@v.formatted@v.formatted
格式化的	a.formatted@a.formatted
格思里	n.guthrie@n.guthrie
格拉	n.guerra
格拉夫	n.graf
格拉夫顿	n.grafton@n.grafton
格拉德斯通	n.gladstone@n.gladstone
格拉斯哥	n.glasgow
格拉纳达	n.granada
格拉迪斯	n.gladys
格斯	n.gus@n.gus
格林	n.greene@n.greene@n.grimm
格林伍德	n.greenwood@n.greenwood
格林威治	n.greenwich@n.greenwich
格林斯伯勒	n.greensboro@n.greensboro
格林斯潘	n.greenspan
格林纳丁斯	n.grenadines
格林纳达	n.grenada@n.grenada
格柏	n.gerber@n.gerber
格栅	n.grille@n.grille
格洛丽亚	n.gloria@n.gloria
格洛弗	n.glover@n.glover
格洛斯特	n.gloucester
格洛斯特郡	n.gloucestershire
格温	n.gwen@n.gwen
格特鲁德	n.gertrude
格罗弗	n.grover
格莱美奖	n.grammy@n.grammy
格蕾琴	n.gretchen
格言	n.gnome@n.maxim@n.motto@n.axiom@n.sayings@n.maxim@n.motto@n.axiom@n.sayings
格里	n.gerry
格里利	n.greeley
格里尔	n.greer@n.greer
格里芬	n.griffin@n.griffin
格里菲斯	n.griffith
格陵兰	n.greenland@n.greenland
格雷厄姆	n.graham
格雷戈里	n.gregory
格雷格	n.greg@n.gregg
格雷迪	n.grady
格鲁吉亚人	n.georgian
格鲁吉亚的	a.georgian
栽培者	n.growers@n.grower
栽种的	a.planted@a.planted
桁架	n.truss@n.truss
桃子	n.peach@n.peaches@n.peach@n.peaches
桃红色	n.peach
桃色的	a.peach
桃花心木	n.mahogany
桃金娘	n.myrtle@n.myrtle
桅杆	n.mast
框架	n.frame@n.framework@n.frames@n.framing@n.framing@n.frameworks
案例	n.case@n.cases
桌上用品	n.tableware
桌子	n.table@n.tables@n.desk
桌面	n.desktop@n.desktops@n.tabletop@n.tabletop
桌面的	a.desktop@a.tabletop@a.tabletop
桑切斯	n.sanchez
桑塔纳	n.santana
桑尼	n.sonny@n.sonny
桑巴舞	n.samba@n.samba
桑德	n.sander@n.sander
桑德兰	n.sunderland
桑德拉	n.sandra
桑德斯	n.sanders@n.sanders@n.saunders
桑托斯	n.santos
桑拿	n.sauna
桑拿浴	n.sauna
桑普森	n.sampson
桑树	n.mulberry
桑福德	n.sanford
桑给巴尔	n.zanzibar
桑葚	n.mulberry
桑迪	n.sandy
桑顿	n.thornton
档案	n.archive@n.archives@n.docket
档案保管员	n.archivist
档案工作者	n.archivist
档案的	a.archival
桥	n.bridge
桥墩	n.pier@n.pier
桥接	n.bridging
桥梁	n.bridges
桦树	n.birch
桨	n.paddle
桩	n.stake@n.piles@n.piles
桶	n.barrel@n.bucket@n.buckets@n.barrel@n.bucket@n.barrels@n.tubs@n.buckets
梁	n.beams
梅	n.mae@n.mae
梅丽莎	n.melissa
梅兰妮	n.melanie
梅奥	n.mayo@n.mayo
梅尔	n.mel@n.mel
梅尔文	n.melvin@n.melvin
梅尔维尔	n.melville@n.melville
梅斯	n.metz@n.mays
梅林	n.merlin
梅根	n.megan@n.megan
梅格	n.meg
梅森	n.mason
梅洛	n.merlot@n.merlot
梅洛葡萄酒	n.merlot
梅琳达	n.melinda@n.melinda
梅纳德	n.maynard@n.maynard
梅耶	n.meier
梅肯	n.macon
梅萨	n.mesa
梅西	n.massey@n.macy@n.macy
梅费尔	n.mayfair
梅赛德斯	n.mercedes
梅里亚姆	n.merriam@n.merriam
梅里特	n.merritt@n.merritt
梅隆	n.mellon
梅雷迪思	n.meredith
梅鹿辄	n.merlot
梗	n.meme
梗塞	n.infarction@n.infarction
梗死	n.infarction@n.infarction
梗犬	n.terrier@n.terrier
梦幻的	a.dreamy@a.dreamy
梦想	n.dream@n.dreams@v.dreams@v.dreamed@n.dreaming@v.dreamed
梦想家	n.dreamer@n.dreamer
梦见	v.dreamed
梦魇	n.nightmare@n.incubus
梨	n.pear@n.pear@n.pears
梭子鱼	n.pike@n.pike
梭织	v.tat@v.tat
梭织花边	n.tat
梯子	n.ladder@n.ladders@n.ladder@n.ladders
梯度	n.gradient@n.gradient
梯田	n.terrace
梯级	n.stair
梳妆	n.toilette
梳妆台	n.vanity@n.dresser@n.vanity@n.dresser
梳子	n.combs@n.comb@n.combs
梳理	v.curry@n.grooming@v.combs@v.curry@n.grooming@v.groom@v.comb@v.combs
梵蒂冈	n.vatican@n.vatican
梵语	n.sanskrit
梵语的	a.sanskrit
梵高	n.gogh@n.gogh
检举	v.prosecuted@v.prosecuted@v.prosecute
检修	v.overhaul
检察官	n.prosecutor@n.prosecutors
检控	n.prosecution
检方	n.prosecution
检查	v.check@v.checking@n.checking@v.checks@n.inspection@n.examination@n.exam@v.checked@v.examine@v.examined@n.inspections@v.examining@n.examinations@v.examines@n.inspections@v.examining@n.examinations@v.examines@v.inspect@v.inspected
检查员	n.inspector@n.inspectors@n.checker@n.inspectors
检查器	n.checker
检查点	n.checkpoint@n.checkpoint
检查站	n.checkpoint@n.checkpoint
检查表	n.checklist@n.checklist@n.checklists
检测	n.detection@v.detected@v.detect@v.detects@v.detecting@v.detects
检测器	n.detector@n.detectors@n.detectors
检疫	n.quarantine@v.quarantine
检索	v.retrieved@v.retrieve@n.retrieval@v.retrieving@v.retrieve@n.retrieval@v.retrieving
检验员	n.surveyor@n.surveyors
棉布	n.cotton
棉花	n.cotton
棍子	n.stick@n.sticks@n.sticks
棒	n.rods@n.wand@n.rods@n.wand
棒球	n.baseball
棕榈	n.palm@n.palms
棕榈叶	n.palmetto
棕熊	n.bruins
棕熊队	n.bruins
棕色	n.brown
棕色的	a.brown
棕褐色	n.tan
棕褐色的	a.tan
棘手的	a.sticky@a.sticky@a.tricky
棚	n.shed
棚子	n.sheds
棚屋	n.shed@n.hut@n.shack@n.sheds
森	n.sen@n.sen
森尼韦尔	n.sunnyvale@n.sunnyvale
森林	n.forest@n.woods@n.forests@n.woodlands
森林地带	n.woodlands
森林学	n.forestry
森林的	a.woodland@a.woodland
棱纹的	a.corded
棱镜	n.prism
棺材	n.coffin@n.coffin
椅子	n.chair@n.chairs
植入	v.implants@v.implant@v.embed
植入物	n.implants@n.implant
植物	n.plant@n.plants@n.vegetation@n.vegetation@n.foliage
植物学	n.botany@n.botany
植物学的	a.botanical@a.botanical
植物的	a.floral@a.botanical@a.botanical
植物群	n.flora@n.flora
植被	n.vegetation@n.vegetation
椭圆形	n.oval
椭圆形的	a.oval
椭圆的	a.elliptical@a.elliptical
椰子	n.coconut@n.coconut@n.cocos
椴树	n.linden
楔入	v.wedge@v.wedges
楔子	n.wedge@n.wedges
楔石	n.keystone
楼上	ad.upstairs@n.upstairs
楼下	n.downstairs
楼下的	a.downstairs
楼厅	n.balcony
楼层	n.floor@n.floors@n.storey
楼梯	n.stairs@n.stair@n.stairs@n.stair@n.staircase
楼梯平台	n.landings
概念	n.concept@n.concepts@n.notion@n.conception@n.conception@n.notions
概念上的	a.conceptual
概念性的	a.conceptual
概念的	a.conceptual@a.conceptual
概括	v.summarizes@v.generalized@v.recap@v.summarized@v.summarize@v.summarizes@n.generalization
概率	n.probability@n.probabilities
概率的	a.probabilistic@a.stochastic@a.probabilistic
概率论的	a.probabilistic
概略	n.compendium
概要	n.synopsis@n.compendium
概观	n.panorama@n.panorama
概览	n.overview
概述	n.overview@v.outline@v.outlined@v.outlines@v.outlining@v.outlines@v.outlining
榆树	n.elm
榛树	n.hazel
榨汁	v.juice@v.juices@v.juices
槽	n.slot@n.slots@n.trough@n.trough
模仿	v.mime@n.imitation@v.parody@v.apes@v.mime@v.ape@v.simulate@n.imitation@v.apes@v.mimic@v.patterned
模仿作品	n.parody
模仿者	n.mimic
模具	n.dies@n.mold@n.mould@n.mold@n.mould
模因	n.meme@n.meme
模块	n.module@n.modules
模块化的	a.modular@a.modular
模块的	a.modular
模型	n.model@n.models
模式	n.mode@n.pattern@n.patterns@n.modes@n.schema@n.paradigm@n.schema@n.modalities
模态的	a.modal@a.modal
模拟	v.model@n.simulation@n.sim@n.simulations@v.simulated@v.modelling@n.simulations@v.simulated@v.simulate
模拟人生	n.sims
模拟器	n.simulator@n.simulator@n.emulator
模拟的	a.analog@a.simulated@a.simulated@a.mock@a.analogue
模板	n.template@n.templates@n.stencil@n.stencil
模棱两可	n.ambiguity
模特	n.model@n.models
模糊	v.blur@n.blur@n.ambiguity@v.blur@n.blur
模糊的	a.fuzzy@a.ambiguous@a.fuzzy@a.obscure@a.vague@a.misty@a.ambiguous@a.blurred
模组	n.mod@n.mods@n.mods
模范	n.paragon@n.paragon
模范的	a.exemplary
横冲直撞	n.rampage@v.rampage
横向地	ad.horizontally
横向的	a.lateral@a.transverse@a.transverse
横幅	n.banner@n.banners@n.banners
横滨	n.yokohama
横笛	n.fife
横贯	n.traverse
横越	v.transverse@v.traverse@v.transverse
横跨	v.spanning
横过	ad.across
樱桃	n.cherry@n.cherries@n.cherries
樱桃树	n.cherry
橄榄	n.olive@n.olives@n.olives
橄榄球	n.football@n.rugby
橄榄色的	a.olive
橘子	n.oranges@n.oranges
橙子	n.orange@n.oranges@n.oranges
橙色	n.orange
橙色的	a.orange
橡子	n.acorn@n.acorn
橡实	n.acorn
橡木	n.oak
橡树	n.oak@n.oaks@n.oaks
橡皮	n.eraser
橡胶	n.rubber
橡胶的	a.rubber
橱柜	n.cabinet@n.cabinets@n.hutch@n.hutch@n.cupboard
檀香山	n.honolulu
檐槽	n.gutter
欠	v.owe@v.owing@v.owed@v.owes
欠债者	n.debtor
欠条	n.chit@n.chit
欠款	n.debts@n.debts@n.arrears
次	n.times
次品	n.reject
次数	n.reps
次日	n.morrow
次要的	a.secondary@a.lesser@a.subordinate@a.lesser
欢乐	n.joys
欢乐的	a.festive@a.festive@a.joyful
欢呼	v.cheers@v.cheer@v.cheer@v.hail
欢迎	v.welcome@n.welcome@v.welcomed@v.welcomes@n.welcomes@v.welcomed@v.welcomes@n.welcomes@v.welcoming
欣	n.hin
欣喜	v.rejoice
欣赏	v.appreciate@v.appreciated@n.appreciation@v.admired@v.admire
欧元	n.eur@n.euro@n.euros@n.euros
欧内斯特	n.ernest@n.ernest
欧姆	n.ohm@n.ohms
欧宝	n.opel@n.opel
欧文	n.owen@n.irving@n.erwin@n.owen@n.irvine@n.irving@n.irwin@n.erwin
欧文斯	n.owens
欧泊	n.opal
欧洲	n.europe
欧洲人	n.european@n.europeans
欧洲大陆的	a.continental
欧洲标准委员会	n.cen
欧洲的	a.european
欧洲货币单位	n.ecu@n.ecu
欧米伽	n.omega
欧罗巴	n.europa@n.europa
欧芹	n.parsley@n.parsley
欲望	n.desire@n.lust
欺凌	n.bullying@n.bullying
欺诈	n.fraud@v.scam@v.scam
欺诈的	a.fraudulent
欺负	v.bullying@v.bully@v.bullying@v.bully
欺骗	v.con@v.tricks@n.cheat@v.trick@n.cons@n.cheating@v.cheating@n.deception@v.hoax@v.fooled
欺骗性的	a.fraudulent@a.deceptive
款待	n.treat@n.hospitality@n.treats@v.entertained
款项	n.monies@n.moneys
歌	n.song
歌剧	n.opera
歌唱	v.sing@n.singing@v.sang@v.sings
歌唱家	n.singers
歌手	n.singer@n.singers@n.vocalist@n.singers@n.vocalist
歌曲	n.song@n.songs
歌曲集	n.songbook@n.songbook
歌本	n.songbook
歌罗西书	n.colossians
歌舞表演	n.cabaret
歌词	n.lyrics@n.lyric
止赎	n.foreclosures@n.foreclosure@n.foreclosures@n.foreclosure
正义	n.justice@n.righteousness@n.righteousness
正义的	a.righteous
正交的	a.orthogonal
正切	n.tangent
正切的	a.tangent
正则表达式	n.regex
正午的	a.meridian
正在消失的	a.disappearing@a.vanishing
正常	n.normal
正常化	n.normalization
正常地	ad.normally
正常的	a.normal
正式地	ad.officially@ad.formally@ad.formally@ad.duly
正式的	a.formal
正弦	n.sine@n.sine
正当理由	n.justification
正当的	a.legitimate
正方形	n.square@n.squares@n.squares
正方形的	a.square
正是	ad.precisely
正派的	a.decent
正的	a.plus@a.positive
正直	n.integrity@n.honesty@n.righteousness
正直的	a.righteous
正确	ad.right@n.correctness@n.correctness
正确地	ad.properly@ad.correctly@ad.rightly@ad.rightly
正确性	n.correctness@n.validity@n.correctness
正确的	a.right@a.correct@a.proper
正统性	n.legitimacy@n.legitimacy
正统的	a.orthodox@a.orthodox
正规军	n.regulars
正规地	ad.formally
正面	n.fronts@n.facade
正面的	a.frontal@a.frontal
此下	ad.hereunder
此后	ad.thereafter@ad.hereinafter@ad.thereafter
此外	ad.besides@ad.moreover@ad.furthermore@ad.additionally
步	n.step@n.steps@n.pas
步伐	n.pace@n.stride
步兵	n.infantry@n.infantry
步兵团	n.infantry
步枪	n.rifle@n.rifles@n.rifle@n.rifles
步行	n.walk@n.walking@v.walked
步行者	n.walker@n.walkers@n.walkers@n.pedestrians
步骤	n.step@n.procedures@n.steps@n.procedure
武器	n.arms@n.weapons@n.weapon
武士	n.samurai@n.samurai
武断地	ad.arbitrarily
武断的	a.arbitrary@a.arbitrary
武装	v.arm@v.armed
武装分子	n.militants
武装的	a.armed
歧义	n.ambiguity@n.ambiguity
歧管	n.manifold
歧视	n.discrimination@v.discriminate@v.discriminate
歧视的	a.discriminatory@a.discriminatory
歪曲的	a.distorted
歹徒	n.outlaw@n.outlaw@n.gangster
死	n.death@v.die@v.died@v.dying@v.dies
死亡	n.death@n.deaths@n.demise@n.fatalities@n.demise@n.fatalities
死亡人数	n.fatalities
死亡率	n.mortality
死尸	n.corpse
死的	a.dead
死者	n.deceased@n.deceased
残余	n.residual@n.remnants
残余的	a.residual@a.residual
残余部分	n.stub
残忍	n.cruelty@n.cruelty
残忍的	a.cruel@a.cruel@a.brute
残暴	n.atrocities
残渣	n.residues@n.residues@n.residue@n.lees
残留物	n.residues@n.residues@n.residue
残疾	n.disability@n.disabilities@n.handicap
残疾的	a.disabled@a.handicapped
残酷	n.cruelty@n.cruelty
残酷的	a.brutal@a.cruel@a.brutal@a.cruel
残骸	n.debris@n.debris@n.wreck
殖民地	n.colony@n.colony@n.colonies
殖民地的	a.colonial
殖民时期的	a.colonial
殖民者	n.settlers
殴打	n.beating
段	n.paragraph
段落	n.paragraph@n.passage@n.paragraphs@n.paragraphs@n.passages
殷勤的	a.attentive
毁坏	v.ruined@v.ruined
毁坏的	a.ruined
毁灭	n.destruction@v.destroy@v.ruins@v.ruin@n.devastation
毁灭性的	a.destructive@a.devastating
毁灭的	a.ruined
母乳喂养	n.breastfeeding
母亲	n.mother@n.mothers@n.mater@n.mater
母亲的	a.maternal@a.maternal
母亲身份	n.motherhood
母性	n.motherhood
母校	n.mater
母牛	n.cow@n.cows@n.cows
母狗	n.bitch@n.bitches
母猪	n.sow
母系的	a.maternal@a.maternal
母马	n.mare
母鸡	n.hen@n.hen
母鹿	n.doe
每	prep.per@a.every
每个	a.each@ad.each@a.every
每个人	pron.everyone@pron.everybody
每分钟心跳数	n.bpm
每分钟节拍数	n.bpm
每加仑英里数	n.mpg
每周	ad.weekly
每周的	a.weekly
每夜的	a.nightly@a.nightly
每天的	a.everyday
每季度	ad.quarterly
每小时	ad.hourly
每小时的	a.hourly
每年	ad.annually@ad.yearly@ad.yearly
每年的	a.annual@a.yearly@a.yearly
每当	conj.whenever
每日	ad.daily
每日的	a.daily
每晚	ad.nightly@ad.nightly
每月	ad.monthly
每月的	a.monthly
每秒位数	n.bps@n.bps
每秒帧数	n.fps
每秒循环数	n.cps
每英寸点数	n.dpi
毒品	n.drug@n.drugs@n.narcotics@n.dope@n.narcotics@n.dope
毒害	v.poison@n.toxicity@v.poison@v.poisoning
毒性	n.toxicity@n.toxicity
毒液	n.venom@n.venom
毒物学	n.toxicology
毒理学	n.toxicology
毒素	n.toxins@n.toxin@n.toxins@n.toxin
毒药	n.poison@n.poison
毒蛇	n.viper
毒质	n.toxin
比	conj.than@prep.than
比例	n.scale@n.ratio@n.percentage@n.proportion@n.ratios@n.ratios@n.proportions
比克	n.bic
比利	n.billy
比利时	n.belgium
比利时人	n.belgian@n.belgian
比利时的	a.belgian@a.belgian
比勒陀利亚	n.pretoria@n.pretoria
比喻	n.metaphor
比基尼	n.bikini@n.bikinis@n.bikinis
比安卡	n.bianca
比林斯	n.billings
比格犬	n.beagle
比武	n.tourney
比洛克西	n.biloxi@n.biloxi
比特洪流	n.bittorrent
比特流	n.bittorrent
比特率	n.bps
比率	n.rate@n.rates@n.ratio@n.ratios@n.ratios
比目鱼	n.sole
比索	n.peso@n.pesos@n.peso@n.pesos
比绍	n.bissau@n.bissau
比莉	n.billie@n.billie
比萨	n.pisa@n.pisa
比萨饼	n.pizza
比赛	n.games@n.game@n.match@n.race@n.competition@v.racing@n.matches@n.tournament@n.contest@n.contests@v.races@v.compete@n.competitions@n.tournaments@v.competing
比赛用的动物	n.racer
比较	v.compare@n.comparison@v.compared@v.diff@n.comp@v.comparing@n.comparisons@v.compares@v.diffs@v.compares
比较地	ad.comparatively
比较的	a.comparative
比较而言	ad.relatively
比阿特丽斯	n.beatrice
毕业	v.graduate@n.graduation@v.graduates@v.graduated@v.graduated@v.graduating
毕业典礼	n.graduation@n.commencement@n.commencement@n.baccalaureate
毕业生	n.graduate@n.graduates@n.grad@n.grad
毕业舞会	n.prom
毕业证书	n.diploma
毕加索	n.picasso@n.picasso
毕尔巴鄂	n.bilbao
毕生的	a.lifelong@a.lifelong
毗连	v.adjoining
毗邻	v.adjoining
毗邻的	a.adjacent
毛	n.mao@n.mao
毛伊岛	n.maui
毛利人	n.maori
毛利的	a.maori
毛刺	n.burr@n.bur@n.burr
毛发	n.hair@n.hairs
毛孔	n.pore
毛巾	n.towel@n.towels@n.towel@n.towels
毛毛虫	n.caterpillar
毛毡制的	a.felt
毛皮	n.fur
毛皮的	a.furry
毛线	n.wool@n.yarn
毛细管的	a.capillary
毛细血管	n.capillary
毛茸茸的	a.hairy@a.fuzzy@a.furry@a.fluffy@a.fuzzy@a.furry@a.fluffy
毛虫	n.caterpillar
毛衣	n.sweater@n.sweater@n.sweaters
毛里塔尼亚	n.mauritania@n.mauritania
毛里求斯	n.mauritius@n.mauritius
毡	n.felt
毫	n.mil
毫不	ad.none
毫无意义的	a.pointless
毫无疑问地	ad.undoubtedly
毯子	n.blanket@n.blankets@n.blanket@n.blankets
氏族	n.clan@n.clans
民主	n.democracy
民主主义者	n.democrat
民主党	n.dem
民主党人	n.democrats@n.democrat@n.dem
民主党的	a.dem
民主政治	n.democracy
民主的	a.democratic@a.dem
民事侵权	n.tort
民事的	a.civil
民俗	n.folklore
民兵	n.militia@n.militia
民兵组织	n.militia@n.militia
民意调查	n.poll@n.polls
民族	n.nation@n.nations@n.peoples@n.ethnicity@n.ethnicity@n.nationality
民族主义	n.nationalism@n.nationalism
民族主义的	a.nationalist@a.nationalist
民族主义者	n.nationalist@n.nationalist
民族的	a.national@a.ethnic
民用的	a.civilian
民营化	n.privatization
民谣	n.ballad@n.ballad@n.ballads
民间	n.folk
民间传说	n.folklore
气	n.chi
气体	n.gas@n.gases@n.gases
气候	n.climate
气候上的	a.climatic@a.climatic
气候的	a.climatic@a.climatic
气动的	a.pneumatic
气压计	n.barometer
气味	n.smell@n.smell@n.scent@n.smells@n.scents
气孔	n.pore
气息	n.breath
气旋	n.cyclone
气氛	n.atmosphere@n.vibe@n.aura@n.ambiance
气温	n.temperature
气溶胶	n.aerosol
气球	n.balloon@n.balloons@n.balloon@n.balloons
气缸	n.cylinder@n.cylinder@n.cylinders@n.cyl
气象台	n.observatory
气象学	n.meteorology@n.meteorology
气象学的	a.meteorological
气象的	a.meteorological
气道	n.airways@n.airway@n.airway
气馁的	a.discouraged
氖	n.neon@n.neon
氙	n.xenon@n.xenon
氛围	n.climate@n.vibe@n.ambience@n.ambiance
氟化物	n.fluoride@n.fluoride
氟化钠	n.fluoride
氡	n.radon
氢	n.hydrogen
氢氯化物	n.hydrochloride@n.hydrochloride
氦	n.helium@n.helium
氧	n.oxygen
氧化	n.combustion@n.oxidation
氧化作用	n.oxidation
氧化物	n.oxide@n.oxide@n.oxides
氧化锆	n.zirconia@n.zirconia
氧气	n.oxygen
氨	n.ammonia@n.ammonia
氨基	n.amino
氨水	n.ammonia@n.ammonia
