अँधेरा कमरा	n+m.darkroom
पार्स करना	v.parse@v.parsing
पार्स किया	v.parsed
पार्स किया हुआ	a.parsed
पार्सन्स	n+m.parsons
पार्सर	n+m.parser@n+m.parsers
पार्सल	n+m.parcel@n+m.parcels
पार्सिंग	n+m.parse@n+m.parsing
पाल	n+m.sail@n+m.sails
पाल नाव	n+f.sailboat
पाल नौकाएँ	n+f.sailboats
पालक	a.foster@n+m.spinach
पालता है	v.breeds
पालतू	a.pet@a.tame@a.domesticated
पालतू जानवर	n+m.pet@n+m.pets
पालतू बनाया	v.tamed
पालन	n+f.adherence@n+f.observance@n+f.observances@n+m.pursuance
पालन कर रहा	v.abiding@v.adhering
पालन करना	v.follow@v.comply@v.breed@v.observe@v.breeding@v.abide@v.adhere@v.obeys@v.abides
पालन किया	v.adhered
पालन-पोषण	n+m.raising@n+m.parenting@n+m.nurture@n+f.rearing
पालन-पोषण करता है	v.fosters
पालन-पोषण करना	v.fostering
पालन-पोषण किया	v.fostered
पालना	v.foster@n+m.cradle@n+m.crib@n+m.cribs@v.rearing@n+m.bassinets@n+m.bassinet@v.rears
पालने	n+f.cradles@n+m.cots
पालने वाला	a.nurturing@n+m.tamer
पाला	n+m.frost@v.bred@v.reared@v.nurtured
पाला जमना	v.frosting
पाला हुआ	a.farmed
पालि	n+f.lobe@n+m.lobes@n+f.pali
पालित	a.bred
पाले से ढका	a.frosted
पालोमार	n+m.palomar
पाल्मा	n+f.palma
पाल्मीरा	n+f.palmyra
पाव रोटी	n+f.loaf
पावनी	n+m.pawnee
पावरट्रेन	n+m.powertrain
पावरपॉइंट	n+m.powerpoint
पावरबोट	n+f.powerboat
पावरहाउस	n+m.powerhouse
पाशा	n+m.pasha
पाश्चर	n+m.pasteur
पास	a.close@ad.near@n+m.pass@n+m.passes@a.nigh
पास आता है	v.nears
पास करना	v.pass
पास किया	v.passed
पास में	ad.nearby
पासओवर	n+m.passover
पासपोर्ट	n+m.passport@n+m.passports
पासफ्रेज	n+m.passphrase
पासवर्ड	n+m.password@n+m.passwords
पासा	n+m.die@n+m.dice
पासा फेंकना	v.dice
पासाडेना	n+f.pasadena
पास्कल	n+m.pascal
पास्का संबंधी	a.paschal
पास्क्वेल	n+m.pasquale
पास्ता	n+m.pasta@n+m.pastas
पिंकनी	n+m.pinckney
पिंकर्टन	n+m.pinkerton
पिंग	n+m.ping@n+m.pings
पिंग करता है	v.pings
पिंग करना	v.ping@v.pinging
पिंजरा	n+m.cage
पिंजरे	n+m.cages@n+m.hutches
पिंजरे में बंद	a.caged
पिंजरे में रखना	v.cage
पिंट	n+m.pint
पिंटर	n+m.pinter
पिंटो	n+m.pinto
पिंड	n+m.ingot
पिंडलियाँ	n+f.calves
पिंडली	n+f.calf@n+f.shin@n+m.shank@n+f.shins
पिंडली का कवच	n+f.greaves
पिंडली संबंधी	a.tibial
पिएमोंटे	n+m.piemonte
पिकअप	n+m.pickup@n+m.pickups
पिकनिक	n+m.picnic@n+f.picnics
पिकरिंग	n+m.pickering
पिकविक	n+m.pickwick
पिकाडिली	n+m.piccadilly
पिकार्ड	n+m.picard
पिकासो	n+m.picasso
पिकेट	n+m.pickett
पिकोलो	n+m.piccolo
पिक्ट	n+m.pict
पिक्सेल	n+m.pixels@n+m.pixel
पिघलता हुआ	a.melting
पिघलता है	v.melts
पिघलना	v.melt@n+m.melting@v.thaw@v.thawing
पिघला	v.melted@v.thawed
पिघला हुआ	a.melted@a.molten@a.thawed
पिघलाना	v.defrost
पिघलाव	n+m.melt@n+m.thaw@n+m.melts
पिघली बर्फ	n+f.slush
पिच	n+f.pitch@n+f.pitches
पिच किया हुआ	a.pitched
पिचफोर्क	n+m.pitchfork
पिचर	n+m.pitcher@n+m.pitchers
पिचिंग	n+f.pitching
पिछड़ता है	v.lags
पिछड़ना	v.lagging
पिछड़ा	a.backward@v.lagged
पिछड़ी जगह	n+f.backwater
पिछलग्गू	n+m.henchmen
पिछला	a.back@a+m.last@a.previous@a.past@a.prev@a.trailing@a.aft@a.hinder@a.hind
पिछला कमरा	n+m.backroom
पिछला गेट	n+m.tailgate
पिछला दरवाज़ा	n+m.backdoor
पिछला भाग	n+m.stern@n+m.backside@n+m.breech@n+m.rears
पिछली	a+f.last
पिछली बत्तियां	n+f.taillights
पिछली सीट	n+f.backseat
पिछले महीने का	a.ultimo
पिछवाड़ा	n+m.backyard@n+m.rump
पिज़्ज़ा	n+m.pizza@n+m.pizzas
पिज़्ज़ेरिया	n+f.pizzeria
पिट	n+m.pitt
पिटकेर्न	n+m.pitcairn
पिटमैन	n+m.pittman@n+m.pitman
पिटा हुआ	a.battered
पिटाई	n+f.spanking@n+f.beating@n+f.whipping@n+f.bashing@n+m.thrash@n+f.spankings@n+f.hammering@n+f.beatings@n+f.thrashing
पिट्ठू	n+m.stooges
पिट्स	n+m.pitts
पिट्सबर्ग	n+m.pittsburgh
पिता	n+m.father@n+m.fathers@n+m.dads@n+m.sire@n+m.pere
पिता होना	v.sired
पिताजी	n+m.dad
पितृत्व	n+f.paternity@n+m.fatherhood
पितृसत्ता	n+m.patriarchy
पितृसत्तात्मक	a.patriarchal
पित्त	n+m.gall@n+f.bile
पित्त पथरी	n+m.gallstones
पित्त संबंधी	a.biliary
पित्ताशय	n+m.gallbladder@n+f.galls
पित्ती	n+f.hives
पिन	n+f.pin@n+f.pins
पिन करना	v.pin
पिन किया	v.pinned
पिन कोड	n+m.postcodes
पिन लगाता है	v.pins
पिन लगाना	v.pinning
पिनअप	n+m.pinup
पिनबॉल	n+m.pinball
पिनयिन	n+m.pinyin
पिनव्हील	n+m.pinwheel
पिनस्ट्राइप	n+f.pinstripe
पिनाटा	n+f.pinata
पिनियन	n+m.pinion
पिनो	n+m.pinot
पिनोक्यो	n+m.pinocchio
पिनोचे	n+m.pinochet
पिपेट	n+f.pipettes@n+f.pipette
पिप्पिन	n+m.pippin
पिमा	n+m.pima
पियरे	n+m.pierre
पियर्स	n+m.pierce@n+m.peirce
पियर्सन	n+m.pearson
पिया	v.drunk@v.drank
पियाजे	n+m.piaget
पियानो	n+m.piano@n+m.pianos
पियानोवादक	n+m.pianist@n+m.pianists
पियोनी	n+f.peony
पिरान्हा	n+f.piranha
पिरामिड	n+m.pyramid@n+m.pyramids
पिरामिड जैसा	a.pyramidal
पिरिडीन	n+f.pyridine
पिरेनीज़	n+m.pyrenees
पिरोया	v.strung
पिलाटीज	n+m.pilates
पिलातुस	n+m.pilate
पिल्ला	n+m.puppy@n+m.pup
पिल्ले	n+m.puppies@n+m.pups
पिल्सबरी	n+m.pillsbury
पिल्सेन	n+m.pilsen
पिशाच	n+m.vampire@n+m.vampires
पिसा हुआ	a.milled
पिसाई	n+f.grinding@n+f.grind@n+f.milling@n+f.grinds
पिसीना	n+f.piscina
पिस्टन	n+m.piston@n+m.pistons
पिस्ता	n+m.pistachio
पिस्तौल	n+f.pistol@n+f.pistols@n+f.handgun@n+f.handguns
पिस्तौलदान	n+m.holsters
पिस्सू	n+f.flea@n+f.fleas
पी रहा	v.drinking
पीआरएस	n+m.prs
पीईएस	n+m.pes
पीएचडी उपरांत	a.postdoctoral
पीएफसी	n+m.pfc
पीएमएस	n+f.pms
पीएसएफ	n+m.psf
पीओएस	n+m.pos
पीछा	n+m.chase@n+m.pursuit@n+m.chasing@n+m.pursuits@n+f.chases
पीछा कर रहा	v.stalking
पीछा करता है	v.trails@v.hounds@v.pursues@v.chases
पीछा करना	v.trail@v.chase@v.tail@v.pursue@v.pursuing@v.pursued@v.chasing@v.hound@v.tailgate@n+m.stalking@v.stalk@v.stalks@v.shadowing@v.dogging
पीछा करने वाला	n+m.chaser@n+m.stalker
पीछा करने वाले	n+m.chasers
पीछा किया	v.tailed@v.chased@v.trailed@v.shadowed@v.dogged@v.stalked
पीछे	prep.behind@ad.behind@ad.aft@ad.aback
पीछे आया	v.ensued
पीछे का	a.rear
पीछे का भाग	n+m.rear@n+m.rumps
पीछे की ओर	ad.backward@ad.backwards
पीछे चलना	v.trailing@v.tailgating
पीछे छोड़ दिया	v.overtaken
पीछे छोड़ना	v.overtake
पीछे जाना	v.retrograde@v.regress@v.backspace
पीछे पड़ना	v.gunning
पीछे रहना	v.lag
पीछे हटता है	v.retreats
पीछे हटना	v.retreat@n+f.retreats@v.recoil@v.retreating@v.receding
पीछे हटा	v.retreated
पीछे हटा हुआ	a.recessed
पीछे हटाना	v.rollback
पीज़ोइलेक्ट्रिक	a.piezoelectric
पीट	n+m.pete@n+f.peat@n+m.piet
पीटता है	v.beats
पीटना	v.pound@v.hammer@v.beating@v.pounding@v.batter@v.banging@v.bashing@v.thrash@v.thrashing@v.belting@v.clobber@v.battering
पीटर	n+m.peter
पीटरबरो	n+m.peterborough
पीटरसन	n+m.peterson@n+m.petersen
पीटर्स	n+m.peters
पीटर्सबर्ग	n+m.petersburg
पीटा	v.banged@v.pounded
पीटा रोटी	n+f.pita
पीटा हुआ	a.beaten
पीठ	n+f.back@n+f.ass@n+m.bench@n+f.backs@n+f.backside
पीठ का थैला	n+f.rucksack@n+m.rucksacks
पीठ टेक	n+m.backrest
पीठ पर	ad.piggyback
पीठ पर ले जाना	v.piggyback
पीडमॉन्ट	n+m.piedmont
पीड़ा	n+f.suffering@n+f.distress@n+f.pang@n+f.affliction@n+f.soreness@n+f.throes
पीड़ा देना	v.racking
पीड़ाएँ	n+f.sufferings
पीड़ाएं	n+f.afflictions
पीड़ादायक	a.agonizing
पीड़ित	n+m.victims@n+m.victim@a.stricken@a.plagued@n+m.sufferers@a.afflicted@a.aggrieved@a.victimized@a.racked@n+m.sufferer
पीड़ित किया	v.afflicted@v.tormented@v.victimized
पीड़ित हुआ	v.suffered
पीड़ित है	v.suffers
पीड़ित होना	v.suffering@v.suffer
पीढ़ियां	n+f.generations
पीढ़ी	n+f.generation@n+f.gen
पीढ़ीगत	a.generational
पीतल	n+m.brass
पीतल का	a.brass
पीता है	v.drinks
पीना	v.drink
पीनियल	a.pineal
पीने योग्य	a.potable
पीने वाला	n+m.drinker
पीने वाले	n+m.drinkers
पीपशो	n+m.peepshow
पीपा	n+f.barrel@n+m.keg@n+m.cask
पीपा बनाने वाले	n+m.coopers
पीपीआर	n+m.ppr
पीपीएम	n+m.ppm
पीपीडी	n+m.ppd
पीबल्स	n+m.peebles
पीबॉडी	n+m.peabody
पीयूष ग्रंथि	n+f.pituitary
पीयूष ग्रंथि संबंधी	a.pituitary
पीरियस	n+m.piraeus
पीला	a+m.yellow@a.pale@a.wan@a.pasty
पीला पड़ना	v.pale@v.yellowing
पीला रंग	n+m.yellow@n+m.buff@n+m.yellows
पीला होता है	v.yellows
पीला-भूरा	a.tawny
पीलापन	n+f.yellowing
पीलापन लिए	a.yellowish
पीलिया	n+m.jaundice
पीली	a+f.yellow
पीवी	n+m.peavey
पीसता है	v.grinds
पीसना	v.grinding@v.grind@v.milling
पीसने वाले	n+m.grinders
पीसा	n+m.pisa@v.powdered@v.milled
पीसा हुआ	a.brewed
पीसी	n+m.pc@n+m.pcs
पीसो	n+m.piso
पुआल	n+m.hay@n+f.straw
पुकार	n+m.call
पुखराज	n+m.topaz
पुग्लिया	n+f.puglia
पुच्चिनी	n+m.puccini
पुच्छीय	a.caudal
पुजारिन	n+f.priestess
पुजारी	n+m.priest@n+m.priests@n+m.celebrant
पुजारी जैसा	a.priestly
पुटिका	n+m.vesicle
पुटिकाएँ	n+f.vesicles
पुटिकीय	a.vesicular
पुटी	n+m.cyst@n+f.cysts
पुटीय	a.cystic
पुट्टी	n+m.putty
पुडिंग	n+f.pudding@n+m.pud
पुणे	n+m.pune
पुतला	n+m.mannequin
पुतली	n+f.pupils@n+f.pupil
पुतले	n+m.mannequins
पुतिन	n+m.putin
पुत्र	n+m.son@n+m.sons
पुत्री	n+f.daughter
पुदीना	n+f.mint@n+m.peppermint@n+m.mints
पुन: उपयोग किया	v.reused
पुन: उपयोगित	a.reused
पुन: जारी	n+m.reissues
पुन: जारी करता है	v.reissues
पुन: प्रयोज्य	a.reusable
पुनः आकार देना	v.reshape@v.reshaping
पुनः आदेश	n+m.reorder
पुनः आरंभ	n+m.restart@n+m.restarts@n+m.reboots
पुनः आरंभ करता है	v.restarts
पुनः आरंभ करना	v.restart
पुनः आरंभ किया	v.restarted
पुनः आविष्कार	n+f.reinvention
पुनः आविष्कार कर रहा	v.reinventing
पुनः आविष्कार करना	v.reinvent
पुनः आविष्कार किया	v.reinvented
पुनः आवेदन करना	v.reapply
पुनः उपयोग	n+m.reuse
पुनः उपयोग करना	v.reuse@v.reusing
पुनः एकीकरण	n+f.reintegration
पुनः कब्ज़ा करना	v.recapture
पुनः करना	n+m.redo
पुनः कहना	v.restate
पुनः कहा	v.restated
पुनः काम किया	v.reworked
पुनः केंद्रित करना	v.recenter@v.refocus
पुनः कोड करना	v.recode
पुनः क्रमबद्ध करना	v.reordering
पुनः क्रमांकित किया	v.renumbered
पुनः क्रमित करना	v.reorder
पुनः क्षेत्रीकरण	n+m.rezoning
पुनः खोजना	v.rediscover@v.rediscovering
पुनः खोजा	v.rediscovered
पुनः खोलना	n+m.reopening@v.reopening@v.reopens
पुनः गिरवी रखना	v.remortgage
पुनः चार्ज करना	v.recharging
पुनः जमा करना	v.resubmit
पुनः जारी करना	v.reissue
पुनः जारी किया	v.reissued
पुनः जुड़ाव	n+f.reconnection
पुनः जोड़ना	v.reconnect
पुनः डायल करना	v.redial
पुनः डिज़ाइन करना	v.redesign
पुनः डिजाइन करना	v.redesigning
पुनः देखना	v.revisiting
पुनः नियुक्त करना	v.reassign
पुनः निर्माण करना	v.recreating
पुनः निर्मित किया	v.recreated
पुनः परिभाषित करना	v.redefining
पुनः परीक्षण	n+m.retest
पुनः परीक्षण करना	v.retest
पुनः पुष्टि करना	v.reaffirm
पुनः पुष्टि की	v.reaffirmed
पुनः प्रकट होना	v.reappear
पुनः प्रकाशन	n+m.reissue
पुनः प्रकाशित किया	v.republished
पुनः प्रयास	n+m.retry
पुनः प्रयास करना	v.retry@v.retries
पुनः प्रवेश	n+f.reentry@n+f.readmission
पुनः प्रवेश करना	v.reenter
पुनः प्रसारण	n+m.rerun@n+m.replays@n+f.retransmission@n+m.reruns
पुनः प्रसारित करना	v.rerun@v.retransmit@v.rebroadcast
पुनः प्रसारित किया	v.retransmitted
पुनः प्रस्तुत किया	v.reintroduced
पुनः प्रस्तुति	n+f.reintroduction
पुनः प्राधिकरण	n+f.reauthorization
पुनः प्राप्त करना	v.retrieve@v.retrieving@v.reclaim@v.reclaiming@v.regaining
पुनः प्राप्त किया	v.retrieved@v.reclaimed@v.regained
पुनः प्राप्ति	n+f.recapture
पुनः बनाना	v.remaking
पुनः बनाया	v.remade
पुनः बीमार हुआ	v.relapsed
पुनः बेचना	v.resell
पुनः बेचा	v.resold
पुनः भंडार भर रहा	v.restocking
पुनः भरण	n+m.replenishment
पुनः भरना	v.restock
पुनः भरने योग्य	a.refillable
पुनः भरा	v.refilled
पुनः भेंट करना	v.revisit
पुनः भेजना	v.resend
पुनः लिखना	v.rewrite@v.rewrites
पुनः लिखा	v.rewrote
पुनः लिखा गया	v.rewritten
पुनः लॉन्च	n+m.relaunch
पुनः लॉन्च करना	v.relaunch
पुनः लोड करना	v.reloading@v.reloads
पुनः लोड किया	v.reloaded
पुनः विन्यस्त करना	v.reconfigure
पुनः शुरू करना	v.restarting
पुनः शूटिंग	n+m.retake
पुनः संकलित करना	v.recompile
पुनः सक्रिय करना	v.reactivate
पुनः सक्रिय किया	v.reactivated
पुनः सक्रियण	n+f.reactivation
पुनः सतह बना रहा	v.resurfacing
पुनः समूहित होना	v.regroup
पुनः सुनवाई	n+f.rehearing
पुनः सूचीबद्ध करना	v.relist
पुनः सूचीबद्ध किया	v.relisted
पुनः सूत्रबद्ध किया	v.reformulated
पुनः स्थापित करना	v.reinstall@v.reposition@v.reinstalling@v.repositioning@v.reestablish
पुनः स्थापित किया	v.reinstalled
पुनः स्वरूपित करना	v.reformat
पुनः स्वरूपित किया	v.reformatted
पुनरागत	a.redux
पुनरारंभ	n+f.resumption
पुनरावर्ती	a.recursive
पुनरावर्ती रूप से	ad.recursively
पुनरावृत्त	a.iterative@a.iterated
पुनरावृत्ति	n+f.iteration@n+f.recurrence@n+m.ditto@n+f.relapse@n+f.recursion@n+f.reprise
पुनरावृत्ति होना	v.recur
पुनरावृत्तियाँ	n+f.iterations@n+f.repetitions
पुनरुत्थान	n+m.rebound@n+f.resurrection@n+f.resurgence
पुनरुत्थित	a.resurrected
पुनरुत्पादन कर रहा	v.reproducing
पुनरुत्पादनीय	a.reproducible
पुनरुत्पादित करता है	v.reproduces
पुनरुत्पादित करना	v.reproduce
पुनरुत्पादित किया	v.reproduced
पुनरुद्धार	n+m.revival
पुनर्आवंटन	n+f.reallocation
पुनर्एकीकरण	n+f.reunification
पुनर्कथन	n+m.restatement@n+f.retelling
पुनर्कार्य	n+m.rework
पुनर्कार्य करना	v.reworking
पुनर्खरीद	n+f.repurchase@n+m.buyback
पुनर्खरीद करना	v.repurchase
पुनर्गठन	n+m.restructuring@n+f.reorganization@n+m.restructure@n+m.reorg@n+f.reorganisation@n+f.reconstitution
पुनर्गठन करना	v.restructure
पुनर्गठित	a.restructured@a.reorganized
पुनर्गठित करना	v.reorganize@v.reorganizing
पुनर्गठित किया	v.restructured@v.reorganized@v.reconstituted
पुनर्गणना	n+m.recount@n+m.recounts
पुनर्गणना करना	v.recalculate@v.recounting
पुनर्गणना की	v.recalculated
पुनर्गिरवी	n+m.remortgages
पुनर्ग्रहण	n+f.reclamation
पुनर्चक्रण	n+m.recycling@n+f.recirculation
पुनर्चक्रण करना	v.recycled@v.recycle
पुनर्चक्रण योग्य	n+m.recyclables
पुनर्चक्रणकर्ता	n+m.recyclers
पुनर्चक्रणीय	a.recyclable
पुनर्चक्रित	a.recycled
पुनर्जनन	n+f.regeneration
पुनर्जन्म	n+m.rebirth@n+m.reincarnation
पुनर्जन्मित	a.reborn
पुनर्जागरण	n+m.renaissance
पुनर्जीवन	n+f.revitalization@n+f.resuscitation
पुनर्जीवित	a.revived@a.regenerate@a.revitalizing
पुनर्जीवित करना	v.revive@v.regenerate@v.revitalize@v.reviving@v.revitalizing@v.regenerating@v.resurrect@v.rejuvenating
पुनर्जीवित किया	v.revived@v.resurrected@v.regenerated@v.revitalized
पुनर्डिज़ाइन	n+m.redesign
पुनर्डिज़ाइन किया	v.redesigned
पुनर्तैनाती	n+f.redeployment
पुनर्नियुक्त किया	v.reassigned
पुनर्नियुक्ति	n+f.reassignment@n+f.reappointment
पुनर्निरीक्षण किया	v.overhauled
पुनर्निर्देशन	n+f.redirection@n+m.redirects
पुनर्निर्देशित कर रहा	v.redirecting
पुनर्निर्देशित करता है	v.redirects
पुनर्निर्देशित करना	v.redirect
पुनर्निर्देशित किया	v.redirected
पुनर्निर्धारण करना	v.rescheduling
पुनर्निर्धारित	a.rescheduled
पुनर्निर्धारित करना	v.reschedule
पुनर्निर्धारित किया	v.rescheduled
पुनर्निर्माण	n+m.reconstruction@n+m.rebuilding@n+f.reconstructions
पुनर्निर्माण करना	v.rebuild@v.rebuilding@v.remake@v.recreate@v.reconstruct@v.remodel@v.reconstructing@v.remaster@v.recast@v.remakes@v.revamping@v.rebuilds
पुनर्निर्माण संबंधी	a.reconstructive
पुनर्निर्मित	a.reconditioned@a.rebuilt@v.remastered@a.reconstructed
पुनर्निर्मित किया	v.rebuilt@v.reconstructed
पुनर्निर्वाचन	n+m.reelection
पुनर्निर्वाचित होना	v.reelected
पुनर्निवेश	n+m.reinvestment
पुनर्निवेश किया	v.reinvested
पुनर्परिभाषा	n+f.redefinition
पुनर्परिभाषित करना	v.redefine@v.redefines
पुनर्परिभाषित किया	v.redefined
पुनर्परिष्करण	n+m.refinishing
पुनर्प्रकाशन	n+f.republication
पुनर्प्रकाशित करना	v.republish
पुनर्प्रशिक्षण	n+m.retraining
पुनर्प्रसंस्करण	n+m.reprocessing
पुनर्प्राप्त	a.reclaimed@a.salvaged@a.rebounded
पुनर्प्राप्ति	n+f.retrieval
पुनर्बंधक	n+m.remortgage
पुनर्बिक्री	n+f.resales
पुनर्बीमा	n+f.reinsurance
पुनर्भुगतान	n+m.repayment
पुनर्मिलन	n+f.reunion@n+f.reunions
पुनर्मिलित	a.reunited
पुनर्मिश्रित	a.remixed
पुनर्मुकाबला	n+m.rematch
पुनर्मुद्रण	n+m.reprints@n+m.reprint@n+m.reprinting
पुनर्मुद्रण करना	v.reprinting
पुनर्मुद्रित	a.reprinted
पुनर्मुद्रित करता है	v.reprints
पुनर्मुद्रित करना	v.reprint@v.reprinted
पुनर्मूल्यांकन	n+f.revaluation@n+m.reassessment
पुनर्मूल्यांकन करना	v.reassess
पुनर्योजी	a.regenerative
पुनर्लेखन	n+m.rewrite@n+m.rewrites
पुनर्लेखन करना	v.rewriting
पुनर्वनीकरण	n+f.reforestation
पुनर्वर्गीकरण	n+f.reclassification
पुनर्वर्गीकृत	a.reclassified
पुनर्वर्गीकृत किया	v.reclassified
पुनर्वास	n+m.rehabilitation@n+f.rehab@n+m.resettlement@n+m.rehabs
पुनर्वास करना	v.rehabilitate
पुनर्वास संबंधी	a.rehabilitative
पुनर्वासित	a.rehabilitated
पुनर्वासित किया	v.rehabilitated
पुनर्विकास	n+m.redevelopment
पुनर्विक्रय	n+f.resale
पुनर्विक्रय करना	v.reselling
पुनर्विक्रेता	n+m.reseller@n+m.resellers
पुनर्विचार	n+f.reconsideration@n+m.rethinking@n+m.rethink
पुनर्विचार कर रहा	v.rethinking
पुनर्विचार करना	v.reconsider@v.rethink
पुनर्विचार किया	v.reconsidered
पुनर्वितरण	n+f.redistribution
पुनर्वितरण करना	v.redistribute@v.redistributing
पुनर्वितरित किया	v.redistributed
पुनर्वित्त	n+m.refinance
पुनर्वित्त करना	v.refinance
पुनर्वित्तपोषण	n+m.refinancing
पुनर्वित्तपोषण किया	v.refinanced
पुनर्विन्यास	n+f.reconfiguration
पुनर्विन्यास किया	v.reconfigured
पुनर्विन्यास योग्य	a.reconfigurable
पुनर्विभाजन	n+m.redistricting
पुनर्विवाह	n+m.remarriage
पुनर्विवाह किया	v.remarried
पुनर्वृद्धि	n+m.regrowth
पुनर्व्यवस्था	n+m.rearrangement@n+m.rearrangements
पुनर्व्यवस्थित	a.rearranged
पुनर्व्यवस्थित करना	v.rearrange@v.rearranging
पुनर्व्यवस्थित किया	v.rearranged
पुनर्संयोजक	a.recombinant
पुनर्संयोजन	n+f.recombination
पुनर्संरेखण	n+m.realignment
पुनर्सतह	n+m.resurfacing
पुनर्सामान्यीकरण	n+f.renormalization
पुनर्स्थापक	a.restorative@n+m.restorative
पुनर्स्थापन	n+m.restoration
पुनर्स्थापना करना	v.reconditioning
पुनर्स्थापनाएँ	n+f.restorations
पुनर्स्थापित	a.restored@a.relocated
पुनर्स्थापित करना	v.restore@v.restoring@v.retrofitting
पुनश्चर्या	a.refresher
पुरस्कार	n+m.award@n+m.awards@n+m.prize@n+m.prizes@n+m.rewards
पुरस्कार देना	v.awarding
पुरस्कार विजेता	n+m.awardees
पुरस्कृत	a.awarded@a.rewarded
पुरस्कृत करता है	v.rewards
पुरस्कृत करना	v.award@v.reward
पुरस्कृत किया	v.rewarded
पुरातत्व	n+f.archaeology
पुरातत्वविद	n+m.antiquarian@n+m.archaeologists@n+m.archaeologist
पुरातन	a.archaic@a.hoary
पुरातात्विक	a.archaeological
पुराना	a+m.old@a.older@a.vintage@a.chronic@a.dated@a.outdated@a.ole@a.secondhand@a.passe@a.lapsed@a.antiquated@a.olden
पुराना शैली	n+m.retro
पुराना हो गया	v.obsoleted
पुरानी	a+f.old
पुरानी कार	n+f.banger
पुरानी यादें	n+f.nostalgia@n+m.throwback
पुरानी यादों का	a.nostalgic
पुराने गाने	n+m.oldies
पुराने ज़माने का	a.quaint
पुराने में नया लगाना	v.retrofit
पुराने समय	n+m.yore
पुरावशेष	n+f.antiquities@n+f.artefact
पुरिम	n+m.purim
पुरुष	n+m.man@n+m.men@n+m.male@a.male@n+m.males
पुरुष घोड़ा	n+m.stud
पुरुषत्व	n+m.manhood@n+f.virility
पुरुषवाचक	a.masculine
पुरुषों के कपड़े	n+m.menswear
पुरुषोचित	a.manly
पुरोहित संबंधी	a.priestly
पुरोहिताई	n+m.priesthood
पुर्तगाल	n+m.portugal
पुर्तगाली	a.portuguese
पुर्तगाली व्यक्ति	n+m.portuguese
पुल	n+m.bridge@n+m.bridges@n+m.pul
पुल का खंभा	n+f.pier
पुल बनाता है	v.bridges
पुल बनाना	n+f.bridging
पुल बाँधा	v.bridged
पुलपथ	n+m.viaduct
पुलमैन	n+m.pullman
पुला	n+m.pula
पुलास्की	n+m.pulaski
पुलिंदा	n+f.parcel@n+m.sheaf@n+m.sheaves
पुलित्ज़र	n+m.pulitzer
पुलिया	n+m.causeway@n+m.culvert@n+m.culverts
पुलिस	n+f.police@n+f.constabulary@n+f.polices
पुलिस बल	n+m.constabulary
पुलिस वाला	n+m.cop
पुलिसकर्मी	n+m.policemen
पुलिसवाला	n+m.policeman
पुलिसवाले	n+m.cops
पुलिसिंग	n+f.policing
पुलोवर	n+m.pullover
पुश बटन	n+m.pushbutton
पुशचेयर	n+f.pushchair@n+f.pushchairs
पुश्ता	n+m.buttress
पुश्तैनी	a.ancestral
पुष्ट	a.confirmed@a.substantiated
पुष्टि	n+f.confirmation@n+f.endorsement@n+f.affirmation@n+f.vindication
पुष्टि कर रहा	v.affirming
पुष्टि करता है	v.affirms@v.reaffirms
पुष्टि करना	v.confirm@v.confirms@v.confirming@v.affirm
पुष्टि की	v.confirmed@v.affirmed@v.ratified@v.corroborated
पुष्टिकारक	a.confirmatory
पुष्टियाँ	n+f.affirmations@n+f.confirmations
पुष्प	a.floral
पुष्पमालाएँ	n+f.wreaths
पुष्पहार	n+m.wreath
पुस्तक	n+m.book
पुस्तक का खोल	n+m.slipcase
पुस्तक प्रेमी	n+m.bookman
पुस्तक विक्रेता	n+m.booksellers@n+m.bookseller
पुस्तक-विवरण	n+m.colophon
पुस्तकालय	n+m.library@n+m.libraries
पुस्तकालय विज्ञान	n+f.librarianship
पुस्तकालयाध्यक्ष	n+m.librarian@n+m.librarians
पुस्तकें	n+m.books
पुस्तिका	n+f.handbook@n+f.brochure@n+f.booklet@n+f.pamphlet
पुस्तिकाएँ	n+f.handbooks@n+f.booklets@n+f.pamphlets
पुस्तिकाएं	n+f.manuals
पूँछ	n+f.tails
पूँछ वाला	a.tailed
पूँजी	n+f.capital
पूँजी लगाई	v.capitalized
पूँजी लगाना	v.capitalize
पूँजीकरण	n+f.capitalization
पूँजीकरण करना	v.capitalizing
पूँजीवाद	n+m.capitalism
पूंछ	n+f.tail
पूंजी लगाना	v.capitalise
पूंजीकरण	n+f.capitalisation
पूंजीकृत करना	v.capitalised
पूंजीपति	n+m.capitalist@n+m.capitalists
पूंजीवादी	a.capitalist
पूछ रहा	v.asking
पूछता है	v.asks
पूछताछ	n+m.inquiry@n+f.inquiries@n+f.enquiries@n+f.enquiry@n+m.questioning@n+f.interrogation@n+f.inquisition@n+f.interrogations
पूछताछ करता है	v.queries@v.inquires
पूछताछ करना	v.inquire@v.enquire@v.inquiring@v.enquires@v.interrogate
पूछताछ किया गया	a.questioned
पूछताछ की	v.interrogated
पूछताछकर्ता	n+m.inquirer@n+m.enquirer
पूछना	v.question@v.ask@v.query
पूछने वाला	n+m.asker
पूछा	v.asked@v.inquired@v.queried
पूजनीय	a.revered
पूजा	n+f.worship@n+f.adoration
पूजा करना	v.worship@v.adore@v.worshipping
पूजा करने वाले	n+m.worshippers
पूजा की	v.worshipped@v.adored
पूजा विधि	n+f.liturgy
पूजा विधि संबंधी	a.liturgical
