12	n.twelve
không được yêu cầu	a.unsolicited
không được điều trị	a.untreated
không đảng phái	a.nonpartisan
không đầu	a.headless
không đầy đủ	ad.inadequately@a.inadequate@a.incomplete
không đặc hiệu	a.nonspecific
không đếm xỉa	vt.disregarded
không đều	a.patchy@a.uneven
không đọc được	a.unreadable
không đối lập	vt.unopposed
không đối xứng	a.asymmetrical
không đồng bộ	a.asynchronous
không đồng nhất	a.heterogeneous@a.inhomogeneous@n.heterogeneity
không đồng ý	v.disagree@vt.disagreed@vt.disagreeing@vt.disagrees
không đủ	n.insufficiency@ad.insufficiently@a.insufficient
không đủ tiêu chuẩn	a.unqualified
không đủ điều kiện	a.ineligible
không đứng đắn	a.indecent
không ổn định	a.unstable
không...cũng không	conj.neither
khùng	a.wack
khúc	n.canto
khúc cua	n.bend@n.bends
khúc côn cầu	n.hockey
khúc dạ khúc	n.nocturne
khúc dạo đầu	n.preludes@n.prelude
khúc hòa tấu	n.concerto
khúc sông hình móng ngựa	n.oxbow
khúc thánh ca	n.chorale
khúc xạ	n.refraction@a.refractive
khăn	n.cloth@n.towels
khăn bandana	n.bandana@n.bandanas
khăn choàng	n.wrap@n.stole@n.shawl@n.shawls@n.stoles
khăn giấy	n.tissue@n.tissues@n.kleenex
khăn lau	n.wipe@n.wipes
khăn lau bụi	n.duster
khăn phủ quan tài	n.pall
khăn quàng	n.wraps@n.scarf@n.scarves
khăn tay	n.handkerchief@n.hanky
khăn trùm đầu	n.hijab
khăn trải bàn	n.tablecloth@n.tablecloths
khăn trải giường	n.bedspreads
khăn tắm	n.towel
khăn xếp	n.turban
khăn ăn	n.napkin@n.napkins
khăng khăng	v.insist@v.insisted@v.insists@vt.insisting@n.insistence@a.insistent
khơi dậy	vt.arousing
khơi gợi	v.intriguing
khạc	v.spit
khả nghịch	a.invertible
khả năng	n.knack@n.probability@n.odds@n.possibilities@n.abilities@n.capability@n.ability@n.likelihood@n.possibility
khả năng bảo trì	n.maintainability
khả năng chi trả	n.affordability
khả năng chơi	n.playability
khả năng có việc làm	n.employability
khả năng di chuyển	n.mobility
khả năng dự đoán	n.predictability
khả năng kết nối	n.connectivity
khả năng mở rộng	n.extensibility@n.scalability
khả năng phục hồi	n.resiliency
khả năng phục vụ	n.serviceability
khả năng sinh sản	n.fertility
khả năng so sánh	n.comparability
khả năng sẵn có	n.availability
khả năng sống sót	n.survivability
khả năng sử dụng	n.usability
khả năng thanh toán	n.solvency
khả năng thích nghi	n.adaptability
khả năng thực thi	n.enforceability
khả năng tiếp cận	n.accessibility
khả năng truy xuất nguồn gốc	n.traceability
khả năng tái tạo	n.reproducibility
khả năng tương thích	n.compatibility
khả năng tương tác	n.interoperability
khả năng tồn tại	n.viability
khả năng vận động	n.motility
khả năng áp dụng	n.applicability
khả thi	a.workable@a.feasible@a.practicable@a.viable
khả tích	a.integrable
khả vi	a.differentiable
khải huyền	n.apocalypse
khảm	vt.inlaid@n.inlay@vt.inlay@n.mosaic@a.mosaic@n.inlays
khảo cổ	a.archaeological
khảo cổ học	n.archaeology
khảo sát	v.surveyed@n.survey@v.survey@n.surveying@v.surveying@n.surveys@v.surveys@n.surv
khấn	v.pray
khấu hao	vt.amortized@vt.depreciated@n.amortisation@n.amortization@n.depreciation
khấu trừ	v.deduct@v.deducted@vt.deducting@n.deductibles@n.deduction@n.deductions
khẩn cấp	n.emergency@a.emergency@ad.urgently@a.urgent
khẩu hiệu	n.slogans@n.tagline@n.taglines@n.slogan
khẩu phần	n.ration@n.rations@n.portions@n.servings
khẩu vị	n.tastes
khẩu độ	n.apertures@n.aperture
khập khiễng	v.limp
khắc	v.engraved@v.engrave@vt.carve@vt.etch@vt.inscribed@vt.scribed@n.inscriptions@n.engraving@v.engraving@n.etching@vt.etched
khắc chữ	n.inscription
khắc chữ viết tắt	vt.monogrammed
khắc gỗ	n.woodcut
khắc khổ	a.austere
khắc nghiệt	a.inclement@ad.harshly@a.dire@a.harsh@a.stark
khắc nghiệt hơn	a.harsher
khắc nghiệt nhất	a.harshest
khắc phục	v.overcome@vt.remedied@v.troubleshooting@n.remediation@v.remedies@v.remedy@a.remedial
khắc phục sự cố	vt.troubleshoot@n.troubleshooting
khắc sâu	v.impress
khắt khe	a.exacting
khẳng định	v.asserted@v.affirm@v.affirmed@v.assert@v.asserts@vt.affirming@vt.affirms@vt.asserting@vt.aver@n.affirmation@n.assertion@n.assertions@ad.affirmatively@a.affirmative
khỉ	a.simian@n.monkey@n.monkeys
khỉ rhesus	n.rhesus
khỉ đầu chó	n.baboon
khỉ đột	n.gorillas@n.gorilla
khịt mũi	v.snort
khỏa thân	a.nudist@n.nudity@a.naked@a.nude
khỏe	a.well
khỏe hơn	a.stronger
khỏe mạnh	a.hale@a.healthy@a.rugged
khỏe mạnh hơn	a.healthier
khỏe mạnh nhất	a.healthiest
khỏi	prep.off
khối	n.blocs@n.glob@n.block@n.chunk@n.bloc@n.chunks@a.cubic@n.blocks@n.clump@n.clumps
khối lượng	n.masses@n.mass@n.volumes@n.volume
khối lượng công việc	n.caseload@n.workloads@n.workload
khối lập phương	n.cube@n.cubes
khối thịnh vượng chung	n.commonwealth
khối to	n.hulk
khối u	n.tumour@a.neoplastic
khối đá nguyên	n.monolith
khốn	int.sod
khốn khổ	a.wretched@a.miserable
khốn nạn	ad.freaking
khổ sở	n.misery
khổ tư	n.quarto
khổng lồ	a.colossal@a.monstrous@a.whopping@a.mammoth@n.giant@a.giant@a.enormous@a.titanic@a.jumbo@n.jumbo@a.gigantic@a.huge@a.humongous
khớp	v.matched@vt.meshes@v.dovetail@n.joints@n.joint@a.articular
khớp nối	n.couplings@n.coupling
khớp thần kinh	n.synapse@n.synapses@a.synaptic
khớp xoay	n.swivel
khờ khạo	a.silly
khởi hành	v.departing@v.depart
khởi nghiệp	n.startup
khởi tạo	v.init@v.initialize@v.initialized@vt.initializes@vt.initializing@vt.instantiated@n.instantiation@n.initialisation@n.initialization
khởi xướng	v.initiated@v.initiating
khởi đầu	a.starting@n.prelude@n.offs@n.inception@n.beginnings@n.kickoff@n.onset@n.outset
khởi động	v.launch@n.launch@v.booting@v.kickstart@vt.booted@n.overtures@n.starter@n.warmup@v.bootstrap@v.boot
khởi động lại	v.reboot@n.reboot@v.restart@n.restart@vt.rebooted@vt.rebooting@vt.reboots@vt.restarted@vt.restarting@vt.restarts
khủng bố	n.terrors@n.terror@n.terrorist@n.terrorism
khủng hoảng	n.crises@n.crisis
khủng khiếp	ad.horribly@a.horrendous@a.terrible@a.awful@a.dreadful@a.frightful@a.horrible
khủng long	n.dinosaur@n.dinosaurs
khủng long bạo chúa	n.tyrannosaurus
khứ hồi	n.roundtrip
khứu giác	a.olfactory
khử caffeine	vt.decaffeinated
khử muối	n.desalination
khử nhiễm	n.decontamination
khử trùng	vt.disinfected@n.disinfection
khử từ	n.demagnetization
ki ốt	n.kiosks
kia	ad.yon@ad.yonder
kickboxing	n.kickboxing
kilobyte	n.kilobytes
kilogram	n.kilogram@n.kilograms
kilomet	n.kilometre
kilowatt	n.kilowatt
kilô	n.kilo@n.kilos
kilômét	n.kilometres
kim	n.needle@n.needles
kim bấm	n.staples
kim cương	n.diamond@n.diamonds
kim loại	n.metal@n.metals@a.metallic
kim tuyến	n.sequin@n.sequins@n.glitter@n.tinsel
kim tự tháp	n.pyramid@a.pyramidal@n.pyramids
kimono	n.kimono
kina	n.kina
kinase	n.kinase
kinh	n.sutra
kinh cầu	n.litany
kinh doanh	n.business@n.biz@a.entrepreneurial
kinh doanh nông nghiệp	n.agribusiness
kinh dị	a.macabre@n.horror
kinh hoàng	vt.appalled@vt.horrified@vt.horrifying@a.appalling@a.horrific@n.horrors
kinh khủng	a.horrid@a.ghastly
kinh nghiệm	a.experiential@n.experience@n.exp
kinh nguyện	n.devotionals
kinh nguyệt	n.menstruation@a.menstrual
kinh ngạc	vt.astonished@vt.astounded@vt.marvels@n.amazement@a.astounding@v.marvel@a.amazed@a.staggering@vt.awed
kinh niên	a.chronic
kinh thánh	a.scriptural@n.scriptures@n.bibl@n.bible@n.bibles@n.scripture@a.biblical
kinh tuyến	n.meridian
kinh tế	n.econ@n.economy@a.economic@a.economical
kinh tế học	n.economics
kinh tế lượng	n.econometrics@a.econometric
kinh tế vi mô	n.microeconomics
kinh tế vĩ mô	n.macroeconomics@a.macroeconomic
kinh tế xã hội	a.socioeconomic
kinh tởm	a.nasty@a.disgusting@a.icky
kinh văn	n.scriptures
kinh độ	n.longitude
kip	n.kip
kitô giáo	a.christian
kiwi	n.kiwis@n.kiwi
kiên cường	n.resilience@a.resilient
kiên nhẫn	ad.patiently@n.forbearance@a.patient@a.stoic
kiên quyết	a.adamant@a.resolute@ad.resolutely
kiên trung	a.stalwart
kiên trì	v.persevere@v.persist@vt.persisted@vt.persisting@vt.persists@n.perseverance@ad.persistently@n.persistence@a.persistent@a.tenacious
kiên định	a.steadfast
kiêng	vt.abstain@vt.abstained@n.abstinence
kiêu căng	a.pretentious@a.vain
kiêu ngạo	n.arrogance@n.conceit@a.arrogant@a.haughty@n.hubris
kiếm	v.earning@n.sabre@n.sabres@n.sword@n.swords@v.earn
kiếm lời	vt.profiting
kiếm rapier	n.rapier
kiếm sĩ	n.swordsman
kiếm ăn	v.forage@vt.foraging
kiếm được	v.earned@v.earns@vt.netted
kiếm đạo	n.kendo
kiến	n.ant@n.ants
kiến nghị	v.petition@vt.petitioned@vt.petitioning
kiến thức	n.knowledge
kiến trúc	n.architecture@n.architectures@ad.architecturally@a.architectural
kiến trúc sư	n.architect@n.architects
kiến trúc thượng tầng	n.superstructure
kiến tạo	n.assists@n.tectonics@a.tectonic
kiềm	n.alk@n.alkali@a.alkaline
kiềm chế	v.refrain@vt.restrained@a.restrained@vt.curbed@vt.curbing@vt.curbs@vt.restrain@vt.restraining@vt.bridle@vt.rein@v.curb
kiều dân	n.expat
kiều mạch	n.buckwheat
kiểm duyệt	vt.censor@vt.censored@vt.censors@vt.censoring
kiểm kê	v.inventories
kiểm lâm	n.forester@n.foresters
kiểm lâm viên	n.ranger@n.rangers
kiểm phiếu lại	n.recount@n.recounts
kiểm soát	v.controlling@a.controlling@v.control@v.controls
kiểm soát phiên bản	vt.versioning
kiểm soát viên	n.comptroller
kiểm toán	v.audited@n.auditing@v.auditing@n.audits@v.audits@n.audit@v.audit
kiểm toán viên	n.auditor@n.auditors
kiểm tra	v.verify@v.examine@v.examined@v.check@v.inspected@v.checked@v.examines@v.examining@v.inspect@n.checking@vt.inspecting@vt.inspects@n.testing@n.inspections@v.test@v.tests@v.vet@n.examination@n.inspection@vt.tested
kiểm tra kỹ	vt.vetting
kiểm tra lại	n.retest@v.retest
kiểm tra trước	n.pretest
kiểm đếm	vt.tallied
kiểu chữ	n.typeface@n.typefaces
kiểu con	n.subtype
kiểu dữ liệu	n.datatype
kiểu gen	n.genotypes@n.genotype
kiểu hình	n.phenotypes@a.phenotypic@n.phenotype
kiểu tóc	n.hairstyle@n.hairstyles@n.haircuts
kiểu tóc afro	n.afro
kiệm	vt.stint
kiện	v.sue@v.sued@v.sues@vt.suing@n.bale@n.bales
kiện tụng	n.litigation
kiệt sức	a.drained@n.exhaustion@n.burnout@a.exhausted
kiệt tác	n.masterpieces@n.masterworks@n.masterpiece
kiệt xuất	a.eminent
km/h	n.kph
knock-out	n.knockout
kola	n.kola
kong	n.kong
koruna	n.koruna
kosher	a.kosher
krona	n.krona
krone	n.krone
kroner	n.kroner
kronor	n.kronor
kroon	n.kroon
krypton	n.krypton
kuna	n.kuna
kwacha	n.kwacha
kwanza	n.kwanza
kyat	n.kyat
kèm theo	v.accompanied@ad.herewith
kèn	n.clarion
kèn clarinet	n.clarinet
kèn cornet	n.cornet
kèn euphonium	n.euphonium
kèn fagot	n.bassoon
kèn gỗ	n.woodwinds
kèn harmonica	n.harmonica
kèn loa	n.bugle
kèn ocarina	n.ocarina
kèn saxophone	n.saxophone
kèn trombone	n.trombone
kèn trumpet	n.trumpets@n.trumpet
kèn tuba	n.tuba
kèn túi	n.bagpipes@n.bagpipe
kém	ad.poorly@a.weak
kém chất lượng	a.shoddy
kém cỏi	a.inferior
kém phát triển	a.underdeveloped
kém sang	a.tacky
kén	n.cocoon
kén chọn	a.picky
kéo	v.drawn@v.pulled@v.drag@v.tow@v.pulls@v.haul@v.pull@n.pull@v.towing@n.towing@v.tug@n.tug@v.dragged@v.dragging@v.pulling@vt.hoist@vt.drags@vt.hauled@vt.hauling@vt.towed@vt.tugs@n.scissor@vt.hitches@n.clipper@n.scissors
kéo căng	a.tensile
kéo cắt	n.shears
kéo cắt kim loại	n.snips
kéo dài	v.extend@v.extending@v.extends@v.stretch@v.spanning@v.lasts@v.lasted@v.lengthen@v.prolong@v.stretches@vt.elongated@vt.lengthening@vt.lingering@vt.prolonging@vt.spanned@n.elongation@a.protracted@n.filibuster@v.filibuster@n.prolongation@v.lasting@a.prolonged@v.prolonged@v.last@v.elongate@vt.lengthened
kéo dãn	v.stretching@v.stretched
kéo khóa	vt.zipped@v.zip@v.zipper
kéo lên	vt.hoisted@vt.hoisting@vt.hoists
kéo lưới	vt.trawl@vt.trawling
kéo sợi	n.spinning
kéo theo	v.entails@vt.entail@vt.entailed@n.entrainment
kép	a.duplex@ad.dually@a.dual
két	n.coffers
két sắt	n.safes@n.safe
kê	n.millet
kê đơn	v.prescribed@v.prescribe@v.prescribing@vt.prescribes
kênh	n.canal@n.canals@n.channel@n.channels
kênh đào	n.canal
kêu	vt.yelp@v.bray
kêu be be	vt.baa
kêu bíp	v.beep@vt.beeps
kêu bò	vt.lowing@vt.moos
kêu chip chip	v.cheep@v.chirp
kêu cót két	vt.squeak@a.squeaky
kêu gọi	v.appealed@v.appeals@v.appealing
kêu gừ	v.purr
kêu lanh canh	v.twang
kêu leng keng	v.ding@vt.jingles@v.clank
kêu lách cách	v.clack
kêu lách tách	vt.crackle
kêu lên	v.ejaculate@v.exclaimed
kêu lạch cạch	vt.rattling
kêu meo	vt.meow@vt.mew
kêu mô	v.moo
kêu quạ	v.caw
kêu quạc quạc	vt.quack
kêu the thé	vt.screeching
kêu vo ve	vt.buzzing
kìm	n.pliers@n.forceps@n.plier
kìm hạt	n.nutcracker
kích	v.jacking@n.jacks
kích dục bằng miệng	n.blowjob@n.fellatio
kích hoạt	v.activated@v.triggered@v.activate@v.activating@v.enable@v.enables@v.enabling@vt.activates@vt.actuate@vt.actuated@vt.triggering@n.activation@n.actuation
kích hoạt lại	v.reactivate@vt.reactivated@n.reactivation
kích nổ	vt.detonated
kích thích	v.stimulated@v.excite@v.stimulate@vt.aroused@vt.excites@n.arousal@n.excitations@n.stimulus@n.excitation@n.stimulation@n.stimuli@a.stimulating@v.stimulating@vt.stimulates
kích thước	n.size@n.sizes@n.dimension@n.dimensions
kích tố	n.hormone
kích động	vt.agitated@vt.incite@vt.provokes@n.agitation
kích ứng	n.irritation
kín	a.enclosed@a.hermetic
kín khí	a.airtight
kín nước	a.watertight
kín đáo	a.secretive@ad.discreetly@a.discreet
kính	n.spectacles@n.optics@n.glasses@n.glazing
kính bảo hộ	n.goggle@n.goggles
kính chắn gió	n.windscreen@n.windshield
kính hiển vi	n.microscope@n.microscopy@n.microscopes
kính hiển vi điện tử quét	n.sem
kính khúc xạ	n.refractor
kính lúp	n.magnifier@n.magnifiers
kính mát	n.sunglass@n.sunglasses
kính mắt	n.eyeglass@n.eyeglasses
kính ngắm	n.viewfinder
kính phân cực	n.polarizer
kính râm	n.sunglasses@n.shades
kính thiên văn	a.telescopic@n.telescope@n.telescopes
kính tiềm vọng	n.periscope
kính vạn hoa	n.kaleidoscope
kíp nổ	n.detonator
ký	v.signing@v.inks@v.sign@v.signs
ký gửi	n.consignment@vt.consigned
ký hiệu	n.notations@n.symbols@n.notation
ký hiệu guitar	n.tablatures
ký hiệu học	n.semiotics
ký hợp đồng	v.contracting@v.contracted@v.contract
ký hợp đồng phụ	vt.subcontract@vt.subcontracting
ký kết	n.signing
ký quỹ	n.escrow@v.escrow
ký sinh	a.parasitic
ký sinh trùng	n.parasite@n.parasites
ký sinh trùng học	n.parasitology
ký tên	v.autographs
ký tên dưới đây	a.undersigned
ký túc xá	n.dormitories@n.dormitory@n.dorms@n.dorm
ký tặng	v.autographed
ký tự	n.literals@n.character@n.characters@n.char@n.chars@n.glyphs
ký tự phân cách	n.delimiter
ký tự đại diện	n.wildcard@n.wildcards
ký ức	n.memories@n.memory
kẹo	vt.candied@n.goody@n.candies@n.candy@n.sweets
kẹo bơ	n.butterscotch
kẹo cao su	n.bubblegum@n.gum@n.gumball
kẹo dẻo	n.marshmallow@n.marshmallows
kẹo fudge	n.fudge
kẹo mút	n.lollipop@n.lollipops@n.lolly
kẹo taffy	n.taffy
kẹo toffee	n.toffee
kẹp	vt.clamping@vt.sandwiched@n.clasps@vt.clasps@n.clamp@v.clamp@n.clasp@v.clasp@n.clamps@n.gripper
kẹp chặt	vt.clamped@vt.clinched
kẹp giấy	n.paperweights@n.paperweight
kẹp hồ sơ	n.binders
kẹp tóc	n.hairpin@n.barrette
kẹt	v.stuck@vt.jamming@v.jams@v.jam
kẻ biến thái	n.pervert@n.perverts
kẻ buôn lậu	n.smugglers@n.smuggler
kẻ buôn người	n.traffickers
kẻ bán vé chợ đen	n.scalper
kẻ bú cu	n.cocksuckers@n.cocksucker
kẻ bạo hành	n.abuser
kẻ bất hảo	n.misfits
kẻ bắt cóc	n.kidnappers
kẻ bắt giữ	n.captors@n.captor
kẻ bắt nạt	n.bullies@n.bully
kẻ bị lừa	n.dupe
kẻ bị ruồng bỏ	n.outcast
kẻ bỏ trốn	n.runaways
kẻ chinh phục	n.conquerors
kẻ chém	n.slasher
kẻ chạy trốn	n.fugitives@n.fugitive
kẻ chết tiệt	n.bugger
kẻ chống Chúa	n.antichrist
kẻ cướp	n.bandits@n.robbers@n.bandit@n.raiders@n.robber
kẻ cướp bóc	n.marauder@n.looters
kẻ cực đoan	n.extremist@n.extremists
kẻ du côn	n.punks
kẻ dâm dục	n.lech
kẻ dại	n.sucker
kẻ dị giáo	n.heretic@n.heretics
kẻ ghen ghét	n.hater@n.haters
kẻ gian lận	n.cheater@n.cheaters
kẻ giả mạo	n.pretender@n.pretenders
kẻ giết	n.slayer
kẻ giết người	n.slayers@n.killer@n.killers
kẻ hiếp dâm	n.rapist@n.rapists
kẻ hèn nhát	n.cowards@n.coward
kẻ hợm mình	n.snob
kẻ hủy diệt	n.terminator
kẻ keo kiệt	n.miser
kẻ khiêu khích	n.provocateur
kẻ không tặc	n.hijacker
kẻ khủng bố	n.terrorist@n.terrorists
kẻ lang thang	n.tramp@n.drifter@n.vagabond@n.rover@n.wanderer
kẻ liều lĩnh	n.desperado
kẻ lười biếng	n.deadbeat
kẻ lạm dụng	n.abusers
kẻ lập dị	n.oddball
kẻ lệch lạc	n.deviants@n.deviant
kẻ lừa đảo	n.crook@n.crooks@n.scammers@n.duper@n.hustler@n.trickster
kẻ man rợ	n.barbarians@n.savages
kẻ mách lẻo	n.snitch
kẻ mắt	n.eyeliner
kẻ mổ	n.ripper
kẻ mới nổi	n.upstart
kẻ ngoài vòng pháp luật	n.outlaws@n.outlaw
kẻ ngoại đạo	n.infidel
kẻ ngốc	n.simp@n.suckers@n.fool@n.fools@n.bozo@n.chump@n.idiots@n.prat
kẻ nói dối	n.liars@n.liar
kẻ nổi dậy	n.insurgent
kẻ nổi loạn	n.rebel@n.rebels
kẻ phá hoại	n.vandals@n.vandal
kẻ phá đám	n.crashers
kẻ phân biệt chủng tộc	n.racists
kẻ phạm pháp	n.delinquent
kẻ phản bội	n.renegades@n.traitors@n.renegade@n.traitor
kẻ phản diện	n.villain@n.villains
kẻ rình rập	n.prowler@n.stalker
kẻ say rượu	n.drunks
kẻ spam	n.spammers
kẻ sát nhân	n.murderers@n.cutthroat@n.murderer
kẻ săn mồi	n.predators@n.predator
kẻ sọc	n.plaid@a.plaid
kẻ thua cuộc	n.loser@n.losers
kẻ thù	n.antagonist@n.enemy@n.antagonists@n.enemies@n.foe@n.nemesis@n.foes
kẻ trộm	n.burglar@n.thief@n.thieves@n.burglars
kẻ tấn công	n.attackers@n.assailant@n.attacker
kẻ uống say	n.benders
kẻ vô lại	n.rascals@n.rogues@n.scoundrels@n.rogue@n.rascal
kẻ vô tín	n.unbelievers@n.infidels
kẻ xâm lược	n.invader@n.aggressor@n.invaders
kẻ xâm nhập	n.intruders@n.intruder
kẻ xé toạc	n.rippers
kẻ yếu thế	n.underdog@n.underdogs
kẻ âm mưu	n.conspirators
kẻ ăn thịt người	n.cannibals
kẻ ăn xin	n.bums
kẻ điên	n.lunatic@n.lunatics@n.maniac@n.maniacs
kẻ đạo đức giả	n.hypocrite@n.hypocrites
kẻ độc lập	n.maverick
kẻ độc tài	n.dictator
kẻ đột kích	n.raider
kẻo	conj.lest
kẽ	a.interstitial
kẽm	n.zinc
kế bên	a.adjacent
kế hoạch	n.plan@n.plans@n.planning@n.schemes@n.scheme
kế hoạch chi tiết	n.blueprint
kế thừa	v.succeed
kế tiếp	v.succeeding
kế toán	n.bookkeeper@n.accountancy@n.accountant@n.accountants@n.accounting@n.bookkeeping
kế vị	n.succession
kết cấu	n.texture@n.textures
kết cấu dưới	n.substructure
kết dính	n.adhesion
kết hôn	v.marry@vt.marries@vt.marrying@v.wed
kết hợp	v.combine@v.incorporate@v.coupled@v.combines@v.combining@v.incorporates@v.incorporating@a.combined@vt.compounded@a.associative@n.combination
kết hợp sinh đôi	vt.twinning
kết luận	v.concluded@v.conclude@v.concludes@v.concluding@a.conclusive@n.conclusion@n.conclusions
kết nối	v.connecting@v.connect@v.connects@v.interconnect@vt.interconnecting@vt.interconnects@n.connexion@n.connexions@n.hookup@n.hookups@v.network@n.connectivity@n.connectedness@n.connection@n.interconnection@v.wire@n.connections@n.interconnections
kết nối lại	vt.reconnect@n.reconnection
kết nối với nhau	a.interconnected
kết quả	v.resulted@a.consequent@n.result@n.outcome@n.outcomes@n.results@n.upshot@n.consequences@a.resultant
kết thù	v.feud
kết thúc	v.concluded@v.completing@n.closes@n.end@v.end@n.ends@v.ends@n.ending@n.endings
kết thúc tranh luận	n.cloture
kết tinh	vt.crystallized
kết tủa	n.precipitation
kết xuất	v.render@v.renders@n.renderings@n.rendering@v.rendering
kết án	v.sentencing@v.convicted@v.sentenced@vt.convict@vt.convicts@n.conviction@v.sentence
kề	a.adj
kền kền	n.vulture@n.vultures@n.condor
kể	v.telling@v.tells@v.relate@vt.narrated
kể chuyện	n.storytelling
kể lại	vt.recount@vt.recounts@vt.recounted@vt.recounting@vt.retelling
kể từ khi	conj.since
kệ	n.shelf@n.shelves@n.shelving@n.rack
kệ sách	n.bookshelves
kị binh	n.horsemen
kị sĩ	n.horseman@n.cavalier
kịch	n.dramas@n.drama@n.plays
kịch burlesque	n.burlesque
kịch bản	n.scenario@n.scenarios@n.screenplay@n.script@n.scripts@n.playbook
kịch bản opera	n.libretto
kịch bản phim	n.screenplays
kịch câm	n.mime@n.pantomime
kịch tính	n.melodrama@a.dramatic
kịch vui	n.vaudeville
kịp thời	a.prompt@n.timeliness@a.timely
kỳ	n.period
kỳ cựu	a.veteran
kỳ diệu	ad.magically@a.miraculous@a.wondrous@ad.miraculously@a.magical@a.prodigious
kỳ dị	n.singularity@a.eerie@a.grotesque
kỳ hạn	n.term
kỳ lân	n.unicorns@n.unicorn
kỳ lạ	a.quaint@a.uncanny@n.strangeness@ad.eerily@ad.oddly@ad.peculiarly@ad.strangely@a.curious@a.singular@a.odd@a.bizarre@a.exotic@a.weird@a.queer@a.peculiar@a.strange@n.exotica
kỳ lạ nhất	a.strangest
kỳ nghỉ	n.getaways@n.holiday@n.holidays@n.vacation@n.vacations
kỳ nhông	n.eft@n.newt@n.salamander
kỳ quan	n.marvels@n.wonders
kỳ quái	a.bizarre@a.freaky@a.weird
kỳ quặc	n.oddities@a.whimsical@a.freak@a.funky@a.kinky@a.outlandish@a.quirky@a.wacky
kỳ quặc nhất	a.weirdest
kỳ thi	n.examinations@n.exams@n.examen
kỳ thi vấn đáp	n.viva
kỳ thị	n.stigma
kỳ trung gian	n.interphase
kỳ tích	n.feats
kỳ vọng	n.expectations@n.expectancy@n.expectation
kỳ đà	n.iguana
kỵ binh	n.troopers@n.dragoon@n.cavalry
kỵ khí	a.anaerobic
kỵ nước	a.hydrophobic
kỵ sĩ	n.jockey@n.knight@n.equestrian
kỵ thuật	n.dressage
kỷ luật	n.discipline@v.discipline@n.disciplines@a.disciplinary
kỷ nguyên	n.aeon@n.epochs@n.eras@n.epoch@n.era
kỷ niệm	v.celebrates@v.celebrate@vt.commemorate@vt.commemorating@n.commemoration@n.memories@n.anniversaries@n.anniversary@a.commemorative@vt.commemorated@n.remembrances
kỷ niệm trăm năm	n.centenary@n.centennial
kỷ vật	n.keepsake@n.keepsakes@n.memorabilia
kỷ yếu	n.yearbook
kỹ	ad.closely
kỹ lưỡng	ad.thoroughly@a.thorough
kỹ năng	n.skill@n.skills
kỹ sư	n.engineers@n.engineer
kỹ thuật	n.technicalities@n.eng@n.engineering@n.technic@n.technique@n.techniques@a.technical
kỹ thuật sinh học	n.bioengineering
kỹ thuật số	ad.digitally@a.digital
kỹ thuật viên	n.technician@n.technicians@n.techs
la	n.mules@n.mule@n.la
la bàn	n.compasses@n.compass
la hét	v.screams@v.yell@v.yelling@vt.ranting@vt.yelled
la mã	a.roman
la ó	v.boo@vt.boos
lactate	n.lactate
lactobacillus	n.lactobacillus
lactose	n.lactose
lai	n.hybrid@a.hybrid@n.hybrids
lai ghép	n.crossover
lai giống	n.hybridization
lakh	n.lakh@n.lakhs
lambda	n.lambda
lan can	n.railing@n.railings@n.guardrail
lan man	vt.rambling@a.rambling@n.ramblings@a.discursive
lan rộng	a.spreading@v.spreads@a.widespread
lan truyền	v.spread@v.spreading@n.spreads@vt.propagates@vt.propagating@n.propagation@a.viral
lan tràn	a.rampant
lan tỏa	a.pervasive
lang băm	n.quack
lang thang	v.wandering@a.wandering@v.rove@v.wander@vt.ramble@vt.rambles@vt.roamed@vt.roving@vt.wanders@vt.tramps@n.wanderings
lanh	n.flax
lanh lợi	a.pert
lao	v.rush@v.dashed@vt.streaks@vt.dashes@n.javelin@n.harpoon@v.harpoon@v.dash
lao vào	v.pounce@vt.rushes
lao vút	v.dart@v.darts
lao xuống	v.plummet@v.plunge@vt.plummeted@vt.plunged@vt.plunges@vt.plunging@v.dove
lao đầu	ad.headlong
lao động	n.labours@vt.labours@n.labourers@vt.travail@n.labour@v.labour
lao động vất vả	vt.toil
lapis lazuli	n.lazuli
largo	a.largo@ad.largo
las	n.las
laser	n.laser
latex	n.latex
latina	n.latina
latinh	a.latin
lats	n.lats
lau	v.wipe@v.wipes@v.cleaned@v.wiped@vt.wiping@vt.swab@v.mop
lau bằng bọt biển	v.sponge
lau chùi	v.clean
lawrence	n.lawrence
layup	n.layup
lecithin	n.lecithin
lect	n.lect
lee	n.lee
legato	a.legato
leishmania	n.leishmania
lek	n.lek
lempira	n.lempira
len	n.wool@a.woollen
len cashmere	n.cashmere
len chải kỹ	n.worsted
leng keng	v.jingle
leo	v.climb@v.climbing@v.climbed@vt.climbs@n.climbs
leo núi	n.climbing@n.mountaineering
leo thang	vt.escalate@vt.escalated@vt.escalating@n.escalation
leptin	n.leptin
lepton	n.lepton
les	n.les
leu	n.leu
leucine	n.leucine
libero	n.libero
lidocaine	n.lidocaine
lignin	n.lignin
lilangeni	n.lilangeni
limbo	n.limbo
linh cảm	n.hunch
linh cẩu	n.hyena
linh dương	n.antelope@n.gazelle
linh dương impala	n.impala
linh dương oryx	n.oryx
linh dương đầu bò	n.gnus
linh hoạt	ad.flexibly@a.flexible@a.versatile
