অ	a.non
ফলাফল পত্র	n+f.scorecard
ফলাফল ফলক	n.scoreboards
ফলাফল বের করা	v.outputting
ফলাফল হওয়া	v.result
ফলিক	a.folic
ফলিকল	n+m.follicle@n+m.follicles
ফলিকুলার	a.follicular
ফলের কেক	n+f.shortcake
ফলের পানীয়	n+f.smoothies
ফলের বাগান	n.orchards
ফলের মতো	a.fruity
ফলের মাছি	n+f.drosophila
ফলো-আপ	n+m.followup
ফলোআপ	n+m.followups
ফসফর	n+m.phosphor
ফসফরাস	n+m.phosphorus
ফসফরাসযুক্ত	a.phosphorous
ফসফরিক	a.phosphoric
ফসফেট	n+m.phosphate@n+m.phosphates
ফসফেটেজ	n+f.phosphatase
ফসফোডাইএস্টারেজ	n+m.phosphodiesterase
ফসফোরাইলেশন	n+f.phosphorylation
ফসফোলিপিড	n+m.phospholipid@n+m.phospholipids
ফসল	n+m.crop@n+f.crops@n+f.harvests@n+m.cropper
ফসল কাটা	n+f.harvest@n+m.harvesting@v.harvested@n+m.cropping@v.reaping
ফসল কাটা ব্যক্তি	n+m.reaper
ফসল কাটার কাস্তে	n+f.scythe
ফসল কাটার যন্ত্র	n+m.harvester@n+m.harvesters
ফসল তোলা	v.harvest@vt.reap
ফসিল	n+m.fossils
ফস্টোরিয়া	n+m.fostoria
ফাঁক	n+f.hole@n+m.gap@n+m.gaps@n+m.loophole@n+f.loopholes@n+f.lacuna
ফাঁক দেওয়া	v.spaced
ফাঁক বন্ধ করা	n+m.caulking@v.caulk
ফাঁক রক্ষক	n+m.spacer
ফাঁকা	a.blank@n+m.blanks@a.porous
ফাঁকা করা	n+m.blanking
ফাঁকা জায়গা	n+f.clearing
ফাঁকা জায়গা পূরণ	n+m.infill
ফাঁকা রাখার যন্ত্র	n.spacers
ফাঁকি	n+m.evasion
ফাঁকি দিয়েছে	v.eluded
ফাঁকি দেওয়া	vt.circumvent@vt.evade@v.dodging@a.evasive@n+f.circumvention@v.evading
ফাঁকিবাজ	n+m.dodger@n+m.slacker@n+m.slackers@n+m.deadbeat
ফাঁকের	a.interstitial
ফাঁদ	n+m.trap@n+f.traps@n+m.pitfalls@n+m.snare@n+f.noose@n+m.snares@n+m.pitfall
ফাঁদ পাতা শিকারি	n+m.trapper
ফাঁদে ফেলা	v.trap@v.trapped@vt.traps@v.trapping@vt.snare@n+m.entrapment
ফাঁদে ফেলে	v.snares
ফাঁদের তার	n+m.tripwire
ফাঁপা	a.hollow
ফাঁস	n+f.loops@n+m.lasso@n+m.noose@n+m.lariat
ফাঁস করা	v.divulge@v.divulged
ফাঁস হয়েছে	v.leaked
ফাঁসি	n.hangings
ফাঁসি দেওয়া হল	v.hanged
ফাঁসিদাতা	n+m.hangman
ফাঁসির মঞ্চ	n+m.gallows
ফাংশন	n+f.function@n+f.functions
ফাই	n+m.phi
ফাইজার	n+m.pfizer
ফাইটোপ্ল্যাঙ্কটন	n+m.phytoplankton
ফাইনম্যান	n+m.feynman
ফাইনাল	n+m.final@n+f.finals
ফাইনালিস্ট	n+m.finalists@n+m.finalist
ফাইফ	n+m.fife
ফাইবারগ্লাস	n+m.fibreglass
ফাইব্রিন	n+m.fibrin
ফাইব্রিনোজেন	n+m.fibrinogen
ফাইব্রোব্লাস্ট	n.fibroblasts@n+m.fibroblast
ফাইব্রোসিস	n+f.fibrosis
ফাইল	n+m.file@n+m.files@n+f.folder@n+m.dossier@n+f.dossiers
ফাইল করা	v.file
ফাইলকারী	n+m.filers
ফাইলার	n+m.filer
ফাইলিং	n+m.filing
ফাইলের নাম	n+m.filename@n.filenames
ফাইলের পথ	n+m.pathname
ফাইলো	n+m.philo
ফাইলোজেনি	n+f.phylogeny
ফাউন্ডেশন	n+f.foundation
ফাউন্ড্রি	n+f.foundry
ফাউল	n+m.foul@n.fouls
ফাউল করা	v.foul@n+m.fouling
ফাউল হওয়া	a.fouled
ফাউলার	n+m.fowler
ফাউস্ট	n+m.faust
ফাঙ্ক	n+m.funk
ফাঙ্কি	a.funky
ফাঙ্গাস	n+f.fungi@n+m.fungus@n+f.mildew
ফাজ	n+m.fudge
ফাটল	n+m.crack@n+f.cracks@n+m.fracture@n+m.cracking@n+m.cleavage@n+m.slit@n+f.rupture@n+m.rift@n+m.wedges@n+f.cleft@n+f.fissure@n+f.fissures
ফাটল ধরেছিল	v.fractured
ফাটা	v.pop@v.cracks@a.cracked@n+m.explosions
ফাটানো	v.crack@v.cracked@v.cracking@vt.explode@v.rive
ফাটিয়ে দেয়	vt.explodes
ফাটিয়ে ফেলা	vt.rupture
ফাতাহ	n+m.fatah
ফাতিমা	n+f.fatima
ফাথ	n+m.fath
ফানেল	n+m.funnel
ফান্ডামেন্টালিজম	n+m.fundamentalism
ফান্ডি	n+m.fundy
ফায়ারওয়াল	n+m.firewall@n+m.firewalls
ফায়ারপ্লেস	n+f.fireplace
ফায়ারফক্স	n+m.firefox
ফায়ারবার্ড	n+m.firebird
ফায়ারস্টোন	n+m.firestone
ফার গাছ	n+m.fir@n+m.firs
ফারমেন্টেশন	n+m.fermentation
ফারাও	n+m.pharaohs
ফারেনহাইট	n+m.fahrenheit
ফারেল	n+m.farrell
ফারো	n+m.faroe@n+m.faro
ফার্গাস	n+m.fergus
ফার্গুসন	n+m.ferguson
ফার্গো	n+m.fargo
ফার্ডিনান্ড	n+m.ferdinand
ফার্ন	n+m.fern@n.ferns
ফার্নান্দেজ	n+m.fernandez
ফার্নান্দো	n+m.fernando
ফার্নেস	n+m.furness
ফার্ম	n+f.farm
ফার্মওয়্যার	n+m.firmware
ফার্মাকোলজি	n+f.pharmacology
ফার্মাকোলজিক	a.pharmacologic
ফার্মানাগ	n+m.fermanagh
ফার্মাসিউটিক্যালস	n+f.pharmaceuticals
ফার্মাসিস্ট	n+m.pharmacist@n+m.pharmacists@n+m.apothecary
ফার্মি	n+m.fermi
ফার্মিয়ন	n+m.fermion@n+m.fermions
ফার্মেসি	n+f.pharmacy@n+f.pharmacies@n+f.drugstore@n+f.drugstores
ফার্লং	n+m.furlong
ফার্লি	n+m.farley
ফার্সি	n+m.farsi
ফালক্রাম	n+m.fulcrum
ফালতু	int.bullshit@int.bosh
ফালমাউথ	n+m.falmouth
ফালি	n+m.strip@n+f.strips@n+m.slice
ফাস্টবল	n+m.fastball
ফি	n+m.fees@n+m.fee
ফিউগ	n+f.fugue
ফিউচারিস্ট	a.futurist
ফিউচার্স	n+m.futures
ফিউজ	n+m.fuse@n.fuses
ফিউজযুক্ত	a.fused
ফিউশন	n+m.fusion
ফিউসেলেজ	n+m.fuselage
ফিওনা	n+f.fiona
ফিকাস	n+m.ficus
ফিকো	n+m.fico
ফিক্সচার	n+m.fixtures@n+m.fixture
ফিগারো	n+m.figaro
ফিগেরোয়া	n+m.figueroa
ফিঙ্গারবোর্ড	n+m.fingerboard
ফিচ	n+m.fitch
ফিজি	n+m.fiji
ফিজি দ্বীপবাসী	n+m.fijian
ফিজিও	n+m.physio
ফিজিওথেরাপি	n+f.physiotherapy
ফিজিওথেরাপিস্ট	n+m.physiotherapists@n+m.physiotherapist
ফিজিয়ান	a.fijian
ফিঞ্চ পাখি	n+m.finch@n+m.finches
ফিট	a+m.fit@a+f.fit
ফিটকিরি	n+m.alum@n+m.alums
ফিটজপ্যাট্রিক	n+m.fitzpatrick
ফিটজরয়	n+m.fitzroy
ফিটজেরাল্ড	n+m.fitzgerald
ফিটনেস	n+f.fitness
ফিটার	n+m.fitter@n+m.fitters
ফিটিং	n+m.fitting
ফিটিংস	n+m.fittings
ফিড	n+m.feed@n+m.feeds@n+m.fid
ফিডব্যাক	n+m.feedback
ফিডলার	n+m.fiddler@n+m.fiedler
ফিডস্টক	n+m.feedstock
ফিডার	n+m.feeder@n+m.feeders
ফিডো	n+m.fido
ফিতা	n+m.strap@n+m.ribbon@n+m.lace@n+m.straps@n+m.ribbons@n+m.sash@n+m.webbing@n+f.leashes@n+m.streamer@n+m.streamers
ফিতা গলানোর ছোট ছিদ্র	n+f.eyelets@n+f.eyelet
ফিতা বাঁধা	n+m.lacing
ফিতাবিহীন	a.strapless
ফিতাযুক্ত	a.laced
ফিদেল	n+m.fidel
ফিদেস	n+f.fides
ফিন	n+f.fin@n+m.finn@n+m.finns
ফিনলি	n+m.finley
ফিনল্যান্ড	n+f.finland@n+f.suomi
ফিনল্যান্ডের অধিবাসী	n+m.finns
ফিনল্যান্ডের বাসিন্দা	n+m.finn
ফিনাইলঅ্যালানিন	n+m.phenylalanine
ফিনি	n+m.finney
ফিনিক্স	n+m.phoenix@n+m.phenix
ফিনিশ	a.finnish
ফিনিশ ভাষা	n+m.finnish
ফিনিশ মুদ্রা	n+m.markka
ফিনিশার	n+m.finisher
ফিনিশিয়ান	n+m.phoenician
ফিনিশীয়	a.phoenician
ফিনেগান	n+m.finnegan
ফিনো শেরি	n+m.fino
ফিপস	n+m.phipps
ফিবি	n+f.phoebe@n+f.phebe
ফিবোনাচি	n+m.fibonacci
ফিমার	n+f.femur
ফিমোরাল	a.femoral
ফিয়র্ড	n+m.fjord@n+m.fjords
ফিয়াট	n+m.fiat
ফিয়ানা	n+m.fianna
ফিয়েস্তা	n+f.fiesta
ফিরিয়ে আনা	v.retrieving@vt.reinstate
ফিরিয়ে আনে	vt.retrieves
ফিরিয়ে দেওয়া	v.restore@v.deflect
ফিরিয়ে নেওয়া	vt.retract
ফিরিয়ে নেওয়ার যোগ্য	a.callable
ফিরে আসা	v.return@v.returning@vi.rebounds@n+m.bounces@a.redux@v.rebounding@v.recur
ফিরে আসা ব্যক্তি	n+m.returnees
ফিরে আসে	v.returns
ফিরে এসেছিল	v.returned
ফিরে এসেছে	v.bounced@v.rebounded
ফিরে গেছে	v.reverted
ফিরে পাওয়া	v.retrieve@vt.regain@v.recoup
ফিরে পেয়েছিল	v.regained
ফিরে যাওয়া	vi.revert
ফিরে যাচ্ছে	v.reverting
ফিরে যায়	v.reverts
ফিরেঞ্জে	n+f.firenze
ফিরোজা	n+m.turquoise
ফিরোজা রঙের	a.turquoise
ফিল	n+m.phil
ফিলমোর	n+m.fillmore
ফিলস	n+m.fils
ফিলহারমনিক	a.philharmonic
ফিলা	n+f.fila
ফিলাডেলফিয়া	n+f.philadelphia
ফিলামেন্ট	n+m.filament@n+m.filaments
ফিলার	n+m.filler@n.fillers
ফিলি	n+m.philly
ফিলিপ	n+m.philip@n+m.phillip@n+m.philippe
ফিলিপস	n+m.philips@n+m.phillips
ফিলিপা	n+f.philippa
ফিলিপাইন	n+f.philippines
ফিলিপাইন মুদ্রা	n+m.piso
ফিলিপাইন সংক্রান্ত	a.philippine
ফিলিপাইনের	n+m.philippine
ফিলিপাইনের অধিবাসী	n+m.filipinos
ফিলিপাইনের বাসিন্দা	n+m.filipino
ফিলিপাইনের ভাষা	n+m.tagalog
ফিলিপিনো	a.filipino@n+m.filipinos
ফিলিপীয়বাসী	n+m.philippians
ফিলিবাস্টার	n+m.filibuster
ফিলিস	n+f.phyllis
ফিলিস্তিন	n+f.palestine
ফিলিস্তিনি	a.palestinian@n+m.palestinians@n+m.philistines
ফিলিস্তিনি বিদ্রোহ	n+f.intifada
ফিলিস্তিনি ব্যক্তি	n+m.palestinian
ফিলে	n+m.fillet@n+m.filet@n+m.fillets
ফিলেমন	n+m.philemon
ফিলো	n+m.filo
ফিল্টার	n+m.filter@n+m.filters
ফিল্টার করা	v.filter
ফিল্টার না করা	a.unfiltered
ফিল্টারকৃত	a.filtered
ফিল্টারিং	n+m.filtering
ফিল্ড	n+m.fld
ফিল্ডার	n+m.fielder
ফিল্ডিং	n+m.fielding
ফিল্ম	n+m.film@n+m.films
ফিল্মস্ট্রিপ	n+m.filmstrip
ফিল্মোগ্রাফি	n+f.filmography
ফিশার	n+m.fischer
ফিশিং	n+m.phishing
ফিশিং করা	vt.phish
ফিসফিস	n+m.whisper@n+m.whispers@n+m.whispering@n+m.murmurs
ফিসফিস করা	vi.whisper@v.whispering
ফিসফিস করে	vi.whispers
ফিসফিস করেছিল	v.murmured
ফিসফিস করেছে	v.whispered
ফিসফিসকারী	n+m.whisperer
ফিসফিসানো	a.whispered
ফিস্ক	n+m.fisk
ফিস্টুলা	n+f.fistula
ফু	n+m.foo@n+m.fou
ফুঁ	n+m.puff@n+m.puffs
ফুঁ দেওয়া	v.blow@v.blowing@v.blown@v.blows@v.blew@v.puffing
ফুঁ দেয়	v.puffs
ফুঁক দেওয়ার যন্ত্র	n.blowers
ফুঁকনি	n+m.blower
ফুঁটি	n+f.tassel@n+f.tassels
ফুঁপানি	n+m.sob
ফুঁপিয়ে কাঁদছে	v.sobbing
ফুঁপিয়ে কাঁদা	vi.sob
ফুঁপিয়ে কাঁদে	v.sobs
ফুঁসে ওঠা	v.surging
ফুকস	n+m.fuchs
ফুকুওকা	n+m.fukuoka
ফুকো	n+m.foucault
ফুজি	n+m.fuji
ফুজিওয়ারা	n+m.fujiwara
ফুজিৎসু	n+m.fujitsu
ফুঞ্চাল	n+m.funchal
ফুট	n+m.feet@n+m.foot@n+m.fut
ফুটকি	n+f.fleck
ফুটকিদার	a.speckled
ফুটছে	v.blooming
ফুটন	n+m.boiling@n+m.futon@n+m.futons
ফুটন্ত	a.boiling@a.seething
ফুটপাত	n+m.pavement@n+m.sidewalk@n+m.sidewalks@n+m.pavements@n+m.footpath
ফুটপাতের কিনারা	n+m.kerb@n+m.kerbside
ফুটপাতের ধার	n+m.curbs@n+m.curbside
ফুটপাথ	n+m.footpaths
ফুটবল	n+m.football@n+m.soccer@n.footballs@n+m.footy
ফুটবল খেলোয়াড়	n+m.linebacker@n+m.footballers@n+m.cornerback
ফুটবল মাঠ	n+m.gridiron
ফুটবলার	n+m.footballers@n+m.footballer
ফুটা	v.bloom@vi.boil
ফুটার	n+m.footer@n+m.footers
ফুটি	n+m.footy
ফুটে	vi.boils
ফুটেজ	n+m.footage
ফুটো	n+m.leaks@n+m.leakage
ফুটো করা	vt.puncture@n+f.perforation
ফুডি	n+m.foodie
ফুফু	n+f.aunt
ফুবার	n+m.foobar
ফুয়েন্তেস	n+m.fuentes
ফুরফুরি	n+f.pinwheel
ফুরিয়ে	n+m.fourier
ফুর্তি	n+m.spree
ফুল	n+m.flowers@n+m.flower@n+m.bloom@n+m.blossom@n+m.blooms@n+m.blossoms@n+f.pansy@n+f.lantana@n+f.petunia@n+f.verbena@n+f.phlox
ফুল গাছ	n+f.canna@n+f.geranium@n+f.lupin
ফুল ফুটছে	v.blossoming
ফুল ফুটেছিল	a.flowered
ফুল ফোটা	vi.blossom@n+m.flowering@v.blossomed
ফুল ফোটানো	a.flowering
ফুল ফোটে	vi.blossoms
ফুল বিক্রেতা	n+m.florist@n+m.florists
ফুলওয়ালা	n+f.florist
ফুলকপি	n+m.cauliflower
ফুলকা	n+m.gill@n+m.gills
ফুলটন	n+m.fulton
ফুলদানি	n+m.vase@n+f.urn@n+m.vases
ফুলবিশেষ	n+f.tulips
ফুলব্যাক	n+m.fullback
ফুলব্রাইট	n+m.fulbright
ফুলা মাছ	n+f.puffer
ফুলানো খেলনা	n.inflatables
ফুলার	n+m.fuller
ফুলার্টন	n+m.fullerton
ফুলিয়ে তোলা	vt.fluff
ফুলে উঠেছিল	v.bellied
ফুলে উঠেছে	v.swelled
ফুলে ওঠা	v.swelling@vi.bulge@v.bulging@v.welling@v.bloat
ফুলে ওঠে	v.bulges
ফুলে যাওয়া	v.balloon
ফুলে যাচ্ছে	v.ballooning@v.bloating
ফুলে যায়	v.swells
ফুলেছে	v.puffed
ফুলের	a.floral
ফুলের গাছ	n+f.azalea@n+f.hydrangea
ফুলের তোড়া	n+f.bouquet@n+m.bouquets
ফুলের বৃত্ত	n+m.calyx
ফুলের মালা	n+f.garland@n+f.leis
ফুলেল	a.flowery
ফুলেল নকশাওয়ালা	a.flowered
ফুশিয়া	n+f.fuchsia
ফুস	int.poof
ফুসকুড়ি	n+m.rash@n+m.rashes@n+m.pimples
ফুসফুস	n+m.lung@n+m.lungs
ফুসফুস প্রদাহ	n+m.pneumonia
ফুসফুস রোগ	n+f.emphysema
ফুসফুস সংক্রান্ত	a.pulmonary
ফুসফুসীয়	a.pulmonary
ফুসফুসের আবরণ সংক্রান্ত	a.pleural
ফুসলাচ্ছে	v.seducing
ফে	n+f.fay@n+f.faye
ফেজ	n+m.phage
ফেজ টুপি	n+m.fez
ফেটন	n+m.phaeton
ফেটা পনির	n+m.feta
ফেটানো	vt.whip@a.whipped
ফেটানো যন্ত্র	n+m.beater
ফেটিশ	n+m.fetish@n+m.fetishes
ফেটে গেছে	v.popped@v.exploded@v.ruptured
ফেটে পড়ছে	v.bursting
ফেটে পড়া	v.erupt
ফেটে পড়ে	vi.bursts@v.erupts
ফেটে পড়েছিল	v.erupted
ফেটে যাওয়া	v.burst@n+m.blowout@a.busting
ফেটে যায়	v.pops
ফেডার	n+m.fader
ফেডারেটেড	a.federated
ফেডারেল	a+m.federal@a+f.federal
ফেডারেল এজেন্ট	n+m.feds
ফেডারেল সমর্থক	a.federalist
ফেডারেলভাবে	ad.federally
ফেডারেশন	n+f.federation@n+f.federations
ফেডেক্স	n+m.fedex
ফেডোরা	n+m.fedora
ফেদারওয়েট	n+m.featherweight
ফেদেরিকো	n+m.federico
ফেনল	n+m.phenol
ফেনল যৌগ	n+m.phenolic
ফেনা	n+m.foam@n+m.scum@n+m.foams@n+m.froth@n+f.suds
ফেনা উঠছে	v.foaming
ফেনা ওঠে	v.foams
ফেনা তোলা	v.foam@v.lather
ফেনা হওয়া	v.froth
ফেনাইল	n+m.phenyl
ফেনাযুক্ত	a.foamy
ফেনিল	a.foaming@a.foamy
ফেনোটাইপ	n+m.phenotype@n+m.phenotypes
ফেনোটাইপিক	a.phenotypic
ফেনোবারবিটাল	n+m.phenobarbital
ফেনোমেনোলজি	n+f.phenomenology
ফেনোলিক	a.phenolic
ফেন্ডার	n+m.fender@n.fenders
ফেবিয়ান	n+m.fabian
ফেব্রুয়ারি	n+m.february@n+m.feb
ফেমিনিস্ট	n.feminists
ফেয়ারওয়ে	n+m.fairway@n+m.fairways
ফেয়ারফিল্ড	n+m.fairfield
ফেয়ারফ্যাক্স	n+m.fairfax
ফেয়ারব্যাংকস	n+m.fairbanks
ফেয়ারি	n+f.faeries
ফেয়ারিং	n+m.fairing
ফেয়েটভিল	n+m.fayetteville
ফেরত	n+m.return@a+m.returned@a+f.returned@n+m.refund@n+f.reimbursement@n+m.refunds@n+f.repayments@n+m.payback
ফেরত দিয়েছিল	v.repaid
ফেরত দেওয়া	v.return@v.refund@vt.refunds@vt.repay@vt.reimburse@v.refunding
ফেরত দেওয়া যায়	a.returnable
ফেরত দেওয়া হয়েছে	v.refunded
ফেরত নেওয়া	a.repossessed
ফেরতযোগ্য	a.refundable@a.returnable@a.reimbursable@a.repayable
ফেরতযোগ্য নয়	a.nonrefundable
ফেরাইট	n+m.ferrite
ফেরাউন	n+m.pharaoh
ফেরারা	n+f.ferrara
ফেরারি	n+m.ferrari
ফেরি	n+f.ferry@n+m.ferries
ফেরি করা	v.hawk@n+m.hawking@v.peddling
ফেরি পার করা	v.ferry
ফেরিওয়ালা	n+m.hawker
ফেরিক	a.ferric
ফেরিস	n+m.ferris
ফেরে	n+m.fere
ফেরেট	n+m.ferret@n+m.ferrets
ফেরেল	n+m.ferrell
ফেরেশতা	n+f.angel@n+f.angels
ফেরো	n+f.faeroe
ফেরোমন	n+m.pheromone@n+m.pheromones
ফেরোম্যাগনেটিক	a.ferromagnetic
ফেলিক্স	n+m.felix
ফেলিচে	n+f.felice
ফেলিনি	n+m.fellini
ফেলিপে	n+m.felipe
ফেলিসিয়া	n+f.felicia
ফেলে দিচ্ছে	v.disposing@v.binning
ফেলে দিয়েছিল	v.spilled
ফেলে দিয়েছে	v.dumped
ফেলে দেওয়া	v.dropped@v.drops@v.dump@v.dropping@v.dumping@v.discarded@a.scrapped@v.discarding
ফেলে দেওয়া জিনিস	n+m.discards
ফেলে দেয়	vt.spills@vt.dumps
ফেলেছে	v.tossed
ফেলোনি	n+f.felony
ফেলোশিপ	n+f.fellowships
ফেল্ট	n+m.felt
ফেল্ডস্পার	n+m.feldspar
ফেল্পস	n+m.phelps
ফেস	n+m.fess
ফেসপ্লেট	n+m.faceplate@n.faceplates
ফেসিয়াল	n+m.facial@n+f.facials
ফেসিস	n+f.facies
ফেস্কু	n+m.fescue
ফেস্ট	n+m.fest
ফো	n+m.pho
ফোঁটা	n+m.drop@n+f.dot@n+m.drops@n+f.dots@n+m.drip@n+m.blob@n+m.droplet@n+m.blobs@n+m.drips
ফোঁটা পড়া	vi.drip
ফোঁটা ফোঁটা পড়া	a.dripping@vi.trickle
ফোঁড়া	n+m.boil
ফোঁস ফোঁস শব্দ	n+m.hiss
ফোকস্টোন	n+m.folkestone
ফোকাল	a.focal
ফোকাস	n+m.focus
ফোকাসিং	a.focusing
ফোট	n+m.phot
ফোটন	n+m.photon@n.photons
ফোটনিক	a.photonic
ফোটা	v.popping
ফোটানো	v.boiling@a.hatched
ফোটানোর যন্ত্র	n+m.popper
ফোটে	vi.blooms
ফোড়া	n.boils@n+m.abscess
ফোন	n+m.phone@n+m.phones
ফোন করল	v.phoned
ফোন করা	v.phone@v.phoning@v.telephoned@v.telephoning
ফোন করেছে	v.rang
ফোন কল	n+f.call
ফোনকার্ড	n+f.phonecards
ফোনন	n+m.phonon
ফোনে বিক্রয়কর্মী	n+m.telemarketers
ফোনেম	n+m.phoneme
ফোনেমিক	a.phonemic
ফোনোগ্রাফ	n+m.phonograph
ফোন্ডা	n+m.fonda
ফোয়ারা	n+m.fountain@n+f.fountains@n+m.fizz
ফোয়ারা ছোটা	v.spurt
ফোরম্যান	n+m.foreman
ফোরহ্যান্ড	n+m.forehand
ফোরাত নদী	n+m.euphrates
ফোরাম	n+m.forum@n+m.forums@n.fora
ফোরিন্ট	n+m.forint
ফোর্ট	n+m.fort
ফোর্টিস	a.fortis
ফোর্ড	n+m.ford
ফোর্তালেজা	n+f.fortaleza
ফোর্বস	n+m.forbes
ফোলা	n+f.bump@a.puffy@n+m.swelling@vi.swell@vi.puff@a.swollen@a.bloated@n+m.bloat
ফোলা খাবার	n+f.souffle
ফোলা মাছ	n+m.blowfish
ফোলাচ্ছে	v.inflating
ফোলানো	vt.inflate
ফোলানো যায় এমন	a.inflatable
ফোলানো হয়েছে	v.inflated
ফোলাভাব	n+m.bloating
ফোলি	n+m.foley
ফোলিও	n+m.folio@n+m.folios
ফোল্ডার	n+m.folder@n+m.folders
ফোসকা	n+f.blisters
ফোসকা পড়ে	v.blisters
ফোস্কা	n+m.blister@n+f.vesicle
ফোস্কা পড়া	vi.blister@a.blistering
ফ্যাকাশে	a.pale@a.wan
ফ্যাকাশে হওয়া	v.pale
ফ্যাক্টয়েড	n+m.factoid
ফ্যাক্টরিং	n+m.factoring
ফ্যাক্টরিয়াল	a.factorial
ফ্যাক্স	n+m.fax@n+m.faxes@n+m.facsimile
ফ্যাক্স করা	v.fax@vt.faxes@v.faxing@a.faxed
ফ্যাক্স করেছিল	v.faxed
ফ্যাক্সিং	n+m.faxing
ফ্যাগট	n+m.faggot
ফ্যাথম	n+m.fath
ফ্যাদম	n+m.fathom
ফ্যান	n+m.fan
ফ্যান ম্যাগাজিন	n+m.fanzine
ফ্যানডম	n+m.fandom
ফ্যানবয়	n+m.fanboy
ফ্যানি	n+f.fanny@n+f.fannie
ফ্যান্টাসি	n+m.fantasy
ফ্যান্টাসিয়া	n+f.fantasia
ফ্যান্ডাঙ্গো	n+m.fandango
ফ্যাব	n+m.fab
ফ্যাবার্জে	n+m.faberge
ফ্যারাডে	n+m.faraday
ফ্যারো দ্বীপপুঞ্জ	n+f.faeroe
ফ্যারোস	n+m.pharos
ফ্যালাংক্স	n+f.phalanx
ফ্যালোপিয়ান	a.fallopian
ফ্যাশন	n+f.fashion@n+f.fashions@n+m.vogue@n+f.fads
ফ্যাশনদুরস্ত	a.trendy@a.fashionable
ফ্যাশনেবল	a.stylish
ফ্যাসিবাদ	n+m.fascism
ফ্যাসিবাদী	a.fascist
ফ্যাসিয়া	n+f.fascia@n+f.fascias
ফ্যাসিস্ট	n+m.fascist@n+m.fascists
ফ্রগি	n+m.froggy
ফ্রন্ট	n+f.fronts
ফ্রন্টেনাক	n+m.frontenac
ফ্রম	n+m.fromm
ফ্রয়েড	n+m.freud
ফ্রয়েড সম্পর্কিত	a.freudian
ফ্রয়েডীয়	a.freudian
ফ্রা	n+m.fra
ফ্রাঁসোয়া	n+m.francois
ফ্রাঁসোয়াজ	n+f.francoise
ফ্রাংকফুর্ট	n+m.frankfurt
ফ্রাংকো	n+m.franco
ফ্রাই	n+m.fries@n+m.frye
ফ্রাইবুর্গ	n+m.freiburg
ফ্রাউ	n+f.frau
ফ্রাউনহোফার	n+m.fraunhofer
ফ্রাঙ্ক	n+m.frank@n+m.franc@n+m.francs@n+m.franck
ফ্রাঙ্কফুর্টার	n+m.frankfurter
ফ্রাঙ্কফোর্ট	n+m.frankfort
ফ্রাঙ্কলিন	n+m.franklin
ফ্রাঙ্কস	n+m.franks
ফ্রাঙ্কেনস্টাইন	n+m.frankenstein
ফ্রাঙ্কোনিয়া	n+f.franconia
ফ্রাঞ্জ	n+m.franz
ফ্রান	n+f.fran
ফ্রান্স	n+f.france
ফ্রান্সিন	n+f.francine
ফ্রান্সিস	n+m.francis@n+f.frances
ফ্রান্সিসকান	a.franciscan
ফ্রান্সিসকান সন্ন্যাসী	n+m.franciscan
ফ্রান্সিসকো	n+m.francisco
ফ্রান্সেসকা	n+f.francesca
ফ্রায়ার	n+m.friars@n+m.friar
ফ্রি উপহার	n+f.freebie
ফ্রিওয়ে	n+m.freeway@n.fwy
ফ্রিওয়্যার	n+m.freeware
ফ্রিকোয়েন্সি	n+f.frequency@n+f.frequencies@n+f.freq
ফ্রিগেট	n+f.frigate
ফ্রিজ	n+f.refrigerator@n+m.fridge@n+f.refrigerators@n+m.fridges@n+m.frieze
ফ্রিজার	n+m.freezer@n+m.freezers
ফ্রিজিডেয়ার	n+m.frigidaire
ফ্রিটজ	n+m.fritz
ফ্রিটাউন	n+m.freetown
ফ্রিটো	n+m.frito
ফ্রিডম্যান	n+m.friedman
ফ্রিডরিখ	n+m.friedrich
ফ্রিথ	n+m.frith
ফ্রিদা	n+f.frieda
ফ্রিফোন	n+m.freephone
ফ্রিবি	n+f.freebies
ফ্রিবুর্গ	n+m.fribourg
ফ্রিমেসন	n.masons
ফ্রিম্যান	n+m.freeman
ফ্রিম্যান্টল	n+m.fremantle
ফ্রিম্যাসন	n+m.freemasons
ফ্রিম্যাসন সংক্রান্ত	a.masonic
ফ্রিম্যাসনারি	n+f.freemasonry
ফ্রিল্যান্স	a.freelance
ফ্রিল্যান্স করা	v.freelance
ফ্রিল্যান্সার	n+m.freelancers@n+m.freelancer
ফ্রিল্যান্সিং	n+m.freelancing
ফ্রিশ	n+m.frisch
ফ্রিসবি	n+m.frisbee
ফ্রিসীয়	a.frisian
ফ্রিসীয় ভাষা	n+m.frisian
ফ্রিস্কো	n+m.frisco
ফ্রিস্টাইল	n+m.freestyle
ফ্রুক্টোজ	n+m.fructose
ফ্রে	n+m.frey
ফ্রেই	n+m.frei
ফ্রেজ	n+m.phr
ফ্রেজবুক	n+m.phrasebook
ফ্রেজার	n+m.fraser@n+m.frazer
ফ্রেজিয়ার	n+m.frazier
ফ্রেড	n+m.fred
ফ্রেডরিক	n+m.frederic@n+m.fredrick
ফ্রেডা	n+f.freda
ফ্রেডি	n+m.freddie@n+m.freddy
ফ্রেডেরিক	n+m.frederick
ফ্রেডেরিকসবার্গ	n+m.fredericksburg
ফ্রেডেরিক্টন	n+m.fredericton
ফ্রেম	n+m.frame@n+m.frames@n+m.bezel
