the	art+m.der@art+f.die@art+n.das
marche	n.Marche@n.Marken
disjoint	a.disjunkt@v.trennen
thelma	n.Thelma
carats	n.Karat
hijacked	v.entführte@a.entführt
candice	n.Candice
enlightening	a.aufschlussreich@v.aufklärend
endlessly	ad.endlos@ad.unaufhörlich
coworkers	n.Arbeitskollegen@n.Mitarbeiter
hasty	a.hastig@a.überstürzt
karla	n.Karla
dexterity	n+f.Geschicklichkeit@n+f.Gewandtheit
puzzling	a.rätselhaft@v.verwirrend
nods	v.nickt@n.Nicken
haifa	n.Haifa
reincarnation	n+f.Reinkarnation@n+f.Wiedergeburt
budweiser	n.Budweiser
heuristics	n+f.Heuristik
sumatra	n.Sumatra
tunisian	a.tunesisch@n+m.Tunesier
hologram	n+n.Hologramm
nigger	n+m.Nigger
scrape	v.kratzen@v.schaben@n+m.Kratzer
kendrick	n.Kendrick
refinishing	n+f.Aufarbeitung@n+n.Nachbearbeiten
arresting	a.fesselnd@v.verhaftend
bewitched	a.verzaubert@v.behexte
reloading	n+n.Nachladen@v.nachladend
hombre	n+m.Hombre@n+m.Mann
munch	v.mampfen@n.Munch
resumption	n+f.Wiederaufnahme@n+f.Fortsetzung
irma	n.Irma
intimidated	a.eingeschüchtert@v.schüchterte ein
bidirectional	a.bidirektional
traitor	n+m.Verräter
clove	n+f.Gewürznelke@n+f.Zehe
illiterate	a.analphabetisch@n+m.Analphabet
starfish	n+m.Seestern
kurdistan	n.Kurdistan
widened	v.erweiterte@a.verbreitert
heartbreak	n+m.Herzschmerz@n+n.Herzeleid
preps	n.Vorbereitungen@v.bereitet vor
bordered	a.begrenzt@v.grenzte an
mallet	n+m.Holzhammer@n+m.Schlegel
leech	n+m.Blutegel
mylar	n+n.Mylar
giver	n+m.Geber@n+m.Spender
discontent	n+f.Unzufriedenheit@a.unzufrieden
congestive	a.kongestiv@a.stauungs-
schilling	n+m.Schilling
battleground	n+n.Schlachtfeld@n+m.Kampfplatz
tectonic	a.tektonisch
equate	v.gleichsetzen@v.gleichstellen
inflatables	n.Aufblasbare@n.Schlauchboote
gaz	n+n.Gas
punishing	a.zermürbend@v.bestrafend
seedling	n+m.Sämling@n+f.Jungpflanze
pathologist	n+m.Pathologe@n+f.Pathologin
dwellers	n.Bewohner
mouthpiece	n+n.Mundstück@n+m.Sprecher
fukuoka	n.Fukuoka
parr	n+m.Junglachs
ods	n.Ods
welles	n.Welles
nymph	n+f.Nymphe
reassuring	a.beruhigend@v.beruhigend
gujarati	n+n.Gujarati@a.gujaratisch
leno	n.Leno
astor	n.Astor
sapporo	n.Sapporo
predictability	n+f.Vorhersagbarkeit@n+f.Berechenbarkeit
adenocarcinoma	n+n.Adenokarzinom
myles	n.Myles
toning	n+f.Straffung@n+f.Tonung
gestational	a.Schwangerschafts-@a.gestational
snowball	n+m.Schneeball@v.eskalieren
travelogues	n.Reiseberichte
ecotourism	n+m.Ökotourismus
prematurely	ad.vorzeitig@ad.vorschnell
frail	a.gebrechlich@a.zerbrechlich
adventurer	n+m.Abenteurer
orthopaedics	n+f.Orthopädie
crayons	n.Buntstifte@n.Wachsmalstifte
revamped	v.überarbeitete@a.überarbeitet
irradiated	a.bestrahlt@v.bestrahlte
awfully	ad.furchtbar@ad.schrecklich
mayflower	n.Mayflower
arched	a.gewölbt@a.bogenförmig
curfew	n+f.Ausgangssperre@n+f.Sperrstunde
hamlin	n.Hamlin
brandeis	n.Brandeis
enlist	v.anwerben@v.einschreiben
bree	n.Bree
vedic	a.vedisch
exemplified	v.veranschaulichte@v.verkörperte
stylistic	a.stilistisch
corneal	a.Hornhaut-@a.korneal
profane	a.profan@a.weltlich@v.entweihen
crusher	n+m.Brecher@n+f.Zerkleinerungsmaschine
cornelia	n.Cornelia
romney	n.Romney
macaroni	n.Makkaroni
electing	v.wählend@n+n.Wählen
dictation	n+n.Diktat@n+f.Diktieren
swank	a.schick@a.protzig@n+m.Angeberei
robber	n+m.Räuber
evacuate	v.evakuieren@v.räumen
matisse	n.Matisse
conveniences	n.Annehmlichkeiten@n.Bequemlichkeiten
proactively	ad.proaktiv
mccarty	n.McCarty
roving	a.wandernd@a.umherziehend
drinker	n+m.Trinker
softened	v.weichte auf@a.erweicht
horney	n.Horney
peking	n.Peking
progressives	n.Progressive
linger	v.verweilen@v.herumtrödeln
fillet	n+n.Filet@v.filetieren
creationism	n+m.Kreationismus
churn	v.quirlen@v.aufwühlen@n+n.Butterfass
dork	n+m.Trottel@n+m.Depp
nimbus	n+m.Nimbus@n+f.Regenwolke
nog	n+m.Eierlikör
psychosis	n+f.Psychose
smartest	a.klügste@a.schlaueste
firsthand	ad.aus erster Hand@a.unmittelbar
impart	v.vermitteln@v.verleihen
muted	a.gedämpft@v.dämpfte
feats	n.Leistungen@n.Kunststücke
turbidity	n+f.Trübheit@n+f.Trübung
mountable	a.montierbar
concomitant	a.begleitend@n+f.Begleiterscheinung
oceanographic	a.ozeanografisch
zzz	int.zzz
donner	n.Donner
scaffold	n+n.Gerüst@n+n.Schafott
oui	int.ja@ad.oui
millie	n.Millie
nonzero	a.ungleich null
leisurely	a.gemächlich@ad.gemütlich
loki	n.Loki
dislikes	v.mag nicht@n.Abneigungen
mayonnaise	n+f.Mayonnaise
scavenger	n+m.Aasfresser@n+m.Sammler
touted	v.anpries@a.angepriesen
candace	n.Candace
kava	n+f.Kava
kronos	n.Kronos
adjuvant	n+n.Adjuvans@a.unterstützend
travolta	n.Travolta
limitless	a.grenzenlos@a.unbegrenzt
sari	n+m.Sari
knopf	n+m.Knopf
preventable	a.vermeidbar@a.verhinderbar
hangman	n+m.Henker@n+n.Galgenmännchen
bumpy	a.holprig@a.uneben
aleph	n+n.Aleph
mastermind	n+m.Drahtzieher@v.aushecken
vaccinated	a.geimpft@v.impfte
sloping	a.abfallend@a.geneigt
mitt	n+m.Fausthandschuh@n.Mitt
acceptability	n+f.Akzeptierbarkeit@n+f.Annehmbarkeit
constitutionally	ad.verfassungsmäßig
disapproval	n+f.Missbilligung@n+f.Ablehnung
bavarian	a.bayerisch@n+m.Bayer
surcharges	n.Zuschläge@n.Aufschläge
crucified	v.kreuzigte@a.gekreuzigt
pocahontas	n.Pocahontas
noticeboard	n+f.Pinnwand@n+n.Schwarzes Brett
masons	n.Maurer@n.Freimaurer
permutation	n+f.Permutation
surges	n.Wellen@v.flutet
mulligan	n.Mulligan
unlucky	a.unglücklich@a.glücklos
yawn	v.gähnen@n+n.Gähnen
distort	v.verzerren@v.entstellen
ketchup	n+m.Ketchup
alimony	n+m.Unterhalt@n.Alimente
viscous	a.viskos@a.zähflüssig
mun	n.Mun
unambiguous	a.eindeutig@a.unmissverständlich
loosing	v.lösend@v.loslassend
canopies	n.Baldachine@n.Vordächer
handicraft	n+n.Kunsthandwerk@n+f.Handarbeit
emphysema	n+n.Emphysem@n+f.Lungenblähung
epistemology	n+f.Erkenntnistheorie@n+f.Epistemologie
avila	n.Ávila
piling	n+f.Pfahlgründung@n.Pfähle
soloist	n+m.Solist@n+f.Solistin
rejuvenation	n+f.Verjüngung
anaconda	n+f.Anakonda
basilica	n+f.Basilika
amine	n+n.Amin
robbers	n.Räuber
leveraged	a.gehebelt@a.fremdfinanziert
burley	n.Burley
plasmids	n.Plasmide
woofer	n+m.Tieftöner@n+m.Woofer
juliana	n.Juliana
rollercoaster	n+f.Achterbahn
lowland	n+n.Tiefland@n+f.Niederung
connery	n.Connery
sausages	n.Würste@n.Würstchen
spake	v.sprach
feud	n+f.Fehde@n+m.Streit
subordinated	a.untergeordnet@v.unterordnete
roundups	n.Zusammenfassungen@n.Razzien
awoke	v.erwachte@v.weckte
parka	n+m.Parka
unheard	a.ungehört@a.beispiellos
prune	n+f.Backpflaume@v.beschneiden
endanger	v.gefährden
cairn	n+m.Steinhaufen@n+m.Hügelgrab
nomadic	a.nomadisch@a.Nomaden-
spock	n.Spock
decompression	n+f.Dekompression@n+f.Druckentlastung
disgusted	a.angewidert@a.angeekelt
draco	n.Draco
galena	n+m.Galenit@n+m.Bleiglanz
inactivation	n+f.Inaktivierung
lymphatic	a.lymphatisch@a.Lymph-
olfactory	a.olfaktorisch@a.Geruchs-
berks	n.Berks
prolong	v.verlängern@v.hinauszögern
knits	v.strickt@n.Strickwaren
kroon	n+f.Krone
builtin	a.eingebaut@a.integriert
thinly	ad.dünn@ad.spärlich
rollback	n+m.Rollback@n+f.Rücknahme
garnett	n.Garnett
galen	n.Galen
weaning	n+n.Entwöhnen@n+f.Entwöhnung
snowshoe	n+m.Schneeschuh
arable	a.anbaufähig@a.Acker-
backside	n+f.Rückseite@n+m.Hintern
parallelism	n+m.Parallelismus
brut	a.brut@a.herb
candlewood	n.Candlewood
vernacular	n+f.Umgangssprache@a.mundartlich
latitudes	n.Breitengrade@n.Spielräume
alkali	n+n.Alkali@n+f.Lauge
mowing	n+n.Mähen@v.mähend
painkiller	n+n.Schmerzmittel
nutty	a.nussig@a.verrückt
foreseen	a.vorhergesehen@v.vorhersah
restrooms	n.Toiletten@n.Waschräume
palmerston	n.Palmerston
sever	v.durchtrennen@v.abtrennen
myeloma	n+n.Myelom
expend	v.aufwenden@v.verbrauchen
gist	n+m.Kern@n+f.Quintessenz
auntie	n+f.Tante
afghans	n.Afghanen@n.Afghandecken
scallops	n.Jakobsmuscheln
blames	v.beschuldigt@n.Vorwürfe
subdivided	v.unterteilte@a.unterteilt
osteopathic	a.osteopathisch
vividly	ad.lebhaft@ad.anschaulich
happiest	a.glücklichste
countermeasures	n.Gegenmaßnahmen
lucca	n.Lucca
francine	n.Francine
wildflower	n+f.Wildblume
merino	n+n.Merino@n+f.Merinowolle
reserving	v.reservierend@n+n.Reservieren
nagasaki	n.Nagasaki
stooges	n.Handlanger@n.Trottel
jello	n+n.Wackelpudding
indented	a.eingerückt@a.eingekerbt
barium	n+n.Barium
looting	n+f.Plünderung@v.plündernd
humming	v.summend@n+n.Summen
mauro	n.Mauro
disclaim	v.leugnen@v.ablehnen
shearer	n+m.Scherer@n.Shearer
decca	n.Decca
hydrophobic	a.hydrophob@a.wasserabweisend
millard	n.Millard
diameters	n.Durchmesser
exerted	v.ausübte@a.ausgeübt
justifies	v.rechtfertigt@v.begründet
freiburg	n.Freiburg
returnable	a.rückgabefähig@a.zurückzugeben
ohs	int.ohs
resuscitation	n+f.Wiederbelebung@n+f.Reanimation
cancelling	v.absagend@v.stornierend
stratification	n+f.Schichtung@n+f.Stratifikation
regenerate	v.regenerieren@v.erneuern
grumman	n.Grumman
titre	n+m.Titer
tumbler	n+n.Trinkglas@n+m.Akrobat
adagio	n+n.Adagio@ad.adagio
sunburst	n+m.Sonnendurchbruch@n+f.Sonne
bonne	n.Bonne
improvised	a.improvisiert@v.improvisierte
bela	n.Bela
startups	n.Startups@n.Neugründungen
flocks	n.Herden@n.Scharen
ranting	v.schimpfend@n+n.Schimpfen
bothering	v.störend@v.belästigend
garnered	v.sammelte@v.erntete
tonya	n.Tonya
erupted	v.brach aus@a.ausgebrochen
meltdown	n+f.Kernschmelze@n+m.Zusammenbruch
fling	n+f.Affäre@v.schleudern
rainwater	n+n.Regenwasser
comrade	n+m.Kamerad@n+m.Genosse
ascended	v.aufstieg@a.aufgestiegen
redefining	v.neu definierend@n+n.Neudefinieren
juliette	n.Juliette
vesicles	n.Vesikel@n.Bläschen
piccolo	n+n.Piccolo@n+f.Piccoloflöte
scalia	n.Scalia
resizing	n+f.Größenänderung@v.in der Größe ändernd
porcupine	n+n.Stachelschwein
showrooms	n.Ausstellungsräume@n.Verkaufsräume
verifiable	a.überprüfbar@a.verifizierbar
chopping	v.hackend@n+n.Hacken
lobo	n.Lobo
enacting	v.verabschiedend@v.erlassend
havens	n.Zufluchtsorte@n.Häfen
bacterium	n+n.Bakterium
sideline	n+f.Seitenlinie@v.ausschalten
stabbing	n+m.Messerstich@a.stechend
metamorphosis	n+f.Metamorphose@n+f.Verwandlung
bushing	n+f.Buchse@n+f.Lagerbuchse
ligament	n+n.Band@n+n.Ligament
translocation	n+f.Translokation@n+f.Verlagerung
costco	n.Costco
serialization	n+f.Serialisierung
playgrounds	n.Spielplätze
hilda	n.Hilda
wanderer	n+m.Wanderer
flattened	a.abgeflacht@v.flachte ab
zips	v.zippt@n.Reißverschlüsse
dawkins	n.Dawkins
spitting	v.spuckend@n+n.Spucken
eigenvalue	n+m.Eigenwert
inconvenient	a.ungünstig@a.unbequem
seacoast	n+f.Meeresküste@n+f.Seeküste
conductance	n+f.Leitfähigkeit@n+m.Leitwert
imperfections	n.Unvollkommenheiten@n.Mängel
lewes	n.Lewes
chancery	n+f.Kanzlei@n+n.Kanzleigericht
albemarle	n.Albemarle
raving	a.rasend@v.rasend@n+n.Toben
explodes	v.explodiert
lindy	n.Lindy
coimbatore	n.Coimbatore
panzer	n+m.Panzer
keri	n.Keri
soviets	n.Sowjets
tweeter	n+m.Hochtöner
executor	n+m.Testamentsvollstrecker@n+m.Ausführer
poncho	n+m.Poncho
anglesey	n.Anglesey
choirs	n.Chöre
faerie	n+f.Feenwelt@n+f.Fee
stinger	n+m.Stachel@n+f.Stinger
wreaths	n.Kränze
collapsing	v.zusammenbrechend@a.einstürzend
tasteless	a.geschmacklos@a.fade
tomahawk	n+m.Tomahawk
tact	n+n.Taktgefühl@n+m.Takt
instructive	a.lehrreich@a.instruktiv
absorbs	v.absorbiert@v.aufnimmt
susannah	n.Susannah
mathematically	ad.mathematisch
godwin	n.Godwin
kuwaiti	a.kuwaitisch@n+m.Kuwaiter
drier	n+m.Trockner@a.trockener
duplicators	n.Vervielfältiger@n.Kopierer
bothers	v.stört@v.belästigt
parades	n.Paraden@v.paradiert
cubicle	n+f.Kabine@n+m.Arbeitsplatz
winfrey	n.Winfrey
shoved	v.schob@v.stieß
invokes	v.ruft auf@v.beruft sich auf
papaya	n+f.Papaya
cannons	n.Kanonen
auger	n+m.Bohrer@n+f.Schnecke
mongoose	n+m.Mungo
instrumentals	n.Instrumentalstücke
iconic	a.ikonisch@a.kultisch
chromatic	a.chromatisch
rife	a.weit verbreitet@a.grassierend
mahler	n.Mahler
rallying	n+n.Rallye@v.sammelnd
auschwitz	n.Auschwitz
gambit	n+n.Gambit@n+m.Schachzug
enoch	n.Enoch
carriages	n.Kutschen@n.Waggons
dales	n.Täler
polled	v.befragte@a.befragt
agnostic	n+m.Agnostiker@a.agnostisch
emptied	v.leerte@a.geleert
denounced	v.verurteilte@v.anprangerte
delusion	n+f.Wahnvorstellung@n+f.Täuschung
fredrick	n.Fredrick
rimini	n.Rimini
jogger	n+m.Jogger@n+m.Läufer
occlusion	n+f.Okklusion@n+m.Verschluss
verity	n+f.Wahrheit
turret	n+m.Turm@n+m.Geschützturm
reinvestment	n+f.Wiederanlage@n+f.Reinvestition
chatterbox	n+f.Plaudertasche
neutrons	n.Neutronen
precede	v.vorangehen@v.vorausgehen
silo	n+n.Silo
huts	n.Hütten
polystyrene	n+n.Polystyrol@n+n.Styropor
amon	n.Amon
jodhpur	n.Jodhpur
intelligencer	n+m.Spion@n+m.Informant
molokai	n.Molokai
pluralism	n+m.Pluralismus
domes	n.Kuppeln
tetanus	n+m.Tetanus@n+m.Wundstarrkrampf
neuromuscular	a.neuromuskulär
multifamily	a.Mehrfamilien-
eras	n.Epochen@n.Zeitalter
coors	n.Coors
execs	n.Manager@n.Führungskräfte
hiker	n+m.Wanderer
manuf	n+f.Herstellung
strategist	n+m.Stratege
wildest	a.wildeste
outlays	n.Ausgaben@n.Aufwendungen
zloty	n+m.Zloty
foodstuffs	n.Lebensmittel@n.Nahrungsmittel
wessex	n.Wessex
osmosis	n+f.Osmose
priming	n+f.Grundierung@n+n.Vorbereiten
vowels	n.Vokale
mojave	n.Mojave
sulphate	n+n.Sulfat
soothe	v.beruhigen@v.lindern
advancements	n.Fortschritte@n.Beförderungen
franck	n.Franck
bock	n+n.Bockbier@n+m.Bock
clandestine	a.heimlich@a.verborgen
migrations	n.Migrationen@n.Wanderungen
hovering	v.schwebend@n+n.Schweben
leary	n.Leary
slurry	n+f.Aufschlämmung@n+m.Schlamm
tamper	v.manipulieren@v.herumpfuschen
pugh	n.Pugh
soulmates	n.Seelenverwandte
marissa	n.Marissa
beretta	n.Beretta
punishments	n.Strafen@n.Bestrafungen
chiropractor	n+m.Chiropraktiker
vibrational	a.Vibrations-@a.Schwingungs-
heathen	n+m.Heide@a.heidnisch
obsidian	n+m.Obsidian
unduly	ad.übermäßig@ad.unangemessen
dressers	n.Kommoden@n.Anrichtetische
winger	n+m.Flügelspieler
endeavours	n.Bemühungen@v.bemüht sich
rigged	a.manipuliert@v.manipulierte
argonne	n.Argonnen
domicile	n+m.Wohnsitz@n+n.Domizil
colfax	n.Colfax
chargeable	a.berechenbar@a.kostenpflichtig
fanning	v.fächernd@n.Fanning
spurred	v.spornte an@a.angespornt
optimise	v.optimieren
ernesto	n.Ernesto
osage	n.Osage
coeds	n.Studentinnen
peregrine	n+m.Wanderfalke@a.wandernd
tabitha	n.Tabitha
subdirectories	n.Unterverzeichnisse
crumb	n+m.Krümel@n+f.Krume
fostered	v.förderte@a.gefördert
culmination	n+m.Höhepunkt@n+f.Kulmination
revolves	v.dreht sich@v.kreist
guilder	n+m.Gulden
comparator	n+m.Komparator@n+m.Vergleicher
mend	v.reparieren@v.ausbessern@n+f.Besserung
theoretic	a.theoretisch
sealer	n+m.Versiegler@n+n.Dichtmittel
sleazy	a.schäbig@a.schmierig
softening	n+f.Erweichung@v.erweichend
onstage	ad.auf der Bühne@a.Bühnen-
waterproofing	n+f.Abdichtung@n+n.Imprägnieren
glimpses	n.Blicke@n.Einblicke
riel	n+m.Riel
pinky	n+m.kleiner Finger
hattie	n.Hattie
lewisham	n.Lewisham
mints	n.Minzen@n.Münzstätten
invertebrate	n+n.Wirbelloses@a.wirbellos
rebellious	a.rebellisch@a.aufsässig
tastefully	ad.geschmackvoll
capo	n+m.Kapodaster@n+m.Capo
pairings	n.Paarungen@n.Kombinationen
guesthouses	n.Pensionen@n.Gästehäuser
yikes	int.huch@int.autsch
grate	n+m.Rost@v.reiben@v.raspeln
lourdes	n.Lourdes
exorcism	n+m.Exorzismus@n+f.Teufelsaustreibung
grilles	n.Gitter@n.Roste
mim	n.Mim
cultivar	n+f.Sorte@n+f.Zuchtsorte
orson	n.Orson
teammate	n+m.Mannschaftskamerad@n+m.Mitspieler
diseased	a.erkrankt@a.krank
kenilworth	n.Kenilworth
hrvatska	n.Kroatien
sequencer	n+m.Sequenzer
grandparent	n+m.Großelternteil
demonic	a.dämonisch
margot	n.Margot
socialists	n.Sozialisten
deduced	v.folgerte@a.abgeleitet
collaboratively	ad.kollaborativ@ad.gemeinsam
oberlin	n.Oberlin
buttocks	n.Gesäß@n.Hintern
unmanned	a.unbemannt
rainbows	n.Regenbögen
gunnar	n.Gunnar
alcoa	n.Alcoa
mums	n.Mütter@n.Chrysanthemen
burials	n.Begräbnisse@n.Bestattungen
eunice	n.Eunice
bountiful	a.reichlich@a.freigebig
salazar	n.Salazar
lossless	a.verlustfrei
imbalances	n.Ungleichgewichte
mesopotamia	n.Mesopotamien
andean	a.andinisch@a.Anden-
poseidon	n.Poseidon
superconducting	a.supraleitend
spectroscopic	a.spektroskopisch
armpit	n+f.Achselhöhle
ratify	v.ratifizieren@v.bestätigen
mew	n+f.Möwe@v.miauen
worsening	n+f.Verschlechterung@v.verschlechternd
metalworking	n+f.Metallbearbeitung
groundhog	n+n.Murmeltier
mexicans	n.Mexikaner
ginkgo	n+m.Ginkgo
fiend	n+m.Dämon@n+m.Teufel
drapery	n+f.Draperie@n+m.Vorhangstoff
bernice	n.Bernice
deported	v.deportierte@a.abgeschoben
decedent	n+m.Verstorbener@n+m.Erblasser
muzzle	n+f.Schnauze@n+m.Maulkorb@v.mundtot machen
entrant	n+m.Teilnehmer@n+m.Neuling
schoolhouse	n+n.Schulhaus
baku	n.Baku
telescopic	a.teleskopisch@a.Teleskop-
phasing	n+f.Phasierung@v.phasierend
lactate	n+n.Laktat@v.stillen
poughkeepsie	n.Poughkeepsie
dodson	n.Dodson
monorail	n+f.Einschienenbahn
retribution	n+f.Vergeltung@n+f.Strafe
bookworm	n+m.Bücherwurm
sabbatical	n+n.Sabbatjahr@a.Sabbat-
slander	n+f.Verleumdung@v.verleumden
basing	v.basierend@n+n.Basieren
foucault	n.Foucault
baits	n.Köder@v.ködert
fireside	n+m.Kamin@a.am Kamin
onshore	a.an Land@ad.landwärts
disposing	v.entsorgend@v.verfügend
wicks	n.Dochte
pathologists	n.Pathologen
pathol	n+f.Pathologie
suffrage	n+n.Wahlrecht@n+n.Stimmrecht
toxics	n.Giftstoffe
triumphs	n.Triumphe@v.triumphiert
fortifying	v.befestigend@v.stärkend
sleepless	a.schlaflos
kinesiology	n+f.Kinesiologie
potions	n.Tränke@n.Zaubertränke
tern	n+f.Seeschwalbe
squirts	v.spritzt@n.Spritzer
delmar	n.Delmar
storybook	n+n.Geschichtenbuch@a.märchenhaft
watered	v.bewässerte@a.verwässert
lass	n+n.Mädchen@n+f.Maid
grenades	n.Granaten
fleas	n.Flöhe
contrasted	v.kontrastierte@a.kontrastiert
opting	v.optierend@v.sich entscheidend
hauled	v.schleppte@v.zog
taupe	n+n.Taupe@a.taupe
ventured	v.wagte@v.riskierte
hookup	n+m.Anschluss@n+f.Verbindung
recite	v.aufsagen@v.vortragen
myron	n.Myron
doreen	n.Doreen
keepsakes	n.Andenken@n.Erinnerungsstücke
seawater	n+n.Meerwasser@n+n.Seewasser
contenders	n.Anwärter@n.Konkurrenten
kneeling	v.kniend@n+n.Knien
negation	n+f.Negation@n+f.Verneinung
conveyors	n.Förderbänder@n.Förderanlagen
accenture	n.Accenture
dismay	n+f.Bestürzung@v.bestürzen
rota	n+m.Dienstplan@n+f.Rotation
kelso	n.Kelso
smelled	v.roch@v.riechen
jute	n+f.Jute
printmaking	n+f.Druckgrafik@n+m.Druckkunst
heals	v.heilt
julianne	n.Julianne
prim	a.steif@a.prüde
reconstructive	a.rekonstruktiv
vicksburg	n.Vicksburg
bookshelves	n.Bücherregale
trespass	v.unbefugt betreten@n+n.Hausfriedensbruch
conciliation	n+f.Versöhnung@n+f.Schlichtung
supermodels	n.Supermodels
glycerol	n+n.Glycerin@n+n.Glyzerin
compasses	n.Kompasse@n.Zirkel
groomed	a.gepflegt@v.pflegte
leaping	v.springend@n+n.Springen
impunity	n+f.Straflosigkeit@n+f.Ungestraftheit
sunken	a.versunken@a.eingesunken
sliders	n.Schieberegler@n.Slider
inaugurated	v.einweihte@v.amtseinführte
redford	n.Redford
encountering	v.begegnend@n+n.Begegnen
itemized	a.aufgeschlüsselt@v.schlüsselte auf
infernal	a.höllisch@a.infernalisch
defamatory	a.diffamierend@a.verleumderisch
pang	n+m.Stich@n+f.Qual
swag	n+f.Beute@n+m.Swag
reared	v.aufzog@v.aufbäumte
pampered	a.verwöhnt@v.verwöhnte
yap	v.kläffen@n+n.Gekläff
bottlenecks	n.Engpässe@n.Flaschenhälse
pyrex	n.Pyrex
inquiring	a.fragend@v.nachfragend
sculpting	n+n.Bildhauern@v.formend
sedans	n.Limousinen
praising	v.lobend@n+n.Loben
dpt	n+f.Abteilung
momentary	a.momentan@a.vorübergehend
launchers	n.Abschussvorrichtungen@n.Launcher
finishers	n.Abschlussläufer@n.Endverarbeiter
commemoration	n+f.Gedenkfeier@n+n.Gedenken
psychologically	ad.psychologisch
holstein	n.Holstein
interdependence	n+f.Interdependenz@n+f.gegenseitige Abhängigkeit
serpentine	a.schlangenförmig@n+m.Serpentin
droplets	n.Tröpfchen
inducted	v.aufnahm@v.einführte
hangings	n.Wandbehänge@n.Hinrichtungen
uninitialized	a.nicht initialisiert
sundry	a.verschiedene@a.diverse
repercussions	n.Auswirkungen@n.Nachwirkungen
protestants	n.Protestanten
therefrom	ad.davon@ad.daraus
hydrological	a.hydrologisch
runes	n.Runen
wrecking	v.zerstörend@n+n.Zerstören
pique	n+m.Groll@v.reizen
ortega	n.Ortega
breweries	n.Brauereien
landon	n.Landon
forecaster	n+m.Prognostiker@n+m.Wetterfrosch
quickie	n+m.Quickie@n+f.schnelle Nummer
swore	v.schwor@v.fluchte
parabolic	a.parabolisch
boreal	a.boreal@a.nördlich
bankroll	n+f.Bankroll@v.finanzieren
tabulation	n+f.Tabellierung@n+f.Aufstellung
journeyman	n+m.Geselle
enlighten	v.aufklären@v.erleuchten
descartes	n.Descartes
trier	n.Trier
arbitrage	n+f.Arbitrage
flashy	a.auffällig@a.protzig
prowess	n+f.Tüchtigkeit@n+f.Tapferkeit
abstractions	n.Abstraktionen
enriching	a.bereichernd@v.bereichernd
dogwood	n+m.Hartriegel@n+m.Kornelkirsche
trampling	v.trampelnd@n+n.Trampeln
signet	n+n.Siegel@n+m.Siegelring
iroquois	n.Irokesen@a.irokesisch
convergent	a.konvergent
digested	v.verdaute@a.verdaut
rothschild	n.Rothschild
trumpets	n.Trompeten@v.trompetet
majoring	v.sich spezialisierend
glitches	n.Störungen@n.Pannen
embodies	v.verkörpert@v.umfasst
qwerty	n.QWERTY@a.QWERTY-
equivalency	n+f.Gleichwertigkeit@n+f.Äquivalenz
sedation	n+f.Sedierung@n+f.Betäubung
manhood	n+f.Männlichkeit@n+n.Mannesalter
cannibal	n+m.Kannibale
nephews	n.Neffen
oblivious	a.ahnungslos@a.nicht bewusst
atmospheres	n.Atmosphären
stricter	a.strenger
harmonics	n.Obertöne@n+f.Harmonik
devi	n.Devi
memes	n.Meme
lavatory	n+f.Toilette@n+n.WC
roughness	n+f.Rauheit@n+f.Grobheit
destructor	n+m.Destruktor
accelerates	v.beschleunigt
opts	v.entscheidet sich@v.optiert
ancients	n.Alten@n.Vorfahren
snapping	v.schnappend@n+n.Schnappen
jethro	n.Jethro
cauliflower	n+m.Blumenkohl
midfielder	n+m.Mittelfeldspieler
feudal	a.feudal@a.Feudal-
tornadoes	n.Tornados
unbearable	a.unerträglich
docklands	n.Hafenviertel@n.Docklands
perpetrated	v.beging@v.verübte
tanzanian	a.tansanisch@n+m.Tansanier
basses	n.Bässe
boarded	v.bestieg@v.an Bord ging
olympian	n+m.Olympionike@a.olympisch
safeway	n.Safeway
sheri	n.Sheri
livre	n+n.Livre
wikis	n.Wikis
mozzarella	n+m.Mozzarella
glenda	n.Glenda
interferes	v.stört@v.mischt sich ein
devotions	n.Andachten@n.Hingaben
myra	n.Myra
devotees	n.Anhänger@n.Verehrer
acquaintances	n.Bekannte@n.Bekanntschaften
sectarian	a.sektiererisch@a.konfessionell
yonkers	n.Yonkers
fathom	v.ergründen@n+m.Faden
republish	v.erneut veröffentlichen
cools	v.kühlt@v.kühlt ab
endoscopic	a.endoskopisch
dilbert	n.Dilbert
segundo	n.Segundo
appreciative	a.dankbar@a.anerkennend
innumerable	a.unzählig@a.zahllos
parramatta	n.Parramatta
biscayne	n.Biscayne
disproportionately	ad.unverhältnismäßig
noticeably	ad.merklich@ad.spürbar
furs	n.Pelze@n.Felle
taskbar	n+f.Taskleiste
libero	n+m.Libero
synchrotron	n+n.Synchrotron
tet	n.Tet
memorize	v.auswendig lernen@v.memorieren
marquez	n.Márquez
volumetric	a.volumetrisch
atonement	n+f.Sühne@n+f.Buße
extant	a.noch vorhanden@a.erhalten
ignacio	n.Ignacio
unmask	v.entlarven@v.demaskieren
umpires	n.Schiedsrichter
shuttles	n.Shuttles@v.pendelt
chisel	n+m.Meißel@v.meißeln
hyperplasia	n+f.Hyperplasie
donahue	n.Donahue
mysteriously	ad.mysteriös@ad.geheimnisvoll
parodies	n.Parodien@v.parodiert
prado	n.Prado
wayward	a.eigensinnig@a.widerspenstig
legit	a.legitim@a.echt
redness	n+f.Rötung@n+f.Röte
dreamland	n+n.Traumland
