29	n.xxix
لنگر ڈالنا	v.anchor@v.anchors@v.moor@v.docks
لنگر گاہ	n+m.anchorage@n+f.moorings
لنگور	n+m.baboon
لنگوٹ	n+m.diaper@n+f.nappy@n+f.nappies
لنگوٹ بدلنا	v.diapering
لنگڑا	a.lame
لنگڑانا	v.limp
لنگڑاہٹ	n+f.limp
لو	n+f.flame@n+m.lou@n+m.lowe
لو دیکھو	int.voila
لوئب	n+m.loeb
لوئر	n+f.loire
لوئس	n+m.loews
لوئس ول	n+m.louisville
لوئی	n+m.louie
لوئیز	n+f.louise
لوئیزا	n+f.louisa
لوئیس	n+m.louis@n+m.luis@n+f.lois
لوئیسا	n+f.luisa
لوئیگی	n+m.luigi
لوائڈ	n+m.loyd
لوازمات	n+f.accessories
لوازمہ	n+m.accessory
لواطت	n+f.sodomy
لوب	n+f.lobe@n+m.lobes
لوبو	n+m.lobo
لوبیا	n+m.bean@n+m.beans
لوتھر	n+m.luther
لوتھری	n+m.lutherans
لوتھرین	a.lutheran@n+m.lutheran
لوتھڑا	n+m.clot@n+m.gob
لوتھڑا بننا	v.clotting
لوتھڑے	n+m.clots
لوتھیان	n+m.lothian@n.lothians
لورا	n+f.laura@n+f.lora
لوران	n+m.loran
لورنا	n+f.lorna
لورنز	n+m.lorenz
لورڈز	n+f.lourdes
لورکا	n+m.lorca
لوری	n+f.lori@n+f.laurie@n+m.lowry@n+f.lullaby@n.lorie@n.lorrie
لوریاں	n+f.lullabies
لوریس	n+m.loris
لوریل	n+f.laurel
لوریلائی	n+f.lorelei
لورین	n+f.lorraine@n+f.loren
لورینا	n+f.lorena
لورینزو	n+m.lorenzo
لورینٹز	n+m.lorentz
لوریٹا	n+f.loretta
لوز	n+f.luz
لوزان	n+f.lausanne
لوزون	n.luzon
لوزیانا	n+m.louisiana
لوسائٹ	n+m.lucite
لوساکا	n+f.lusaka
لوسرن	n+m.lucerne
لوسنڈا	n+f.lucinda
لوسی	n+f.lucy
لوسیئس	n+m.lucius
لوسیئن	n+m.lucien
لوسیا	n+f.lucia
لوسیفریز	n+m.luciferase
لوسیل	n+f.lucille@n+f.lucile
لوسین	n+m.lucian
لوسیو	n+m.lucio
لوشم	n+m.lewisham
لوشن	n+f.lotion@n+f.lotions
لوفر جوتا	n+m.loafer
لوقا	n+m.luke
لولا	n+f.lola@n+f.lula
لولو	n+f.lulu
لولک	n+m.pendulum
لولی پاپ	n+m.lollipops@n+m.lolly
لولیتا	n+f.lolita
لولیس	n+m.lovelace
لوماکس	n+m.lomax
لومبارڈ	n+m.lombard
لومبارڈی	n+m.lombardi@n+f.lombardy
لومبوک	n+m.lombok
لومن	n+m.lumens
لومونڈ	n+m.lomond
لومڑی	n+f.fox@n+f.vixen@n+f.vixens
لومڑیاں	n+f.foxes
لومیئر	n+m.lumiere
لومینل	a.luminal
لون	n+m.lon
لونا	n+f.luna
لونڈی	n+f.slave
لونگ	n+f.cloves@n+f.clove
لونگسٹن	n+m.livingston
لونی	n+m.lonnie
لوو	n+m.lviv
لوور	n+m.louvre
لووسٹافٹ	n+m.lowestoft
لووی	n+m.loewe
لوویل	n+m.lowell@n+m.lovell
لووین	n+m.louvain
لوٹ	n+f.booty@n+m.spoil@n+f.loot@n+f.booties@n+f.plunder
لوٹ مار	n+f.looting@n+f.pillage
لوٹ کا مال	n+m.swag@n+f.spoils
لوٹا	v.robbed@n+f.lotta@v.looted
لوٹتا ہے	vt.fleeces@v.robs
لوٹن	n+m.luton
لوٹنا	v.rob@v.mug@v.loot@v.looting@vt.plunder@v.robbing@vt.heist@v.pillage
لوٹی	n+m.loti@n+f.lottie
لوپ	n+m.loop@n+m.loops@n+m.loup
لوپ بنانا	v.loop@v.looping
لوپس	n+m.lupus
لوپن	n+m.lupin
لوپیز	n+m.lopez
لوپے	n+f.lupe
لوچیانو	n+m.luciano
لوڈ کر رہا ہے	v.loading
لوڈ کرنا	v.load
لوڈ ہونے کے قابل	a.loadable
لوڈر	n+m.loader@n+m.loaders
لوڈز	n+m.lodz
لوڈنگ	n+f.loading
لوڈی	n+m.lodi
لوک	a.folk
لوک دانش	n+m.folklore
لوک کہانیاں	n+f.folktales
لوکا	n+f.lucca
لوکاس	n+m.lucas
لوکرافٹ	n+m.lovecraft
لوکریشیا	n+f.lucretia
لوکی	n+m.loki
لوگ	n+m.people@n+m.folk@n+m.folks@n+m.chaps@n+m.hombres@n+m.niggaz@n+m.menschen
لوگارتھم	n+m.logarithm@n+m.logarithms
لوگارتھمک	a.logarithmic
لوگر	n+m.luger
لوگن	n+m.logan
لوگو	n+m.logo@n+m.logos@n.lugo
لوگو ٹائپ	n+m.logotype
لوہا	n+m.iron
لوہار	n+m.smith@n+m.smiths@n+m.blacksmith
لوہے کا	a.ferrous@a.ferric
لوہے کا پتھر	n+m.ironstone
لوہے کی لکڑی	n+f.ironwood
لوینیا	n+f.lavinia
لویولا	n+m.loyola
لٹانا	v.lavish
لٹمس	n+m.litmus
لٹن	n+m.litton
لٹورا	n+m.shrike
لٹویا	n+m.latvia
لٹکا ہوا	a.hung@a.saggy@a.sagging
لٹکاؤ	n+m.suspension@n+f.suspensions
لٹکائیں	n+f.hangings
لٹکاتا ہے	vt.suspends
لٹکانا	v.hook@v.hang@v.hanging@v.hangs@v.dangle
لٹکایا	v.hung@v.suspended@v.slung
لٹکتا ہوا	a.hanging@a.dangling@a.pendent
لٹکتا ہے	v.lingers
لٹکنا	v.hang@v.hangs@v.dangling@vi.overhang
لٹیرا	n+m.marauder
لٹیرے	n+m.looters
لپ سٹک	n+f.lipstick
لپسکوم	n+m.lipscomb
لپوپروٹین	n+m.lipoprotein
لپٹا ہوا	a.corkscrew
لپٹن	n+m.lipton
لپڈ	n+m.lipids
لپیٹ	n+f.wrapping@n+f.convolution@n+m.wraparound
لپیٹ بستر	n+m.rollaway
لپیٹ لیا	v.enveloped
لپیٹ کھولنا	v.unwrap
لپیٹا	v.wrapped@v.wound@v.coiled@v.entwined
لپیٹا ہوا	a.rolled@a.wrapped@a.draped@a.cloaked
لپیٹتا ہے	v.winds@v.wraps
لپیٹنا	v.wind@v.wrap@v.wrapping@v.coil@v.winding@v.coils@v.cocoon@v.drapes@v.furl@v.reeling@vt.twine
لپیٹنے والا	a.wraparound
لپیٹیں	n+f.wraps
لچفیلڈ	n+m.lichfield
لچک	n+f.flexibility@n+f.flex@n+f.elasticity@n+f.resilience@n+f.plasticity@n+f.springing@n+f.resiliency@n+f.elasticities
لچکدار	a.flexible@a.elastic@a.yielding@a.resilient@a.supple@a.stretchy@a.ductile@a.malleable@a.pliable
لچکدار رسی	n+f.bungee
لچکدار طریقے سے	ad.flexibly
لچکدار مادہ	n+m.elastomer
لچکدار مادے	n+m.elastomers
لچھے	n+m.hanks
لڈلو	n+m.ludlow
لڈوکین	n+f.lidocaine
لڈوگ	n+m.ludwig
لڑ رہا ہے	v.fighting
لڑا	v.fought@v.battled
لڑائی	n+f.battle@n+f.fight@n+f.fighting@n+f.combat@n+m.melee@n+f.brawl
لڑائی کرنا	v.battling@v.scrapping
لڑائیاں	n+f.battles@n+f.fights
لڑاکا	n+m.fighter@a.feisty
لڑاکو مرغ	n+m.gamecocks
لڑتا ہے	v.battles@v.fights
لڑنا	v.battle@v.fight@v.combat@vi.brawl@v.waging
لڑنے والا	a.combatant@a.warring
لڑنے والے	n+m.fighters
لڑکا	n+m.boy@n+m.guy@n+m.dude@n+m.lad
لڑکپن	n+m.boyhood
لڑکھڑاتا	a.halting
لڑکھڑانا	v.reel@v.reels@v.staggering@v.bumble@v.staggered@v.falter@v.stagger@v.teeter
لڑکھڑاہٹ	n+m.stagger
لڑکی	n+f.girl@n+f.babe@n+f.chick@n+f.gal@n+f.lass@n+f.girlie@n+f.wench@n+f.lassie
لڑکیاں	n+f.girls@n+f.babes@n+f.chicks@n+f.gals
لڑکیوں جیسا	a.girly
لڑکیوں والا	a.girlie
لڑکیوں کی انجمن	n+f.sorority
لڑکے	n+m.boys@n+m.guys@n+m.dudes@n+m.lads@n+m.fellas
لڑھکا	v.tumbled
لڑھکایا	v.rolled
لڑھکتا	a.rolling
لڑھکتا ہے	v.rolls
لڑھکنا	v.roll@v.rolling@v.trundle
لڑی	n+f.strand
لکس	n+m.lux
لکسمبرگ	n+m.luxembourg
لکسور	n+m.luxor
لکشمی	n+f.lakshmi
لکٹنسٹائن	n+m.lichtenstein
لکڑ بگھا	n+m.hyena
لکڑہارا	n+m.sawyer@n+m.logger@n+m.woodman@n+m.lumberjack@n+m.feller
لکڑہارے	n+m.loggers
لکڑی	n+f.log@n+f.wood@a.wooden@n+f.timber@n+f.lumber@n+f.firewood
لکڑی والا	a.woody
لکڑی پر نقش	n+m.woodcut
لکڑی کا	a.wooden
لکڑی کا فرش	n+m.parquet
لکڑی کا کام	n+f.woodworking@n+m.woodwork@n+m.woodcraft
لکڑی کا گٹھا	n+m.faggot
لکڑی کاٹنا	v.logging
لکڑی کی باڑ	n+f.palisades@n+f.palisade
لکڑی کی پگڈنڈی	n+f.boardwalk
لکڑی کے باجے	n+m.woodwinds
لکڑی کے کاریگر	n+m.woodworkers
لکڑیاں	n+f.woods@n+f.logs@n+f.timbers
لکھ رہا ہے	v.writing
لکھا	v.written@v.wrote@v.composed@v.authored@v.penned@v.scribed@v.scribbled
لکھا ہوا	a.inscribed@a.scripted
لکھاری	n+m.writer@n+m.writers@n+m.scribes
لکھتا ہے	v.writes
لکھنؤ	n+m.lucknow
لکھنا	v.write@v.pen@v.compose@v.composing@v.scribe@vt.jot@v.penning
لکھنے کے قابل	a.writable
لکھواتا	v.dictates
لکھوانا	v.dictate
لکھوایا	v.dictated
لکیر	n+f.contour@n+f.streak
لکیردار	a.lined
لکیری	a.linear
لکیریں	n+f.underlines
لگا ہوا	a.fitted@a.planted
لگاؤ	n+m.attachment@n+m.affinity@n+m.devotion@n+f.fixation
لگائے ہوئے نقشے	n+m.appliques
لگاتا ہے	v.pins@v.implants@vt.tacks
لگاتار	a.consecutive
لگام	n+f.rein@n+f.reins@n+f.bridle@n+f.martingale
لگام لگانا	vt.bridle
لگام کھینچنا	v.reining
لگانا	v.plant@v.plug@v.applying@v.installing@v.planting@v.implant@v.implanted@v.affixed@vt.affix@vt.salve@v.inflicting
لگانے والا	n+m.applicator
لگانے والے	n+m.applicators
لگایا	v.planted@v.levied
لگتا تھا	v.seemed
لگتا ہے	v.seems@v.feels
لگن	n+f.dedication
لگنا	v.seem@v.engage
لگنائٹ	n+m.lignite
لگنن	n+m.lignin
لہاسا	n+m.lhasa
لہجہ	n+m.tone@n+m.pitch@n+m.accent@n+f.intonation
لہجے	n+m.tones@n+m.accents
لہجے والا	a.accented
لہذا	ad.hence
لہر	n+f.wave@n+f.tide@n+f.surge@n+f.ripple
لہر کی لمبائی	n+f.wavelength
لہرانا	v.ripple@v.waved@v.ripples@v.undulating
لہرایا	v.hoisted
لہردار	a.corrugated@a.wavy@a.sinusoidal@a.choppy@a.undulating
لہردار کنارہ بنانا	vt.scallop
لہردار کنارے والا	a.scalloped
لہریں	n+f.waves@n+f.vibes@n+f.surges@n+f.ripples@n+f.swells@n+f.lapping
لہسن	n+m.garlic
لی	n+m.lee@n+m.leigh@n+f.lei
لی بلانک	n+m.leblanc
لیئر	n+m.layer@n+m.lear
لیا	v.taken@v.took@n+f.leah
لیا ہوا	a.taken
لیاؤ	n+m.liao
لیاؤننگ	n+m.liaoning
لیام	n+m.liam
لیان	n+f.leanne@n+f.leann
لیب	n+f.lab
لیبارٹری	n+f.laboratory
لیبارٹریز	n+f.labs
لیبراڈور	n+m.labrador
لیبرمین	n+m.lieberman
لیبرو	n+m.libero
لیبل	n+m.label@n+m.labels
لیبل لگاتا ہے	v.labels
لیبل لگانا	v.label@v.labelled@v.labelling
لیبل والا	a.labelled
لیبلنگ	n+f.labelling
لیبیا	n+f.libya@n+f.labia
لیبیائی	a.libyan@n+m.libyan
لیتا ہے	v.takes
لیتھ	n+m.lathe@n+m.leith
لیتھ برج	n+m.lethbridge
لیتھم	n+m.latham
لیج	n+m.liege
لیجر	n+m.leger
لیجنڈ	n+m.legend
لیختنسٹائن	n+m.liechtenstein
لیرا	n+f.lira@n+f.lire
لیروی	n+m.leroy
لیری	n+m.larry@n+m.leary
لیز	n+m.lease
لیز پر دیا	v.leased
لیز پر دیتا ہے	v.leases
لیزا	n+f.lisa@n+f.liza
لیزر	n+m.laser@n+m.lasers
لیزلی	n+f.lesley
لیزنگ	n+f.leasing
لیزیں	n+f.leases
لیس	n+m.les@a.equipped@n+m.lace
لیس دار	a.slimy
لیس کرنا	v.equip
لیس کیا	v.equipped@v.outfitted
لیسبوس	n+m.lesbos
لیسلی	n+f.leslie
لیسوتھو	n+m.lesotho
لیسٹر	n+m.leicester@n+m.lester
لیسٹرشائر	n+m.leicestershire
لیسی	n+f.lacey
لیسیتھین	n+m.lecithin
لیسیم	n+m.lyceum
لیشمینیا	n+f.leishmania
لیف	n+m.leif
لیفٹیننٹ	n+m.lieutenant@n+m.lieut@n+m.lieutenants
لیل	n+m.lille
لیلا	n+f.lila
لیلینڈ	n+m.leland
لیلیٰ	n+f.leila@n+f.layla
لیم	n+m.lem
لیما	n+f.lemma@n+f.lima
لیماسول	n+m.limassol
لیمبتھ	n+m.lambeth
لیمبرٹ	n+m.lambert
لیمبورگینی	n+f.lamborghini
لیمبڈا	n+m.lambda
لیمر	n+m.lemur
لیمز	n+m.lems
لیمن	n+m.lehmann
لیمن گھاس	n+f.lemongrass
لیمنگ	n+m.lemmings
لیمو	n+m.limes
لیموجز	n+m.limoges
لیموزن	n+m.limousin
لیموزین	n+f.limousine@n+f.limo
لیموزین گاڑیاں	n+f.limos
لیموں	n+m.lemon@n+m.lime@n+m.lemons
لیموں جیسا	a.lemony
لیموں پانی	n+f.lemonade
لیموں کا	a.citric
لیمپ	n+f.lamp@n+f.lamps
لیمپیرا	n+f.lempira
لیمیز	n.lamaze
لیمینیٹر	n+m.laminator
لیمے	n+m.lemmas
لین	n+m.len@n+m.lanes
لین دین	n+m.transactions@n+m.transaction@n+m.barter
لین دین کا	a.transactional
لین دین کرنا	v.transact
لینا	v.take@n+f.pickup@n+f.lena@n+f.lina
لینارک	n+m.lanark
لینز	n+f.lenses
لینس	n+m.lens@n+m.linus
لینسلوٹ	n+m.lancelot
لینسنگ	n+m.lansing
لینسٹر	n+m.leinster
لینن	n+m.lennon@n+m.lenin
لینن گراڈ	n+m.leningrad
لینو	n+m.leno@n+m.lino
لینوائر	n+m.lenoir
لینور	n+f.lenore
لینولیم	n+m.linoleum
لینٹ	n+m.lent
لینڈ سلائیڈ	n+m.landslide@n+m.landslides
لینڈاؤ	n+m.landau
لینڈر	n+m.lander
لینڈری	n+m.landry
لینڈز	n+f.landes
لینڈسیٹ	n+m.landsat
لینڈن	n+m.landon
لینڈنگ	n+f.landing
لینکاسٹر	n+m.lancaster
لینکاشائر	n+m.lancashire
لینکس	n+m.linux
لینگ	n+m.lang
لینگر	n+m.langer
لینگلے	n+m.langley
لینگمور	n.langmuir
لینگوڈاک	n+m.languedoc
لینگٹن	n.langton
لینی	n+m.lenny@n.lanny
لینیس	n+m.linnaeus
لینیٹ	n+f.lynette
لینے والا	n+m.taker
لینے والے	n+m.takers
لیو	n+m.leo@n+m.leu@n+m.lev@n+m.lew
لیوائز	n+m.levis
لیوبلیانا	n+f.ljubljana
لیور	n+m.lever@n+m.levers@n+m.livre
لیورنو	n.livorno
لیورپول	n+m.liverpool
لیوز	n+m.lewes
لیوس	n+m.lewis@n+f.luce
لیوسٹن	n+m.lewiston
لیوسین	n+f.leucine
لیولین	n+m.llewellyn
لیومین	n+m.lumen
لیون	n+f.leone@n+m.leon@n+m.lyon@n+m.levin@n+m.leven
لیون ورتھ	n+m.leavenworth
لیونا	n+f.leona
لیونارڈ	n+m.leonard
لیونارڈو	n+m.leonardo
لیونز	n+m.lyons
لیونسکی	n+f.lewinsky
لیونل	n+m.lionel
لیونورا	n+f.leonora
لیونڈ	n+m.leonid
لیونڈر	n+m.lavender
لیونگسٹون	n+m.livingstone
لیونیداس	n+m.leonidas
لیوونیا	n+f.livonia
لیوٹ	n+m.levitt
لیوٹ ٹاؤن	n.levittown
لیوپولڈ	n+m.leopold
لیوی	n+m.levi
لیویا	n+f.livia
لیویسک	n+m.levesque
لیوین	n+m.levine
لیٹ	n+m.lett
لیٹا ہوا	a.recumbent@a.prostrate
لیٹاس کرنسی	n+m.litas
لیٹر	n+m.litre@n+m.litres
لیٹر ہیڈ	n+m.letterhead
لیٹرمین	n+m.letterman
لیٹن	n+m.leighton@n+m.layton@n+m.lytton
لیٹنا	v.lie@v.lying@v.lain
لیٹو	n.leto
لیٹوین	a.latvian@n+m.latvian
لیٹیمر	n+m.latimer
لیٹیکس	n+m.latex
لیپ لینڈ	n+m.lapland
لیپ ٹاپ	n+m.laptop
لیپ ٹاپس	n+m.laptops
لیپا	v.smeared
لیپنا	v.smear@vt.smears
لیپو پروٹین	n+m.lipoproteins
لیپٹن	n+m.leptin
لیپٹون	n+m.lepton
لیچ	n+m.leach
لیچے	n.lecce
لیڈا	n+f.leda
لیڈز	n+m.leeds
لیڈن	n+m.leyden
لیڈو	n+m.lido
لیڈی برڈ	n+f.ladybird
لیڈی بگ	n+f.ladybug
لیڈی سمتھ	n+m.ladysmith
لیڈیا	n+f.lydia@n+f.lidia
لیک	n+m.lek@n+f.rut
لیک ووڈ	n+m.lakewood
لیک ہوا	a.leaked
لیکراس	n+m.lacrosse
لیکس	n+m.lex
لیکسس	n+m.lexus
لیکسنگٹن	n+m.lexington
لیکن	conj.but
لیکونیا	n+f.laconia
لیکویڈیٹی	n+f.liquidity
لیکٹ	n+m.lect
لیکٹو بیسیلس	n+m.lactobacillus
لیکٹیٹ	n+m.lactate
لیکچر	n+m.lecture@n+m.lectures
لیکچر دینا	v.lecture@v.lecturing@v.lectured
لیکچرر	n+m.lecturer@n+m.lecturers
لیکھ	n+f.nit
لیگ	n+f.league
لیگر بیئر	n+f.lager
لیگرینجین	a.lagrangian
لیگنڈز	n+m.ligands
لیگو	n+m.lego
لیگوریا	n+f.liguria
لیگینڈ	n+m.ligand
لیگیں	n+f.leagues
لیہمن	n+m.lehman
لیینڈر	n+m.leander
لے	n+f.cadence
لے آؤٹ	n+m.layout
لے آنا	v.fetched
لے اپ	n+m.layup
لے جاتا ہے	v.carries@vt.ushers
لے جانا	v.carry@v.usher@v.transporting@v.transports
لے جانے والے	n+m.carriers
لے رہا ہے	v.taking
لے گیا	v.carried
مؤثر طریقے سے	ad.effectively@ad.efficiently
مؤدب	a.respectful
مؤرخ	n+m.historian
مؤرخین	n+m.historians
مؤنث	a.female@a.fem
مؤکل	n+m.client
مئی	n+m.may
ما قبل تاریخ	a.prehistoric
ماؤ	n+m.mao
ماؤ پرست	n+m.maoists
ماؤ پسند	n+m.maoist@a.maoist
ماؤرا	n+f.maura
ماؤس	n+m.mouse
ماؤس پیڈ	n+m.mousepad
ماؤڈ	n+f.maud
مائر	n+m.mayer
مائرا	n+f.myra
مائرز	n+m.myers
مائرون	n+m.myron
مائع	n+m.liquid@a.liquid@n+m.liq
مائع بنایا	v.liquefied
مائعات	n+m.liquids
مائل	a.prone@a.inclined@a.fain@a.predisposed
مائلر	n+m.mylar
مائلز	n+m.myles
مائلیج	n+m.mileage
مائم	n+m.mime
مائن شدہ	a.mined
مائنز	n+m.mainz
مائٹوکونڈریا	n+m.mitochondria
مائٹوکونڈریائی	a.mitochondrial
مائکرون	n+m.microns
مائی	n+f.mai
مائی سپیس	n+m.myspace
مائیلین	n+m.myelin
مائیک	n+m.mike@n+m.mic@n+m.mikes@n+m.mics
مائیکرو	a.micro
مائیکرو الیکٹرانکس	n+f.microelectronics
مائیکرو سیکنڈ	n+m.microseconds
مائیکرو فائبر	n+m.microfiber
مائیکرو فائش	n+m.microfiche
مائیکرو فلم	n+m.microfilm
مائیکرو پروسیسر	n+m.microprocessor@n+m.microprocessors
مائیکرو چپ	n+m.microchip@n+f.microchips
مائیکرو کمپیوٹر	n+m.microcomputer@n+m.microcomputers
مائیکرو کوڈ	n+m.microcode
مائیکرو گرام	n+m.microgram
مائیکرو گریویٹی	n+f.microgravity
مائیکروسافٹ	n+m.microsoft
مائیکروفون	n+m.microphone@n+m.microphones
مائیکرومیٹر	n+m.micrometer
مائیکرون	n+m.micron
مائیکرونیشیا	n+f.micronesia
مائیکروویو	n+m.microwave@n+f.microwaves
مائیکروگرام	n+m.micrograms
مائیکل	n+m.michael@n+m.micheal
مائیکل اینجلو	n+m.michelangelo
مائیکوبیکٹیریم	n+m.mycobacterium
مائیں	n+f.mothers@n+f.mamas
مابعد	a.subsequent
مابعد الطبیعیات	n+f.metaphysics
مابعد الطبیعیاتی	a.metaphysical
مابعد جدید	a.postmodern
مابعد جدیدیت	n+m.postmodernism
مات دیتا ہے	vt.trumps
ماتحت	a.subject@a.subordinate@n+m.subordinate@n+m.subordinates@n+m.minions@n+m.minion
ماتحت کرنا	v.subordinate@vt.subordinates
ماتحتی	n+f.subordination
ماتم	n+f.mourning
ماتم کرنا	v.mourning@v.lament@v.mourn
ماتم کرنے والے	n+m.mourners
ماتم کیا	v.lamented@v.mourned
ماجورے	n+m.maggiore
ماحصل	n+f.outcomes
ماحول	n+m.environment@n+m.atmosphere@n+m.environments@n+m.environ@n+m.surroundings@n+m.vibe@n+f.ambience@n+f.ambiance@n+m.milieu
ماحولیات	n+f.ecology@n+f.ecol
ماحولیات دان	n+m.environmentalist@n+m.ecologist@n+m.ecologists
ماحولیات کے محافظ	n+m.conservationists
ماحولیاتی	a.environmental@a.eco@a.ecological@a.atmospheric@a.ambient
ماحولیاتی سیاحت	n+m.ecotourism
ماحولیاتی طور پر	ad.environmentally@ad.ecologically
ماحولیاتی نظام	n+m.ecosystem@n+m.ecosystems
ماحولیاتی نظریہ	n+m.environmentalism
ماحولیاتی کارکن	n+m.environmentalists
ماخذ	n+m.source@n+m.origin
ماخوذ	a.derived@a.derivative@a.extracted
مادائیں	n+f.females
مادری	a.maternal
مادری زبان	n+f.vernacular
مادریت	n+f.motherhood
مادورو	n+m.maduro
مادہ	n+m.matter@n+m.substance
مادہ سور	n+f.sow@n+f.sows
مادہ پرست	a.materialistic
مادی	a.material
مادی طور پر	ad.materially
مادیت	n+m.materialism@n+f.materiality
مادے	n+m.substances
مار	n+f.thrash
مار ڈالا	v.killed
مارا	v.struck@v.beaten@n+f.mara@v.smote@v.whacked
مارا گیا	a.killed@v.slain@v.smitten
مارا ہوا	a.whipped
مارتا ہے	v.hits@v.kills@v.beats@v.strikes
مارتھا	n+f.martha
مارج	n+f.marge
مارجری	n+f.margery
مارجرین	n+f.margarine
مارجوری	n+f.marjorie
ماردیا	v.slew
مارسل	n+m.marcel
مارسو	n+m.marceau
مارسی	n+f.marcy@n+f.marci@n+f.marcie
مارسیلا	n+f.marcella
مارسیلس	n+m.marcellus
مارسیلو	n+m.marcelo
مارسیلیز	n+m.marseilles
مارش میلو	n+m.marshmallow@n+f.marshmallows
مارشا	n+f.marsha
مارشل	n+m.marshall@n+m.marshal@n+m.marshals
مارشیا	n+f.marcia
مارفین	n+f.morphine
مارلا	n+f.marla
مارلبرو	n+m.marlborough
مارلبورو	n+m.marlboro
مارلن	n+m.marlin@n+m.marlins
مارلو	n+m.marlowe
مارلون	n+m.marlon
مارلین	n+f.marlene
مارلے	n+m.marley
مارمن	n+m.mormons
مارمن مذہب	n+m.mormonism
مارن دریا	n+f.marne
مارنا	v.hit@v.beat@v.kill@v.strike@v.killing@v.hitting@v.striking@v.bash@v.bop@v.batter@v.slug@v.swat@v.zap@vt.clout@vt.swipe@vt.pelt@v.belting@v.smite@v.clobber@v.battering
مارنا پیٹنا	v.bashing
مارنے والا	n+m.hitter@n+m.beater
مارنے والے	n+m.hitters
ماروِن	n+m.marvin
مارویل	n.marvell
مارٹا	n+f.marta
مارٹر گولے	n+f.mortars
مارٹل	n+m.martel
مارٹن	n+m.martin@n+m.morton
مارٹنز	n+m.martins@n+m.martens
مارٹی	n+m.marty@n+m.marti
مارٹینا	n+f.martina
مارٹینز	n+m.martinez
مارٹینی	n+m.martini@n+f.martinis
مارٹینیک	n+f.martinique
مارپل	n+m.marple
مارچ	n+m.march@n+m.mar@n+m.parade@n+f.marching@n+m.marches
مارچ کرنا	v.march@v.marching@v.marches
مارچ کیا	v.marched
مارچے	n+f.marche
مارک	n+m.mark@n+m.marc
مارک اپ	n+f.markup
مارکا	n+f.markka
مارکر	n+m.marker@n+m.markers
مارکس	n+m.marcus@n+m.marx
مارکسزم	n+m.marxism
مارکسی	a.marxist@n+m.marxist
مارکو	n+m.marco
مارکوس	n+m.marcos
مارکوف	n+m.markov
مارکونی	n+m.marconi
مارکھم	n+m.markham
مارکی	n+f.marquee
مارکیز	n+m.marques@n+m.marquez@n+f.marquise
مارکیس	n+m.marquis
مارکیسائٹ	n+m.marcasite
مارکیٹ	n+f.market@n+m.marquette@n+m.mkt
مارکیٹ کرتا ہے	v.markets
مارکیٹ کرنا	v.marketed
مارکیٹر	n+m.marketer
مارکیٹرز	n+m.marketers
مارکیٹنگ	n+f.marketing
مارکیٹنگ کرنا	v.market
مارگ	n+f.marg
مارگریٹ	n+f.margaret@n+f.marguerite@n.margret
مارگریٹا	n+f.margarita@n+f.margaritas@n+f.margherita
مارگو	n+f.margo
مارگوٹ	n+f.margot
مارگی	n+f.margie
مارگیٹ	n+m.margate
ماری	n+f.mari@n+m.maury
ماریا	n+f.maria
ماریان	n+f.marian
ماریانا	n+f.mariana@n+f.marianna@n+f.marianas
ماریانو	n+m.mariano
ماریسٹ	n+m.marist
ماریشس	n+m.mauritius
ماریمبا	n+f.marimba
مارینارا	n+f.marinara
مارینگو	n+m.marengo
ماریو	n+m.mario
ماریٹا	n+f.marietta
مازاتلان	n+m.mazatlan
مازدا	n+m.mazda
ماس	n+m.mas@n+m.moss@n+m.maas
ماسائی قبیلہ	n+m.masai
ماسٹر	n+m.master
ماسٹر کارڈ	n+m.mastercard
ماسٹر کلاس	n+f.masterclass
ماسٹرخٹ	n+m.maastricht
ماسٹرز	n+m.masters
ماسک	n+m.mask@n+m.masks
ماسک ڈرامہ	n+m.masque
ماسکو	n+m.moscow
ماضی	n+m.past@n+m.bygone
ماضی سے نافذ	ad.retroactively
ماضی میں جھانکتے ہوئے	ad.retrospectively
ماضی میں لاگو	a.retroactive
ماضی پر نظر	a.retrospective
ماضی کی جھلک	n+m.flashback
ماضی کی یاد	n+f.retrospect
ماضی کے مناظر	n+m.flashbacks
ماضی یاد کرنے والا	a.nostalgic
مافوق الصوت	n+f.supersonics
مافوق الفطرت	a.supernatural@a.superhuman
مافیا	n+f.mafia
مال	n+m.mall@n+m.wealth@n+m.cargo@n+m.shipment@n+m.commodity@n+m.ware
مال برآمد	n+m.shipments
مال بردار	n+m.freight@n+m.cargoes
مال بردار جہاز	n+m.freighter
مال غنیمت	n+m.booty
مال مویشی	n+f.livestock
مال گاڑی کا ڈبہ	n+m.boxcar
مال ہونا	v.belong
مالا	n+f.beads@n+f.necklace@n+f.garland@n+f.rosary
مالا مال	a.endowed
مالا مال کرنا	v.enrich
مالا کام	n+f.beading
مالائیں	n+f.garlands
مالامال	a.rich
مالامال کرنا	v.enriches
مالدار	a.solvent
مالدووا باشندہ	n+m.moldovan
مالدووا کا	a.moldovan
مالدیپ	n+m.maldives
مالدیپی	a.maldive
مالز	n+m.malls
مالش کرنا	v.massage@vt.massages@v.massaging
مالشیں	n+f.massages
مالمو	n.malmo
مالورن	n+m.malvern
مالورکا	n+m.mallorca
مالون	n+m.malone
مالوینس	n+f.malvinas
مالٹ	n+m.malt
مالٹا	n+m.malta
مالٹی	a.maltese@n+m.maltese
