24	n.xxiv
hipotek	n.mortgage@n.mortgages
hipotek ulang	n.remortgages
hipotensi	n.hypotension
hipotermia	n.hypothermia
hipotesis	n.hypothesis@n.hypotheses@n.hyp
hipotetis	a.hypothetical
hipotiroidisme	n.hypothyroidism
hippie	n.hippie@n.hippy@a.hippy@n.hippies
hipster	n.hipster
histamin	n.histamine
histerektomi	n.hysterectomy
histeresis	n.hysteresis
histeria	n.hysteria
histeris	a.hysterical
histidin	n.histidine
histogram	n.histogram@n.histograms
histokompatibilitas	n.histocompatibility
histologi	n.histology
histologis	a.histological@a.histologic
histon	n.histone
histopatologi	n.histopathology
historiografi	n.historiography
historis	a.historical
hitam	a.black@n.black@a.ebony
hitam legam	a.sooty
hitung mundur	n.countdown
hitungan	n.count@n.counts@n.tally@n.tallies
hiu	n.shark@n.sharks
hiu martil	n.hammerhead
hmm	int.hmm
hmong	n.hmong
hoax	n.hoaxes
hobbes	n.hobbes
hobbit	n.hobbit@n.hobbits
hobi	n.hobbies@n.hobby@n.pastime@n.pastimes
hobi mengamati kereta api	n.trainspotting
hoboken	n.hoboken
hocking	n.hocking
hoff	n.hoff
hogg	n.hogg
hogwarts	n.hogwarts
hoki	n.hockey
hokkaido	n.hokkaido
holistik	a.holistic
holley	n.holley
holografis	a.holographic
hologram	n.hologram@n.holograms
holokaus	n.holocaust
holomorfik	a.holomorphic
holstein	n.holstein
home run	n.homers
homeopati	a.homeopathic@n.homeopathy
homeostasis	n.homeostasis
hominid	n.hominid@a.hominid
homo	n.homo
homofobia	n.homophobia@a.homophobic
homogen	a.homogeneous
homogenitas	n.homogeneity
homolog	a.homologous@n.homologue
homologi	n.homology
homomorfisme	n.homomorphism
homoseksual	a.homosexual@n.homosexual@n.homosexuals
homoseksualitas	n.homosexuality
homozigot	a.homozygous
hon	n.hon
honeysuckle	n.honeysuckle
hoo	int.hoo
hoodie	n.hoodie
hookah	n.hookah
hooligan	n.hooligans
hopewell	n.hopewell
hora	n.hora
horas	n.horas
horatio	n.horatio
hore	int.hooray@int.rah@int.hurrah@int.wahoo@int.yippee
horizontal	a.horizontal
hormat	n.respects@n.salute@a.respectful@n.salutes
hormon	n.hormone@n.hormones
hormonal	a.hormonal
horney	n.horney
horor	n.horror
horoskop	n.horoscopes@n.horoscope
hort	n.hort
hortikultura	n.horticulture@a.horticultural
hosta	n.hosta
hostel	n.hostels@n.hostel
hosting	n.hosting
hotdog	n.hotdog
hotel	n.hotel@n.hotels
hotline	n.hotline
hounslow	n.hounslow
hovercraft	n.hovercraft
howells	n.howells
hoyle	n.hoyle
hryvnia	n.hryvnia
hub	n.hub@n.hubs
hubungan	n.connection@n.relations@n.relationship@n.relationships@n.relation@n.linkages@n.connexion@n.hookup@n.liaisons@n.interlink@n.hookups
hubungan baik	n.rapport
hubungan keluarga	n.kinship
hubungan sebab-akibat	n.causality
hubungan seks di luar nikah	n.fornication
hubungan seksual	n.intercourse
hubungan singkat	n.fling
hubungan timbal balik	n.interrelationships
huckleberry	n.huckleberry
huey	n.huey
huh	int.whew
hujan	n.rain@v.rain@a.rainy@n.rains@v.raining@v.rained
hujan es	n.hail@n.sleet
hujan salju	n.snowfall@n.sleet
hujan salju ringan	n.flurry@n.flurries
hukum	n.law@a.legal@n.laws@a.statutory@n.droit@a.juridical
hukuman	n.sentence@n.penalty@n.punishment@n.conviction@n.sentences@n.sentencing@n.punishments@n.retribution
hukuman gantung	n.hangings
hula	n.hula
hulu	a.upstream
hulu ledak	n.warheads@n.warhead
hulu sungai	n.headwaters@n.riverhead
humaniora	n.humanities
humanis	n.humanist@a.humanist
humanisme	n.humanism
humanistik	a.humanistic
humanoid	n.humanoid
humas	n.publicist@n.flack
humor	n.humour
humoral	a.humoral
hunian	n.occupancy@n.habitation
hurling	n.hurling
huruf	n.letter@n.letters@n.font@n.lettering
huruf besar	n.uppercase
huruf hidup	n.vowels
huruf kapital	n.caps@a.uppercase
huruf kecil	n.lowercase
huruf miring	n.italic@n.italics@n.ital
huruf sambung	n.cursive
huruf tebal	n.boldface
huruf z	n.zed
hus	int.shoo
husky	n.huskies@n.husky
hutan	n.forest@n.woods@n.forests@n.jungle@n.woodland@n.woodlands@a.sylvan
hutan belantara	n.jungles
hutang	n.indebtedness
hyena	n.hyena
hyperlink	n.hyperlink@n.hyperlinks
iPod	n.ipod
iTunes	n.itunes
ia	pron.he@pron.she
ibadah	n.worship
ibid	ad.ibid
ibis	n.ibis
iblis	n.devil@n.demon@a.demonic@n.fiend@n.lucifer@n.fiends
ibu	n.mother@n.mothers@n.mum@n.mommy@n.mater@n.mamma@n.mums@n.mam
ibu baptis	n.godmother
ibu ibu	n.mommies
ibu kota	n.capital@n.capitals
ibu pengganti	n.surrogates
ibu pengurus	n.matron
ibu pertiwi	n.motherland
ibu rumah tangga	n.housewives@n.housewife@n.homemaker@n.hausfrau@n.homemakers
ibu tiri	n.stepmother
ibu-ibu	n.mamas
ibuprofen	n.ibuprofen
icarus	n.icarus
ide	n.ideas@n.idea
ide cemerlang	n.brainstorm
ideal	a.ideal@n.ideal
idealis	a.idealistic@n.idealist
idealisme	n.idealism
idealnya	ad.ideally
idem	pron.idem
identifikasi	n.identification@n.identifications
identik	a.identical
identitas	n.id@n.identity@n.ids@n.identities
ideograf	n.ideograph
ideologi	n.ideology@n.ideologies
ideologis	a.ideological
idiom	n.idioms@n.idiom
idiopatik	a.idiopathic
idiosinkratik	a.idiosyncratic
idiot	n.idiot
idola	n.idol@n.idols
igauan	n.delirium@n.ravings
iglu	n.igloo
ignacio	n.ignacio
ignatius	n.ignatius
iguana	n.iguana
ih	int.eek@int.yuck@int.fie@int.yuk
ijazah	n.diplomas
ikal	n.curl@n.curls
ikan	n.fish@n.fishes
ikan bass	n.bass
ikan bawal	n.pomfret
ikan belanak	n.mullet
ikan bergaris	n.striper
ikan bluefish	n.bluefish
ikan bonito	n.bonito
ikan bream	n.bream
ikan buntal	n.blowfish@n.puffer
ikan chub	n.chub
ikan coley	n.coley
ikan crappie	n.crappie
ikan cupang	n.betta
ikan grayling	n.grayling
ikan guppy	n.guppy
ikan haddock	n.haddock
ikan hake	n.hake
ikan halibut	n.halibut
ikan haring	n.herring
ikan jantan	n.milter
ikan kakap	n.snapper
ikan karang	n.rockfish
ikan kecil	n.minnow@n.minnows
ikan kerapu	n.grouper
ikan kod	n.cod
ikan lele	n.catfish@n.bullhead
ikan marlin	n.marlin
ikan mas	n.carp@n.goldfish
ikan matahari	n.sunfish
ikan merah	n.redfish
ikan nila	n.tilapia
ikan pari	n.stingray
ikan pari manta	n.manta
ikan pemandang langit	n.stargazer
ikan pike	n.pikes
ikan pollack	n.pollack
ikan putih	n.whiting@n.whitefish
ikan sebelah	n.flounder
ikan shad	n.shad
ikan siklik	n.cichlids
ikan smelt	n.smelt
ikan snook	n.snook
ikan sole	n.sole
ikan tenggiri	n.mackerel
ikan todak	n.swordfish@n.spearfish
ikan trout	n.trout
ikan wahoo	n.wahoo
ikat	n.sheaf
ikat kaus kaki	n.garter
ikat kayu bakar	n.faggot
ikat kepala	n.headband@n.bandana@n.headbands
ikat pergelangan	n.wristband
ikat pinggang	n.waistband
ikatan	n.bond@n.bonds@n.ties@n.bunch@n.bind@n.bonding@n.bindings@n.bunches@n.sheaves
ikatan perkawinan	n.wedlock
iklan	n.commercial@n.ads@n.advertisement@n.advertisements@n.advert@n.adv@n.commercials@n.adverts
iklan baris	n.classifieds@n.classified
iklan informasi	n.infomercial
iklan pendahuluan	n.teasers
iklan pribadi	n.personals
iklim	n.climate@a.climatic@n.climates
ikon	n.icon@n.icons@n.ikon
ikonik	a.iconic
ikonografi	n.iconography
ikterus	n.jaundice
ikut	v.join
ikut campur	v.meddling
ikut serta	vi.partake
ilahi	a.divine
ilegal	a.illegal@a.illegitimate@n.illegals
ilex	n.ilex
ilmiah	a.scientific@a.scholarly
ilmu	n.science@n.sciences
ilmu burung	n.ornithology
ilmu gaib	n.occult
ilmu gempa	n.seismology
ilmu gizi	n.dietetics
ilmu lambang	n.heraldry
ilmu penerbangan antariksa	n.astronautics
ilmu roket	n.rocketry
ilmu saraf	n.neuroscience@n.neurosciences
ilmu udara tertekan	n.pneumatics
ilmuwan	n.scientists@n.scientist
iluminasi	n.illuminations
iluminator	n.illuminator
ilusi	n.illusion@n.illusions@n.chimera
ilustrasi	n.illustration@n.illustrations@n.illus
ilustratif	a.illustrative
ilustrator	n.illustrator@n.illustrators
imago	n.imago
imajinasi	n.imagination@n.imaginations
imajinatif	a.imaginative@a.fanciful
imajiner	a.imaginary
imam	n.priests@n.imam
imamat	n.priesthood
iman	n.faith
imbalan	n.recompense
imbuhan	n.affix
imersif	a.immersive
imigran	n.immigrants@n.immigrant
imigran gelap	n.illegals
imigrasi	n.immigration
imitasi	n.imitation@n.imitations@n.knockoffs
imobilisasi	n.immobilization
impala	n.impala
impedansi	n.impedance
impeler	n.impeller
imperatif	n.imperative
imperialis	n.imperialist@a.imperialist
imperialisme	n.imperialism
imperium	n.imperium
implan	n.implants@n.implant
implantasi	n.implantation
implementasi	n.implementation@n.implementations
implikasi	n.implications@n.implication@n.overtones
implisit	a.implicit
implosi	n.implosion
impor	n.import@n.imports@a.imported@n.importation
importir	n.importers@n.importer
impoten	a.impotent
impotensi	n.impotence
impresionis	n.impressionist@a.impressionist
impresionisme	n.impressionism
improvisasi	n.improvisation@a.improvisational
impuls	n.impulse@n.impulses
impulsif	a.impulsive
imputasi	n.imputation
imunisasi	n.immunization@n.immunizations@n.immunisation
imunoasai	n.immunoassay
imunodefisiensi	n.immunodeficiency
imunoglobulin	n.immunoglobulin@n.immunoglobulins
imunologi	n.immunology@a.immunological
imunologis	a.immunologic
imunosupresif	a.immunosuppressive
imunoterapi	n.immunotherapy
imut	a.cute
inaktivasi	n.inactivation
inci	n.inch@n.inches
indah	a.beautiful@a.wonderful@a.lovely@a.exquisite@a.picturesque@a.idyllic@a.elysian
indeks	n.index@n.indexes@n.indices
indeksasi	n.indexation
indentasi	n.indent@n.indentation
independen	a.independent@n.independents
indera	n.senses
india	n.bharat
indie	a.indie
indigo	n.indigo
indikasi	n.indication@n.indications@n.indicia
indikatif	a.indicative
indikator	n.indicators@n.indicator
indium	n.indium
individu	n.individual@a.individual@n.individuals
individual	a.individualized
individualisme	n.individualism
individualistis	a.individualistic
individualitas	n.individuality
indoktrinasi	n.indoctrination
indore	n.indore
indra	n.sens
induk	n.stem
induksi	n.induction
induktansi	n.inductance
induktif	a.inductive
induktor	n.inductor@n.inductors
indung telur	n.ovaries
industri	n.industry@a.industrial@n.industries@n.ind
industrialis	n.industrialists
industrialisasi	n.industrialization
inersia	n.inertia@a.inertial
inert	a.inert
inervasi	n.innervation
ines	n.ines
inf	n.inf
infanteri	n.infantry
infark	n.infarction
infeksi	n.infection@n.infections
inferensi	n.inference
inferioritas	n.inferiority
infertilitas	n.infertility
infestasi	n.infestation
infiltrasi	n.infiltration
inflamasi	a.inflammatory
inflasi	n.inflation@a.inflationary
infleksi	n.inflection
influenza	n.influenza
informal	a.informal
informan	n.informant@n.intelligencer@n.informer@n.informants
informan polisi	n.supergrass
informasi	n.information@n.info
informasi latar belakang	n.backgrounder
informasi lengkap	n.lowdown
informasi salah	n.misinformation
informasi tidak akurat	n.factoid
informasional	a.informational
informatif	a.informative
informatika	n.informatics
infotainmen	n.infotainment
inframerah	a.infrared@n.infrared
infrastruktur	n.infrastructure@n.infrastructures@a.infrastructural
infus	n.infusion@n.infusions
ingatan	n.memory@n.recollection@n.recollections@n.reminiscences
ingin	v.want@v.wants@v.wanna@a.desirous
ingin memiliki	a.possessive
ingin tahu	a.inquiring@a.inquisitive@a.prying
inglewood	n.inglewood
ingus	n.snot
inhaler	n.inhaler
inhibitor	n.inhibitors
ini	pron.this@a.this@pron.it@pron.these@a.these
ini dia	ad.heres
inisial	n.initial@n.initials
inisialisasi	n.init@n.initialization@n.initialisation
inisiasi	n.initiation
inisiat	n.initiates
inisiatif	n.initiative@n.initiatives
injakan	n.trampling@n.treading
injeksi	n.injection
injektor	n.injector@n.injectors
injil	n.gospel
injili	a.evangelical
inkarnasi	n.incarnation@n.incarnations
inklusi	n.inclusion@n.inclusions
inklusif	a.inclusive
inkonstitusional	a.unconstitutional
inkontinensia	n.incontinence
inkubasi	n.incubation
inkubator	n.incubator@n.incubators
inkuisisi	n.inquisition
inkuisitor	n.inquisitor
inlay	n.inlay
inokulasi	n.inoculation
inositol	n.inositol
inovasi	n.innovation@n.innovations
inovatif	a.innovative
inovator	n.innovator@n.innovators
insang	n.gill@n.gills
insektisida	n.insecticides@n.insecticide
inseminasi	n.insemination
insentif	n.incentives@n.incentive@n.inducement
inses	n.incest
insiden	n.incident@n.incidence@n.incidents@n.incidences
insidental	a.incidental
insinerasi	n.incineration
insinerator	n.incinerator@n.incinerators
insinuasi	n.innuendo
insinyur	n.engineer@n.engineers@n.engr
insomnia	n.insomnia
inspeksi	n.inspection@n.inspections
inspektorat	n.inspectorate
inspektur	n.inspector@n.inspectors@n.supt@n.insp
inspirasi	n.inspiration@n.inspirations
inspiratif	a.inspirational
instalasi	n.installation@n.installations
instalasi air	n.waterworks
installer	n.installers
instan	a.instant
instansiasi	n.instantiation
insting	n.instincts
instingtif	a.instinctive
institusi	n.institutions@n.institution
institusional	a.institutional
institusionalisasi	n.institutionalization
institut	n.institute@n.institutes@n.inst
instruksi	n.instructions@n.instruction
instruksional	a.instructional
instruktif	a.instructive
instruktur	n.instructor@n.instructors
instrumen	n.instruments@n.instrument@n.instr
instrumental	a.instrumental
instrumentasi	n.instrumentation
insulin	n.insulin
integer	n.int
integral	a.integral@n.integrals
integrasi	n.integration@n.integrations
integratif	a.integrative
integrator	n.integrator@n.integrators
integritas	n.integrity
intelektual	a.intellectual@n.intellectual@n.intellectuals
intelijen	n.intelligence@n.intelligences
intens	a.intense
intensif	a.intensive
intensifikasi	n.intensification
intensitas	n.intensity@n.intensities
intensitas warna	n.chroma
interaksi	n.interaction@n.interactions@n.interplay
interaktif	a.interactive
interaktivitas	n.interactivity
interdisipliner	a.interdisciplinary
interfase	n.interphase
interferensi	n.crosstalk
interferometer	n.interferometer
interferometri	n.interferometry
interferon	n.interferon
interim	n.interim
interior	n.interior@a.interior@n.interiors
interkom	n.intercom
interkoneksi	n.interconnection@n.interconnect@n.interconnects@n.interconnections
interleukin	n.interleukin
interlingua	n.interlingua
internal	a.internal@n.internals
internasional	a.international@a.int@n.internationals@a.internat@n.internationales
internasionalisasi	n.internationalization@n.internationalisation
internet	n.internet@n.internets
interniran	n.internment
interogasi	n.interrogation@n.interrogatories@n.interrogations
interoperabilitas	n.interoperability
interpersonal	a.interpersonal
interpolasi	n.interpolation
interpretasi	n.interpretation@n.interpretations@n.renderings
interpretatif	a.interpretive@a.interpretative
intersepsi	n.intercept@n.interception@n.interceptions@n.intercepts
interstitial	a.interstitial
interval	n.interval@n.intervals
intervensi	n.intervention@n.interventions
inti	n.core@n.kernel@n.cor@n.nucleus@n.cores@n.nuclei@n.gist@n.crux
inti lelucon	n.punchline
inti sari	n.quintessence
intifada	n.intifada
intim	a.intimate
intimidasi	n.intimidation
intip	n.peeps
intipan	n.peek@n.peep@n.peeping@n.peeks
intoleransi	n.intolerance@n.bigotry
intonasi	n.intonation
intrakranial	a.intracranial
intramural	a.intramural
intramuskular	a.intramuscular
intranet	n.intranet@n.intranets
intransitif	a.intr
intraokular	a.intraocular
intraseluler	a.intracellular
intrauterin	a.intrauterine
intravena	a.intravenous
intrik	n.intrigue@n.intrigues
intrinsik	a.intrinsic
intro	n.intro@n.intros
introspeksi	n.introspection
introspektif	a.introspective
intrusi	n.intrusions
intuisi	n.intuition@n.intuitions
intuitif	a.intuitive
inv	n.inv
invalid	n.invalid
invarian	a.invariant@n.invariant@n.invariants
invariansi	n.invariance
invasi	n.invasion@n.invasions
invasif	a.invasive
inventaris	n.inventory@n.inventories
inventif	a.inventive
inversi	n.inversion@n.inverting
invertebrata	n.invertebrates@n.invertebrate
inverter	n.inverter@n.inverters
investasi	n.investment@n.investments@n.investing
investasi ulang	n.reinvestment
investigasi	n.investigation@n.investigations@n.inquest
investigatif	a.investigative
investor	n.investor@n.investors
invitasi	n.invitational
invokasi	n.invocations
ioctl	n.ioctl
iodida	n.iodide
iolit	n.iolite
ion	n.ion@n.ions
ionik	a.ionic
ionisasi	n.ionization@n.ionizer
ionosfer	n.ionosphere@a.ionospheric
iota	n.iota
iradiasi	n.irradiation@n.irradiance
irama	n.cadence
iras	n.iras
irasional	a.irrational
iri	v.envy@a.envious
iri hati	n.envy
iridium	n.iridium
irigasi	n.irrigation
iringan	n.accompaniment@n.accompaniments
iris	n.iris@n.irises
irisan	n.slice@n.slices@n.incision
irisan tipis	n.sliver
iritan	n.irritant
iritasi	n.irritation
irma	n.irma
ironi	n.irony
ironis	a.ironic
ironisnya	ad.ironically
iroquois	n.iroquois
irvin	n.irvin
isakan	n.sob@n.sobs
isapan	n.suction@n.toke
isi	n.content@n.contents
isi ulang	n.refill@n.refills
isian	n.stuffing@n.fillings
islamis	n.islamist@a.islamist
ismail	n.ismail
isme	n.ism@n.isms
isobarik	a.isobaric
isolasi	n.isolation@n.insulation@n.lagging
isolat	n.isolates
isolator	n.insulator@n.insulators@n.isolator
isomer	n.isomers@n.isomer
isometrik	a.isometric
isomorfik	a.isomorphic
isomorfisme	n.isomorphism
isopropil	n.isopropyl
isotermal	a.isothermal
isotop	n.isotope@n.isotopes@a.isotopic
isotropik	a.isotropic
istana	n.palace@n.chateau@n.palaces@n.palais@a.palatine@n.chateaux
istilah	n.terms@n.term
istilah populer	n.buzzwords
istimewa	a.special@a.privileged@a.especial
istirahat	n.rest@n.break@a.resting@n.rests@n.recess@n.intermission@n.repose
istirahat sejenak	n.breather
istri	n.wife@n.wives
isu	n.issues@n.issue
isyarat	n.cue@n.cues
isyarat bendera	n.semaphore
item	n.items@n.item
iterasi	n.iteration@n.iterations
iteratif	a.iterative
iterator	n.iterator@n.iterators
itik	n.ducky
itu	pron.that@a.that@pron.it@pron.those@a.those@a.yon@a.yonder
itu sendiri	pron.itself
iuran	n.dues@n.cess
ivy	n.ivy
izin	n.license@n.pass@n.permission@n.permit@n.clearance@n.passes@n.permits@n.permissions@n.clearances
izin masuk	n.admittance
izmir	n.izmir
jabat tangan	n.handshake
jabatan	n.position
jabatan juru tulis	n.clerkship
jabatan ketua	n.chairmanship
jabatan pendeta	n.chaplaincy
jabatan profesor	n.professorship
jack	n.jacks
jackpot	n.jackpot@n.jackpots
jacquard	n.jacquard
jacuzzi	n.jacuzzi
jadi	ad.so@conj.so
jadwal	n.schedule@n.schedules@n.timetable@n.timetables@n.rota
jagger	n.jagger
jaguar	n.jaguar@n.jaguars
jagung	n.corn@n.maize
jahat	a.mean@a.evil@a.nasty@a.wicked@a.malicious@a.sinister@a.demonic@a.unholy@a.diabolic@a.malevolent@a.nefarious@a.ungodly@a.bitchy
jahat sekali	a.devilish
jahe	n.ginger
jahil	a.mischievous
jahitan	n.stitch@n.seam@n.stitching@n.stitches@n.seams@n.suture@n.sutures
jahitan dalam	n.inseam
jajak pendapat	n.poll@n.polls@n.polling
jaket	n.jacket@n.jackets
jaket bertudung	n.hoodies
jaket tebal	n.parka@n.reefer@n.mackinaw@n.puffer
jaksa	n.prosecutor
jaksa penuntut	n.prosecutors
jalan	n.way@n.street@n.road@n.st@n.path@n.avenue@n.ave@n.streets@n.roads@n.rue@n.avenues
jalan bebas hambatan	n.freeway@n.freeways
jalan buntu	n.impasse@n.stalemate
jalan jalan	n.ramble@n.walkabout@n.rambles
jalan kaki	n.walk
jalan kecil	n.byways@n.byway
jalan keluar	n.recourse@n.egress
jalan lingkar	n.beltway
jalan lintas	n.causeway
jalan masuk	n.driveway@n.ingress@n.driveways@n.entryway
jalan memutar	n.detour
jalan papan	n.boardwalk
jalan pintas	n.bypass@n.shortcut@n.bypasses
jalan raya	n.highway@n.hwy@n.highways@n.parkway@n.roadway@n.pkwy@n.roadways@n.carriageway@n.thoroughfare@n.boulevards
jalan raya super	n.superhighway
jalan samping	n.byways@n.byway
jalan setapak	n.walkway@n.walkways@n.footpath@n.footpaths
jalan tembus	n.passageway
jalan tol	n.motorway@n.turnpike@n.expressway@n.fwy@n.motorways@n.superhighway
jalan tol Jerman	n.autobahn
jalan utama	n.thoroughfare
jalan-jalan	n.walks@n.stroll@n.promenade@n.rambling
jalang	n.bitch
jalur	n.line@n.course@n.track@n.path@n.lane@n.trail@n.trails@n.paths@n.lanes@n.pathway@n.pathways@n.swath
jalur air	n.waterways@n.waterway
jalur golf	n.fairways
jalur jalan	n.carriageway
jalur kehidupan	n.lifelines
jalur laut	n.seaway
jalur panas	n.hotlines
jalur tinggi	n.highline
jalur trem	n.tramway
jalur udara	n.airways@n.skyway
jalur utama	n.mainline
jam	n.hours@n.hour@n.clock@n.hrs@n.clocks@n.timepieces@n.timepiece
jam malam	n.curfew
jam matahari	n.sundial@n.sundials
jam pasir	n.hourglass
jam tangan	n.watch@n.watches@n.wristwatch@n.wristwatches
jam tayang utama	n.primetime
jamaah	n.worshippers
jamak	a.plural@n.plural
jambore	n.jamboree
jambu biji	n.guava
jambul	n.plume@n.crests
jaminan	n.guarantee@n.assurance@n.guarantees@n.collateral@a.collateral@n.bail@n.assurances@n.guaranty@n.reassurance
jamuan	n.banquet
jamuan makan	n.banquets
jamur	n.mold@n.mushroom@n.mushrooms@n.fungi@a.fungal@n.fungus@n.mildew@n.moulds
jamur morel	n.morel
jamur truffle	n.truffle
janda	n.widow@n.widows
janda/duda	a.widowed
janggut	n.beards
jangka	n.compasses
jangka sorong	n.caliper@n.calipers
jangka waktu	n.durations
jangkar	n.anchor@n.anchors
jangkauan	n.range@n.reach
jangkrik	n.cricket@n.crickets
janie	n.janie
janin	a.fetal@n.fetus@n.fetuses@n.foetus
janji	n.appointment@n.promise@n.appointments@n.promises@n.pledge@n.pledges
jantan	a.manly
jantung	n.heart@n.hearts@a.cardiac@n.heartland@n.tickers
jantung berdebar	n.palpitations
japonica	n.japonica
jarahan	n.spoil@n.loot@n.spoils@n.plunder
jarak	n.distance@n.dist@n.distances@n.spacing@n.yardage
jarak aman	n.standoff
jarak jauh	a.remote
jarak sumbu roda	n.wheelbase
jarak tempuh	n.mileage
jarang	ad.rarely@ad.seldom@a.sparse@a.infrequent@ad.thinly@ad.infrequently@ad.sparsely
jargon	n.jargon
jari	n.finger@n.fingers
jari kaki	n.toe@n.toes
jari kelingking	n.pinky
jari-jari	n.spoke@n.radii
jari-jari roda	n.spokes
jaring	n.web@n.net@n.mesh@n.nets@n.webs@n.netting@n.meshes@n.rete
jaring ikan	n.fishnet
jaring laba laba	n.gossamer
jaringan	n.network@n.networks@n.networking@n.tissue@n.tissues
jaringan lemak	n.adipose
jaringan saraf	n.plexus
jarum	n.needle@n.needles
jarum suntik	n.syringe@n.syringes@n.hypo
jas	n.suit@n.suits@n.jas
jas dalam	n.waistcoat
jas hujan	n.mackintosh@n.raincoat
jas luar	n.overcoat
jasa	n.services@n.service@n.merit
jasmani	a.corporal
jasmaniah	a.bodily
jatah	n.allotment@n.ration@n.rations@n.allotments
jati	n.teak
jatuh	v.fall@v.falls@v.fell@v.falling@v.fallen@v.crashed@v.tumble@v.tumbling@a.tumbling@v.tumbled
jatuh cinta	a.smitten
jatuh tempo	a.due@n.maturities
jatuhan	n.tumble
jauh	ad.away@ad.far@a.far@a.distant@ad.afar@ad.afield@a.faraway
jawaban	n.answer@n.answers@n.ans
jawaban tajam	n.retort
jazz	n.jazz
jazzy	a.jazzy
jeannie	n.jeannie
jeans	n.jean
jebakan	n.trap@n.pitfalls@n.pitfall
jeda	n.breaks@n.pause@n.respite@n.hiatus@n.pauses@n.intermission
jejak	n.trail@n.wake@n.trace@n.trails@n.imprint@n.traces@n.wakes@n.imprinting
jejak kaki	n.footprint@n.footprints
jejak navigasi	n.breadcrumb
jekyll	n.jekyll
jelaga	n.soot@a.sooty
jelai	n.barley
jelas	a.clear@ad.obviously@a.obvious@a.distinct@a.apparent@a.evident@a.vivid@a.stark@ad.evidently@a.unambiguous@a.unmistakable@a.intelligible@a.unequivocal
jelas dengan sendirinya	a.axiomatic
jelas jelas	ad.manifestly
jelatang	n.nettle@n.nettles
jelek	a.bad@a.ugly@a.crappy@a.junky
jeli	n.jelly@n.jello@n.jellies@a.observant
jemaat	n.congregation@n.congregations@n.parishioners
jembatan	n.bridge@n.bridges
jembatan layang	n.skyway
jembatan penyeberangan	n.overpass
jembatan sempit	n.catwalk
jempol	n.thumbs@n.thumb
jenazah	n.corpses
jendela	n.windows@n.window@n.shutter
jendela atap	n.skylight@n.skylights@n.dormer
jendela bidik	n.viewfinder
jenderal	n.general@n.gen@n.generals
jenggot	n.beard
jenggot pendek	n.stubble
jengkel	a.indignant
jenis	n.type@n.sort@n.types@n.kind@n.kinds@n.sorts@n.ilk
jenis huruf	n.typeface@n.typefaces
jenis kelamin	n.sex@n.gender@n.sexes@n.genders
jenis turunan	n.subtypes
jenius	n.genius@n.geniuses
jenuh	a.saturated
jepit rambut	n.hairpin@n.barrette
jepret	n.snaps
jepretan	n.snap
jer	n.jer
jeram	n.rapids
jerami	n.hay@n.straw@n.straws
jerapah	n.giraffe@n.giraffes
jerat	n.snare@n.lasso@n.entanglement@n.noose@n.snares
jerawat	n.acne@n.pimples
jeritan	n.screams@n.shriek
jermaine	n.jermaine
jerman	a.germanic
jermanik	a.germanic
jernih	a.lucid
jersey	n.jerseys
jeruji	n.grate@n.grilles
jeruk	n.orange@n.citrus@n.oranges
jeruk bali	n.grapefruit
jeruk keprok	n.tangerine
jeruk klementina	n.clementine
jeruk nipis	n.lime@n.limes
jeruk sitrun	n.citron
jet	n.jet@n.jets
jethro	n.jethro
jeti	n.jetty
jewawut	n.millet
jig	n.jig@n.jigs
jigsaw	n.jigsaw
jihad	n.jihad
jijik	n.disgust@a.disgusted@n.repulsion
jika	conj.if@conj.supposing
jika tidak	ad.otherwise
jika-jika	n.ifs
jilatan	n.lick
jilbab	n.hijab
jilid	n.volume@n.tome
jillian	n.jillian
jimat	n.amulet@n.talisman@n.fetishes@n.juju@n.amulets
jimenez	n.jimenez
jin	n.genie@n.jinn
jinak	a.benign@a.tame@a.domesticated@a.tamed
jingle	n.jingle
jins	n.jeans
jintan	n.cumin
jip	n.jeep@n.jeeps
jive	n.jive
jiwa	n.soul@n.souls@n.psyche@n.anima@n.geist@n.animas
jocelyn	n.jocelyn
jodhpur	n.jodhpur
jogging	n.jogger
joging	n.jogging@v.jog@n.jog
jojoba	n.jojoba
joker	n.joker
joki	n.jockey@n.jockeys
jonathon	n.jonathon
jongkok	v.squats@n.squats
jornada	n.jornada
jorok	a.raunchy@a.risque
jota	n.jota
joule	n.joules@n.joule
joystick	n.joystick@n.joysticks
juanita	n.juanita
juara	n.champion@n.champions@n.champ@n.champs
juara pertama	n.firsts
jubah	n.cape@n.robe@n.robes@n.cloak@n.capes@n.cloaks
jubah mandi	n.bathrobe@n.bathrobes
judo	n.judo
judson	n.judson
judul	n.title@n.titles@n.heading@n.caption@n.headings
judul berita	n.headlines@n.headline
juga	ad.also@ad.too@ad.either@ad.withal
juggernaut	n.juggernaut
juju	n.juju
jujur	a.honest@a.candid@a.truthful@a.leal
jukebox	n.jukebox@n.juke
juliana	n.juliana
julianne	n.julianne
juliette	n.juliette
julukan	n.nickname@n.nicknames
jumbai	n.tufts@n.tassel@n.tassels
jumbo	a.jumbo
jumlah	n.amount@n.quantity@n.amounts@n.sum@n.qty@n.quantities@n.sums
jumlah besar	n.bulk
jumlah orang	n.headcount
jumlah penumpang	n.ridership
jumpsuit	n.jumpsuit
junior	a.junior@n.junior@n.juniors
juniper	n.juniper
